"# of Use","# of Use"
"%1$s incl tax.","%1$s incl tax."
"%s-%s of %s","%s-%s of %s"
"%s and above","%s and above"
"%s Item(s)","%s Item(s)"
"An error occurred while saving the product. ","An error occurred while saving the product. "
"An error occurred while saving the search query.","An error occurred while saving the search query."
"An error occurred while saving the URL rewrite","An error occurred while saving the URL rewrite"
"An error occurred while saving this review.","An error occurred while saving this review."
"An error occurred while updating the product(s) attributes.","An error occurred while updating the product(s) attributes."
"An error occurred while updating the product(s) status.","An error occurred while updating the product(s) status."
"An invalid group ID is specified, skipping the record.","An invalid group ID is specified, skipping the record."
"An invalid option ID is specified for %s (%s), skipping the record.","An invalid option ID is specified for %s (%s), skipping the record."
"An invalid store was specified.","An invalid store was specified."
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes."
"Apply","Aplicar"
"Apply MAP (Default Value)","Apply MAP (Default Value)"
"Apply price filter","Apply price filter"
"Apply To","Aplicar a"
"Approved","Aprovado"
"A product type is not defined for the indexer.","Um tipo de produto não está definido para indexação."
"Are you sure?","Você tem certeza?"
"Are you sure you want to delete this category?","Você tem certeza que deseja excluir essa categoria?"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Are you sure you would like to remove this item from the compare products?","Are you sure you would like to remove this item from the compare products?"
"Assign","Atribuir"
"Assigned Products","Assigned Products"
"Assign product link","Assign product link"
"Assign product to category","Assign product to category"
"Associated Products","Produtos Associados"
"Attrib. Set Name","Attrib. Set Name"
"Attribute ""%s"" is invalid.","Attribute ""%s"" is invalid."
"Attribute ""%s"" is required.","Attribute ""%s"" is required."
"Attribute add","Attribute add"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter. Do not use ""event"" for an attribute code.","Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter. Do not use ""event"" for an attribute code."
"Attribute Information","Informações de atributo"
"Attribute Name:","Attribute Name:"
"Attribute remove","Attribute remove"
"Attributes","Atributos"
"Attribute Set","Conjuntos de Atributo"
"Attribute Sets","Conjuntos de Atributo"
"Attribute with the same code already exists","Attribute with the same code already exists"
"Attrribute names can be specified per store.","Attrribute names can be specified per store."
"Autogenerate","Autogenerate"
"Availability:","Disponibilidade:"
"Back","Voltar"
"Background Color","Background Color"
"Backorders","Pedidos pendentes"
"Based On","Com Base Na"
"Base Image Width","Base Image Width"
"Before Order Confirmation","Antes da Confirmação do Pedido"
"Best Value","Best Value"
"Block after Info Column","Bloco após Coluna de Informações"
"Bottom/Left","Inferior/Esquerda"
"Bottom/Right","Inferior/Direita"
"Bottom Block Options Wrapper","Bottom Block Options Wrapper"
"Bundle Items","Itens do Pacote"
"Buy %1$s","Buy %1$s"
"Buy %1$s for","Buy %1$s for"
"Buy %1$s for %2$s","Buy %1$s for %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Buy %1$s for %2$s (%3$s incl. tax) each"
"Buy %1$s for %2$s each","Buy %1$s for %2$s each"
"Cache Lifetime (Seconds)","Tempo de Vida da Cache (Segundos)"
"Cache refresh needed.","Cache refresh needed."
"Can't create image.","Can't create image."
"Can be Divided into Multiple Boxes for Shipping","Can be Divided into Multiple Boxes for Shipping"
"Can be used only with catalog input type Dropdown","Can be used only with catalog input type Dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Can be used only with catalog input type Dropdown, Multiple Select and Price"
"Cancel","Cancelar"
"Cannot create image.","Cannot create image."
"Cannot create writeable directory '%s'.","Cannot create writeable directory '%s'."
"Cart Item Attribute","Atributo de Item do Carrinho"
"Catalog","Catálogo"
"Catalog, Search","Catálogo, Pesquisa"
"Catalog Category (Anchor)","Catalog Category (Anchor)"
"Catalog Category (Non-Anchor)","Catalog Category (Non-Anchor)"
"Catalog Category (Without Subcategories)","Catalog Category (Without Subcategories)"
"Catalog Category Link","Link da Categoria do Catálogo"
"Catalog New Products List","Lista de Novos Produtos do Catálogo"
"Catalog Price Scope","Escopo do Preço de Catálogo"
"Catalog Product Compare List","Catalog Product Compare List"
"Catalog product custom options API","Catalog product custom options API"
"Catalog product custom option values API","Catalog product custom option values API"
"Catalog Product Email to a Friend","Catalog Product Email to a Friend"
"Catalog Product Image Gallery Popup","Catalog Product Image Gallery Popup"
"Catalog Product Link","Link de Produto do Catálogo"
"Catalog Product View (Any)","Catalog Product View (Any)"
"Catalog Product View (Configurable)","Catalog Product View (Configurable)"
"Catalog Product View (Grouped)","Catalog Product View (Grouped)"
"Catalog Product View (Simple)","Catalog Product View (Simple)"
"Catalog Product View (Virtual)","Catalog Product View (Virtual)"
"Catalog Seo Sitemap (Category List)","Catalog Seo Sitemap (Category List)"
"Catalog Seo Sitemap (Category Tree)","Catalog Seo Sitemap (Category Tree)"
"Catalog Seo Sitemap (Common)","Catalog Seo Sitemap (Common)"
"Catalog Seo Sitemap (Product List)","Catalog Seo Sitemap (Product List)"
"Catalog URL Rewrites","Catalog URL Rewrites"
"Categories","Categorias"
"categories","categories"
"Categories Sitemap","Categories Sitemap"
"Category","Categoria"
"Category API","Category API"
"Category attributes API","Category attributes API"
"Category Data","Category Data"
"Category delete error: %s","Category delete error: %d"
"Category Flat Data","Dados Flat da Categoria"
"Category is not dynamic.","Category is not dynamic."
"Category Link Block Template","Template do Bloco de Link de Categoria"
"Category Link Inline Template","Template de Link Inline de Categoria"
"Category move error: %s","Category move error: %s"
"Category must be an instance of Mage_Catalog_Model_Category.","Category must be an instance of Mage_Catalog_Model_Category."
"Category not found.","Category not found."
"Category Products","Produtos da Categoria"
"Category save error: %s","Category save error: %s"
"Category Top Navigation","Categoria de Navegação Superior"
"Category URL Suffix","Sufixo URL da Categoria"
"Category was not found.","Category was not found."
"Center","Centralizar"
"Change","Alterar"
"Change or Retrieve attribute store view","Change or Retrieve attribute store view"
"Change status","Alterar status"
"Check items to add to the cart or","Verifique itens para adicionar ao carrinho ou"
"Choose an Option...","Escolha uma Opção..."
"Clear All","Limpar Tudo"
"Clear Price","Limpar Preço"
"Click for price","Clique para precificar"
"Close Window","Fechar Janela"
"Collapse All","Recolher Tudo"
"Comma-separated.","Separados por vírgula."
"Comparable","Comparável"
"Comparable on Front-end","Comparable on Front-end"
"Comparable on the Frontend","Comparable on the Frontend"
"Compare","Comparar"
"Compare Products","Comparar Produtos"
"Conditions","Condições"
"Conditions Combination","Combinação de Condições"
"Configurable Product","Configurable Product"
"Configurable Product Settings","Configurable Product Settings"
"Continue","Próximo"
"Controls display of Add to Cart and View Details buttons in category pages and product lists. When disabled, only product names and images will be clickable.","Controls display of Add to Cart and View Details buttons in category pages and product lists. When disabled, only product names and images will be clickable."
"Copy From Configurable","Copy From Configurable"
"Country/State","País/Estado"
"Create","Criar"
"Create (Upload)","Create (Upload)"
"Create attribute set based on another set","Create attribute set based on another set"
"Create Empty","Create Empty"
"Create new attribute","Create new attribute"
"Create new category","Create new category"
"Create new product","Create new product"
"Create Permanent Redirect for old URL","Criar redirecionamento permanente para a URL antiga"
"Create Permanent Redirect for URLs if URL Key Changed","Criar Redirecionamento Permanente para URLs se a chave de URL for Alterada"
"Create Product Settings","Create Product Settings"
"Create Simple Associated Product","Create Simple Associated Product"
"Cross-sells","Venda Cruzada"
"Custom Design","Design Personalizado"
"Customer Group","Grupo de clientes"
"Customers Reviews","Avaliações de Clientes"
"Customers Tagged Product","Customers Tagged Product"
"Custom Options","Opções personalizadas"
"Custom options","Custom options"
"Data Type for Saving in Database","Tipo de dados para salvar no banco de dados"
"Date & Time Custom Options","Opções Personalizadas de Data e Hora"
"Date Subscribed","Date Subscribed"
"Datetime","Data e Hora"
"Decimal","Decimal"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Default ""What's This"" Text Message","Mensagem de Texto Pré-definida ""O que é isto"""
"Default Popup Text Message","Mensagem de Texto Popup Pré-definida"
"Default Price","Preço Padrão"
"Default Price Navigation Step","Intervalo de Preço Pré-definido"
"Default Qty","Qtd Padrão"
"Default Values","Valor Padrão"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"")."
"Delete","Excluir"
"Delete Attribute","Excluir Atributo"
"Delete attribute","Delete attribute"
"Delete Attribute Set","Delete Attribute Set"
"Delete Category","Delete Category"
"Delete category","Delete category"
"Delete File","Excluir Arquivo"
"Delete Group Price","Delete Group Price"
"Delete product","Delete product"
"Delete Row","Remover Linha"
"Delete Search","Excluir pesquisa"
"Delete Tier","Excluir Camada"
"Depends on design theme","Depends on design theme"
"Description","Descrição"
"Design","Visual"
"Details","Detalhes"
"Disabled","Desabilitado"
"Disallowed file format.","Disallowed file format."
"Disallowed file type.","Tipo de arquivo não permitido."
"Display Actual Price","Mostrar Preço Atual"
"Display in Suggested Terms","Exibir em termos sugeridos"
"Display Page Control","Exibir controle de página"
"Display Price Interval as One Price","Mostrar Intervalo de Preço como Um Preço"
"Display Product Count","Mostrar Total de Produtos"
"Display Type","Tipo de Exibição"
"Downloadable Information","Informações de Download"
"Do you want to duplicate the product images as well?","Do you want to duplicate the product images as well?"
"Do you want to duplicate the product images as well?","Do you want to duplicate the product images as well?"
"Duplicate","Duplicar"
"Duplicate Product","Duplicate Product"
"Duplicate website, country and state tax found.","Duplicate website, country and state tax found."
"Duplicate website group price customer group.","Duplicate website group price customer group."
"Duplicate website tier price customer group and quantity.","Duplicate website tier price customer group and quantity."
"Dynamic category processed successfully.","Dynamic category processed successfully."
"Dynamic Category Rules","Dynamic Category Rules"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance."
"each","each"
"Edit","Editar"
"Edit Attribute Set '%s'","Edit Attribute Set '%s'"
"Edit Product Attribute","Editar atributo do produto"
"Edit Product Attribute ""%s""","Edit Product Attribute ""%s"""
"Edit Search","Editar pesquisa"
"Edit Search '%s'","Edit Search '%s'"
"Edit Set Name","Edit Set Name"
"Email","E-mail"
"Empty","Vazio"
"Enable Add to cart Button in product listings","Enable Add to cart Button in product listings"
"Enabled","Habilitado"
"Enable for reindexing a big number of SKUs.","Enable for reindexing a big number of SKUs."
"Enable MAP","Habilitar MAP"
"Enable Qty Increments","Habilitar os Incrementos de Qtd"
"Enable WYSIWYG","Enable WYSIWYG"
"Error during retrieval of option value: %s","Error during retrieval of option value: %s"
"Error loading children: %s","Error loading children: %s"
"ex. http://domain.com","ex. http://dominio.com"
"Exclude","Excluir"
"Expand All","Expandir Tudo"
"Failed","Falhou"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Failed to copy file %s. Please, delete media with non-existing images and try again."
"Failed to move file: %s","Failed to move file: %s"
"Field is not complete","Field is not complete"
"File","Arquivo"
"File options format is not valid.","File options format is not valid."
"File upload failed","File upload failed"
"File upload failed. Please contact the store administrator.","File upload failed. Please contact the store administrator."
"File upload failed with error code: %s","File upload failed with error code: %s"
"Filter","Filtro"
"Filterable (no results)","Filtrável (nenhum resultado)"
"Filterable (with results)","Filtrável (com resultados)"
"Filter model name must be declared.","Filter model name must be declared."
"Filter must be an object. Please set correct filter.","Filter must be an object. Please set correct filter."
"Filters","Filtros"
"First Name","Nome"
"Fixed","Fixo"
"For internal use.","For internal use."
"For the last time placed.","Colocados pela última vez."
"From","De"
"Frontend","Frontend"
"Frontend Properties","Frontend Properties"
"Gallery","Galeria"
"General Information","Informações gerais"
"Get full information about attribute with list of options","Get full information about attribute with list of options"
"Get full information about custom option in product","Get full information about custom option in product"
"Get list of available custom option types","Get list of available custom option types"
"Get list of non-default attributes by product type and attributes set","Get list of non-default attributes by product type and attributes set"
"Get list of possible attribute types","Get list of possible attribute types"
"Get special price","Get special price"
"Global","Todas as Lojas"
"Globally Editable","Globalmente editável"
"Go to Home Page","Ir para a página inicial"
"Grid","Grade"
"Group add","Group add"
"Grouped Product","Grouped Product"
"Group remove","Group remove"
"Groups","Grupos"
"Home","Início"
"HTML tags are not allowed in SKU attribute.","HTML tags are not allowed in SKU attribute."
"ID","Id."
"ID: %s","ID: %s"
"If empty, the Category Name will be used","If empty, the Category Name will be used"
"If empty, the Product Name will be used","If empty, the Product Name will be used"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","If you do not specify an option value for a specific store view then the default (Admin) value will be used."
"Image","Imagem"
"Image content is not valid base64 data.","Image content is not valid base64 data."
"Image does not exist.","Image does not exist."
"Image type and information need to be specified for each store view.","Image type and information need to be specified for each store view."
"In Cart","No carrinho"
"Incl. Tax","Imposto Incl."
"Indexed category/products association","Associação categoria/produtos indexados"
"Index product and categories URL rewrites","Index product and categories URL rewrites"
"Index product attributes for layered navigation building","Index product attributes for layered navigation building"
"Index product prices","Indexar os preços de produtos"
"Info","Info"
"Info Column Options Wrapper","Info Column Options Wrapper"
"Input Type","Tipo de input"
"In Stock","Em Estoque"
"In stock","Em estoque"
"Integer","Inteiro"
"Internal Error","Internal Error"
"Interval Division Limit","Limite de Divisão de Interalo"
"Invalid attribute %s","Invalid attribute %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Invalid attribute option specified for attribute %s (%s), skipping the record."
"Invalid attribute set specified, skipping the record.","Invalid attribute set specified, skipping the record."
"Invalid block: %s.","Invalid block: %s."
"Invalid category.","Invalid category."
"Invalid category IDs.","Invalid category IDs."
"Invalid custom option(s).","Invalid custom option(s)."
"Invalid image file type.","Invalid image file type."
"Invalid image type.","Invalid image type."
"Invalid option ID specified for %s (%s), skipping the record.","Invalid option ID specified for %s (%s), skipping the record."
"Invalid product collection resource.","Invalid product collection resource."
"Invalid product type specified, skipping the record.","Invalid product type specified, skipping the record."
"Invalid store specified","Invalid store specified"
"Invalid store specified, skipping the record.","Invalid store specified, skipping the record."
"Invalid Tier Prices","Invalid Tier Prices"
"Invalid tier prices. The product is not associated to the requested website.","Invalid tier prices. The product is not associated to the requested website."
"Inventory","Inventário"
"Is Default","É o Padrão"
"Is Required","É necessário"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store."
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store."
"Keep Frame","Keep Frame"
"Label","Título"
"Last Name","Sobrenome"
"Last Notification","Last Notification"
"Layered Navigation","Navegação em Camadas"
"Learn More","Saiba Mais"
"leave blank if its not an image","leave blank if its not an image"
"Line %d, Email: %s","Line %d, Email: %s"
"Line %d, SKU: %s","Line %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Link (Related, Up sell, Cross sell)"
"Link product does not exist.","Link product does not exist."
"Link to a Specified Category","Link para uma Categoria Especificada"
"Link to a Specified Product","Link para um produto específico"
"List","Lista"
"List Mode","Modo de lista"
"List of Products that are set as New","Lista de produtos definidos como novo"
"List of types","List of types"
"Manage Attributes","Manage Attributes"
"Manage Attribute Sets","Gerenciar Conjuntos de Atributos"
"Manage Catalog Categories","Gerenciar Catálogo de Categorias"
"Manage Categories","Gerenciar Categorias"
"Manage Label / Options","Gerenciar etiqueta / opções"
"Manage Options (values of your attribute)","Manage Options (values of your attribute)"
"Manage Product Attributes","Gerenciar os atributos do produto"
"Manage Products","Manage Products"
"Manage Product Sets","Gerenciar Conjuntos de Produtos"
"Manage Stock","Gerenciar Estoque"
"Manage Titles (Size, Color, etc.)","Gerenciar Títulos (tamanho, cor, etc.)"
"Max Characters","Caracteres Máximo"
"Maximal Depth","Profundidade máxima"
"Maximum allowed image size for '%s' is %sx%s px.","Maximum allowed image size for '%s' is %sx%s px."
"Maximum file size","Tamanho máximo do arquivo"
"Maximum image height","Altura máxima da imagem"
"Maximum Image Size","Tamanho Máximo da Imagem"
"Maximum image width","Largura máxima da imagem"
"Maximum number of characters:","Número máximo de caracteres:"
"Maximum Number of Price Intervals","Quantidade Máxima de Intervalos de Preço"
"Maximum number of price intervals is 100","O Número Máximo de Intervalos de Preço é 100"
"Maximum Qty Allowed in Shopping Cart","Quantidade Máxima Permitida no Carrinho"
"Maximum resolution for upload image","Maximum resolution for upload image"
"Maximum width and height dimension for upload image is %s.","Maximum width and height dimension for upload image is %s."
"Maximum width and height resolutions for upload image","Maximum width and height resolutions for upload image"
"Maximum width base product image will be scaled down to in pixels","Maximum width base product image will be scaled down to in pixels"
"Maximum width small product image will be scaled down to in pixels","Maximum width small product image will be scaled down to in pixels"
"Media Image","Mídia de Imagem"
"Middle Name","Middle Name"
"Minimum Advertised Price","Preço mínimo anunciado"
"Minimum Lines per Page","Minimum Lines per Page"
"Minimum Qty Allowed in Shopping Cart","Quantidade Mínima Permitida no Carrinho"
"Minimum Qty for Item's Status to be Out of Stock","Minimum Qty for Item's Status to be Out of Stock"
"Missing SKU, skipping the record.","Missing SKU, skipping the record."
"Move","Mover"
"Move category in tree","Move category in tree"
"Multi update product","Multi update product"
"Must be in the allowed values list.","Must be in the allowed values list."
"My Account","Minha Conta"
"N/A","Não Disponível"
"Name","Nome"
"Name in %s","Name in %s"
"New Product","Novo Produto"
"New Product Attribute","Novo Atributo de Produto"
"New Products","Novos Produtos"
"New products","Novos Produtos"
"New Products Grid Template","Novo modelo de grade de produtos"
"New Products List Template","Novo modelo de lista de produtos"
"New Root Category","New Root Category"
"New Search","Nova pesquisa"
"New Subcategory","New Subcategory"
"Next","Próximo"
"No","Não"
"No, without images","No, without images"
"No image","Sem imagem"
"No layout updates","Não há atualizações de layout"
"None","Nenhum"
"No options of this product are available.","Não há opções deste produto estão disponíveis."
"No product collections found.","No product collections found."
"Notify for Quantity Below","Notificar para Quantidade Abaixo"
"Notify Low Stock RSS","Notificar baixo estoque via RSS"
"Not Visible Individually","Não Visível Individualmente"
"Number of Products per Page","Número de produtos por página"
"Number of Products to Display","Número de produtos para exibir"
"Number of results","Número de resultados"
"Number of results (For the last time placed)","Número de resultados (Colocados pela última vez)"
"Number of Uses","Número de Usos"
"On Gesture","Ao Gesto"
"Option:","Option:"
"Options","Opções"
"Options Control","Options Control"
"Options is required","Options is required"
"Option validation failed to add product to cart.","Option validation failed to add product to cart."
"Option values","Option values"
"Out of Stock","Fora de Estoque"
"Out of stock","Fora de estoque"
"Pad resized images to exact dimensions with background color","Pad resized images to exact dimensions with background color"
"Page Title Separator","Separador do título da página"
"Parent category is equal to child category.","Parent category is equal to child category."
"Parent category was not found.","Parent category was not found."
"Parent Products","Parent Products"
"Pending","Pendente"
"Pending Reviews RSS","Avaliações RSS Pendentes"
"Percentage","Percentage"
"per page","por página"
"Please add rows to option.","Por favor, adicione linhas a opção."
"Please click on the Close Window button if it is not closed automatically.","Please click on the Close Window button if it is not closed automatically."
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>"
"Please select a file for the required option ""%s"".","Please select a file for the required option ""%s""."
"Please select a parent category before adding a new one.","Please select a parent category before adding a new one."
"Please select a static block ...","Please select a static block ..."
"Please select items.","Por favor, selecione os itens."
"Please select one or more attributes.","Please select one or more attributes."
"Please select product(s).","Please select product(s)."
"Please select products for attributes update","Please select products for attributes update"
"Please specify date required option <em>%s</em>.","Please specify date required option <em>%s</em>."
"Please specify the number of products, that will not be divided into subintervals.","Por favor, especifique a quantidade de produtos que não serão divididos em sub-intervalos."
"Please specify the product's option(s).","Please specify the product's option(s)."
"Please specify the product's required option(s).","Please specify the product's required option(s)."
"Please specify the product required option(s)","Please specify the product required option(s)"
"Please specify the product required option <em>%s</em>.","Please specify the product required option <em>%s</em>."
"Please specify the quantity of product(s).","Por favor, especifique a quantidade de produto(s)."
"Please specify time required option <em>%s</em>.","Please specify time required option <em>%s</em>."
"Please wait...","Por favor, aguarde..."
"Position","Relevância"
"Position in Layered Navigation","Posição na Navegação em Camadas"
"Position of attribute in layered navigation block","Position of attribute in layered navigation block"
"Prev","Anterior"
"Previous","Anterior"
"Price","Preço"
"Price:","Preço:"
"Price: %s","Price: %s"
"Price Navigation Step Calculation","Cálculo de Intervalo da Navegação por Preço"
"Price Type","Tipo de preço"
"Price values for options should be specified in system base currency.","Price values for options should be specified in system base currency."
"Product","Produto"
"Product Alerts","Alertas de Produto"
"Product API","Product API"
"Product Attribute","Atributo do Produto"
"Product Attributes","Atributos de Produto"
"Product attributes API","Product attributes API"
"Product attribute sets API","Product attribute sets API"
"Product Categories","Categorias de Produto"
"Product collection expected.","Product collection expected."
"Product Extra Info","Product Extra Info"
"Product Flat Data","Dados Flat do Produto"
"Product ID","Identificador do Produto"
"Product Image","Product Image"
"Product Image Placeholders","Espaços reservados da imagem de produto"
"Product Images","Product Images"
"Product Images API","Product Images API"
"Product Image Watermarks","Marcas D'água da Imagem de Produto"
"Product Info Column","Coluna de Informações do Produto"
"Product Information","Product Information"
"Product In Websites","Produto em Websites"
"Product is not loaded","Produto não está carregado"
"Product Link Block Template","Template de Bloco para o Link do Produto"
"Product Link Inline Template","Template Inline para o Link do Produto"
"Product links API (related, cross sells, up sells)","Product links API (related, cross sells, up sells)"
"Product Listing Sort by","Listagem de produto, ordenar por"
"Product Name","Nome do produto"
"Product Prices","Product Prices"
"Product Reviews","Avaliações do Produto"
"Products","Produtos"
"products","produtos"
"Products Comparison List","Lista de Comparação de Produtos"
"Products Information","Informação de produtos"
"Products only","Somente produtos"
"Products per Page on Grid Allowed Values","Valores Permitidos para o Número de Produtos por Página quando Visualizados em Grade"
"Products per Page on Grid Default Value","Valor pré-definido para Produtos por Página quando visto em Grade"
"Products per Page on List Allowed Values","Valores Permitidos para o Número de Produtos por Página quando Visualizados em Lista"
"Products per Page on List Default Value","Valor pré-definido para Produtos por Página quando visto em Lista"
"Products Reviews","Avaliações do Produto"
"Products Sitemap","Products Sitemap"
"Product Tags","Product Tags"
"Product Tier Price API","Product Tier Price API"
"Product Type","Product Type"
"Product types API","Product types API"
"Product URL Suffix","Sufixo de URL do produto"
"Product View Extra Hint","Product View Extra Hint"
"Product with this combination of attributes already associated to configurable.","Product with this combination of attributes already associated to configurable."
"Properties","Propriedades"
"px.","px."
"Qty","Qtd"
"Qty:","Qtd:"
"Qty for Item's Status to Become Out of Stock","Qty for Item's Status to Become Out of Stock"
"Qty Increments","Incrementos de Qtd"
"Qty Uses Decimals","Qtd Usa Casas Decimais"
"Quantity","Quantidade"
"Quick Create","Quick Create"
"Quick simple product creation","Quick simple product creation"
"Records for ""%s"" store found.","Records for ""%s"" store found."
"Redirect","Redirect"
"Redirect URL","URL de redirecionamento"
"Regular Price:","Regular Price:"
"Related Products","Produtos Relacionados"
"Remove","Remover"
"Remove attribute from attribute set","Remove attribute from attribute set"
"Remove attribute set","Remove attribute set"
"Remove custom option","Remove custom option"
"Remove filter: %s","Remove filter: %s"
"Remove group from attribute set","Remove group from attribute set"
"Remove option","Remove option"
"Remove product assignment","Remove product assignment"
"Remove Product From Websites","Remover Produto dos Websites"
"Remove product image","Remove product image"
"Remove product link","Remove product link"
"Remove value from custom option","Remove value from custom option"
"Rename existing group","Rename existing group"
"Rename group","Rename group"
"Reorganize EAV category structure to flat structure","Reorganizar a estrutura EAV da categoria para estrutura flat"
"Reorganize EAV product structure to flat structure","Reorganizar a estrutura EAV do produto para estrutura flat"
"Reset","Redefinir"
"Results","Resultados"
"Results per page","Results per page"
"Retrieve attribute data","Retrieve attribute data"
"Retrieve attribute list","Retrieve attribute list"
"Retrieve attribute options","Retrieve attribute options"
"Retrieve categories tree","Retrieve categories tree"
"Retrieve category attributes","Retrieve category attributes"
"Retrieve category data","Retrieve category data"
"Retrieve hierarchical tree","Retrieve hierarchical tree"
"Retrieve linked products","Retrieve linked products"
"Retrieve list of assigned products","Retrieve list of assigned products"
"Retrieve list of option values","Retrieve list of option values"
"Retrieve list of product custom options","Retrieve list of product custom options"
"Retrieve one level of categories by website/store view/parent category","Retrieve one level of categories by website/store view/parent category"
"Retrieve option value info","Retrieve option value info"
"Retrieve product","Retrieve product"
"Retrieve product attribute sets","Retrieve product attribute sets"
"Retrieve product image","Retrieve product image"
"Retrieve product image list","Retrieve product image list"
"Retrieve product image types","Retrieve product image types"
"Retrieve product link type attributes","Retrieve product link type attributes"
"Retrieve product link types","Retrieve product link types"
"Retrieve products data","Retrieve products data"
"Retrieve products list by filters","Retrieve products list by filters"
"Retrieve product tier prices","Retrieve product tier prices"
"Retrieve product types","Retrieve product types"
"Reviews","Avaliações"
