"-- No Role --","-- Nenhuma Função --"
"Access Token Lifetime","Token de Acesso Vitalício"
"Modern REST API at /api/rest/v2/*","API REST moderna em /api/rest/v2/*"
"New API Key","Nova chave de API"
"New API User","Novo usuário da API"
"New Role","Nova Permissão"
"No permissions needed, these are read-only public endpoints.","Sem permissões necessárias, estas são endpoints públicos somente leitura."
"OAuth2 Client Credentials","Credenciais de cliente OAuth2"
"OAuth2 client_id and client_secret will be generated when you save this user.","O cliente_id OAuth2 e o cliente_secret serão gerados quando você salvar este usuário."
"OAuth2 Settings","Configurações do OAuth2"
"Original Magento 1 JSON-RPC at /api/jsonrpc","Magento 1 JSON-RPC original em /api/jsonrpc"
"Original Magento 1 REST API at /api/rest/*","Magento 1 API REST original em /api/rest/*"
"Original Magento 1 SOAP at /api/soap","SOAP Magento 1 original em /api/soap"
"Original Magento 1 SOAP v2 at /api/v2_soap","Magento 1 SOAP v2 original em /api/v2_soap"
"Original Magento 1 XML-RPC at /api/xmlrpc","Magento 1 XML-RPC original em /api/xmlrpc"
"Permissions","Permissões"
"Public Storefront Access","Acesso à Loja Pública"
"Refresh Token Lifetime","Atualizar vitalício do Token"
"Regenerate Credentials","Regerar Credenciais"
"Resource Access","Acesso a Recursos"
"REST/GraphQL - Roles","REST/GraphQL - Funções"
"REST/GraphQL - Users","REST/GraphQL - Usuários"
"Restrict to Stores","Restringir a Lojas"
"REST v2 (new)","REST v2 (novo)"
"Role","Funções"
"Role has been deleted.","Função foi excluída."
"Role has been saved.","A função foi salva."
"Role Info","Informação de Permissão"
"Role Information","Informação de Permissão"
"Role Name","Nome da Função"
"Role name is required.","Nome da função é obrigatório."
"Save and Continue Edit","Salvar e Continuar Editar"
"Save API User","Salvar API de usuário"
"Save Role","Salvar Permissão"
"Save these credentials now. The secret cannot be retrieved later.","Salve essas credenciais agora. O segredo não pode ser recuperado mais tarde."
"Service Account Permissions","Permissões de Conta de Serviço"
"Status","SItuação"
"Storefront/customer-facing GraphQL at /api/graphql","Loja/cliente direcionado ao GraphQL em /api/graphql"
"Symfony App Secret","Segredo App Symfony"
"System","SISTEMA"
"These operations use customer JWT tokens obtained when a customer logs in. They are scoped to the logged-in customer's own data and cannot be granted to service accounts.","Essas operações usam tokens de cliente JWT obtidos quando um cliente faz login. São enquadradas no âmbito dos dados logados do próprio cliente e não podem ser concedidas a contas de serviço."
"These permissions control what API users (service accounts) can do. Grant only the operations each integration needs.","Essas permissões controlam o que os usuários da API (contas de serviço) podem fazer. Conceder apenas as operações que cada integração precisa."
"These resources are publicly readable without authentication. Any visitor or app can access this data via GET requests.","Esses recursos são legíveis publicamente sem autenticação. Qualquer aplicativo visitante pode acessar esses dados através de solicitações GET."
"This API user no longer exists.","Este usuário API não existe mais."
"This role no longer exists.","Esta função não existe mais."
"User Info","Informações do usuário"
"Username","Usuário:"
"User Role","Função do Usuário"
