"""Remember Me"" Cookie Lifetime","""Me Lembrar"" Cookie Vitalício"
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","Se a posição atual do quadro não cobrir o máximo de páginas, irá renderizar link para a posição atual mais/menos esse valor."
"Image quality","Qualidade da imagem"
"Incorrect credit card expiration date.","Data de expiração incorreta do cartão de crédito."
"Instagram URL","URL do Instagram"
"Invalid base url type","Tipo de URL base inválido"
"Invalid block: %s","Bloco inválido: %s"
"Invalid block type: %s","Tipo de bloco inválido: %s"
"Invalid connection","Conexão inválida"
"Invalid date","Data inválida"
"Invalid image.","Invalid image."
"Invalid layout update handle","Atualização de layout inválida"
"Invalid messages storage ""%s"" for layout messages initialization","Armazenamento de mensagens inválido ""%s"" para inicialização de mensagens de layout"
"Invalid MIME type.","Tipo MIME inválido."
"Invalid or empty SVG file.","Arquivo SVG inválido ou vazio."
"Invalid query","Consulta inválida"
"Invalid stream.","Fluxo inválido."
"Invalid template path used in layout update.","Caminho de modelo inválido usado na atualização de layout."
"Invalid transactional email code: %s","Código de e-mail transacional inválido: %s"
"Invalid URL","URL inválida"
"Invalid URL scheme.","Esquema de URL inválido."
"Invalid website's configuration path: %s","Configuração inválida do site: %s"
"JavaScript Deferral Mode","JavaScript Modo de Indicação"
"JavaScript Settings","Configurações de JavaScript"
"Lax","Mago"
"Layout","Disposição"
"Leave empty for access from any location.","Deixe em branco para acessar de qualquer local."
"Leave this field empty","Deixe este campo vazio"
"LinkedIn URL","LinkedIn URL"
"List of stores","Lista de lojas"
"Loading Indicator Timeout","Tempo limite do carregamento"
"Load on Intent","Carregar ao Intenção"
"Locale","Localidade"
"Locale Options","Opções de localidade"
"Login is Case Sensitive","Login é Case Sensitive"
"Logo Image","Imagem do logotipo"
"Logo Image Alt","Alterar imagem do logotipo"
"Logo Image Src","Imagem do logotipo Src"
"Log Settings","Configurações de Log"
"Maho info","Informação do Maho"
"Maho info API","Maho info API"
"Mail Sending Settings","Configurações de Envio de Email"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/maho/","Certifique-se que a URL base termine com '/' (barra), por exemplo, http://seudominio/maho/"
"Manage Stores","Gerenciar Lojas"
"Match expressions in the same order as displayed in the configuration.","Corresponder expressões na mesma ordem que exibido na configuração."
"Media Storage","Armazenamento de mídia"
"Message recipients data must be set.","Os dados dos destinatários da mensagem devem ser definidos."
"Minifies CSS files and caches them in media/mahominify for improved performance","Minimiza os arquivos CSS e os armazena em mídia/mahominify para um melhor desempenho"
"Minifies JavaScript files and caches them in media/mahominify for improved performance","Minimiza arquivos JavaScript e os armazena em mídia/mahominify para um melhor desempenho"
"Minify CSS Files","Minify CSS Files"
"Minify JavaScript Files","Minimizar arquivos JavaScript"
"Minimum Log Severity","Gravidade Mínima de Log"
"Miscellaneous HTML","HTML diverso"
"Miscellaneous Scripts","Scripts Diversos"
"Model collection resource name is not defined.","Nome do recurso de coleção do modelo não está definido."
"Module ""%1$s"" cannot depend on ""%2$s"".","Módulo ""%1$s"" não pode depender de ""%2$s""."
"Module ""%1$s"" requires module ""%2$s"".","Módulo ""%1$s"" requer módulo ""%2$s""."
"Name","Nome:"
"New Admin User Create Notification","Nova notificação de criação de usuário administrador"
"New Admin User Email Template","Novo modelo de e-mail do administrador"
"New Design Change","Nova Alteração de Design"
"New Store","Nova loja"
"New Store View","Nova Visão de Loja"
"New Website","Novo site"
"No","Não"
"None","Nenhuma"
"Number from 0 to 100 (default is 85, recommended by Google). Higher values preserve more details but increase file size. For WebP format, you can also use 101 to enable lossless compression.","Número de 0 a 100 (o padrão é 85, recomendado pelo Google). Valores maiores preservam mais detalhes, mas aumentam o tamanho do arquivo. Para o formato WebP, você também pode usar 101 para habilitar a compressão sem perda de perda."
"Number of milliseconds to delay showing the loading indicator. The default value is ""200"". An empty value disables the delay.","Número de milissegundos para atrasar o indicador de carregamento. O valor padrão é ""200"". Um valor vazio desabilita o atraso."
"Number of seconds between each allowed request.","Número de segundos entre cada solicitação permitida."
"Offloader header","Offloader header"
"Only messages at this severity level or higher will be logged. For example, selecting ""Error"" will log Error, Critical, Alert, and Emergency messages, but not Warning, Notice, Info, or Debug. Note: Developer mode overrides this setting and logs all levels.","Apenas mensagens neste nível de gravidade ou superior serão registradas. Por exemplo, selecionar ""Erro"" registrará Erro, Crítico, Alerta e Mensagens de Emergência, mas não Aviso, Nota, Informação ou Debug. Nota: O modo de desenvolvedor substitui esta configuração e registra todos os níveis."
"Package","Pacote"
"Pagination","Paginação"
"Pagination Frame","Quadro de Paginação"
"Pagination Frame Skip","Pular Quadro de Paginação"
"Path ""%s"" contains an invalid stream wrapper.","Path ""%s"" contém um wrapper de stream inválido."
"Path ""%s"" contains invalid parent directory references.","O caminho ""%s"" contém referências do diretório pai inválidas."
"Path ""%s"" is not available and cannot be used.","Caminho ""%s"" não está disponível e não pode ser usado."
"Path ""%s"" is protected and cannot be used.","Caminho ""%s"" está protegido e não pode ser usado."
"PHP SOAP extension is required.","A extensão SOAP do PHP é necessária."
"Please define flag code.","Por favor, defina o código da bandeira."
"Please do not use ""event"" for an attribute code.","Por favor, não use ""evento"" para um código de atributo."
"Please enter a number 0 or greater in this field.","Por favor, insira um número igual ou superior a 0 neste campo."
"Please enter a number 1 or greater in this field.","Por favor, insira um número igual ou superior neste campo."
"Please enter a number greater than 0 in this field.","Por favor, insira um número maior que 0 neste campo."
"Please enter a number lower than 100.","Digite um número menor que 100."
"Please enter a valid $ amount. For example $100.00.","Informe um valor $ . Por exemplo, $100.00."
"Please enter a valid credit card number.","Por favor, insira um número de cartão de crédito válido."
"Please enter a valid credit card verification number.","Por favor, insira um número de verificação de cartão de crédito válido."
"Please enter a valid date.","Por favor, introduza uma data válida."
"Please enter a valid date between %s and %s","Por favor, insira uma data válida entre %s e %s"
"Please enter a valid date equal to or greater than %s","Por favor, insira uma data válida igual ou maior que %s"
"Please enter a valid date less than or equal to %s","Por favor, insira uma data válida menor ou igual a %s"
"Please enter a valid day (1-%d).","Por favor, insira um dia válido (1-%d)."
"Please enter a valid email address. For example johndoe@domain.com.","Informe um endereço de e-mail válido. Por exemplo, johndoe@domain.com."
"Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.","Informe um número de fax válido. Por exemplo (123) 456-7890 ou 123-456-7890."
"Please enter a valid full date","Por favor, introduza uma data válida de completa"
"Please enter a valid month (1-12).","Por favor, insira um mês válido (1-12)."
"Please enter a valid number in this field.","Por favor insira um número válido neste campo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Por favor insira um número de telefone válido. Por exemplo (+35) 21 1234 1234"
"Please enter a valid social security number. For example 123-45-6789.","Informe um CPF válido. Por exemplo, 123-45-6789."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Informe uma URL válida. Por exemplo, http://www.example.com ou www.example.com"
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","Por favor introduza uma URL válida. O protocolo é necessário (http://, https:// ou ftp://)"
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","Por favor, insira uma chave de URL válida. Por exemplo, ""exemplo-página"", ""exemplo-página.html"" ou ""anotherlevel/exemplo-página""."
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","Informe um identificador XML válido. Por exemplo, algo_1, block5, id-4."
"Please enter a valid year (1900-%d).","Por favor, insira um ano válido (1900-%d)."
"Please enter a valid zip code.","Informe um CEP válido."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Informe um CEP válido. Por exemplo, 90602 ou 90602-1234."
"Please enter issue number or start date for switch/solo card type.","Por favor, insira o número de issue ou data de início para o tipo de cartão switch/solo."
"Please enter more characters. Password should contain both numeric and alphabetic characters.","Por favor, insira mais caracteres. Senha deve conter caracteres numéricos e alfabéticos."
"Please enter more characters or clean leading or trailing spaces.","Por favor, insira mais caracteres ou limpe os espaços no início ou no final."
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.","Por favor, insira um comprimento de CSS válido. Por exemplo, 100px ou 77pt ou 20em ou .5ex ou 50%."
"Please make sure your passwords match.","Certifique-se de que as senhas correspondem."
"Please select a file","Por favor, selecione um arquivo"
"Please select an option.","Por favor, selecione uma opção."
"Please select email log entries to delete.","Por favor, selecione entradas de log de e-mail para excluir."
"Please select one of the above options.","Por favor, selecione uma das opções acima."
"Please select one of the options.","Por favor, selecione uma das opções."
"Please select State/Province.","Selecione um Estado."
"Please set available and/or protected paths list(s) before validation.","Por favor defina listas de caminhos disponíveis e/ou protegidos antes da validação."
"Please specify either a category or a product, or both.","Por favor, especifique uma categoria ou um produto, ou ambos."
"Please use letters only (a-z or A-Z) in this field.","Por favor use apenas letras (a-z ou A-Z) neste campo."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Use números somente neste campo. Evite espaços ou outros caracteres, como pontos ou vírgulas."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Por favor use apenas letras (a-z), números (0-9) ou underscore(_) neste campo, primeiro carácter deve ser uma letra."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Por favor use apenas letras (a-z ou A-Z), números (0-9) ou underscore(_) neste campo, primeiro carácter deve ser uma letra."
"Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Utilize apenas letras (a-z ou A-Z) ou números (0-9) neste campo. Não são permitidos espaços ou outros caracteres."
"Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.","Por favor, use apenas letras (a-z ou A-Z) ou números (0-9) ou espaços e # apenas neste campo."
"Please use only visible characters and spaces.","Por favor, use apenas caracteres visíveis e espaços."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Por favor use este formato de data: dd/mm/aaaa. Por exemplo 17/03/2006 para 17 de março de 2006."
"Please wait, loading...","Por favor aguarde, carregando..."
"Port","Porta"
"Prevents browsers from MIME-sniffing responses. Recommended for security.","Previne navegadores de respostas instantâneas do MIME. Recomendado para segurança."
"Profiler","Profiler"
"Rate limit","Taxa limite"
"Recovery Link Expiration Period (hours)","Período de Recuperação de Link Expirado (horas)"
"Referrer Policy","Política de referência"
"Request Path for Specified Store","Caminho da Solicitação para Loja Especificada"
"Request path length exceeds allowed %s symbols.","Caminho da requisição excede os símbolos %s permitidos."
"Resource ""%s"" is not found.","Recurso ""%s"" não foi encontrado."
"Resource is not set.","Recurso não está definido."
"Retrieve info about current Maho installation","Recuperar informações sobre a instalação atual do Maho"
"Retrieve store data","Recuperar dados da loja"
"Retrieve store list","Recuperar lista da loja"
"Return-Path Email","Retornar Email"
"Root Category","Categoria Raiz"
"Sales Representative","Representante de Vendas"
"Sales Representative Contact Email","E-mail de contato representante de vendas"
"Sales Representative Contact Name","Nome de contato representante de vendas"
"Same-Site","Guia-Site"
"Save","Guardar"
"Save Store","Salvar loja"
"Save Store View","Salvar Visão de Loja"
"Save Website","Salvar site"
"Secure","Seguro"
"Security","Segurança"
"Sender Email","E-mail do remetente"
"Sender Name","Nome do Remetente"
"Sent","Enviado"
"Services","Serviços"
"Session Cookie Management","Sessão de Gerenciamento de Cookie"
"Session Lifetime (seconds)","Tempo de sessão (segundos)"
"Session Validation Settings","Configurações de Validação"
"Set as Default","Definir como padrão"
"Set Return-Path","Definir Retorno"
"Skin (Images / CSS)","Skin (Imagens / CSS)"
"Small Logo Image Src","Imagem de logotipo pequena Src"
"Social Profiles","Social Profiles"
"Sort Order","Ordem de classificação"
"Start date cannot be greater than end date.","A data inicial não pode ser maior que a data final."
"Startup Page","Startup Page"
"Status","SItuação"
"Storage Configuration for Media","Configuração de armazenamento para mídia"
"Store","Armazém"
"Store API","Store API"
"Store Contact Address","Endereço de contato"
"Store Contact Information","Armazenar informações de contato"
"Store Contact Telephone","Telefone de Contato"
"Store Email Addresses","Endereços de e-mail da loja"
"Store Hours of Operation","Horário de funcionamento da loja"
"Store Information","Informações da loja"
"Store Name","Nome da loja"
"Store View","Visão de Loja"
"Store view doesn't exist","Visão de loja não existe"
"Store View Information","Informações da Visão"
"Store View Name","Nome de visão de loja"
"Store with the same code","Loja com o mesmo código"
"Strict","Estrito"
"Subject","Cargo"
"SVG file could not be sanitized.","Arquivo SVG não pode ser anizado."
"SVG sanitization failed: %s","Falha na sanitização SVG: %s"
"System","SISTEMA"
"Template","Modelo"
"Template Path Hints","Dicas de caminho de modelo"
"Templates","Modelos"
"Template Settings","Configurações de Modelo"
"Template Variables","Variáveis de Template"
"Text length does not satisfy specified text range.","Comprimento do texto não satisfaz o intervalo de texto especificado."
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","O %s que você digitou é inválido. Por favor, certifique-se de que segue o formato ""http://domain.com/""."
"The default value is ""30 2 * * *"". An empty value disables automatic cache flushing.","O valor padrão é ""30 2 * * *"". Um valor vazio desativa a limpeza automática de cache."
"The file extension ""%s"" is not allowed. Allowed extensions: %s","A extensão do arquivo ""%s"" não é permitida. Extensões permitidas: %s"
"The file extension ""%s"" is not allowed for security reasons.","A extensão do arquivo ""%s"" não é permitida por razões de segurança."
"The From Date value should be less than or equal to the To Date value.","O valor de Data de Início deve ser menor ou igual à Data Final."
"Themes","Temas"
"The store code may contain only letters (a-z), numbers (0-9), underscore(_) or dash(-), the first character must be a letter","O código de loja pode conter apenas letras (a-z), números (0-9), underscore(_) ou dash(-), o primeiro caractere deve ser uma letra"
"The store does not exist","A loja não existe"
"The store has been deleted.","A loja foi excluída."
"The store has been saved.","A loja foi salva."
"The store view #%d is disabled.","A visão de loja #%d está desativada."
"The store view has been deleted.","A visão foi excluída."
"The store view has been saved","A visão foi salva"
"The template Name must not be empty.","O nome do modelo não pode ser vazio."
"The value is not within the specified range.","O valor não está dentro do intervalo especificado."
"The website does not exist.","O site não existe."
"The website has been deleted.","O site foi excluído."
"The website has been saved.","O site foi salvo."
"This date is a required value.","Esta data é um valor necessário."
"This email log entry no longer exists.","Esta entrada de log de e-mail não existe mais."
"This functionality limits the number of requests a user (identified by IP address) can perform within a specific time frame, preventing excessive resources usage and maintaining system performance, stability and security.","Esta funcionalidade limita o número de solicitações que um usuário (identificado pelo endereço IP) pode realizar dentro de um período de tempo específico, evitar a utilização excessiva de recursos e manter o desempenho, a estabilidade e a segurança do sistema."
"This is a required field.","Este campo é obrigatório."
"This setting enable notification when new admin user created.","Esta configuração habilita a notificação quando novo administrador foi criado."
"This store cannot be deleted.","Esta loja não pode ser excluída."
"This store view cannot be deleted.","Esta visão de loja não pode ser excluída."
"This website cannot be deleted.","Este site não pode ser excluído."
"This will be displayed just before body closing tag.","Será exibido antes do fechamento da tag BODY."
"This will be included before head closing tag in page HTML.","Este será incluído antes do fechamento da tag head na página HTML."
"Timeframe","Timeframe"
"Timezone","Timezone"
"Title Prefix","Prefixo do título"
"Title Suffix","Sufixo do título"
"To","Para"
"Too Soon: You are trying to perform this operation too frequently. Please wait a few seconds and try again.","Em breve: você está tentando executar esta operação com muita frequência. Por favor, aguarde alguns segundos e tente novamente."
"Transactional Emails","E-mails Transações"
"Translations","Traduções"
"Transport","Transporte"
"Two and more slashes together are not permitted in request path","Duas ou mais barras juntas não são permitidas no caminho da solicitação"
"Two and more slashes together are not permitted in url rewrite suffix","Duas ou mais barras juntas não são permitidas no sufixo de url reescrita"
"Type","tipo"
"Unable to create directory: %s","Não é possível criar o diretório: %s"
"Unable to delete store. Please, try again later.","Não foi possível excluir a loja. Por favor, tente novamente mais tarde."
"Unable to delete store view. Please, try again later.","Não foi possível excluir a visão de loja. Por favor, tente novamente mais tarde."
"Unable to delete website. Please, try again later.","Não foi possível excluir o site. Tente novamente mais tarde."
"Unable to proceed. Please, try again","Não foi possível continuar. Por favor, tente novamente"
"Unable to proceed. Please, try again.","Não foi possível continuar. Tente novamente."
"Unable to save file ""%s"" at ""%s""","Não foi possível salvar o arquivo ""%s"" em ""%s"""
"Unable to save file: %s","Não foi possível salvar o arquivo: %s"
"Unknown scope ""%s"".","Escopo desconhecido ""%s""."
"Unsecure","Inseguro"
"Url Options","Opções de URL"
"Use Custom Admin Path","Utilizar Caminho de Admin Personalizado"
"Use Custom Admin URL","Utilizar URL Personalizada para o Admin"
"Use HTTP Only","Usar apenas HTTP"
"Use Secure URLs in Admin","Usar URLs Seguros na Secção de Administração"
"Use Secure URLs in Frontend","Usar URLs Seguros no Frontend"
"Use SID on Frontend","Usar SID no Frontend"
"Validate HTTP_USER_AGENT","Validar HTTP_USER_AGENT"
"Validate HTTP_VIA","Validar HTTP_VIA"
