"%s (Default Template from Locale)","%s (Modelo Padrão do Local)"
"%s cache type(s) disabled.","%stype(s) de cache desativado(s)."
"%s cache type(s) enabled.","%stype(s) de cache habilitado(s)."
"%s cache type(s) refreshed.","%s tipo(s) de cache atualizado(s)."
"Back to Login","Voltar para entrar"
"Base currency","Moeda base"
"Bcc","BCC"
"Bestsellers","Mais Vendidos"
"Billing Address","Endereço de Cobrança"
"Billing Address: ","Endereço de cobrança: "
"Billing Agreement","Acorde de faturamento"
"Billing Agreements","Acordos de Faturamento"
"BINARY","BINÁRIO"
"Block Details","Detalhes do Bloco"
"Block has been deleted.","Bloco foi excluído."
"Block Information","Informação do Bloco"
"Block Name","Nome do Bloco"
"Block Name is disallowed.","Nome do Bloco não é permitido."
"Block Name is incorrect.","Nome do Bloco está incorreto."
"Block Name is required field.","Nome do Bloco é um campo obrigatório."
"Blocks","Blocos"
"Both (without and with tax)","Ambos (sem e com imposto)"
"Browse Files...","Procurar Arquivos..."
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Pacotes com preços dinâmicos não pode incluir opções personalizadas. Opções não serão salvas."
"By Email","Por E-mail"
"By IP","Por IP"
"By IP and Email","Por IP e E-mail"
"Cache Control","Controle de Cache"
"Cache Control (beta)","Controle de cache (beta)"
"Cache Management","Gerenciamento de Cache"
"Cache Type","Tipo de cache"
"Cancel","Cancelar"
"Cannot add new comment.","Não é possível adicionar novos comentários."
"Cannot add tracking number.","Não é possível adicionar o número de rastreamento."
"Cannot create an invoice without products.","Não é possível criar uma fatura sem produtos."
"Cannot create credit memo for the order.","Não é possível criar nota de crédito para o pedido."
"Cannot delete the design change.","Não é possível excluir a alteração de design."
"Cannot delete tracking number.","Não é possível excluir número de rastreamento."
"Cannot do shipment for the order.","Não é possível fazer o envio do pedido."
"Cannot do shipment for the order separately from invoice.","Não é possível realizar o envio do pedido separadamente da fatura."
"Cannot initialize shipment for adding tracking number.","Não é possível inicializar remessa para adicionar número de rastreamento."
"Cannot initialize shipment for delete tracking number.","Não é possível inicializar remessa para excluir número de rastreamento."
"Cannot load track with retrieving identifier.","Não é possível carregar a trilha com o identificador de recuperação."
"Cannot retrieve tracking number detail.","Não é possível recuperar detalhes do número de rastreamento."
"Cannot save shipment.","Não foi possível salvar o envio."
"Cannot save the credit memo.","Não é possível salvar o memorando de crédito."
"Cannot send shipment information.","Não é possível enviar informações de envio."
"Cannot update item quantity.","Não foi possível atualizar a quantidade do item."
"Cannot update the item's quantity.","Não é possível atualizar a quantidade do item."
"Card Verification Number","Código de Verificação do Cartão"
"Catalog","Catálogo"
"Catalog Price Rules","Regras de Preço de Catálogo"
"Catalog Rewrites","Reescrita de Catálogo"
"Categories","Categorias"
"Category","Categoria"
"Category:","Categoria:"
"Change Password","Change Password"
"Chart is disabled. If you want to enable chart, click <a href=""%s"">here</a>.","O gráfico está desativado. Se você quiser ativar o gráfico, clique <a href=""%s"">aqui</a>."
"Checkbox","Caixa de seleção"
"Child Transactions","Transacções filhas"
"Choose an attribute","Escolher um atributo"
"Choose Store View:","Escolha o visual da Loja:"
"Chosen category does not associated with any website, so url rewrite is not possible.","Categoria escolhida não está associada a nenhum site, portanto a reescrita de URL não é possível."
"Chosen product does not associated with any website, so url rewrite is not possible.","Produto escolhido não está associado a nenhum site, portanto a reescrita de URL não é possível."
"Clear","Limpar"
"Close","Fechar"
"close","fechar"
"CMS","SGC"
"Code","Código"
"Comment text field cannot be empty.","Campo de texto de comentário não pode estar vazio."
"Complete","Finalizado"
"Config form fieldset clone model required to be able to clone fields","Modelo clone de conjunto de campo de formulation de configuração precisa ser capaz de clonar campos"
"Configuration","Configuração"
"Confirmation Of Authorization","Confirmação de Autorização"
"Confirmed email:","Confirmar e-mail:"
"Confirm New Password","Confirmar nova senha"
"Confirm token authorization for admin","Confirmar autorização de token para admin"
"Confirm token authorization Pop Up for admin","Confirmar token de autorização Pop Up para administrador"
"Continue","Próximo"
"Convert to Plain Text","Converter para texto sem formatação"
"Country","País"
"Country:","País:"
"Coupons","Cupons"
"Create","Criar"
"Created At","Criado em"
"Create DB Backup","Criar Backup do Banco"
"Create New Attribute","Criar Novo Atributo"
"Create URL Rewrite:","Criar Reescrita de URL"
"Credit Card %s","Cartão de Crédito %s"
"Credit Card Number","Número do Cartão de Crédito"
"Credit Card Type","Tipo do Cartão de Crédito"
"Credit memo #%s comment added","Comentário do memorando de crédito #%s adicionado"
"Credit memo #%s created","Nota de crédito #%s criada"
"Credit memo's total must be positive.","O total do crédito deve ser positivo."
"Credit Memo History","História de memorando de crédito"
"Credit Memos","Memorandos de Crédito"
"Credit Memo Totals","Totais de memorando de crédito"
"CRITICAL","CRÍTICO"
"Critical","Crítico"
"critical","crítico"
"CSV","Csv"
"CSV / Tab separated","CSV / Separado por aba"
"Currency","Moeda"
"Currency ""%s"" is used as %s in %s.","Moeda ""%s"" é usada como %s em %s."
"Currency doesn't exist.","Moeda não existe."
"Currency Information","Informações de moeda"
"Current Admin Password","Senha de Admin Atual"
"Current Configuration Scope:","Configuração de Escopo Atual:"
"Current Month","Mês atual"
"Custom","Personalizado"
"Customer","Cliente"
"Customer Group:","Grupo de clientes:"
"Customer Groups","Grupos de Cliente"
"Customer Name","Nome do cliente"
"Customer Reviews","Avaliações de Clientes"
"Customers","Clientes"
"Customers by Number of Orders","Clientes por Número de Pedidos"
"Customers by Orders Total","Clientes por Total de Pedidos"
"Customer Shopping Carts","Carrinhos de compras dos clientes"
"Customer Since:","Cliente desde:"
"Customer Tax Classes","Classes de Impostos de Clientes"
"Customer with the same email already exists.","Já existe cliente com o mesmo e-mail."
"Custom Variable ""%s""","Variável Personalizada ""%s"""
"Custom Variables","Variáveis personalizadas"
"Dashboard","Painel de Controle"
"Database","Banco de dados"
"Dataflow - Advanced Profiles","Dataflow - Perfis Avançados"
"Dataflow - Profiles","Fluxo de Dados - Perfis"
"Data Format","Formato de dados"
"Data transfer:","Transferência de dados:"
"Date","Data"
"Date & Time","Data & Hora"
"Date Added","Data de inclusão"
"Date Updated","Data atualizada"
"Day","Dia"
"Debug","Depurar"
"Decimal separator:","Separador decimal:"
"Default (Admin) Values","Valores padrões (admin)"
"Default Billing Address","Endereço de cobrança padrão"
"Default Config","Configuração Padrão"
"Default display currency ""%s"" is not available in allowed currencies.","Moeda de exibição padrão ""%s"" não está disponível nas moedas permitidas."
"Default scope","Escopo Padrão"
"Default Template from Locale","Modelo padrão de localidade"
"Default Values","Valor Padrão"
"Delete","Excluir"
"Delete %s","Excluir %s"
"Delete %s '%s'","Excluir %s '%s'"
"Delete Block","Excluir Bloco"
"Delete File","Excluir Arquivo"
"Delete Image","Excluir imagem"
"Delete Profile","Excluir perfil"
"Delete Role","Apagar Permissão"
"Delete Store","Apagar Loja"
"Delete Store View","Apagar Visão de Loja"
"Delete Template","Excluir Template"
"Delete User","Apagar Usuário"
"Delete Variable","Excluir Variável"
"Delete Website","Excluir website"
"Description","Descrição"
"Design","Visual"
"Details","Detalhes"
"Direction:","Direção:"
"Disable","Desabilitado"
"Disable All Email Communications","Disable All Email Communications"
"Disabled","Desabilitado"
"Disallowed block name for frontend.","Nome de bloco não permitido para frontend."
"Display default currency","Exibir a moeda padrão"
"Do nothing","Do nothing"
"Download","Fazer Download"
"Downloads","Transferências"
"Do you really want to KILL parallel process and start new indexing process?","Você realmente deseja TERMINAR os processos paralelos e começar um novo processo de indexação?"
"Drop-down","Lista suspensa"
"Edit","Editar"
"Edit Block","Editar o Bloco"
"Edit Block '%s'","Editar bloco '%s'"
"Edit Design Change","Editar Mudança de Design"
"Edit Email Template","Editar Template de e-mail"
"Edit Order","Editar pedido"
"Edit Queue","Editar Fila"
"Edit Review","Editar Avaliação"
"Edit Role","Editar Função"
"Edit Store View","Editar Visão de Loja"
"Edit System Template","Editar o Template do sistema"
"Edit Template","Editar Template"
"Edit URL Rewrite","Edite o Reescrita de URL"
"Edit User","Editar Usuário"
"Edit User '%s'","Editar usuário '%s'"
"Edit Variable","Editar Variável"
"Edit Variable '%s'","Editar Variável '%s'"
"Edit Website","Editar website"
"Email","E-mail"
"Email:","E-mail:"
"Email Address:","Endereço de e-mail:"
"Emergency","Emergência"
"Enable","Habilitado"
"Enable 2FA","Enable 2FA"
"Enabled","Habilitado"
"Enable Password Authentication","Enable Password Authentication"
"Enclose Values In:","Valores incluídos em:"
"Enter current password and press ""Save Account"" to confirm passkey change.","Enter current password and press ""Save Account"" to confirm passkey change."
"Entity Attributes","Atributos de Entidade"
"Entity Type","Tipo de entidade"
"Entity type:","Tipo de entidade:"
"Error","Erro"
"example: ""sitemap/"" or ""/"" for base path (path must be writeable)","exemplo: ""sitemap/"" ou ""/"" para caminho base (caminho deve ter permissão de escrita)"
"example: sitemap.xml","exemplo: sitemap. xml"
"Excel XML","Excel, XML"
"Excl. Tax","Excl. Impostos"
"Excl. Tax:","Excl. imposto:"
"Expiration Date","Data de Validade"
"Export","Exportar"
"Export:","Exportar:"
"Export CSV","Exportar CSV"
"Export Filters","Exportar filtros"
"Export to:","Exportar para:"
"Failed","Falhou"
"failed","falhou"
"Failed to add a product to cart by id ""%s"".","Falha ao adicionar um produto ao carrinho por id ""%s""."
"Failed to cancel the billing agreement.","Falha ao cancelar o acordo de faturamento."
"Failed to delete the billing agreement.","Falha ao deletar o acordo de faturamento."
"Failed to update the profile.","Falha ao atualizar o perfil."
"Field","Campo"
"Field Mapping","Mapeamento de campo"
"File","Arquivo"
"File Information","Informações de arquivo"
"File mode","Modo de arquivo"
"File name:","Nome do arquivo:"
"File size should be more than 0 bytes","Tamanho do arquivo deve ser maior que 0 bytes"
"File System","Sistema de arquivos"
"Finished profile execution.","Execução do perfil terminada."
"First Invoice Created Date","Data de Criação da Primeira Fatura"
"First Name","Nome"
"First Name:","Nome:"
"First Name is required field.","Nome é um campo obrigatório."
"Fixed","Fixo"
"Flush Catalog Images Cache","Liberar Cache das Imagens do Catálogo"
"Flush Minified CSS/JS Cache","Flush Minified CSS/JS Cache"
"Flush Swatch Images Cache","Limpar Cache de Imagens de Variações"
"For category","Para a categoria"
"Forgot Admin Password","Esqueceu Senha de Admin"
"Forgot your password?","Esqueceu a sua senha?"
"Forgot your user name or password?","Esqueceu seu usuário ou senha?"
"For product","Para o produto"
"From","De"
"from","de"
"FTP Host[:Port]","FTP Host [: porta]"
"Gb","BB"
"General Information","Informações gerais"
"Give the verifier code to application administrator","Forneça o código de verificador ao administrador da aplicação"
"GLOBAL","GLOBAL"
"Global Attribute","Atributos globais"
"Global Record Search","Busca global de registro"
"Global Search","Busca Global"
"Google Sitemaps","Mapas do Site do Google"
"Go to messages inbox","Ir para caixa de entrada de mensagens"
"Go to notifications","Ir para notificações"
"Grand Total","Total geral"
"Grid (default) / List","Grade (padrão) / Lista"
"Grid Only","Apenas Grade"
"Group:","Grupo:"
"Guest","Visitante"
"Helper attributes should not be used in custom layout updates.","Atributos de helper não devem ser usados em atualizações de layout personalizadas."
"Helper for options rendering doesn't implement required interface.","Auxiliar para renderização de opções não implementa interface necessária."
"Home","Início"
"HTTP (unsecure)","HTTP (não segura)"
"HTTPS (SSL)","HTTPS (SSL)"
"ID","Id."
"Id","ID"
"ID Path","Caminho do ID"
"If there is an account associated with %s you will receive an email with a link to reset your password.","Se houver uma conta associada a %s, você receberá um e-mail com um link para redefinir sua senha."
"If this message persists, please contact the store owner.","Se esta mensagem persistir, por favor contate o proprietário da loja."
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Se você não especificar um valor para opção na visão de loja específica o valor padrão(Admin) será usado."
"Images Cache","Cache de Imagens"
"Import","Importar"
"Import/Export","Importar/Exportar"
"Import/Export Advanced","Importação/Exportação avançadas"
"Import/Export Profile","Importar/Exportar Perfil"
"Import and Export","Importação e Exportação"
"Import and Export Tax Rates","Imposto de Importação e Exportação"
"Important: ","Importante: "
"Imported <strong>%s</strong> records","Registros importados <strong>%s</strong>"
"Import Service","Serviço de importação"
"In","Em"
"Inactive","Inativo"
"Incl. Tax","Imposto Incl."
"Incl. Tax:","Incl. imposto:"
"Incoming Message","Nova mensagem"
"In Database:","Em banco de dados:"
"In File:","Em arquivo:"
"Informational","Informativo"
"Insert Variable...","Inserir variável..."
"Interactive","Interativo"
"Interface Locale: %s","Localidade da interface: %s"
"Internal Error","Internal Error"
"Invalid 2FA verification code","Invalid 2FA verification code"
"Invalidated","Invalidado"
"Invalid data","Dados inválidos"
"Invalid email address ""%s"".","Endereço de email inválido ""%s""."
"Invalid email address.","Endereço de email inválido."
"Invalid field name '%s', must not be one of NOT, AND, OR, XOR","Invalid field name '%s', must not be one of NOT, AND, OR, XOR"
"Invalid Form Key. Please refresh the page.","Inválido Form Chave. Atualize a página."
"Invalid Import Service Specified","Especificado serviço inválido de importação"
"Invalid input data for %s => %s rate","Dados de entrada inválidos para %s => taxa %s"
"Invalid operator '%s', must be one of NOT, AND, OR, XOR","Invalid operator '%s', must be one of NOT, AND, OR, XOR"
"Invalid parent block for this block","O bloco pai é inválido para este bloco"
"Invalid parent block for this block.","Bloco pai inválido para este bloco."
"Invalid password reset token.","Token de redefinição de senha inválido."
"Invalid POST data (please check post_max_size and upload_max_filesize settings in your php.ini file).","Dados de POST inválidos (verifique as configurações de post_max_size e upload_max_filesize no seu arquivo php.ini)."
"Invalid request method","Invalid request method"
"Invalid response","Resposta inválida"
"Invalid Secret Key. Please refresh the page.","Chave secreta inválida. Por favor, atualize a página."
"Invalid sender name ""%s"". Please use only visible characters and spaces.","Nome de remetente inválido ""%s"". Por favor, use apenas caracteres visíveis e espaços."
"Invalid template data.","Dados de template inválidos."
"Invalid template path used in layout update.","Caminho de template inválido usado na atualização de layout."
"Invalid timezone","Fuso horário inválido"
"Invalid User Name or Password.","Nome de Usuário ou Senha Inválidos."
"Inventory Stock Status","Status do Estoque"
"Invoice #%s comment added","Comentário da fatura número %s foi adicionado"
"Invoice #%s created","Fatura número %s criada"
"Invoice canceling error.","Erro de cancelamento de fatura."
"Invoice capturing error.","Erro de captura de fatura."
"Invoice History","Histórico de Faturas"
"Invoices","Faturas"
"Invoice Totals","Totais da Fatura"
"Invoice voiding error.","Erro de anulação de fatura."
"IP Address","Endereço IP"
"IPN (Instant Payment Notification) Only","Apenas IPN (Instant Payment Notification)"
"Is Allowed","É Permitido"
"Is Allowed is required field.","É permitido é um campo obrigatório."
"Is Closed","Está fechado"
"Is Default","É o Padrão"
"Issue Number","Número de emissão"
"Items","Itens"
"JavaScript/CSS","JavaScript/CSS"
"JavaScript/CSS Cache","Cache JavaScript/CSS"
"JavaScript seems to be disabled in your browser.","O JavaScript parece estar desabilitado no seu navegador."
"Kb","Bd"
"Last 5 Orders","Últimos 5 pedidos"
"Last 5 Search Terms","Últimos 5 termos de busca"
"Last 7 Days","Últimos 7 Dias"
"Last 24 Hours","Últimas 24 horas"
"Last Credit Memo Created Date","Data de Criação da Última Nota de Crédito"
"Last Invoice Created Date","Data de Criação da Última Fatura"
"Last Logged In (%s):","Última conexão em (%s):"
"Last Logged In:","Último login em:"
"Last Name","Sobrenome"
"Last Name:","Sobrenome:"
"Last Name is required field.","Sobrenome é um campo obrigatório."
"Last updated: %s. To refresh last day's <a href=""%s"">statistics</a>, click <a href=""%s"">here</a>.","Última atualização: %s. Para atualizar as estatísticas do último dia, clique <a href=""%s"">aqui</a>."
"Latest Message:","Última mensagem:"
"Layered Navigation Indices","Índices de navegação em camadas"
"Layered Navigation Indices were refreshed.","Índices de Navegação em Camadas foram atualizados."
"Leave empty to use tax identifier","Deixe vazio para utilizar o identificador de imposto"
"Lifetime Sales","Vendas Acumuladas"
"Lifetime statistics have been updated.","Estatísticas de vida útil foram atualizadas."
"Links","Links"
"Links with associated products will retain only after saving current product.","Os links com produtos associados serão retidos apenas após salvar o produto atual."
"List (default) / Grid","Lista (padrão) / Grade"
"List Only","Apenas Lista"
"Load default template","Carregar modelo padrão"
"Loading...","Carregando..."
"Load Template","Carregar Template"
"Local/Remote Server","Servidor Local/Remoto"
"Locale","Localidade"
"Local Server","Servidor Local"
"Logged in as %s","Conectado como %s"
"Log In","Entrar"
"Login","Entrar"
"Log in to Admin Panel","Entrar no painel de administração"
"Log into Maho Admin Page","Faça login na Página de Admin do Maho"
"Log in to use <strong>%s</strong>","Faça login para usar <strong>%s</strong>"
"Log Out","Sair"
"Low Stock","Estoque Mínimo"
"Maho Admin","Administrador Maho"
"MAJOR","PRINCIPAL"
"major","importante"
"Make sure that data encoding in the file is consistent and saved in one of supported encodings (UTF-8 or ANSI).","Certifique-se de que a codificação de dados no arquivo seja consistente e salva em uma das codificações suportadas (UTF-8 ou ANSI)."
"Manage Attributes","Gerenciar Atributos"
"Manage Attribute Sets","Gerenciar Conjuntos de Atributos"
"Manage Categories","Gerenciar Categorias"
"Manage Content","Gerenciar Conteúdo"
"Manage Currency Rates","Gerenciar taxas de moeda"
"Manage Customers","Gerenciar Clientes"
"Manage Options (values of your attribute)","Gerenciar Opções (valores do seu atributo)"
"Manage Ratings","Gerenciar Classificações"
"Manage Stores","Gerenciar Lojas"
"Manage Tax Rules","Gerenciar Taxas de Imposto"
"Manage Tax Zones and Rates","Gerenciar Zonas e Taxas de Imposto"
"Manage Titles (Size, Color, etc.)","Gerenciar Títulos (tamanho, cor, etc.)"
"Manual","Manualmente"
"Matched Expression","Expressão Correspondente"
"Maximum sender name length is 255. Please correct your settings.","Comprimento do nome do remetente máximo é 255. Por favor, corrija suas configurações."
"Mb","MB"
"Media storages synchronization has completed!","A sincronização dos armazenamentos de mídia foi concluída!"
"Messages Inbox","Caixa de Entrada de Mensagens"
"Minified CSS and JavaScript files.","Minified CSS and JavaScript files."
"MINOR","SECREAL"
"minor","secundário"
"Month","Mês"
"Most Viewed","Mais visitados"
"Most Viewed Products","Produtos Mais Visualizados"
"MS Excel XML","MS Excel XML"
"Multiple Select","Múltipla Seleção"
"My Account","Minha Conta"
"My Applications","Minhas Aplicações"
"N/A","Não Disponível"
"Name","Nome"
"Name:","Nome:"
"Name on Card","Nome no cartão"
"Never (production)","Nunca (produção)"
"New ","Novo "
"New Accounts","Nova Conta"
"New API Key","Nova Chave de API"
"New Attribute","Novo Atributo"
"New Block","Novo Bloco"
"New block","Novo bloco"
"New Category","Adicionar categoria"
"New Class","Nova classe"
"New Condition","Nova Condição"
"New Customer","Novo Cliente"
"New Customers","Novos Clientes"
"New Custom Variable","Nova variável personalizada"
"New Design Change","Nova alteração de design"
"New Email Template","Novo Template de e-mail"
"New Group","Novo Grupo"
"New Invoice","Nova fatura"
"New Memo","Novo memorando"
"New Memo for #%s","Novo Memorando para #%s"
"New Page","Nova Página"
"New Password","Nova Senha"
"New Password Confirmation","New Password Confirmation"
"New password field cannot be empty.","Novo campo de senha não pode estar vazio."
"New Profile","Novo perfil"
"New Rate","Nova Taxa"
"New Rating","Nova avaliação"
"New Review","Nova Avaliação"
"New Role","Nova Permissão"
"New Rule","Nova Regra"
"New Search","Nova pesquisa"
"New Set","Novo Conjunto"
"New Shipment","Nova remessa"
"New Sitemap","Novo mapa do site"
"Newsletter","Boletim informativo"
"Newsletter Problems","Problemas de Newsletter"
"Newsletter Queue","Fila de Newsletter"
"Newsletter Subscribers","Inscritos de Newsletter"
"Newsletter Templates","Modelos de newsletter"
"New Store View","Nova Visão de Loja"
"New System Template","Novo template do sistema"
"New Tag","Nova tag"
"New Template","Novo template"
"New User","Novo Usuário"
"New Variable","Nova Variável"
"New Website","Novo website"
"No","Não"
"No (price without tax)","Não (preço sem imposto)"
"No change","Sem alteração"
"No customer id defined.","Nenhum ID de cliente definido."
"No Data Found","Nenhum dado encontrado"
"No information available.","Nenhuma informação disponível."
"None","Nenhum"
"No profile loaded...","Nenhum perfil carregado..."
"No records found.","Nenhum registro encontrado."
"No records found for this period.","Nenhum registro encontrado para este período."
"No report code specified.","Nenhum código de relatório especificado."
