"%d country(s) were skipped because they have existing country names.","%d country(s) were skipped because they have existing country names."
"%d region(s) were skipped because they have existing region names.","%d region(s) were skipped because they have existing region names."
"-- Please select --","-- Selecione uma opção --"
"Country ID is required.","Country ID is required."
"Country ID must be exactly 2 uppercase letters.","Country ID must be exactly 2 uppercase letters."
"Country Information","Country Information"
"Country is required.","Country is required."
"Country Name","Country Name"
"Country name cannot be longer than 255 characters.","Country name cannot be longer than 255 characters."
"Country name is required.","Country name is required."
"Currency","Moeda"
"CurrencyConverterAPI","APIConversorDeMoeda"
"Currency Options","Opções de Moeda"
"Currency rates can't be retrieved.","Taxas de câmbio não podem ser recuperadas."
"Currency Setup","Configuração de Moeda"
"Currency Update Warnings","Avisos de Atualização de Moeda"
"Default Display Currency","Moeda de Exibição Pré-definida"
"Default Name","Default Name"
"Default name cannot be longer than 255 characters.","Default name cannot be longer than 255 characters."
"Default name for this region in English","Default name for this region in English"
"Default name is required.","Default name is required."
"Delete Country","Delete Country"
"Delete Region","Delete Region"
"Directory","Diretório"
"Directory Management","Directory Management"
"Display not required State","Exibir não obrigatório Estado"
"Edit Country","Edit Country"
"Edit Country ""%s""","Edit Country ""%s"""
"Edit Region","Edit Region"
"Edit Region ""%s""","Edit Region ""%s"""
"Enabled","Habilitado"
"Error Email Recipient","Erro no recipiente do E-mail"
"Error Email Sender","Erro no Serviço de E-mail"
"Error Email Template","Erro no template de E-mail"
"FATAL ERROR:","ERRO FATAL:"
"Fixer.IO","Consertador.IO"
"Frequency","Frequência"
"Installed Currencies","Moedas Instaladas"
"Invalid country code: %s","Código de país inválido: %s"
"Invalid Import Service specified.","Serviço de Importação Inválido especificado."
"Invalid rates received","Taxas inválidas recebidas"
"Invalid target currency.","Moeda alvo inválida."
"ISO2 Code","ISO2 Code"
"ISO2 code is required.","ISO2 code is required."
"ISO2 code must be exactly 2 uppercase letters.","ISO2 code must be exactly 2 uppercase letters."
"ISO3 Code","ISO3 Code"
"ISO3 code is required.","ISO3 code is required."
"ISO3 code must be exactly 3 uppercase letters.","ISO3 code must be exactly 3 uppercase letters."
"List of countries","Lista de países"
"List of regions in specified country","Lista de regiões em um país específico"
"Locale and country name are required.","Locale and country name are required."
"Locale and region name are required.","Locale and region name are required."
"Locale is required.","Locale is required."
"Localized Name","Localized Name"
"Localized name for this country","Localized name for this country"
"Localized name for this region","Localized name for this region"
"Manage Countries","Manage Countries"
"Manage Directory","Manage Directory"
"Manage Regions","Manage Regions"
"Manage Translations","Manage Translations"
"New Country","New Country"
"New Region","New Region"
"No API Key was specified or an invalid API Key was specified.","Não foi especificada uma API Key ou foi especificada uma API Key inválida."
"One or more invalid symbols have been specified.","Um ou mais símbolos inválidos foram especificados."
"Please select country(s).","Please select country(s)."
"Please select country name(s).","Please select country name(s)."
"Please select region(s).","Please select region(s)."
"Please select region name(s).","Please select region name(s)."
"Popular","Popular"
"Postal Code is Optional for the following countries","CEP é Opcional para os seguintes países"
"Region","Região"
"Region API","API de Região"
"Region Code","Region Code"
"Region code cannot be longer than 32 characters.","Region code cannot be longer than 32 characters."
"Region ID","Region ID"
"Region Information","Region Information"
"Region name cannot be longer than 255 characters.","Region name cannot be longer than 255 characters."
"Region name is required.","Region name is required."
"Regions","Regions"
"Save Country","Save Country"
"Save Region","Save Region"
"Scheduled Import Settings","Definições de Importação Agendada"
"Selected country does not exist.","Selected country does not exist."
"Select Your Currency","Selecione sua moeda"
"Service","Serviço"
"Short code for this region (e.g. CA, NY, TX)","Short code for this region (e.g. CA, NY, TX)"
"Start Time","Hora de Início"
"State/Province","Estado"
"State is required for","Estado é obrigatório para"
"States Options","Opções de Estados"
"Strikeiron Email Update Warnings","Alerta de atualização de e-mail strikeiron"
"System","System"
"The ""%s"" is not allowed as base currency for your subscription plan.","O ""%s"" não é permitido como moeda base para seu plano de assinatura."
"The account this API request is coming from is inactive.","A conta da qual está vindo esta requisição de API está inativa."
"The country has been deleted.","The country has been deleted."
"The country has been saved.","The country has been saved."
"The current request did not return any results.","A solicitação atual não retornou nenhum resultado."
"The maximum allowed API amount of monthly API requests has been reached.","O limite máximo permitido de solicitações de API mensais foi alcançado."
"The region has been deleted.","The region has been deleted."
"The region has been saved.","The region has been saved."
"This country no longer exists.","This country no longer exists."
"This region no longer exists.","This region no longer exists."
"Three character ISO code (e.g. USA, GBR, DEU)","Three character ISO code (e.g. USA, GBR, DEU)"
"Top Countries","Top Countries"
"Two character country code (e.g. US, GB, DE)","Two character country code (e.g. US, GB, DE)"
"Two character ISO code (usually same as Country ID)","Two character ISO code (usually same as Country ID)"
"Unable to initialize the import model.","Não é possível inicializar o modelo de importação."
"Undefined rate from ""%s-%s"".","Taxa indefinida de ""%s-%s""."
"WARNING:","ALERTA:"
"We can't retrieve a rate from %s for %s.","Não podemos recuperar uma taxa de %s para %s."
"Your Currency","Sua Moeda"
"Your Currency:","Sua Moeda:"
"Your current currency is: %s","Sua moeda atual é: %s"
