"-- Please Select --","-- Por favor selecione --"
"Unable to find a gift card to delete.","Unable to find a gift card to delete."
"Unknown","Desconhecido"
"Updated At","Atualizado por"
"Used","Usado"
"Use Default (%s)","Use Default (%s)"
"View","Visualizar"
"Website","Site"
"When refunding to an expired gift card, extend expiration by this many days. 0 = no extension (card stays expired but balance is restored).","When refunding to an expired gift card, extend expiration by this many days. 0 = no extension (card stays expired but balance is restored)."
"Your Email","Your Email"
"Your Name","Your Name"
