"-- Please Select --","-- Por favor selecione --"
"Account Created In Store","Conta criada na loja"
"Enable Email Automation","Habilitar automação de e-mail"
"Enter Segment","Digite o segmento"
"Error","ERRO"
"Exit Segment","Sair do Segmento"
"Expires After (Days)","Expira Após (Dias)"
"Failed","Falhou"
"General Properties","Propriedades gerais"
"Generate a unique coupon code for each customer","Gerar um código de cupom único para cada cliente"
"Generate Coupon","Gerar Cupom"
"Generate unique coupon","Gerar cupom único"
"Grouped Product","Produto Agrupado"
"hours","horas"
"If %s %s %s","Se %s %s %s"
"Immediate","Imediato"
"Invalid newsletter template selected.","Modelo de newsletter inválido selecionado."
"Invalid request.","Solicitação inválida."
"Invalid sales rule selected for coupon generation.","Regra de venda inválida selecionada para a geração de cupom."
"Invalid segment.","Segmento inválido."
"Invalid status.","Estado inválido."
"Invalid trigger type.","Tipo de gatilho inválido."
"Is Active","Está ativo"
"Items Count","Contagem de Itens"
"Items Quantity","Quantidade de Itens"
"Last Refreshed","Última atualização"
"Last Updated Date","Data da última atualização"
"Last Viewed Date","Última data de visualização"
"Last Viewed Date","Última data de visualização"
"Leave empty to apply to all customer groups","Deixe em branco para aplicar a todos os grupos de clientes"
"Lifetime Profit (Sales - Refunds)","Lucro Vitalício (Vendas - Refundos)"
"Lifetime Refunds Amount","Montante de reembolsos vitalícios"
"Lifetime Sales Amount","Quantidade de Vendas Vitalícia"
"Manage Email Sequences","Gerenciar Sequências de E-mails"
"Manage Segments","Gerenciar segmentos"
"Manual","Manualmente"
"Master switch to enable/disable all email automation for this segment","Chave mestra para ativar/desativar todas as automações de e-mails para este segmento"
"minutes","Minutos"
"Minutes to wait before sending (0 = immediate, 60 = 1 hour, 1440 = 1 day)","Minutos para esperar antes de enviar (0 = imediato, 60 = 1 hora, 1440 = 1 dia)"
"Mode","Modo"
"New Email Sequence Step for ""%s""","Novo passo de sequência de e-mail para ""%s"""
"New Segment","Novo Segmento"
"New Sequence","Nova sequência"
"Newsletter","Boletim"
"Newsletter Subscription","Assinar Newsletter"
"Newsletter Template","Modelo de Newsletter"
"Newsletter template to use for this step","Modelo de Newsletter a ser usado para esta etapa"
"None","Nenhuma"
"Not Active","Não Ativo"
"Number of days until coupon expires (default: 30)","Número de dias até o cupom expirar (padrão: 30)"
"Number of Orders","Número de Pedidos"
"Order","Encomenda"
"Order History","Histórico de pedidos"
"Order in the email sequence (1, 2, 3...)","Ordem na sequência de e-mail (1, 2, 3...)"
"Pending","PENDENTE"
"Personal Information","Informações Pessoais"
"Please save the segment first.","Por favor, salve o segmento primeiro."
"Please select...","Por favor, selecione..."
"Please select at least one website.","Por favor, selecione pelo menos um site."
"Please select segment(s).","Favor selecionar segmento(s)."
"Prefix for coupon codes","Prefixo para códigos de cupom"
"Prefix for generated coupon codes (e.g., CART, WELCOME)","Prefixo para códigos de cupom gerados (por exemplo, CART, WELCOME)"
"Processing","Processando"
"Product: %s","Produto: %s"
"Product Type","Tipo de Produto"
"Progress record already exists for this customer and sequence.","O registro de progresso já existe para este cliente e a sequência."
"Purchase Date","Data da compra"
"Quantity in Cart","Quantidade no Carrinho"
"Quantity Ordered","Quantidade comprada"
"Refresh Mode","Modo de atualização"
"Refresh Segments","Atualizar Segmentos"
"Row Total","Total da linha"
"Row Total (Inc. Tax)","Total da Linha (Inc. Imposto)"
"Sales rule does not exist.","A regra de venda não existe."
"Sales rule is not active.","A regra de vendas não está ativa."
"Sales rule is required when coupon generation is enabled.","Regra de vendas é necessária quando a geração de cupom está ativada."
"Sales rule must be configured for specific coupon codes.","As regras de venda devem ser configuradas para códigos de cupom específicos."
"Sales rule must have auto-generation enabled.","Regra de vendas deve ter a geração automática ativada."
"Sales rule to base coupon on","Regra de vendas para basear cupom em"
"Sales rule to use as template for generated coupons","Regras de vendas para usar como modelo para cupons gerados"
"Save and Continue Edit","Salvar e Continuar Editar"
"Save Email Sequences","Salvar Sequências de E-mails"
"Save Segment","Salvar Segmento"
"Save Segments","Salvar Segmentos"
"Scheduled","Agendado"
"Segment ID is required.","ID do segmento é necessária."
"Segment Information","Informação do segmento"
"Segment Name","Nome do segmento"
"Segment name is required.","O nome do segmento é obrigatório."
"Segment Refresh Cron Schedule","Cronograma Cron Atualização de Segmento"
"Selected sales rule is not active.","Regra de vendas selecionada não está ativa."
"Selected sales rule must be configured for ""Specific Coupon"" type.","A regra de venda selecionada deve ser configurada para o tipo ""Cupom Específico""."
"Selected sales rule must have ""Use Auto Generation"" enabled.","A regra de venda selecionada deve ter ""Usar geração automática"" habilitada."
"Sent","Enviado"
"Sequence ID is required.","ID da Sequência é necessária."
"Sequence not found.","Sequência não encontrada."
"Sequence step %d: %s","Passo de sequência %d: %s"
"Sequence Step Settings","Configurações de Sequência"
"Shopping Cart","Carrinho de Compras"
"Shopping Cart Information","Informações do Carrinho"
"Simple Product","Produto Simples"
"Skipped","Ignorado"
"Statistics","estatísticas"
"Status Change Date","Data da alteração de status"
"Step","Passo"
"Step Number","Número de Passo"
"Step number %d already exists for this segment %s trigger.","Step number %d already exists for this segment %s trigger."
"Step number must be greater than 0.","O número da etapa deve ser maior que 0."
"Subject","Cargo"
"Subscription Status","Estado Subscrição"
"Template ID is required.","ID do modelo é necessária."
"The email sequence has been deleted.","A sequência de e-mail foi deletada."
"The email sequence has been saved.","A sequência de e-mail foi salva."
"The segment has been deleted.","O segmento foi excluído."
"The segment has been refreshed.","O segmento foi atualizado."
"The segment has been saved.","O segmento foi salvo."
"This segment no longer exists.","Este segmento não existe mais."
"This sequence no longer exists.","Essa sequência não existe mais."
"Total of %d record(s) were deleted.","Total de %d registro(s) excluídos."
"Total of %d record(s) were updated.","Total de %d registro(s) atualizados."
"Total Ordered Amount","Valor Total Pedidos"
"Trigger event must be either ""enter"" or ""exit"".","Evento de gatilho deve ser ""enter"" ou ""exit""."
"Unable to find a segment to refresh.","Não foi possível encontrar um segmento para atualizar."
"Unknown Segment","Segmento desconhecido"
"View","Visualizar"
"View Count","Contagem de visualizações"
"View Customers in Segment","Visualizar clientes no segmento"
"Viewed","Visualizado"
"Viewed Products","Produtos Visualizados"
"Virtual Product","Produto virtual"
"When customer enters segment","Quando o cliente entra em segmento"
"When customer exits segment","Quando o cliente sai de segmento"
"Wishlist","Favoritos"
"Wishlist Items Count","Contagem de Itens Desejados"
"Wishlist Shared","Lista de Desejos Compartilhada"
