"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled."
"%s Coupon(s) have been generated","%s Coupon(s) have been generated"
"Actions","Ações"
"Fixed amount discount for whole cart","Desconto de valor fixo para todo o carrinho"
"For matching items only","Apenas para os itens correspondentes"
"For shipment with matching items","Para envio com os itens correspondentes"
"FOUND","ENCONTRADO"
"Free Shipping","Frete grátis"
"From Date","From Date"
"General Information","Informações gerais"
"Generate","Gerar"
"ID","Id."
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","If %s %s %s for a subselection of items in cart matching %s of these conditions:"
"If an item is %s in the cart with %s of these conditions true:","If an item is %s in the cart with %s of these conditions true:"
"If empty no separation.","Se estiver vazio não há separação."
"If you select and save the rule you will be able to generate multiple coupon codes.","If you select and save the rule you will be able to generate multiple coupon codes."
"Inactive","Inativo"
"is assigned","is assigned"
"is not assigned","is not assigned"
"Item totals are not set for rule.","Item totals are not set for rule."
"Labels","Etiquetas"
"Manage Coupon Codes","Gerenciar Códigos de Cupom"
"Maximum Qty Discount is Applied To","Desconto Máximo Quantidade é Aplicado Para"
"New Rule","Nova Regra"
"No","Não"
"No Coupon","Sem cupom"
"NOT FOUND","NÃO ENCONTRADO"
"NOT LOGGED IN","NÃO ESTÁ LOGADO"
"Not valid data provided","Not valid data provided"
"Number of Uses","Número de Usos"
"Numeric","Numérico"
"Payment Method","Método de Pagamento"
"Percent of product price discount","Percentagem do desconto do preço do produto"
"Period","Período"
"Price in cart","Preço no carrinho"
"Priority","Prioridade"
"Product attribute combination","Combinação de atributos de produto"
"Products subselection","Sub-seleção de produtos"
"Promotions","Promoções"
"Public In RSS Feed","Público No Feed RSS"
"Quantity in cart","Quantidade no carrinho"
"Row total in cart","Total de linha no carrinho"
"Rule Information","Informações da Regra"
"Rule is not defined","Regra não definida"
"Rule Name","Nome da regra"
"Sales Discount Amount","Sales Discount Amount"
"Sales Subtotal Amount","Sales Subtotal Amount"
"Sales Total Amount","Sales Total Amount"
"Save and Continue Edit","Salvar e Continuar Editando"
"Shipping Country","País de Entrega"
"Shipping Method","Método de Envio"
"Shipping Postcode","Código de Postal de Entrega"
"Shipping Region","Região de Entrega"
"Shipping State/Province","Região/Distrito de Entrega"
"Shopping Cart Price Rule","Shopping Cart Price Rule"
"Shopping Cart Price Rules","Shopping Cart Price Rules"
"Special Price","Preço Especial"
"Specific Coupon","Cupom específico"
"Status","Situação"
"Stop Further Rules Processing","Stop Further Rules Processing"
"Store View Specific Labels","Etiquetas Específicas a Vistas de Loja"
"Subtotal","Sub-total"
"Subtotal Amount","Subtotal Amount"
"The rule has been deleted.","The rule has been deleted."
"The rule has been saved.","The rule has been saved."
"This rule no longer exists.","Esta regra não existe mais."
"Times Used","Número de usos"
"To Date","To Date"
"To Fixed Value","Para Valor Fixo"
"To Percentage","Para Percentagem"
"Total","Total"
"Total Amount","Valor Total"
"total amount","montante total"
"Total Items Quantity","Quantidade Total de Itens"
"total quantity","quantidade total"
"Total Weight","Peso total"
"Unable to create requested Coupon Qty. Please check settings and try again.","Unable to create requested Coupon Qty. Please check settings and try again."
"Unable to find a rule to delete.","Unable to find a rule to delete."
"Update prices using the following information","Update prices using the following information"
"Update product's %s %s: %s","Update product's %s %s: %s"
"Update the Product","Atualizar produto"
"Usage limit enforced for logged in customers only","Usage limit enforced for logged in customers only"
"Use Auto Generation","Usar Geração Automática"
"Used","Usado"
"Uses per Coupon","Usos por Cupom"
"Uses per Customer","Usos por cliente"
"Website","Site"
"Websites","Sites"
"Wrong rule specified.","Wrong rule specified."
"Yes","Sim"
