"(not processed yet)","(ikke behandlet endnu)"
"Only invisible background measures are used (honeypot, submit timing, invisible captcha, rate limits).<br>Manual CAPTCHAs and email verification links are legally inadmissible for the revocation form. Do not tune these limits so strictly that legitimate customers are blocked.","Der anvendes kun usynlige baggrundsforanstaltninger (honningpot, indsend timing, usynlige captcha, hastighedsgrænser).<br>Manuelle CAPTCHAs og e-mail verifikation links er juridisk uantagelige for tilbagekaldelse form. Må ikke tune disse grænser så strengt at legitime kunder er blokeret."
"Order","Ordre"
"Order Number","Ordre Nummer"
"Order Reference","Ordre Reference"
"Please enter a valid email address.","Angiv venligst en gyldig e-mailadresse."
"Please fill in your name, your order reference and your email address.","Udfyld venligst dit navn, din ordrereference og din e-mailadresse."
"Please select request(s).","Vælg venligst anmodning(er)."
"Processed At","Behandlet Ved"
"Processed Status","Behandlet Status"
"Processing","Behandler"
"Process Requests","Behandl Forespørgsler"
"Reason","Årsag"
"Reason (optional)","Årsag (valgfrit)"
"Receipt Emails per Recipient per Day","Kvittering e-mails pr. modtager pr. dag"
"Received","Modtaget"
"Received at","Modtaget den"
"Received at (UTC)","Modtaget på (UTC)"
"Reference number","Referencenummer"
"Rejected","Afvist"
"Reject Revocation","Afvis Tilbagekaldelse"
"Reject this revocation? This records the decision and adds a note to the matched order. No order status changes automatically.","Afvis denne tilbagekaldelse? Dette registrerer beslutningen og tilføjer en note til den matchede ordre. Ingen ordrestatus ændres automatisk."
"Request #%s","Anmodning #%s"
"Resend Receipt Email","Gensend Modtagelsesmail"
"Resend the receipt email to %s?","Gensend kvitteringsmailen til %s?"
"Revocation Button","Tilbagekaldelsesknap"
"Revocation Form","Tilbagekaldelsesformular"
"Revocation Merchant Notification","Tilbagekaldelse Forhandlernotifikation"
"Revocation Receipt Confirmation","Tilbagekaldelse Kvittering Bekræftelse"
"Revocation received","Tilbagekaldelse modtaget"
"Revocation Request","Tilbagekaldelse Anmodning"
"Revocation Request #%s","Tilbagekaldelsesanmodning #%s"
"Revocation request #%s accepted.","Tilbagekaldelsesanmodning #%s accepteret."
"Revocation request #%s rejected.","Tilbagekaldelsesanmodning #%s afvist."
"Revocation Requests","Tilbagekaldelse Anmodninger"
"Revocation Success","Tilbagekaldelse Succes"
"Revoke contract","Tilbagekald kontrakt"
"Revoke this contract","Tilbagekald denne kontrakt"
"Sales","Salg"
"Save Note","Gem Note"
"Store View","Butik Visning"
"Submissions faster than this after page render are silently dropped as bot traffic. 0 disables the check.","Indlæg hurtigere end dette efter visning af side er lydløst tabt som bot trafik. 0 deaktiverer kontrollen."
"Submissions per IP per Hour","Indlæg pr. IP pr. time"
"The customer receipt email was suppressed (%s) at %s and has not been delivered. Use ""Resend Receipt Email"" to deliver it after triage.","Kunde kvittering e-mail blev undertrykt (%s) på %s og er ikke blevet leveret. Brug ""Gensend kvittering e-mail"" til at levere den efter prøvetagning."
"The receipt email could not be sent. Please check the email configuration.","Kvitteringsmailen kunne ikke sendes. Tjek venligst e-mail konfigurationen."
"The receipt email has been resent to %s.","Modtagelsesmailen er blevet sendt tilbage til %s."
"The request has been linked to order %s.","Anmodningen er blevet linket til ordre %s."
"The revocation has been marked as accepted.","Tilbagekaldelsen er markeret som accepteret."
"The revocation has been marked as rejected.","Tilbagekaldelsen er blevet markeret som afvist."
"The revocation request has been saved.","Anmodningen om tilbagekaldelse er blevet gemt."
"This revocation request no longer exists.","Denne tilbagekaldelsesanmodning eksisterer ikke længere."
"This revocation was accepted. To refund the customer, %s for order %s.","Denne tilbagekaldelse blev accepteret. For at refundere kunden, %s for ordre %s."
"Total of %d request(s) were updated.","Total af %d anmodning(er) blev opdateret."
"Used to gate the my-account entry point. The statutory period is 14 days.","Bruges til at gate min-account entry point. Den lovbestemte periode er 14 dage."
"User Agent","Bruger Agent"
"Verified","Bekræftet"
"View Request","Vis Forespørgsel"
"View Requests","Vis Forespørgsler"
"We have received your revocation declaration. Please note that this confirms receipt only; the validity of the revocation will be assessed and we will contact you separately.","Vi har modtaget Deres tilbagekaldelseserklæring. Bemærk venligst, at dette kun bekræfter kvitteringen. Gyldigheden af tilbagekaldelsen vil blive vurderet, og vi vil kontakte dig separat."
"Yes","Ja"
"Yes (submitted from an authenticated customer session)","Ja (indsendt fra en godkendt kundesession)"
"You can revoke your contract within the statutory withdrawal period using this form.<br>After submitting, you will receive a confirmation that your declaration has been received.","Du kan tilbagekalde din kontrakt inden for den lovbestemte fortrydelsesfrist ved hjælp af denne formular.<br>Efter indsendelse vil du modtage en bekræftelse på, at din erklæring er modtaget."
"Your request could not be processed right now. Please try again later or contact us directly.","Din anmodning kunne ikke behandles lige nu. Prøv igen senere eller kontakt os direkte."
"Your revocation has been received","Din tilbagekaldelse er blevet modtaget"
