"Abandoned Carts","Forladte Kurve"
"Default Recently Viewed Products Count","Standard Nyligt Viste Produkter Antal"
"Description","Varebeskrivelse"
"Detail","Detalje"
"Downloads","Downloads"
"Email","E-mail"
"Empty Rows","Tomme Rækker"
"Enable Product Compare","Aktiver Produkt Sammenligning"
"Enable Recently Viewed Products","Aktiver Nyligt Viste Produkter"
"Enable Reports","Aktiver Rapporter"
"Excel XML","Excel XML"
"Filter","Filtrer"
"First Name","Fornavn"
"From","Fra"
"General","Generelt"
"Guest","Gæst"
"Hits","Visninger"
"ID","ID"
"Index model name must be defined","Indeks model navn skal defineres"
"Invalid date specified.","Ugyldig dato angivet."
"Invoiced","Faktureret"
"IP Address","Ip Adresse"
"Items in Cart","Varer i indkøbskurven"
"Last 7 Days","Seneste 7 Dage"
"Last 30 Days","Seneste 30 Dage"
"Last Name","Efternavn"
"Last Review","Sidste Anmeldelse"
"Link","Link"
"List of best selling products for a given period","Liste over bedst sælgende produkter i en given periode"
"List of Products Recently Compared and Removed from the Compare List by Visitor","Liste over produkter for nylig sammenlignet og fjernet fra sammenligningslisten af besøgende"
"List of Products Recently Viewed by Visitor","Liste over produkter Nyligt set af besøgende"
"Low Stock","Lavt Lager"
"Low stock","Lavt lager"
"Match Period To","Match Periode Til"
"Month","Måned"
"Most Viewed","Mest Sete"
"Name","Navn"
"New Accounts","Nye Konti"
"No","Nej"
"Number Added","Nummer Tilføjet"
"Number Fulfilled","Nummer Opfyldt"
"Number of Items","Antal elementer"
"Number of New Accounts","Antal nye konti"
"Number of Products to display","Antal produkter der skal vises"
"Number Of Reviews","Antal Anmeldelser"
"Number of Reviews","Antal anmeldelser"
"Number of Total Tags","Antal tags i alt"
"Number of Unique Tags","Antal unikke tags"
"Number of Views","Antal visninger"
"Number Purchased","Købt Nummer"
"Number Viewed","Sete Nummer"
"Only In-Stock Products","Kun Produkter På Lager"
"Orders","Ordrer"
"Order Status","Ordre Status"
"Order Taxes Report Grouped by Tax Rate","Ordre Skatter Rapport grupperet efter momssats"
"Out of stock","Ikke på lager"
"Period","Periode"
"Poducts Report","Poducts Rapport"
"Popularity","Popularitet"
"Popular Tags","Populære Tags"
"Price","Pris"
"Product Name","Produkt Navn"
"Product Reviews","Produkt Anmeldelser"
"Products","Produkter"
"Products in carts","Produkter i indkøbskurve"
"Product SKU","Produkt Varenummer"
"Products Ordered","Produkter Bestilt"
"Products Report","Produkter Rapport"
"Products Reviews","Produkter Anmeldelser"
"Products Tags","Produkter Tags"
"Product Tags","Produkt Tags"
"Purchases","Køb"
"Quantity of Items","Antal varer"
"Quantity Ordered","Antal Bestilt"
"Recently Compared","Nyligt Sammenlignet"
"Recently Compared Products","Nyligt Sammenlignede Produkter"
"Recently Viewed","Nyligt Viste"
"Recently Viewed/Compared Products","Nyligt Visede/Sammenlignede Produkter"
"Recently Viewed Products","Senest Viste Produkter"
"Refresh Lifetime Statistics","Opdater Livstids Statistikker"
"Refresh Statistics","Opdater Statistik"
"Refresh Statistics for the Last Day","Opdater statistikker for den sidste dag"
"Refunds","Restitutionsbeløb"
"Report","Rapport"
"Reports","Rapporter"
"Results","Resultater"
"Revenue","Indtægter"
"Review","Revision"
"Reviews","Anmeldelser"
"Reviews for %s","Anmeldelser for %s"
"Sales","Salg"
"Sales Report","Salgs Rapport"
"Search Query","Søg Forespørgsel"
"Search Terms","Søg Vilkår"
"Select day of the month.","Vælg dag i måneden."
"Shipping","Forsendelse"
"Shopping Cart","Indkøbskurv"
"Shopping Cart Price Rule","Prisregel For Indkøbskurv"
"Show Actual Values","Vis Faktiske Værdier"
"Show for Current","Vis for aktuel"
"Show Report","Vis Rapport"
"Specified","Angivet"
"Statistics","Statistik"
"Stock Qty","Lager Antal"
"Submitted In","Indsendt Ind"
"Submitted On","Indsendt Den"
"Subtotal","Subtotal"
"Tag","Mærke"
"Tag ""%s"" details","Tag ""%s"" detaljer"
"Tag Detail","Mærke Detaljer"
"Tag Name","Tag Navn"
"Tags Submitted by %s","Tags indsendt af %s"
"Tags submitted to %s","Tags indsendt til %s"
"Tag Use","Brug Af Mærke"
"Tax","Moms"
"This Month","Denne Måned"
"This Year","Dette År"
"Title","Titel"
"To","Til"
"Total","I Alt"
"Total invoiced","Total faktureret"
"Total Invoiced vs. Paid Report","Samlet faktureret vs. betalt rapport"
"Total Ordered Report","Total Bestilt Rapport"
"Total refunded","Tilbagebetalt i alt"
"Total Refunded Report","Samlet Tilbagebetalt Rapport"
"Total Shipped Report","Samlet Afsendt Rapport"
"Total Tags","Samlede Tags"
"undefined","udefineret"
"Updated At","Opdateret Den"
"Viewed Products Grid Template","Viste Produkter Gitter Skabelon"
"Viewed Products Images and Names Template","Viste produkter Billeder og Navne Skabelon"
"Viewed Products Images Only Template","Viste Produkter Billeder Kun Skabelon"
"Viewed Products List Template","Viste Produkter Liste Skabelon"
"Viewed Products Names Only Template","Viste Produkter Navne Kun Skabelon"
"Visible In","Synlig Ind"
"Year","År"
"Year-To-Date Starts","År-Til-Dato Start"
"Yes","Ja"
"Your Recently Compared","Din Nylige Sammenlignet"
"Your Recently Viewed","Din Nyligt Viste"
