"-- Please Select --","-- Vælg Venligst --"
"Account Created In Store","Konto Oprettet I Butik"
"Days Since Added to Wishlist","Dage siden tilføjet til ønskeseddel"
"Days Since First Order","Dage Siden Første Ordre"
"Days Since Last Login","Dage Siden Sidste Login"
"Days Since Last Order","Dage Siden Sidste Ordre"
"Days Since Last View","Dage Siden Sidste Visning"
"Days Since Registration","Dage Siden Registrering"
"Days Until Birthday","Dage Indtil Fødselsdag"
"Days Without Purchase","Dage Uden Køb"
"Delay","Forsinkelse"
"Delay (Minutes)","Forsinkelse (Minutes)"
"Delay before sending","Forsinkelse før afsendelse"
"Delay minutes cannot be negative.","Forsinkelse minutter kan ikke være negativ."
"Delete","Slet"
"Delete Email Sequences","Slet E-Mail Sekvenser"
"Delete Segment","Slet Segment"
"Delete Segments","Slet Segmenter"
"Delete Step","Slet Trin"
"Disabled","Deaktiveret"
"Downloadable Product","Produkt Kan Downloades"
"E-mails on Enter","E-mails ved Enter"
"E-mails on Exit","E-mails ved afslutning"
"Edit","Rediger"
"Edit Email Sequence Step %d for ""%s""","Rediger e-mail sekvens trin %d for ""%s"""
"Edit Segment","Rediger Segment"
"Edit Segment '%s'","Rediger Segment '%s'"
"Edit Sequence","Rediger Sekvens"
"Email Automation","Email Automation"
"Email Automation Settings","E-Mail Automatiseringsindstillinger"
"Email Sequences","Email Sekvenser"
"Email Template","Email Skabelon"
"Enable/disable this sequence step","Aktiver/deaktiver dette sekvenstrin"
"Enable Email Automation","Aktiver E-Mail Automatisering"
"Enter Segment","Indtast Segment"
"Error","Fejl"
"Exit Segment","Afslut Segment"
"Expires After (Days)","Udløber Efter (Dag)"
"Failed","Mislykkedes"
"General Properties","Generelle Egenskaber"
"Generate a unique coupon code for each customer","Generer en unik kuponkode for hver kunde"
"Generate Coupon","Generer Rabatkupon"
"Generate unique coupon","Generer unik kupon"
"Grouped Product","Grupperet Produkt"
"hours","timer"
"If %s %s %s","Hvis %s %s %s"
"Immediate","Omgående"
"Invalid newsletter template selected.","Ugyldig nyhedsbrev skabelon valgt."
"Invalid request.","Ugyldig anmodning."
"Invalid sales rule selected for coupon generation.","Ugyldig salgsregel valgt til kupon generation."
"Invalid segment.","Ugyldigt segment."
"Invalid status.","Ugyldig status."
"Invalid trigger type.","Ugyldig udløser type."
"Is Active","Er Aktiv"
"Items Count","Antal Varer"
"Items Quantity","Antal Varer"
"Last Refreshed","Sidst Opdateret"
"Last Updated Date","Senest Opdateret Dato"
"Last Viewed Date","Sidst Sete Dato"
"Last Viewed Date","Sidst Sete Dato"
"Leave empty to apply to all customer groups","Lad stå tomt for at gælde for alle kundegrupper"
"Lifetime Profit (Sales - Refunds)","Levetid Resultat (Salg - Tilbagebetalinger)"
"Lifetime Refunds Amount","Lifetime Refunderer Beløb"
"Lifetime Sales Amount","Lifetime Salgsmængde"
"Manage Email Sequences","Administrer E-Mail Sekvenser"
"Manage Segments","Administrer Segmenter"
"Manual","Manuelt"
"Master switch to enable/disable all email automation for this segment","Master switch for at aktivere/deaktivere al e-mail automation for dette segment"
"minutes","minutter"
"Minutes to wait before sending (0 = immediate, 60 = 1 hour, 1440 = 1 day)","Minutter at vente før afsendelse (0 = øjeblikkelig, 60 = 1 time, 1440 = 1 dag)"
"Mode","Tilstand"
"New Email Sequence Step for ""%s""","Ny e-mail-sekvens trin for ""%s"""
"New Segment","Nyt Segment"
"New Sequence","Ny Sekvens"
"Newsletter","Nyhedsbrev"
"Newsletter Subscription","Nyhedsbrev Abonnement"
"Newsletter Template","Nyhedsbrev Skabelon"
"Newsletter template to use for this step","Nyhedsbrev skabelon til brug for dette trin"
"None","Ingen"
"Not Active","Ikke Aktiv"
"Number of days until coupon expires (default: 30)","Antal dage indtil kupon udløber (standard: 30)"
"Number of Orders","Antal ordrer"
"Order","Ordre"
"Order History","Ordre Historik"
"Order in the email sequence (1, 2, 3...)","Rækkefølge i e-mailsekvens (1, 2, 3...)"
"Pending","Afventer"
"Personal Information","Personlige Oplysninger"
"Please save the segment first.","Gem venligst segmentet først."
"Please select...","Vælg venligst..."
"Please select at least one website.","Vælg venligst mindst et websted."
"Please select segment(s).","Vælg segment(er)."
"Prefix for coupon codes","Præfiks for kuponkoder"
"Prefix for generated coupon codes (e.g., CART, WELCOME)","Præfiks for genererede kuponkoder (f.eks. CART, WELCOME)"
"Processing","Behandler"
"Product: %s","Produkt: %s"
"Product Type","Produkt Type"
"Progress record already exists for this customer and sequence.","Der findes allerede statusoptegnelser for denne kunde og sekvens."
"Purchase Date","Køb Dato"
"Quantity in Cart","Mængde i indkøbskurv"
"Quantity Ordered","Antal Bestilt"
"Refresh Mode","Opdater Tilstand"
"Refresh Segments","Opdater Segmenter"
"Row Total","Række I Alt"
"Row Total (Inc. Tax)","Række I Alt (Inc. Moms)"
"Sales rule does not exist.","Salg regel findes ikke."
"Sales rule is not active.","Salgsreglen er ikke aktiv."
"Sales rule is required when coupon generation is enabled.","Salg regel er påkrævet, når kupongenerering er aktiveret."
"Sales rule must be configured for specific coupon codes.","Salgsregel skal konfigureres for specifikke kuponkoder."
"Sales rule must have auto-generation enabled.","Salgsregel skal have auto-generering aktiveret."
"Sales rule to base coupon on","Salgs regel til at basere kupon på"
"Sales rule to use as template for generated coupons","Salgsregel til brug som skabelon for genererede kuponer"
"Save and Continue Edit","Gem og fortsæt redigering"
"Save Email Sequences","Gem E-Mail Sekvenser"
"Save Segment","Gem Segment"
"Save Segments","Gem Segmenter"
"Scheduled","Planlagt"
"Segment ID is required.","Segment-ID er påkrævet."
"Segment Information","Segmentinformation"
"Segment Name","Segment Navn"
"Segment name is required.","Segmentnavn er påkrævet."
"Segment Refresh Cron Schedule","Segment Refresh Cron Skema"
"Selected sales rule is not active.","Valgte salgsregel er ikke aktiv."
"Selected sales rule must be configured for ""Specific Coupon"" type.","Valgte salgsregel skal konfigureres for ""Specifik Kupon""-typen."
"Selected sales rule must have ""Use Auto Generation"" enabled.","Valgte salgsregel skal have ""Brug Auto Generation"" aktiveret."
"Sent","Sendt"
"Sequence ID is required.","Sekvens ID er påkrævet."
"Sequence not found.","Sekvens blev ikke fundet."
"Sequence step %d: %s","Sekvens trin %d: %s"
"Sequence Step Settings","Sekvens Trin Indstillinger"
"Shopping Cart","Indkøbskurv"
"Shopping Cart Information","Indkøbskurv Information"
"Simple Product","Simpelt Produkt"
"Skipped","Oversprunget"
"Statistics","Statistik"
"Status Change Date","Status Skift Dato"
"Step","Trin"
"Step Number","Trin Nummer"
"Step number %d already exists for this segment %s trigger.","Trin nummer %d findes allerede for dette segment %s trigger."
"Step number must be greater than 0.","Trin nummer skal være større end 0."
"Subject","Emne"
"Subscription Status","Abonnement Status"
"Template ID is required.","Skabelon ID er påkrævet."
"The email sequence has been deleted.","E-mail-sekvensen er blevet slettet."
"The email sequence has been saved.","E-mail-sekvensen er blevet gemt."
"The segment has been deleted.","Segmentet er blevet slettet."
"The segment has been refreshed.","Segmentet er blevet genopfrisket."
"The segment has been saved.","Segmentet er blevet gemt."
"This segment no longer exists.","Dette segment eksisterer ikke længere."
"This sequence no longer exists.","Denne sekvens eksisterer ikke længere."
"Total of %d record(s) were deleted.","Total af %d post(er) blev slettet."
"Total of %d record(s) were updated.","Total af %d post(er) blev opdateret."
"Total Ordered Amount","Samlet Bestilt Beløb"
"Trigger event must be either ""enter"" or ""exit"".","Udløsningsbegivenhed skal være enten ""enter"" eller ""exit""."
"Unable to find a segment to refresh.","Kan ikke finde et segment at opdatere."
"Unknown Segment","Ukendt Segment"
"View","Vis"
"View Count","Vis Antal"
"View Customers in Segment","Vis kunder i segmentet"
"Viewed","Set"
"Viewed Products","Viste Produkter"
"Virtual Product","Virtuel Produkt"
"When customer enters segment","Når kunde indtaster segment"
"When customer exits segment","Når kunden afslutter segment"
"Wishlist","Ønskeliste"
"Wishlist Items Count","Ønskeliste Elementer Antal"
"Wishlist Shared","Ønskeliste Delt"
