"%s %s cycle.","%s %s cyklus."
"%s (unavailable)","%s (utilgængelig)"
"* Required Fields","* Obligatoriske Felter"
"Maximum Order Total","Maksimal Ordre I Alt"
"Maximum Payment Failures","Maksimum Betalingsfejl"
"Maximum Trial Billing Cycles","Maksimum Prøveafregningscyklus"
"Minimum Order Total","Minimum Ordre Total"
"Month","Måned"
"N/A","N/A"
"Name","Navn"
"Name on Card","Navn på kort"
"New Order Status","Ny Ordrestatus"
"New Restriction","Ny Begrænsning"
"NOT FOUND","IKKE FUNDET"
"Number of billing periods that make up one billing cycle.","Antal faktureringsperioder, der udgør en faktureringscyklus."
"Number of Complete Orders","Antal fuldførte ordrer"
"Order action is not available.","Ordrehandling er ikke tilgængelig."
"Password","Adgangskode"
"Payment from Applicable Countries","Betaling fra gældende lande"
"Payment from Specific Countries","Betaling fra specifikke lande"
"Payment Method","Betalingsmetode"
"Payment method code is not set.","Betalingsmetodekode er ikke angivet."
"Payment method code is undefined.","Betalingsmetodekode er udefineret."
"Payment Methods","Betalingsmetoder"
"Payment profile is invalid:\n%s","Betalingsprofilen er ugyldig:\n%s"
"Payment Reference ID","Betalings Reference ID"
"Payment Restrictions","Betalings Begrænsninger"
"Payment Services","Betalingstjenester"
"Period frequency is wrong.","Periode frekvens er forkert."
"Please choose a condition to add.","Vælg venligst en betingelse at tilføje."
"Please enter a valid credit card verification number.","Please enter a valid credit card verification number. (Automatic Copy)"
"Please select restriction(s).","Vælg begrænsning(er)."
"Product Attribute","Produkt Attribut"
"Product attribute combination","Produkt attribut kombination"
"Product Categories","Produkt Kategorier"
"Products subselection","Delvalg af produkter"
"Purchase Order","Indkøbsordre"
"Purchase Order Number","Indkøbsordre Nummer"
"Purchase Order Number:","Indkøbsordrenummer:"
"Purchase Order Number: %s","Indkøbsordrenummer: %s"
"Recurring Profile Start Date","Tilbagevendende Profilstartdato"
"Recurring profile start date has invalid format.","Tilbagevendende profilstartdato har ugyldigt format."
"Reference ID is not set.","Reference ID er ikke angivet."
"Refund action is not available.","Tilbagebetalings handling er ikke tilgængelig."
"Repeats %s time(s).","Gentages %s gang(e)"
"Repeats until suspended or canceled.","Gentages indtil suspenderet eller annulleret."
"Save Restriction","Gem Begrænsning"
"Schedule Description","Planlæg Beskrivelse"
"Schedule description must be not empty.","Beskrivelse af tidsplan må ikke være tom."
"Selected payment type is not allowed for billing country.","Valgte betalingstype er ikke tilladt for faktureringsland."
"Send Check to","Send check til"
"Send Check to:","Send check til:"
"Severe 3D Secure Card Validation","Alvorlig 3D Secure Card Validering"
"Shipping Amount","Forsendelse Beløb"
"Shipping Country","Leverings Land"
"Shipping Method","Leveringsmetode"
"Shipping Postcode","Levering Postnummer"
"Shipping Region","Forsendelse Region"
"Shipping State/Province","Forsendelse Stat/Provins"
"Short description of the recurring payment. By default equals to the product name.","Kort beskrivelse af den tilbagevendende betaling. Som standard svarer til produktnavnet."
"Sort Order","Sortér Ordre"
"Start Date","Start Dato"
"Start date has invalid format.","Startdato har ugyldigt format."
"Start date is undefined.","Startdato er udefineret."
"Status","Status"
"Status ""%s"" cannot be unassigned. It is in used in %d payment method configuration(s): %s","Status ""%s"" kan ikke frigive. Den bruges i konfigurationen af %d betalingsmetode(r): %s"
"Stores","Butikker"
"Subscriber Name","Abonnent Navn"
"Subtotal","Subtotal"
"Switch/Solo/Maestro Issue Number","Skift/Solo/Maestro Issue Nummer"
"Switch/Solo/Maestro Only","Kun Skifte/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Switch/Solo/Maestro Startdato"
"Tax Amount","Moms Beløb"
"Test Mode","Testtilstand"
"The date when billing for the profile begins.","Datoen for fakturering for profilen begynder."
"The number of billing cycles for payment period.","Antallet af faktureringscyklusser for betalingsperioden."
"The number of scheduled payments that can fail before the profile is automatically suspended.","Antallet af planlagte betalinger, der kan mislykkes, før profilen automatisk suspenderes."
"The payment restriction has been deleted.","Betalingsbegrænsningen er blevet slettet."
"The payment restriction has been saved.","Betalingsbegrænsningen er blevet gemt."
"The payment review action is unavailable.","Betalingsgennemgangshandlingen er ikke tilgængelig."
"The requested Payment Method is not available.","Den anmodede betalingsmetode er ikke tilgængelig."
"This restriction no longer exists.","Denne begrænsning eksisterer ikke længere."
"Title","Titel"
"total amount","samlet beløb"
"Total Items Quantity","Samlet Antal Varer"
"Total of %d record(s) were deleted.","Total af %d post(er) blev slettet."
"Total of %d record(s) were updated.","Total af %d post(er) blev opdateret."
"total quantity","samlet mængde"
"Total Weight","Samlet Vægt"
"Trial Billing Amount","Prøve Faktureringsbeløb"
"Trial billing amount is wrong.","Forsøg fakturering beløb er forkert."
"Trial Billing Frequency","Prøve Fakturering Frekvens"
"Trial Billing Period Unit","Prøve Faktureringsperiode Enhed"
"Trial billing period unit is wrong.","Prøveperiode fakturering periode enhed er forkert."
"Trial Period","Prøveperiode"
"Trial period frequency is wrong.","Prøveperiodens hyppighed er forkert."
"Trial period max cycles is wrong.","Prøveperiode max cyklusser er forkert."
"Two Weeks","To Uger"
"Type","Type"
"Unable to find a restriction to delete.","Kan ikke finde en begrænsning at slette."
"Unable to save Billing Agreement:","Kan ikke gemme faktureringsaftale:"
"Unit for billing during the subscription period.","Enhed for fakturering i abonnementsperioden."
"Void action is not available.","Ugyldig handling er ikke tilgængelig."
"Week","Uge"
"What is this?","Hvad er dette?"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","Hvorvidt betalingsprofilen skal suspenderes, hvis det oprindelige gebyr fejler eller føjer det til den udestående saldo."
"Wrong %s specified.","Forkert %s angivet."
"Wrong or empty billing amount specified.","Forkert eller tomt faktureringsbeløb angivet."
"Year","År"
"Zero Subtotal Checkout","Nul Subtotal Checkout"
