"%d product(s) were updated","%d produkt(er) blev opdateret"
"%s (Default Template from Locale)","%s (Standard skabelon fra Locale)"
"%s cache type(s) disabled.","%s cache type(r) deaktiveret."
"%s cache type(s) enabled.","%s cache type(r) aktiveret."
"%s cache type(s) refreshed.","%s cache type(r) opdateret."
"An error occurred while refreshing roles.","En fejl opstod under opfriskning af roller."
"An error occurred while refreshing the Catalog Rewrites.","Der opstod en fejl under opdatering af katalogomskrivninger."
"An error occurred while refreshing the catalog rewrites.","Der opstod en fejl under opdatering af katalogomskrivninger."
"An error occurred while refreshing the Layered Navigation indices.","Der opstod en fejl under opfriskning af lagdelte navigationsindekser."
"An error occurred while refreshing the layered navigation indices.","Der opstod en fejl under opfriskning af de lagdelte navigationsindekser."
"An error occurred while saving account.","Der opstod en fejl under lagring af konto."
"An error occurred while saving review.","Der opstod en fejl under lagring af gennemgang."
"An error occurred while saving the customer.","Der opstod en fejl under lagring af kunden."
"An error occurred while saving this configuration:","Der opstod en fejl under lagring af denne konfiguration:"
"An error occurred while saving this role.","Der opstod en fejl under lagring af denne rolle."
"An error occurred while saving this template.","Der opstod en fejl under lagring af skabelonen."
"An error occurred while saving URL Rewrite.","Der opstod en fejl under lagring af URL omskrivning."
"An error occurred while sending the test email.","Der opstod en fejl under afsendelse af test e-mailen."
"An error occurred while updating the email address.","Der opstod en fejl under opdatering af e-mailadressen."
"An error occurred while updating the selected review(s).","Der opstod en fejl under opdatering af den eller de valgte anmeldelser."
"Any","Alle"
"Any Attribute Set","Ethvert Attributsæt"
"Any Group","Enhver Gruppe"
"Any Status","Enhver Status"
"Any Type","Enhver Type"
"Any Visibility","Enhver Synlighed"
"API Key","API Nøgle"
"API Key Confirmation","API Nøgle Bekræftelse"
"Archive file name:","Arkivér filnavn:"
"Area","Område"
"Are you sure you want to delete the selected URL rewrites?","Er du sikker på, at du vil slette de valgte URL-omskrivninger?"
"Are you sure you want to do this?","Er du sikker på, at du vil gøre dette?"
"ASCII","ASCII"
"Assigned","Tildelt"
"Associated Tags","Tilknyttede Tags"
"At least one currency has to be allowed.","Mindst én valuta skal tillades."
"Attributes","Attributter"
"Attribute Set Name:","Attribut Sæt Navn:"
"A user with the same user name or email already exists.","Der findes allerede en bruger med samme brugernavn eller e-mail."
"Authorization confirmed","Godkendelse bekræftet"
"Authorize","Godkend"
"Authorize application","Godkend applikation"
"Authorized OAuth Tokens","Autoriseret OAuth Tokens"
"Automatic (equalize price ranges)","Automatisk (udligning af prisintervaller)"
"Automatic (equalize product counts)","Automatisk (udligning af antal produkter)"
"Average","Gennemsnit"
"Average Order Amount","Gennemsnitlig Ordre Beløb"
"Back","Tilbage"
"Backend Locale","Backend Landestandard"
"Base currency","Basis valuta"
"Bcc","Bcc"
"Bestsellers","Bestsellers"
"Billing Address","Faktureringsadresse"
"Billing Address: ","Faktureringsadresse: "
"Billing Agreement","Faktureringsaftale"
"Billing Agreements","Faktureringsaftaler"
"BINARY","BINÆR"
"Block Details","Bloker Detaljer"
"Block has been deleted.","Blokken er blevet slettet."
"Block Information","Bloker Information"
"Block Name","Blok Navn"
"Block Name is disallowed.","Blokkenavn er ikke tilladt."
"Block Name is incorrect.","Blok navn er forkert."
"Block Name is required field.","Blok Navn er obligatorisk felt."
"Blocks","Blokke"
"Both (without and with tax)","Både (uden og med skat)"
"Browse Files...","Gennemse Filer..."
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Bundt med dynamisk prissætning kan ikke indeholde brugerdefinerede definerede indstillinger. Indstillinger vil ikke blive gemt."
"By Email","Via E-Mail"
"By IP","Efter IP"
"By IP and Email","Efter IP og e-mail"
"Cache Control","Cache Kontrol"
"Cache Control (beta)","Cache Kontrol (beta)"
"Cache Management","Cache Håndtering"
"Cache Type","Cache Type"
"Cancel","Annuller"
"Cannot add new comment.","Kan ikke tilføje ny kommentar."
"Cannot add tracking number.","Kan ikke tilføje sporingsnummer."
"Cannot create an invoice without products.","Kan ikke oprette en faktura uden produkter."
"Cannot create credit memo for the order.","Kan ikke oprette kreditnota for ordren."
"Cannot delete the design change.","Kan ikke slette designændringen."
"Cannot delete tracking number.","Kan ikke slette sporingsnummer."
"Cannot do shipment for the order.","Kan ikke udføre levering for ordren."
"Cannot do shipment for the order separately from invoice.","Kan ikke udføre levering for ordren separat fra fakturaen."
"Cannot initialize shipment for adding tracking number.","Kan ikke initialisere levering til tilføjelse af sporingsnummer."
"Cannot initialize shipment for delete tracking number.","Kan ikke initialisere pakke til sletning sporingsnummer."
"Cannot load track with retrieving identifier.","Kan ikke indlæse spor med hentning af identifikator."
"Cannot retrieve tracking number detail.","Kan ikke hente tracking nummer detalje."
"Cannot save shipment.","Kan ikke gemme forsendelse."
"Cannot save the credit memo.","Kan ikke gemme kreditnota."
"Cannot send shipment information.","Kan ikke sende leveringsoplysninger."
"Cannot update item quantity.","Kan ikke opdatere varens antal."
"Cannot update the item's quantity.","Kan ikke opdatere varens antal."
"Card Verification Number","Kort Verifikationsnummer"
"Catalog","Katalog"
"Catalog Price Rules","Katalog Prisregler"
"Catalog Rewrites","Katalog Omskrivninger"
"Categories","Kategorier"
"Category","Kategori"
"Category:","Kategori:"
"Change Password","Skift Adgangskode"
"Chart is disabled. If you want to enable chart, click <a href=""%s"">here</a>.","Diagram er deaktiveret. Hvis du vil aktivere diagram, skal du klikke på <a href=""%s"">her</a>."
"Checkbox","Afkrydsningsfelt"
"Child Transactions","Transaktioner På Barn"
"Choose an attribute","Vælg en attribut"
"Choose Store View:","Vælg Butiksvisning:"
"Chosen category does not associated with any website, so url rewrite is not possible.","Valgt kategori er ikke tilknyttet nogen hjemmeside, så url omskrivning er ikke muligt."
"Chosen product does not associated with any website, so url rewrite is not possible.","Valgte produkt er ikke tilknyttet nogen hjemmeside, så url omskrivning er ikke muligt."
"Clear","Ryd"
"Close","Luk"
"close","luk"
"CMS","CMS"
"Code","Kode"
"Color scheme","Farve skema"
"Color scheme: dark","Farvesammensætning: mørk"
"Color scheme: follow system","Farvesammensætning: følg system"
"Color scheme: light","Farvesammensætning: lys"
"Comment text field cannot be empty.","Kommentarfelt må ikke være tomt."
"Compiled observers, cron jobs, routes, and API permissions.","Kompilerede observatører, cron job, ruter, og API tilladelser."
"Config form fieldset clone model required to be able to clone fields","Config form fieldset klon model kræves for at kunne klone felter"
"Configuration","Konfiguration"
"Confirmation Of Authorization","Bekræftelse Af Tilladelse"
"Confirmed email:","Bekræftet e-mail:"
"Confirm New Password","Bekræft Ny Adgangskode"
"Confirm token authorization for admin","Bekræft godkendelse af token for admin"
"Confirm token authorization Pop Up for admin","Bekræft godkendelse af token Pop Up til admin"
"Continue","Fortsæt"
"Convert to Plain Text","Konvertér til almindelig tekst"
"Country","Land"
"Country:","Land:"
"Coupon Discount (Formatted Text)","Kupon Rabat (Formateret Tekst)"
"Coupon Discount Amount (Raw Number)","Rabat Beløb (Rå Nummer)"
"Coupons","Kuponer"
"Create","Opret"
"Created At","Oprettet Den"
"Create DB Backup","Opret DB Backup"
"Create URL Rewrite:","Create URL Rewrite:"
"Credit Card %s","Kreditkort %s"
"Credit Card Number","Kreditkort Nummer"
"Credit Card Type","Kreditkort Type"
"Credit memo #%s comment added","Kreditnota #%s kommentar tilføjet"
"Credit memo #%s created","Kreditnota #%s oprettet"
"Credit memo's total must be positive.","Kreditnotaens samlede beløb skal være positivt."
"Credit Memo History","Kredit Memo Historik"
"Credit Memos","Kredit Memos"
"Credit Memo Totals","Kreditnota I Alt"
"CRITICAL","KRITISK"
"Critical","Kritisk"
"critical","kritisk"
"CSV","CSV"
"CSV / Tab separated","CSV / Tab adskilt"
"Currency","Valuta"
"Currency ""%s"" is used as %s in %s.","Valuta ""%s"" bruges som %s i %s."
"Currency doesn't exist.","Valuta findes ikke."
"Currency Information","Valuta Information"
"Current Admin Password","Nuværende Administratoradgangskode"
"Current Configuration Scope:","Nuværende Konfigurations Scope:"
"Current Month","Denne Måned"
"Current password field cannot be empty.","Feltet for nuværende adgangskode må ikke være tomt."
"Custom","Tilpasset"
"Customer","Kunde"
"Customer email address changed from %s to %s by %s.","Kunde e-mail-adresse ændret fra %s til %s af %s."
"Customer Group:","Kunde Gruppe:"
"Customer Groups","Kundegrupper"
"Customer Name","Kunde Navn"
"Customer Reviews","Kunde Anmeldelser"
"Customers","Kunder"
"Customers by Number of Orders","Kunder efter antal ordrer"
"Customers by Orders Total","Kunder efter ordrer i alt"
"Customer Shopping Carts","Kunde Indkøbskurve"
"Customer Since:","Kunde Siden :"
"Customer Tax Classes","Kunde Moms Klasser"
"Customer with the same email already exists.","Kunden med den samme e-mail findes allerede."
"Custom Symbol","Brugerdefineret Symbol"
"Custom Variable ""%s""","Brugerdefineret Variabel ""%s"""
"Custom Variables","Tilpassede Variabler"
"Dashboard","Instrumentbræt"
"Database","Database"
"Dataflow - Advanced Profiles","Dataflow - Avancerede Profiler"
"Dataflow - Profiles","Dataflow - Profiles"
"Data Format","Dataformat"
"Data transfer:","Dataoverførsel:"
"Date","Dato"
"Date & Time","Dato & Tid"
"Date Added","Dato Tilføjet"
"Date Updated","Dato Opdateret"
"Day","Dag"
"Debug","Debug"
"Decimal separator:","Decimal separator:"
"Default (Admin) Values","Standard (Admin) Værdier"
"Default Billing Address","Standard Faktureringsadresse"
"Default Config","Default Config"
"Default display currency ""%s"" is not available in allowed currencies.","Standard display valuta ""%s"" er ikke tilgængelig i tilladte valutaer."
"Default scope","Standard anvendelsesområde"
"Default Symbol","Standard Symbol"
"Default Template from Locale","Standard skabelon fra landestandard"
"Default Values","Standard Værdier"
"Delete","Slet"
"Delete %s","Slet %s"
"Delete %s '%s'","Slet %s '%s'"
"Delete Block","Slet Blok"
"Delete File","Slet Fil"
"Delete Image","Slet Billede"
"Delete Profile","Slet Profil"
"Delete Role","Slet Rolle"
"Delete Store","Slet Butik"
"Delete Store View","Slet Butiksvisning"
"Delete Template","Slet Skabelon"
"Delete User","Slet Bruger"
"Delete Variable","Slet Variabel"
"Delete Website","Slet Hjemmeside"
"Description","Varebeskrivelse"
"Design","Design"
"Details","Detaljer"
"Direction:","Retning:"
"Disable","Deaktivér"
"Disable All Email Communications","Deaktivér Alle E-Mail Kommunikationer"
"Disabled","Deaktiveret"
"Disallowed block name for frontend.","Ikke tilladt bloknavn for frontend."
"Display default currency","Vis standard valuta"
"Do nothing","Gør ingenting"
"Download","Hent"
"Downloads","Downloads"
"Do you really want to KILL parallel process and start new indexing process?","Vil du virkelig KILL parallelle proces og starte en ny indekseringsproces?"
"Drop-down","Drop-down"
"Edit","Rediger"
"Edit Block","Rediger Blok"
"Edit Block '%s'","Rediger Blok '%s'"
"Edit Design Change","Rediger Designændring"
"Edit Email Template","Rediger E-Mail Skabelon"
"Edit Order","Rediger Ordre"
"Edit Queue","Rediger Kø"
"Edit Review","Rediger Anmeldelse"
"Edit Role","Rediger Rolle"
"Edit Store View","Rediger Butiksvisning"
"Edit System Template","Rediger System Skabelon"
"Edit Template","Rediger Skabelon"
"Edit URL Rewrite","Rediger URL Omskrivning"
"Edit User","Rediger Bruger"
"Edit User '%s'","Rediger Bruger '%s'"
"Edit Variable","Rediger Variabel"
"Edit Variable '%s'","Rediger Variabel '%s'"
"Edit Website","Rediger Hjemmeside"
"Email","E-mail"
"Email:","Email:"
"Email Address:","E-Mail Adresse:"
"Email can only be changed for guest orders.","E-mail kan kun ændres for gæsteordrer."
"Email transport is disabled. Please configure an email transport in Mail Sending Settings.","E-mail-transport er deaktiveret. Konfigurer venligst en e-mail transport i Mail Sender indstillinger."
"Emergency","Nødsituation"
"Enable","Aktiver"
"Enable 2FA","Aktiver 2FA"
"Enabled","Aktiveret"
"Enable Password Authentication","Aktiver Adgangskodegodkendelse"
"Enclose Values In:","Indlæs Værdier Ind:"
"Engagement","Engagement"
"Enter current password and press ""Save Account"" to confirm passkey change.","Indtast den aktuelle adgangskode, og tryk på ""Gem konto"" for at bekræfte adgangskodeændring."
"Enter new email address:","Indtast ny e-mailadresse:"
"Enter the 6-digit code from your authenticator app","Indtast den 6-cifrede kode fra din autentificeringsapp"
"Entity Attributes","Enheds Attributter"
"Entity Type","Enhedstype"
"Entity type:","Enhedstype:"
"Entry & Exit Pages","Indgang Og Afslut Sider"
"Error","Fejl"
"example: ""sitemap/"" or ""/"" for base path (path must be writeable)","eksempel: ""sitemap/"" eller ""/"" for grundstien (stien skal være skrivbar)"
"example: sitemap.xml","example: sitemap.xml"
"Excel XML","Excel XML"
"Excl. Tax","Ekskl. Moms"
"Excl. Tax:","Ekskl. Moms:"
"Expiration Date","Udløbsdato"
"Export","Eksporter"
"Export:","Eksport:"
"Export CSV","Eksporter CSV"
"Export Filters","Eksporter Filtre"
"Export to:","Eksporter til:"
"Failed","Mislykkedes"
"failed","mislykkedes"
"Failed to add a product to cart by id ""%s"".","Kunne ikke tilføje et produkt til indkøbskurven af id ""%s""."
"Failed to cancel the billing agreement.","Kunne ikke annullere faktureringsaftalen."
"Failed to delete the billing agreement.","Kunne ikke slette faktureringsaftalen."
"Failed to send test email. Please check your email configuration and error logs.","Kunne ikke sende test e-mail. Kontroller din e-mail konfiguration og fejl logs."
"Failed to update the profile.","Kunne ikke opdatere profilen."
"Field","Felt"
"Field Mapping","Felt Kortlægning"
"File","Fil"
"File Information","Fil Information"
"File mode","Fil tilstand"
"File name:","Fil navn:"
"File System","Fil System"
"Finished profile execution.","Gennemførsel af profil."
"First Invoice Created Date","Første Faktura Oprettet Dato"
"First Name","Fornavn"
"First Name:","Fornavn:"
"First Name is required field.","Fornavn er obligatorisk felt."
"Fixed","Fast"
"Flush Catalog Images Cache","Tøm Katalog Billeder Cache"
"Flush Minified CSS/JS Cache","Flush Minified CSS/JS Cache"
"Flush Swatch Images Cache","Tøm Swatch Billeder Cache"
"For category","For kategori"
"Forgot Admin Password","Glemt Admin-adgangskode"
"Forgot your password?","Glemt din adgangskode?"
"Forgot your user name or password?","Glemt dit brugernavn eller adgangskode?"
"For product","Til produkt"
"From","Fra"
"from","fra"
"FTP Host[:Port]","FTP Vært[:Port]"
"General Information","Generel Information"
"Give the verifier code to application administrator","Giv verifikatorkoden til applikationsadministrator"
"GLOBAL","GLOBAL"
"Global Search","Global Søgning"
"Google Sitemaps","Google Sitemaps"
"Go to messages inbox","Gå til indbakke med beskeder"
"Go to notifications","Gå til notifikationer"
"Grand Total","Total"
"Grid (default) / List","Gitter (standard) / Liste"
"Grid Only","Kun Gitter"
"Group:","Gruppe:"
"Guest","Gæst"
"Health Check","Sundhed Kontrol"
"Helper attributes should not be used in custom layout updates.","Hjælper attributter bør ikke bruges i brugerdefinerede layout opdateringer."
"Helper for options rendering doesn't implement required interface.","Hjælper til muligheder rendering ikke implementere nødvendig grænseflade."
"Home","Hjem"
"HTTP (unsecure)","HTTP (usikker)"
"HTTPS (SSL)","HTTPS (SSL)"
"ID","ID"
"Id","Id"
"ID Path","Id Sti"
"If there is an account associated with %s you will receive an email with a link to reset your password.","Hvis der er en konto tilknyttet %s , vil du modtage en e-mail med et link til at nulstille din adgangskode."
"If this message persists, please contact the store owner.","Hvis denne meddelelse fortsætter, bedes du kontakte butiksejeren."
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Hvis du ikke angiver en valgmulighed værdi for en bestemt butiksvisning, så vil standardværdien (Admin) blive brugt."
"Images Cache","Images Cache"
"Import","Importér"
"Import/Export","Importér/eksport"
"Import/Export Advanced","Import/eksport Avanceret"
"Import/Export Profile","Importér/Eksporter Profil"
"Import and Export","Import og eksport"
"Import and Export Tax Rates","Import- og eksportmomssatser"
"Imported <strong>%s</strong> records","Importerede <strong>%s</strong> poster"
"Import Service","Importér Tjeneste"
"Inactive","Inaktiv"
"Incl. Tax","Inkl. Moms"
"Incl. Tax:","Inkl. Moms:"
"Incoming Message","Indgående Besked"
"In Database:","I Database:"
"In File:","I Fil:"
"Informational","Informationel"
"Input fields (from - to)","Input felter (fra - til)"
"Insert Variable...","Indsæt Variabel..."
"Interactive","Interaktiv"
"Interface Locale: %s","Grænseflade Lokale: %s"
"Internal Error","Intern Fejl"
"Invalid 2FA verification code","Ugyldig 2FA bekræftelseskode"
"Invalidated","Uvalideret"
"Invalid current password.","Ugyldig nuværende adgangskode."
"Invalid data","Ugyldige data"
"Invalid email address ""%s"".","Ugyldig e-mailadresse ""%s""."
"Invalid email address.","Ugyldig e-mailadresse."
"Invalid field name '%s', must not be one of NOT, AND, OR, XOR","Ugyldigt feltnavn '%s', må ikke være et af NOT, AND, OR, XOR"
"Invalid Form Key. Please refresh the page.","Ugyldig formularnøgle. Opdater venligst siden."
"Invalid Import Service Specified","Ugyldig Importtjeneste Angivet"
"Invalid input data for %s => %s rate","Ugyldig inputdata for %s => %s rate"
"Invalid operator '%s', must be one of NOT, AND, OR, XOR","Ugyldig operatør '%s', skal være en af NOT, AND, OR, XOR"
"Invalid parent block for this block","Ugyldig overordnet blok for denne blok"
"Invalid parent block for this block.","Ugyldig overordnet blok for denne blok."
"Invalid password reset token.","Ugyldig adgangskode nulstillingstoken."
"Invalid POST data (please check post_max_size and upload_max_filesize settings in your php.ini file).","Ugyldige POST data (tjek post_max_size og upload_max_filesize indstillinger i din php.ini fil)."
"Invalid request method","Ugyldig anmodningsmetode"
"Invalid response","Ugyldigt svar"
"Invalid Secret Key. Please refresh the page.","Ugyldig hemmelig nøgle. Opdater venligst siden."
"Invalid sender name ""%s"". Please use only visible characters and spaces.","Ugyldigt afsendernavn ""%s"". Brug kun synlige tegn og mellemrum."
"Invalid template data.","Ugyldige skabelondata."
"Invalid template path used in layout update.","Ugyldig skabelonsti brugt i layoutopdatering."
"Invalid timezone","Ugyldig tidszone"
"Invalid User Name or Password.","Ugyldigt brugernavn eller adgangskode."
"Inventory Stock Status","Lagerbeholdning"
"Invoice #%s comment added","Faktura #%s kommentar tilføjet"
"Invoice #%s created","Faktura #%s oprettet"
"Invoice canceling error.","Faktura annullering fejl."
"Invoice capturing error.","Faktura opfangning fejl."
"Invoice History","Faktura Historik"
"Invoices","Fakturaer"
"Invoice Totals","Faktura I Alt"
"Invoice voiding error.","Invoice voiding error."
"IP Address","Ip Adresse"
"Is Allowed","Er Tilladt"
"Is Allowed is required field.","Er tilladt er obligatorisk felt."
"Is Closed","Er Lukket"
"Is Default","Er Standard"
"Issue Number","Issue Nummer"
"Items","Varer"
"JavaScript/CSS","JavaScript/CSS"
"JavaScript/CSS Cache","JavaScript/CSS Cache"
"Languages","Sprog"
"Last 5 Orders","Sidste 5 Ordrer"
"Last 5 Search Terms","Seneste 5 Søgetermer"
"Last 7 Days","Seneste 7 Dage"
"Last 24 Hours","Sidste 24 Timer"
"Last Credit Memo Created Date","Sidste Kreditnota Oprettet Dato"
"Last Invoice Created Date","Sidste Faktura Oprettet Dato"
"Last Logged In (%s):","Sidst Logget Ind (%s):"
"Last Logged In:","Sidst Logget In:"
"Last Name","Efternavn"
"Last Name:","Sidste Navn:"
"Last Name is required field.","Efternavn er obligatorisk felt."
"Last updated: %s. To refresh last day's <a href=""%s"">statistics</a>, click <a href=""%s"">here</a>.","Sidst opdateret: %s. For at opdatere sidste dags <a href=""%s"">statistik</a>, klik på <a href=""%s"">her</a>."
"Latest Message:","Seneste Besked:"
"Layered Navigation Indices","Lagdelte Navigationsindeks"
"Layered Navigation Indices were refreshed.","Lagdelte navigationsindeks blev genopfrisket."
"Leave empty to use tax identifier","Efterlad blank for at bruge momsidentifikator"
"Lifetime","Levetid"
"Lifetime Sales","Levetid Salg"
"Lifetime statistics have been updated.","Livstids statistik er blevet opdateret."
"Links","Links"
"Links with associated products will retain only after saving current product.","Links med tilknyttede produkter vil kun blive opbevaret efter lagring af den aktuelle vare."
"List (default) / Grid","Liste (standard) / Gitter"
"List Only","Kun Liste"
"Load default template","Indlæs standardskabelon"
"Loading...","Indlæser..."
"Load Template","Indlæs Skabelon"
"Local/Remote Server","Lokal/Remote Server"
"Locale","Landestandard"
"Local Server","Lokal Server"
"Log In","Log Ind"
"Login","Login"
"Log in to Admin Panel","Log ind på Administrationspanelet"
"Log into Maho Admin Page","Log ind på Maho Admin side"
"Log in to use <strong>%s</strong>","Log ind for at bruge <strong>%s</strong>"
"Login with Passkey","Log ind med Passkey"
"Log Out","Log Ud"
"Low Stock","Lavt Lager"
"Maho Admin","Maho Admin"
"Maho Test Email","Maho Test E-Mail"
"MAJOR","MAJOR"
"major","større"
"Make sure that data encoding in the file is consistent and saved in one of supported encodings (UTF-8 or ANSI).","Sørg for, at datakodning i filen er konsekvent og gemt i en af understøttede kodninger (UTF-8 eller ANSI)."
"Manage Attributes","Administrer Attributter"
"Manage Attribute Sets","Håndtér Attributsæt"
"Manage Categories","Administrer Kategorier"
"Manage Content","Administrer Indhold"
"Manage Currency Rates","Administrer Valutakurser"
"Manage Customers","Administrer Kunder"
"Manage Options (values of your attribute)","Administrer indstillinger (værdier for din attribut)"
"Manage Ratings","Administrer Vurderinger"
"Manage Stores","Administrer Butikker"
"Manage Tax Rules","Administrer Momsregler"
"Manage Tax Zones and Rates","Administrer momszoner og -priser"
"Manage Titles (Size, Color, etc.)","Administrer titler (stil, farve, osv.)"
"Manual","Manuelt"
"Matched Expression","Matchet Udtryk"
"Maximum sender name length is 255. Please correct your settings.","Maksimal afsendernavn længde er 255. Ret venligst dine indstillinger."
"Messages Inbox","Beskeder Indbakke"
"Minified CSS and JavaScript files.","Minificerede CSS og JavaScript-filer."
"MINOR","MINOR"
"minor","mindre"
"Missing required fields","Mangler obligatoriske felter"
"Month","Måned"
"Most Viewed","Mest Sete"
"Most Viewed Products","Mest Sete Produkter"
