"# of Use","# af brug"
"%1$s incl tax.","%1$s inkl. moms."
"%s-%s of %s","%s-%s af %s"
"%s and above","%s og derover"
"%s Item(s)","%s Element(er)"
"Add NOINDEX,FOLLOW to Paginated Category Pages","Tilføj NOINDEX,FOLLOW til Paginated Kategori Sider"
"Add option","Tilføj mulighed"
"Add Product","Tilføj Produkt"
"Add Product To Websites","Tilføj Produkt Til Websites"
"Add rel=""nofollow"" to Layered Navigation Filter Links","Tilføj rel=""nofollow"" til lagdelte Navigation Filter Links"
"Add Root Category","Tilføj Rod Kategori"
"Add Subcategory","Tilføj Underkategori"
"Add Tax","Tilføj Moms"
"Add Tier","Tilføj Niveau"
"Add to Cart","Føj til kurv"
"Add to Compare","Tilføj til sammenligning"
"Add to Wishlist","Tilføj til ønskeseddel"
"Alert Urls","Alarm URL-adresser"
"All","Alle"
"ALL GROUPS","ALLE GRUPPER"
"Allow All Products per Page","Tillad alle produkter pr. side"
"Allow Dynamic Media URLs in Products and Categories","Tillad Dynamic Media URL'er i produkter og kategorier"
"Allowed File Extensions","Tilladte Filendelser"
"Allowed file extensions to upload","Tilladte filendelser at uploade"
"Allow HTML Tags on Frontend","Tillad HTML-tags på frontend"
"All products","Alle produkter"
"All products - recently added products, New products - products marked as new","Alle produkter - nyligt tilføjede produkter, Nye produkter - produkter markeret som nye"
"All Product Types","Alle Produkttyper"
"All Websites","Alle Websteder"
"Amount","Beløb"
"Anchor Custom Text","Anker Brugerdefineret Tekst"
"Anchor Custom Title","Anker Brugerdefineret Titel"
"and","og"
"and above","og over"
"An error occurred while adding products to websites.","Der opstod en fejl under tilføjelse af produkter til websteder."
"An error occurred while clearing comparison list.","Der opstod en fejl under clearing af sammenligningslisten."
"An error occurred while deleting this review.","Der opstod en fejl under sletning af denne gennemgang."
"An error occurred while removing products from websites.","Der opstod en fejl under fjernelse af produkter fra websteder."
"An error occurred while saving the attribute set.","Der opstod en fejl under lagring af attributsættet."
"An error occurred while saving the collection, aborting. Error message: %s","En fejl opstod under lagring af samlingen, afbrydelse. Fejlmeddelelse: %s"
"An error occurred while saving the product. ","Der opstod en fejl under lagring af varen. "
"An error occurred while saving the search query.","En fejl opstod under lagring af søgeforespørgslen."
"An error occurred while saving the URL rewrite","Der opstod en fejl under lagring af URL omskrivning"
"An error occurred while saving this review.","Der opstod en fejl under lagring af denne gennemgang."
"An error occurred while updating the product(s) attributes.","Der opstod en fejl under opdatering af produkt(erne) attributter."
"An error occurred while updating the product(s) status.","Der opstod en fejl under opdatering af produktstatus."
"An invalid group ID is specified, skipping the record.","Et ugyldigt gruppe-ID er angivet, springe elementet over."
"An invalid option ID is specified for %s (%s), skipping the record.","Et ugyldigt indstillings-ID er angivet for %s (%s), og overspring posten."
"An invalid store was specified.","En ugyldig butik blev angivet."
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Gælder kun for katalogprodukter og kategorier. Ethvert medieindhold vil blive indsat i editor som en statisk URL. Det opdateres ikke, hvis systemkonfigurationsbasen URL ændres."
"Apply","Anvend"
"Apply MAP (Default Value)","Anvend MAP (standardværdi)"
"Apply price filter","Anvend prisfilter"
"Apply To","Anvend Til"
"Approved","Godkendt"
"A product type is not defined for the indexer.","En produkttype er ikke defineret for indeksatoren."
"Are you sure?","Er du sikker?"
"Are you sure you want to delete this category?","Er du sikker på du vil slette denne kategori?"
"Are you sure you would like to remove all products from your comparison?","Er du sikker på, at du vil fjerne alle produkter fra din sammenligning?"
"Are you sure you would like to remove this item from the compare products?","Er du sikker på, at du vil fjerne denne vare fra sammenligningsprodukterne?"
"Assign","Tildel"
"Assigned Products","Tildelte Produkter"
"Assign product link","Tildel produktlink"
"Assign product to category","Tildel vare til kategori"
"Associated Products","Tilknyttede Produkter"
"Attrib. Set Name","Attribut. Sæt Navn"
"Attribute ""%s"" is invalid.","Attribut ""%s"" er ugyldig."
"Attribute ""%s"" is required.","Attribut ""%s"" er obligatorisk."
"Attribute add","Attribut tilføj"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter. Do not use ""event"" for an attribute code.","Attributten kode er ugyldig. Brug kun bogstaver (a-z), tal (0-9) eller understregning(_) i dette felt, første tegn skal være et bogstav. Brug ikke ""begivenhed"" til en attributkode."
"Attribute Information","Attribut Information"
"Attribute Name:","Attribut Navn:"
"Attribute remove","Fjern attributten"
"Attributes","Attributter"
"Attribute Set","Attribut Sæt"
"Attribute Sets","Attribut Sæt"
"Attribute with the same code already exists","Attributten med den samme kode findes allerede"
"Attrribute names can be specified per store.","Attrributnavne kan angives pr. butik."
"Autogenerate","Autogenerér"
"Availability:","Tilgængelighed:"
"Back","Tilbage"
"Background Color","Baggrunds Farve"
"Backorders","Backorders"
"Based On","Baseret På"
"Base Image Width","Basis Billedbredde"
"Before Order Confirmation","Før Ordre Bekræftelse"
"Best Value","Bedste Værdi"
"Block after Info Column","Blok efter infokolonne"
"Bottom/Left","Nederst/Venstre"
"Bottom/Right","Bund/Højre"
"Bottom Block Options Wrapper","Nederste Blok Indstillinger Indpakning"
"Bundle Items","Samlede Elementer"
"Buy %1$s","Køb %1$s"
"Buy %1$s for","Køb %1$s for"
"Buy %1$s for %2$s","Køb %1$s for %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Køb %1$s for %2$s (%3$s inkl. moms) hver"
"Buy %1$s for %2$s each","Køb %1$s for %2$s hver"
"Cache Lifetime (Seconds)","Cache Levetid (sekunder)"
"Cache refresh needed.","Cache genopfriskning nødvendig."
"Can't create image.","Billedet kan ikke oprettes."
"Can be Divided into Multiple Boxes for Shipping","Kan opdeles i flere kasser til forsendelse"
"Can be used only with catalog input type Dropdown","Kan kun bruges med katalogets inputtype Dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Kan kun bruges med katalog input type Dropdown, Multiple Select og Price"
"Cancel","Annuller"
"Cannot create image.","Kan ikke oprette billede."
"Cannot create writeable directory '%s'.","Kan ikke oprette skrivbar mappe '%s'."
"Cart Item Attribute","Egenskab For Indkøbskurv"
"Catalog","Katalog"
"Catalog + Search","Katalog + Søgning"
"Catalog Category (Anchor)","Katalog Kategori (Anchor)"
"Catalog Category (Non-Anchor)","Katalog Kategori (Non-Anchor)"
"Catalog Category (Without Subcategories)","Katalog Kategori (Uden Underkategorier)"
"Catalog Category Link","Katalog Kategori Link"
"Catalog New Products List","Katalog Nye Produkter Liste"
"Catalog Price Scope","Katalog Pris Anvendelsesområde"
"Catalog Product Compare List","Katalog Produkt Sammenlign Liste"
"Catalog product custom options API","Katalog produkt brugerdefinerede indstillinger API"
"Catalog product custom option values API","Katalog produkt brugerdefinerede valgmuligheder værdier API"
"Catalog Product Email to a Friend","Katalog Produkt E-mail til en ven"
"Catalog Product Image Gallery Popup","Katalog Produkt Billede Galleri Popup"
"Catalog Product Link","Katalog Produktlink"
"Catalog Product View (Any)","Katalog Produktvisning (An)"
"Catalog Product View (Configurable)","Katalog Produktvisning (konfigurerbar)"
"Catalog Product View (Grouped)","Katalog Produktvisning (Grupperet)"
"Catalog Product View (Simple)","Katalog Produktvisning (Simple)"
"Catalog Product View (Virtual)","Katalog Produktvisning (Virtual)"
"Catalog Seo Sitemap (Category List)","Katalog Seo Sitemap (kategori Liste)"
"Catalog Seo Sitemap (Category Tree)","Katalog Seo Sitemap (kategori Træ)"
"Catalog Seo Sitemap (Common)","Katalog Seo Sitemap (Common)"
"Catalog Seo Sitemap (Product List)","Katalog Seo Sitemap (Produktliste)"
"Catalog URL Rewrites","Katalog URL Omskrivning"
"Categories","Kategorier"
"categories","kategorier"
"Categories Sitemap","Kategorier Websted"
"Category","Kategori"
"Category API","Kategori API"
"Category attributes API","Kategori attributter API"
"Category Data","Kategori Data"
"Category delete error: %s","Kategori sletning fejl: %s"
"Category Flat Data","Flade Kategori Data"
"Category ID","Kategori ID"
"Category is not dynamic.","Kategorien er ikke dynamisk."
"Category Link Block Template","Kategori Link Blok Skabelon"
"Category Link Inline Template","Kategori Link Inline Skabelon"
"Category move error: %s","Kategori flytningsfejl: %s"
"Category must be an instance of Mage_Catalog_Model_Category.","Kategori skal være en instans af Mage_Catalog_Model_Category."
"Category not found.","Kategori ikke fundet."
"Category Products","Kategori Produkter"
"Category save error: %s","Kategori gem fejl: %s"
"Category Top Navigation","Kategori Top Navigation"
"Category URL Suffix","Kategori Url Suffiks"
"Category was not found.","Kategori blev ikke fundet."
"Center","Centreret"
"Change","Skift"
"Change Attribute Set","Skift Attributsæt"
"Change or Retrieve attribute store view","Ændre eller hente attribut butiksvisning"
"Change status","Skift status"
"Changing the attribute set may result in data loss for attributes that do not exist in the new set. Are you sure?","Ændring af attributsættet kan resultere i tab af data for attributter, der ikke findes i det nye sæt. Er du sikker?"
"Check items to add to the cart or","Markér varer for at tilføje til kurven eller"
"Choose an Option...","Vælg en indstilling..."
"Clear All","Ryd Alle"
"Clear Price","Ryd Pris"
"Click for price","Klik for pris"
"Close Window","Luk Vindue"
"Collapse All","Skjul Alle"
"Comma-separated.","Kommasepareret."
"Comparable","Sammenlignelig"
"Comparable on Front-end","Sammenlignelig på front-end"
"Comparable on the Frontend","Sammenlignelig på frontend"
"Compare","Sammenlign"
"Compare Products","Sammenlign Produkter"
"Conditions","Betingelser"
"Conditions Combination","Betingelser Kombination"
"Configurable","Konfigurerbar"
"Configurable Product Settings","Konfigurerbare Produktindstillinger"
"Continue","Fortsæt"
"Controls display of Add to Cart and View Details buttons in category pages and product lists. When disabled, only product names and images will be clickable.","Kontrollerer visning af Læg i kurv og Se detaljer knapper i kategori sider og produktlister. Når deaktiveret, vil kun produktnavne og billeder være klikbare."
"Copy From Configurable","Kopiér Fra Konfigurerbar"
"Country/State","Land/stat"
"Create","Opret"
"Create (Upload)","Opret (Upload)"
"Create attribute set based on another set","Opret attribut sæt baseret på et andet sæt"
"Create Empty","Opret Tom"
"Create new attribute","Opret ny attribut"
"Create new category","Opret ny kategori"
"Create new product","Opret nyt produkt"
"Create Permanent Redirect for old URL","Opret Permanent omdirigering for gamle URL"
"Create Permanent Redirect for URLs if URL Key Changed","Opret Permanent omdirigering for webadresser hvis URL-nøgle er ændret"
"Create Product Settings","Opret Produktindstillinger"
"Create Simple Associated Product","Opret Simpelt Associeret Produkt"
"Cross-sells","Krydssalg"
"Custom Design","Brugerdefineret Design"
"Customer Group","Kunde Gruppe"
"Customers Reviews","Kunder Anmeldelser"
"Customers Tagged Product","Kunder Tagget Produkt"
"Custom Options","Brugerdefinerede Indstillinger"
"Custom options","Brugerdefinerede indstillinger"
"Data Type for Saving in Database","Datatype til lagring i database"
"Date & Time Custom Options","Dato & Tid Tilpassede Indstillinger"
"Date Subscribed","Dato Abonneret"
"Datetime","Datotid"
"Decimal","Decimal"
"Declare attribute value saving scope","Erklære attribut værdi sparer anvendelsesområde"
"Default ""What's This"" Text Message","Standard ""Hvad Er Dette"" Tekstbesked"
"Default Popup Text Message","Standard Popup Tekstbesked"
"Default Price","Standard Pris"
"Default Price Navigation Step","Standard Prisnavigation Trin"
"Default Qty","Default Qty"
"Default Values","Standard Værdier"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Definerer det grundlæggende valutaområde (""Valuta Setup"" > ""Valuta Indstillinger"" > ""Base Valuta"")."
"Delete","Slet"
"Delete Attribute","Slet Attribut"
"Delete attribute","Slet egenskab"
"Delete Attribute Set","Slet Attributsæt"
"Delete Category","Slet Kategori"
"Delete category","Slet kategori"
"Delete File","Slet Fil"
"Delete Group Price","Slet Gruppepris"
"Delete product","Slet produkt"
"Delete Row","Slet Række"
"Delete Search","Slet Søgning"
"Delete Tier","Slet Niveau"
"Depends on design theme","Afhænger af designtema"
"Description","Varebeskrivelse"
"Design","Design"
"Details","Detaljer"
"Disabled","Deaktiveret"
"Disallowed file format.","Ikke tilladt filformat."
"Disallowed file type.","Ikke tilladt filtype."
"Display Actual Price","Vis Faktisk Pris"
"Display in Suggested Terms","Vis i Foreslåede vilkår"
"Display Page Control","Vis Sidekontrol"
"Display Price Interval as One Price","Vis prisinterval som én pris"
"Display Product Count","Vis Produkt Antal"
"Display Type","Vis Type"
"Downloadable Information","Downloadbare Oplysninger"
"Do you want to duplicate the product images as well?","Vil du også duplikere produktbilleder?"
"Do you want to duplicate the product images as well?","Vil du også duplikere produktbilleder?"
"Duplicate","Duplicate"
"Duplicate Product","Dupliker Produkt"
"Duplicate website, country and state tax found.","Dupliker hjemmeside, land og stat skat fundet."
"Duplicate website group price customer group.","Dupliker hjemmeside gruppe pris kundegruppe."
"Duplicate website tier price customer group and quantity.","Dupliker hjemmeside tier pris kundegruppe og antal."
"Dynamic category processed successfully.","Dynamisk kategori blev behandlet."
"Dynamic Category Rules","Dynamiske Kategoriregler"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","F.eks. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamiske direktiver parsing impact catalog performance."
"each","hver"
"Edit","Rediger"
"Edit Attribute Set '%s'","Rediger Attribut Sæt '%s'"
"Edit Product Attribute","Rediger Produktattribut"
"Edit Product Attribute ""%s""","Rediger Produktattribut ""%s"""
"Edit Search","Rediger Søgning"
"Edit Search '%s'","Rediger Søg '%s'"
"Edit Set Name","Rediger Sæt Navn"
"Email","E-mail"
"Empty","Tom"
"Enable Add to cart Button in product listings","Aktiver Tilføj til indkøbskurv Knap i produktlister"
"Enabled","Aktiveret"
"Enable MAP","Aktiver KORT"
"Enable Qty Increments","Aktiver Antal Intervaller"
"Enable WYSIWYG","Aktiver WYSIWYG"
"Error during retrieval of option value: %s","Fejl under hentning af indstillingsværdi: %s"
"Error loading children: %s","Fejl under indlæsning af børn: %s"
"ex. http://domain.com","ex. http://domain.com"
"Exclude","Udeluk"
"Expand All","Udvid Alle"
"Failed","Mislykkedes"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Mislykkedes at kopiere filen %s. Slet medier med ikke-eksisterende billeder og prøv igen."
"Failed to move file: %s","Kunne ikke flytte fil: %s"
"Failed to save uploaded file.","Kunne ikke gemme uploadet fil."
"Failed to write temporary file.","Kunne ikke skrive midlertidig fil."
"Field is not complete","Feltet er ikke fuldført"
"File","Fil"
"File name and base64 data are required.","Filnavn og base64 data er påkrævet."
"File options format is not valid.","Filindstillingsformatet er ikke gyldigt."
"Files without extensions are not allowed.","Filer uden udvidelser er ikke tilladt."
"File upload failed","Upload af fil mislykkedes"
"File upload failed. Please contact the store administrator.","Upload af fil mislykkedes. Kontakt venligst administratoren."
"File upload failed with error code: %s","Fil upload mislykkedes med fejlkode: %s"
"File upload is only allowed for file-type options.","Fil upload er kun tilladt for fil-type indstillinger."
"Filter","Filtrer"
"Filterable (no results)","Filterbar (ingen resultater)"
"Filterable (with results)","Filterbar (med resultater)"
"Filter model name must be declared.","Filtermodel navn skal deklareres."
"Filter must be an object. Please set correct filter.","Filteret skal være et objekt. Angiv venligst korrekt filter."
"Filters","Filtre"
"First Name","Fornavn"
"Fixed","Fast"
"For internal use.","Til intern brug."
"For the last time placed.","For sidste gang placeret."
"From","Fra"
"Frontend","Frontend"
"Frontend Properties","Frontend Egenskaber"
"Gallery","Galleri"
"General Information","Generel Information"
"Get full information about attribute with list of options","Få fuld information om attribut med liste over indstillinger"
"Get full information about custom option in product","Få fuld information om brugerdefineret indstilling i produktet"
"Get list of available custom option types","Hent liste over tilgængelige brugerdefinerede indstillingstyper"
"Get list of non-default attributes by product type and attributes set","Hent liste over ikke-standard attributter efter produkttype og attributter sæt"
"Get list of possible attribute types","Hent liste over mulige attributtyper"
"Get special price","Få en særlig pris"
"Global","Globalt"
"Globally Editable","Redigerbar Globalt"
"Go to Home Page","Gå til startside"
"Grid","Gitter"
"Group add","Gruppe tilføj"
"Grouped","Grupperet"
"Group remove","Fjern gruppe"
"Groups","Grupper"
"Home","Hjem"
"HTML tags are not allowed in SKU attribute.","HTML-tags er ikke tilladt i SKU attribut."
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Hvis tom, vil kategorinavnet blive brugt"
"If empty, the Product Name will be used","Hvis tom, vil produktnavnet blive brugt"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Hvis du ikke angiver en valgmulighed værdi for en bestemt butiksvisning, så vil standardværdien (Admin) blive brugt."
"Image","Billede"
"Image content is not valid base64 data.","Billedindhold er ikke gyldigt base64-data."
"Image does not exist.","Billedet findes ikke."
"Image type and information need to be specified for each store view.","Billedtype og information skal angives for hver butiksvisning."
"In Cart","I Indkøbskurv"
"Incl. Tax","Inkl. Moms"
"Indexed category/products association","Indekseret sammenslutning af kategorier/produkter"
"Index product and categories URL rewrites","Indeks produkt og kategorier URL omskrivning"
"Index product attributes for layered navigation building","Indeks produkt attributter for lagdelt navigation bygning"
"Index product prices","Indeks produktpriser"
"Info","Info"
"Info Column Options Wrapper","Info- Kolonne- Indstillinger Indpakningcomment"
"Input Type","Input Type"
"In Stock","På Lager"
"In stock","På lager"
"Integer","Heltal"
"Internal Error","Intern Fejl"
"Interval Division Limit","Grænse For Interval Division"
"Invalid attribute %s","Ugyldig attribut %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Ugyldig attribut indstilling angivet for attribut %s (%s), springer posten over."
"Invalid attribute set specified, skipping the record.","Ugyldig attribut angivet og springe over posten."
"Invalid base64-encoded file data.","Ugyldig base64-kodede fildata."
"Invalid block: %s.","Ugyldig blok: %s."
"Invalid category.","Ugyldig kategori."
"Invalid category IDs.","Ugyldige kategori IDs."
"Invalid custom option(s).","Ugyldig brugerdefineret indstilling(er)."
"Invalid image file type.","Ugyldig billedfiltype."
"Invalid image type.","Ugyldig billedtype."
"Invalid option ID specified for %s (%s), skipping the record.","Ugyldigt indstillings-ID angivet for %s (%s), spring over posten."
"Invalid product collection resource.","Ugyldig produktsamlingsressource."
"Invalid product type specified, skipping the record.","Ugyldig produkttype angivet, spring over posten."
"Invalid store specified","Ugyldig butik angivet"
"Invalid store specified, skipping the record.","Ugyldig butik angivet, springe over posten."
"Invalid Tier Prices","Ugyldig Niveau Priser"
"Invalid tier prices. The product is not associated to the requested website.","Ugyldige tier priser. Varen er ikke tilknyttet den forespurgte hjemmeside."
"Inventory","Inventar"
"Is Default","Er Standard"
"Is Required","Er Påkrævet"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Elementer, som du ikke ønsker at vise i kataloget, eller søgeresultater skal have status 'deaktiveret' i den ønskede butik."
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Elementer, som du ikke ønsker at vise i kataloget, eller søgeresultater skal have status 'Deaktiveret' i den ønskede butik."
"Keep Frame","Behold Ramme"
"Label","Etiket"
"Last Name","Efternavn"
"Last Notification","Sidste Notifikation"
"Layered Navigation","Lagdelt Navigation"
"Learn More","Lær Mere"
"leave blank if its not an image","efterlad blank, hvis det ikke er et billede"
"Line %d, Email: %s","Line %d, Email: %s"
"Line %d, SKU: %s","Linje %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Link (Relateret, op sælge, krydssælger)"
"Link product does not exist.","Link produkt findes ikke."
"Link to a Specified Category","Link til en angivet kategori"
"Link to a Specified Product","Link til et angivet produkt"
"List","Liste"
"List Mode","Liste Tilstand"
"List of Products that are set as New","Liste af produkter der er sat som ny"
"List of types","Liste over typer"
"Manage Attributes","Administrer Attributter"
"Manage Attribute Sets","Håndtér Attributsæt"
"Manage Catalog Categories","Administrer Katalog Kategorier"
"Manage Categories","Administrer Kategorier"
"Manage Label / Options","Håndtér Etiket / Indstillinger"
"Manage Options (values of your attribute)","Administrer indstillinger (værdier for din attribut)"
"Manage Product Attributes","Administrer Produktattributter"
"Manage Products","Administrer Produkter"
"Manage Product Sets","Administrer Produktsæt"
"Manage Stock","Administrer Lager"
"Manage Titles (Size, Color, etc.)","Administrer titler (stil, farve, osv.)"
"Max Characters","Maks. Tegn"
"Maximal Depth","Maksimal Dybde"
"Maximum allowed image size for '%s' is %sx%s px.","Maksimum tilladte billedstørrelse for '%s' er %sx%s px."
"Maximum file size","Maksimal filstørrelse"
"Maximum image height","Maksimal billedhøjde"
"Maximum Image Size","Maksimal Billedstørrelse"
"Maximum image width","Maksimal billedbredde"
"Maximum number of characters:","Maksimalt antal tegn:"
"Maximum Number of Price Intervals","Maksimalt antal prisintervaller"
"Maximum number of price intervals is 100","Maksimalt antal prisintervaller er 100"
"Maximum Qty Allowed in Shopping Cart","Maksimum antal tilladt i indkøbskurv"
"Maximum resolution for upload image","Maksimal opløsning for upload billede"
"Maximum width and height dimension for upload image is %s.","Maksimal bredde og højde dimension for upload billede er %s."
"Maximum width and height resolutions for upload image","Maksimal bredde og højde opløsninger for upload billede"
"Maximum width base product image will be scaled down to in pixels","Maksimal bredde base produkt billede vil blive skaleret ned til i pixels"
"Maximum width small product image will be scaled down to in pixels","Maksimal bredde lille produkt billede vil blive skaleret ned til i pixels"
"Media Image","Medie Billede"
"Middle Name","Midterste Navn"
"Minimum Advertised Price","Minimum Annonceret Pris"
"Minimum Lines per Page","Minimum linjer pr. side"
"Minimum Qty Allowed in Shopping Cart","Minimum antal tilladt i indkøbskurv"
"Minimum Qty for Item's Status to be Out of Stock","Minimum antal for varens status skal være ikke på lager"
"Missing SKU, skipping the record.","Manglende SKU, spring over posteringen."
"Move","Flyt"
"Move category in tree","Flyt kategori i træ"
"Multi update product","Multi opdatering produkt"
"Must be in the allowed values list.","Skal være i listen over tilladte værdier."
"My Account","Min Konto"
"N/A","N/A"
"Name","Navn"
"Name in %s","Navn i %s"
"New Product","Nyt Produkt"
"New Product Attribute","Ny Produktattribut"
"New Products","Nye Produkter"
"New products","Nye produkter"
"New Products Grid Template","Nye Produkter Gitter Skabelon"
"New Products Images and Names Template","Nye produkter Billeder og Navne Skabelon"
"New Products Images Only Template","Nye Produkter Billeder Kun Skabelon"
"New Products List Template","Nye Produkter Liste Skabelon"
"New Products Names Only Template","Nye Produkter Navne Kun Skabelon"
"New Root Category","Ny Rod Kategori"
"New Search","Ny Søgning"
"New Subcategory","Ny Underkategori"
"Next","Næste"
"No","Nej"
"No, without images","Nej, uden billeder"
"No image","Intet billede"
"No layout updates","Ingen layout opdateringer"
"None","Ingen"
"No options of this product are available.","Ingen muligheder for dette produkt er tilgængelige."
"No product collections found.","Ingen produktsamlinger fundet."
"Notify for Quantity Below","Advisér for antal under"
"Notify Low Stock RSS","Advisér Lavt Lager RSS"
"Not Individually","Ikke Individuelt"
"Number of Products per Page","Antal produkter pr. side"
"Number of Products to Display","Antal produkter der skal vises"
"Number of results","Antal resultater"
"Number of results (For the last time placed)","Antal resultater (For sidste gang placeret)"
"Number of Uses","Antal anvendelser"
"On Gesture","På Bevægelse"
"Option:","Valgmulighed:"
"Options","Indstillinger"
"Options Control","Kontrol Af Indstillinger"
"Options is required","Indstillinger er påkrævet"
"Option validation failed to add product to cart.","Valgmulighed validering mislykkedes at tilføje produkt til kurven."
"Option values","Valgmulighed værdier"
"Out of Stock","Ikke på lager"
"Out of stock","Ikke på lager"
"Pad resized images to exact dimensions with background color","Pad skalerede billeder til nøjagtige dimensioner med baggrundsfarve"
"Page Title Separator","Side Titel Separator"
"Parent category is equal to child category.","Overordnet kategori er lig med underkategori."
"Parent category was not found.","Overordnet kategori blev ikke fundet."
"Parent Products","Overordnede Produkter"
"Pending","Afventer"
"Pending Reviews RSS","Afventende Anmeldelser RSS"
"Percentage","Procentdel"
"per page","pr. side"
"Please add rows to option.","Tilføj venligst rækker til valgmulighed."
"Please click on the Close Window button if it is not closed automatically.","Klik på knappen Luk vindue, hvis den ikke lukkes automatisk."
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Opdater venligst ""Katalog URL omskrivninger"" og ""Produktattributter"" i System -&gt; <a href=""%s"">Index Management</a>"
"Please select a file for the required option ""%s"".","Vælg venligst en fil til den krævede valgmulighed ""%s""."
"Please select a parent category before adding a new one.","Vælg en overordnet kategori før du tilføjer en ny."
"Please select a static block ...","Vælg venligst en statisk blok..."
"Please select items.","Vælg venligst elementer."
"Please select one or more attributes.","Vælg venligst en eller flere attributter."
"Please select product(s).","Vælg venligst produkt(er)."
"Please select products for attributes update","Vælg produkter til opdatering af attributter"
"Please specify date required option <em>%s</em>.","Angiv dato krævet indstilling <em>%s</em>."
"Please specify the number of products, that will not be divided into subintervals.","Angiv antallet af produkter, der ikke vil blive opdelt i underintervaller."
"Please specify the product's option(s).","Angiv venligst produktets mulighed(er)."
"Please specify the product's required option(s).","Angiv venligst produktets påkrævede mulighed(er)."
"Please specify the product required option(s)","Angiv venligst produkt(er), der kræves"
"Please specify the product required option <em>%s</em>.","Angiv venligst den påkrævede produktmulighed <em>%s</em>."
"Please specify the quantity of product(s).","Angiv produktmængde(r)."
"Please specify time required option <em>%s</em>.","Angiv den krævede tidsindstilling <em>%s</em>."
"Please wait...","Vent venligst..."
"Position","Placering"
"Position in Layered Navigation","Placering i lagdelt navigation"
"Position of attribute in layered navigation block","Placering af attribut i lagdelt navigationsblok"
"Prev","Forrige"
"Prevents indexing of pages after the first page (p > 1).","Forhindrer indeksering af sider efter første side (p > 1)."
"Prevents indexing of pages with active filters to avoid duplicate content.","Forhindrer indeksering af sider med aktive filtre for at undgå duplikeret indhold."
"Previous","Forrige"
"Price","Pris"
"Price:","Pris:"
"Price: %s","Pris: %s"
"Price Navigation Step Calculation","Pris Navigation Trin Beregning"
"Price Type","Pris Type"
"Price values for options should be specified in system base currency.","Prisværdier for optioner bør angives i systemets basisvaluta."
"Product","Produkt"
