"%s was added to your shopping cart.","%s blev tilføjet til din indkøbskurv."
"%s was updated in your shopping cart.","%s blev opdateret i din indkøbskurv."
"(Excl. Tax)","(Ekskl. Moms)"
"Some of the requested products are not available in the desired quantity.","Nogle af de ønskede produkter er ikke tilgængelige i den ønskede mængde."
"Some of the requested products are unavailable.","Nogle af de ønskede produkter er ikke tilgængelige."
"Some products quantities were recalculated because of quantity increment mismatch","Nogle produkter mængder blev genberegnet på grund af mængdeforøgelse uoverensstemmelse"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Beklager, gæstebetaling er ikke aktiveret. Prøv igen eller kontakt butiksejeren."
"Sorry, no quotes are available for this order at this time.","Beklager, ingen tilbud er tilgængelige for denne ordre på nuværende tidspunkt."
"State/Province","Stat/provins"
"Status","Status"
"Store View","Butik Visning"
"Street Address","Gade Adresse"
"Street Address %s","Gadenavn %s"
"Submitting order information...","Indsender ordreoplysninger..."
"Subtotal","Subtotal"
"Subtotal must exceed minimum order amount","Subtotal skal overstige minimumsordre beløb"
"Summary","Summary"
"Telephone","Telefon"
"Terms and Conditions","Vilkår og betingelser"
"Terms and Conditions Information","Information om vilkår og betingelser"
"Text","Tekst"
"Thank you for your purchase!","Tak for dit køb!"
"The condition has been deleted","Betingelsen er blevet slettet"
"The condition has been saved.","Betingelsen er blevet gemt."
"The onepage checkout is disabled.","Den onepage checkout er deaktiveret."
"The product could not be found.","The webindhold could not be found."
"The product does not exist.","Produktet findes ikke."
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Der er allerede en kunde registreret ved hjælp af denne e-mailadresse. Log venligst ind med denne e-mailadresse eller indtast en anden e-mailadresse for at registrere din konto."
"There was an error processing your order. Please contact us or try again later.","Der opstod en fejl under behandlingen af din ordre. Kontakt os eller prøv igen senere."
"This condition no longer exists.","Denne betingelse eksisterer ikke længere."
"Total","I Alt"
"Total quantity (2 shirts + 3 pants = 5)","Samlet mængde (2 skjorter + 3 bukser = 5)"
"Unable to remove promo code.","Kan ikke fjerne kampagnekode."
"Unable to set Payment Method.","Betalingsmetoden kan ikke angives."
"Unique products (2 different products = 2)","Entydige produkter (2 forskellige produkter = 2)"
"Unit Price","Enhed Pris"
"Update","Opdater"
"Update Cart","Opdater Indkøbskurv"
"Update product(s) quantities in shopping cart","Opdater produkt(er) antal i indkøbskurv"
"Update product quantities in shopping cart","Opdater produktantal i indkøbskurven"
"Update Shopping Cart","Opdater Indkøbskurv"
"Update Total","Opdater I Alt"
"Use Billing Address","Brug Faktureringsadresse"
"Use Minimal Checkout Layout","Brug Minimal Checkout Layout"
"VAT Number","CVR-nummer"
"View Shopping Cart","Se Indkøbskurv"
"Waiting for address...","Venter på adresse..."
"Waiting for shipping method...","Venter på forsendelsesmetode..."
"What's this?","Hvad er dette?"
"You have no items in your shopping cart.","Du har ingen varer i din indkøbskurv."
"You may be interested in the following items","Du kan være interesseret i følgende varer"
"Your billing agreement # is: %s.","Din faktureringsaftale # er: %s."
"Your Checkout Progress","Dit Checkout Fremskridt"
"Your order # is: %s.","Din ordre # er: %s."
"Your order cannot be completed at this time as there are no payment methods available for it.","Din ordre kan ikke gennemføres på dette tidspunkt, da der ikke er nogen betalingsmetoder til rådighed for den."
"Your order cannot be completed at this time as there are no shipping methods available for it. Please make necessary changes in your shipping address.","Din ordre kan ikke gennemføres på dette tidspunkt, da der ikke er nogen forsendelsesmetoder til rådighed. Foretag de nødvendige ændringer i din forsendelsesadresse."
"Your order has been received.","Din ordre er modtaget."
"Your recurring payment profiles:","Dine tilbagevendende betalingsprofiler:"
"Your shopping cart is empty.","Din indkøbskurv er tom."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Du vil modtage en ordrebekræftelse e-mail med oplysninger om din ordre og et link til at spore dens fremskridt."
"Zip","Postnummer"
"Zip/Postal Code","Postnummer"
