"%d country(s) were skipped because they no longer exist.","%d land(e) blev sprunget over, fordi de ikke længere eksisterer."
"%d region(s) were skipped because they have existing region names.","%d region(er) blev sprunget over, fordi de har eksisterende regionsnavne."
"-- Please select --","-- Vælg venligst --"
"Hold Ctrl/Cmd to select multiple locales","Hold Ctrl/Cmd nede for at vælge flere landestandarder"
"Import","Importér"
"Import completed successfully.","Import gennemført."
"Import Regions","Importregioner"
"Import Results","Importér Resultater"
"Installed Currencies","Installerede Valutaer"
"Invalid country code: %s","Ugyldig landekode: %s"
"Invalid Import Service specified.","Ugyldig importtjeneste angivet."
"Invalid rates received","Ugyldige satser modtaget"
"Invalid target currency.","Ugyldig målvaluta."
"ISO2 Code","ISO2 Code"
"ISO2 code is required.","ISO2-kode er påkrævet."
"ISO2 code must be exactly 2 uppercase letters.","ISO2-kode skal være præcis 2 store bogstaver."
"ISO3 Code","ISO3 Code"
"ISO3 code is required.","ISO3 kode er påkrævet."
"ISO3 code must be exactly 3 uppercase letters.","ISO3 kode skal være præcis 3 store bogstaver."
"List of countries","Liste over lande"
"List of regions in specified country","Liste over regioner i det angivne land"
"Locale and region name are required.","Landestandard og regionsnavn er påkrævet."
"Locale is required.","Landestandard er påkrævet."
"Locales","Locales"
"Localized Name","Lokaliseret Navn"
"Localized name for this region","Lokaliseret navn for dette område"
"Lower numbers are tried first when the scheduled import falls back to another service.","Lavere tal prøves først, når den planlagte import falder tilbage til en anden tjeneste."
"Manage Countries","Administrer Lande"
"Manage Directory","Administrer Mappe"
"Manage Regions","Administrer Regioner"
"Manage Translations","Administrer Oversættelser"
"New Country","Nyt Land"
"New Region","Ny Region"
"No API Key was specified or an invalid API Key was specified.","Ingen API-nøgle blev angivet eller en ugyldig API-nøgle blev angivet."
"One or more invalid symbols have been specified.","Et eller flere ugyldige symboler er angivet."
"Open access endpoint covering far more currencies than the ECB list, updated once a day. No account or API key needed. <a href='https://www.exchangerate-api.com/docs/free' target='_blank'>exchangerate-api.com</a>","Åben adgangspunkt, der dækker langt flere valutaer end ECB-listen, opdateret én gang om dagen. Ingen konto eller API-nøgle nødvendig. <a href='https://www.exchangerate-api.com/docs/free' target='_blank'>exchangerate-api.com</a>"
"Please select at least one country.","Vælg venligst mindst et land."
"Please select at least one locale.","Vælg venligst mindst én landestandard."
"Please select country(s).","Vælg venligst lande(r)."
"Please select region(s).","Vælg region(er)."
"Please select region name(s).","Vælg venligst regionsnavn(e)."
"Popular","Populær"
"Postal Code is Optional for the following countries","Postnummer er valgfri for følgende lande"
"Preview changes without importing (Dry Run)","Forhåndsvis ændringer uden import (Dry Run)"
"Rates were imported from ""%s"" after the services below failed.","Priser blev importeret fra ""%s"" efter tjenesterne nedenfor mislykkedes."
"Reference rates aggregated from central banks and official sources. No account or API key needed. <a href='https://frankfurter.dev' target='_blank'>frankfurter.dev</a>","Referencesatser aggregeret fra centralbanker og officielle kilder. Ingen konto eller API-nøgle nødvendig. <a href='https://frankfurter.dev' target='_blank'>frankfurter.dev</a>"
"Region","Region"
"Region API","Region API"
"Region Code","Region Kode"
"Region code cannot be longer than 32 characters.","Region kode kan ikke være længere end 32 tegn."
"Region ID","Region ID"
"Region Information","Region Information"
"Region name cannot be longer than 255 characters.","Regionens navn kan ikke være længere end 255 tegn."
"Region name is required.","Regionens navn er påkrævet."
"Regions","Regioner"
"Requires a key for <a href='https://fixer.io' target='_blank'>fixer.io</a> itself. Keys for other apilayer products, Currency Data API included, are rejected by this endpoint.","Kræver en nøgle for <a href='https://fixer.io' target='_blank'>fixer.io</a> selv. Nøgler for andre apilayer produkter, Valuta Data API inkluderet, afvises af dette endepunkt."
"Running...","Kører..."
"Running import...","Kører import..."
"Save Country","Gem Land"
"Save Region","Gem Region"
"Scheduled Import Settings","Planlagte Importindstillinger"
"Selected country does not exist.","Valgte land findes ikke."
"Service","Tjeneste"
"Short code for this region (e.g. CA, NY, TX)","Kort kode for dette område (f.eks. CA, NY, TX)"
"Shows what would be imported without making actual changes","Viser hvad der ville blive importeret uden at foretage faktiske ændringer"
"Sort Order","Sortér Ordre"
"Start Time","Start Tid"
"State/Province","Stat/provins"
"State is required for","Tilstand er påkrævet for"
"States Options","Indstillinger For Stater"
"Store %s has no currency it can sell in: none of its allowed currencies has an exchange rate from %s.","Butik %s har ingen valuta det kan sælge i: Ingen af de tilladte valutaer har en valutakurs fra %s."
"System","System"
"The ""%s"" is not allowed as base currency for your subscription plan.","Den ""%s"" er ikke tilladt som basisvaluta for dit abonnement."
"The account this API request is coming from is inactive.","Kontoen, som denne API-anmodning kommer fra, er inaktiv."
"The country has been deleted.","Landet er blevet slettet."
"The country has been saved.","Landet er blevet gemt."
"The current request did not return any results.","Den aktuelle forespørgsel returnerede ingen resultater."
"The maximum allowed API amount of monthly API requests has been reached.","Den maksimale tilladte API-mængde af månedlige API-anmodninger er nået."
"The region has been deleted.","Regionen er blevet slettet."
"The region has been saved.","Regionen er blevet gemt."
"There is no exchange rate from %s to %s.","Der er ingen valutakurs fra %s til %s."
"This country no longer exists.","Dette land eksisterer ikke længere."
"This region no longer exists.","Denne region eksisterer ikke længere."
"Three character ISO code (e.g. USA, GBR, DEU)","ISO-kode med tre tegn (f.eks. USA, GBR, DEU)"
"Top Countries","Flest Lande"
"Two character country code (e.g. US, GB, DE)","To tegn landekode (f.eks. US, GB, DE)"
"Two character ISO code (usually same as Country ID)","To tegn ISO-kode (normalt samme som landeID)"
"Unable to calculate rate for %s to %s.","Kan ikke beregne sats for %s til %s."
"Unable to initialize the import model.","Kan ikke initialisere importmodellen."
"Undefined rate from ""%s-%s"".","Udefineret sats fra ""%s-%s""."
"Update existing regions and localized names","Opdater eksisterende regioner og lokaliserede navne"
"Your Currency","Din Valuta"
"Your Currency:","Din Valuta:"
