"""Remember Me"" Cookie Lifetime","""Husk Mig"" Cookie Levetid"
"Anchor symbol (#) is not supported in request path","Anker symbol (#) understøttes ikke i forespørgselssti"
"Anchor symbol (#) is not supported in url rewrite suffix","Anker symbol (#) understøttes ikke i url omskrivning endelse"
"Anchor Text for Next","Anker tekst til næste"
"Anchor Text for Previous","Anker tekst til forrige"
"An error occured.","Der opstod en fejl."
"An error occurred while saving. Please review the error log.","Der opstod en fejl under lagring. Gennemse venligst fejlloggen."
"Are you sure?","Er du sikker?"
"Are you sure you want to delete the selected email log entries?","Er du sikker på, at du vil slette de valgte e-mail log indgange?"
"Auto-redirect to Base URL","Auto-omdirigere til Base URL"
"Back","Tilbage"
"Backup Options","Backup Indstillinger"
"Base JavaScript URL","Base JavaScript URL"
"Base Link URL","Basis Link URL"
"Base Media URL","Base Medie URL"
"Base Secure URL","Base Sikker URL"
"Base Skin URL","Base Skin URL"
"Base Unsecure URL","Base Usikker URL"
"Base URL","Base URL"
"Bcc","Bcc"
"Before modifying the store view code please make sure that it is not used in index.php.","Før du ændrer butiksvisningskoden, skal du sørge for, at den ikke bruges i index.php."
"Before modifying the website code please make sure that it is not used in index.php.","Før du ændrer hjemmesidens kode, skal du sørge for, at den ikke bruges i index.php."
"Cache Storage Management","Cache Lagringshåndtering"
"Cache storage may contain additional data. Are you sure that you want flush it?","Cache lagring kan indeholde yderligere data. Er du sikker på, at du vil skylle den?"
"Can't retrieve entity config: %s","Kan ikke hente entitetskonfiguration: %s"
"Can't retrieve request object","Kan ikke hente forespørgselsobjekt"
"Cancel","Annuller"
"Cannot complete this operation from non-admin area.","Kan ikke fuldføre denne handling fra ikke-admin område."
"Can not create invoice. Order was not found.","Kan ikke oprette faktura. Ordre blev ikke fundet."
"Card type does not match credit card number.","Korttypen matcher ikke kreditkortnummer."
"Cc","Cc"
"Clean Log After (days)","Rens Log Efter (Dage)"
"Code","Kode"
"Controls how much referrer information is sent with requests","Kontrollerer, hvor meget referrer oplysninger der sendes med anmodninger"
"Cookie Domain","Cookie Domæne"
"Cookie Lifetime","Cookie Levetid"
"Cookie Path","Cookie Sti"
"Cookie Restriction Mode","Cookie Begrænsningstilstand"
"Copyright","Ophavsret"
"Core","Kerne"
"Could not write sanitized SVG file.","Kunne ikke skrive sanitized SVG fil."
"Countries Options","Lande Indstillinger"
"Country","Land"
"Create Store","Opret Butik"
"Create Store View","Opret Butiksvisning"
"Create Website","Opret Hjemmeside"
"Credit card number does not match credit card type.","Kreditkortnummer matcher ikke kreditkorttypen."
"Cron Expression for Cache Flushing","Cron Expression til Cache flushing"
"CSS Settings","CSS Settings"
"Current Package Name","Nuværende Pakkenavn"
"Custom1 Contact Email","Brugerdefineret1 Kontakt E-Mail"
"Custom1 Contact Name","Brugerdefineret1 Kontaktnavn"
"Custom2 Contact Email","Brugerdefineret2 Kontakt E-Mail"
"Custom2 Contact Name","Brugerdefineret 2 Kontaktnavn"
"Custom Admin Path","Brugerdefineret Administrationssti"
"Custom Admin URL","Brugerdefineret Admin URL"
"Custom Design","Brugerdefineret Design"
"Custom Email 1","Brugerdefineret E-Mail 1"
"Custom Email 2","Brugerdefineret E-Mail 2"
"Customer Support","Kunde Support"
"Custom Variables","Tilpassede Variabler"
"Dashboard","Instrumentbræt"
"Date","Dato"
"Date From","Dato Fra"
"Date To","Dato Til"
"Debug","Debug"
"Default","Standard"
"Default Country","Standard Land"
"Default Description","Standard Beskrivelse"
"Default Keywords","Standard Nøgleord"
"Default No-route URL","Standard No-route URL"
"Default Pages","Standard Sider"
"Default Robots","Default Robots"
"Default Store","Standard Butik"
"Default Store View","Standard Butiksvisning"
"Default Title","Default Title"
"Default Web URL","Default Web URL"
"Defer Only","Udsæt Kun"
"Delete","Slet"
"Delete Store","Slet Butik"
"Delete Store View","Slet Butiksvisning"
"Delete Website","Slet Hjemmeside"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Sletning af en %1$s vil ikke slette de oplysninger, der er forbundet med %1$s (f.eks. kategorier, produkter, etc. , men %1$s vil ikke kunne genoprettes. Det foreslås, at du opretter en database backup før du sletter %1$s."
"Design","Design"
"Design Change","Design Ændring"
"Developer","Udvikler"
"Developer Client Restrictions","Udvikler Klient Begrænsninger"
"Disable Modules Output","Deaktivér Modulers Output"
"Disallowed block name for frontend.","Ikke tilladt bloknavn for frontend."
"Disallowed template variable method.","Ikke tilladt skabelon variabel metode."
"Display Demo Store Notice","Vis Demo Butik Meddelelse"
"Duplicate Of Template Name","Duplikat Af Skabelon Navn"
"Edit Design Change","Rediger Designændring"
"Edit Store","Rediger Butik"
"Edit Store View","Rediger Butiksvisning"
"Edit Website","Rediger Hjemmeside"
"Email - Footer","Email - Footer"
"Email - Header","Email - Sidehoved"
"Email Body","Email Body"
"Email Details","Email Detaljer"
"Email Footer Template","Email Sidefod Skabelon"
"Email Header Template","Email Header Skabelon"
"Email Log","Email Log"
"Email log entries older than this number of days will be automatically deleted.","E-mail-log-poster ældre end dette antal dage vil automatisk blive slettet."
"Email Log Entry","Email Log Indgang"
"Empty identifier field name","Tomt id feltnavn"
"Empty main table name","Tomt hovedtabellens navn"
"Enable Charts","Aktiver Diagrammer"
"Enabled","Aktiveret"
"Enable Email Logging","Aktiver E-Mail Logning"
"Enable Email Queue","Aktiver E-Mail Kø"
"Enable global search","Aktiver global søgning"
"Enable HSTS (HTTP Strict Transport Security)","Aktiver HSTS (HTTP Strict Transport Security)"
"Enables browser XSS filtering. Note: Modern browsers prefer CSP over this header.","Aktiverer browser XSS-filtrering. Bemærk: Moderne browsere foretrækker CSP frem for denne header."
"Enable X-Content-Type-Options","Aktiver X-Content-Type-Indstillinger"
"Enable X-XSS-Protection","Aktiver X-XSS-beskyttelse"
"Enabling ability to run Maho in a frame is not recommended for security reasons.","Aktivering af evnen til at køre Maho i en ramme anbefales ikke af sikkerhedsmæssige årsager."
"Error","Fejl"
"Error generating PDF: %s","Fejl under generering af PDF: %s"
"Error in file: ""%s"" - %s","Fejl i fil: ""%s"" - %s"
"European Union Countries","Den Europæiske Unions Lande"
"Excel XML","Excel XML"
"Facebook URL","Facebook URL"
"Failed","Mislykkedes"
"Favicon Icon","Favicon Ikon"
"File %s does not exist","Filen %s findes ikke"
"File %s is not readable","Filen %s kan ikke læses"
"File is not a valid SVG.","Filen er ikke en gyldig SVG."
"File name is too long. Maximum length is %s.","Filnavnet er for langt. Maksimal længde er %s."
"File not found","Filen blev ikke fundet"
"File system","Filsystem"
"File type for image conversions","Filtype til billedkonverteringer"
"File with an extension ""%s"" is protected and cannot be uploaded","Fil med en udvidelse ""%s"" er beskyttet og kan ikke uploades"
"First Day of Week","Første dag i ugen"
"Flush & Apply Updates","Tøm & Anvend Opdateringer"
"Flush Cache Storage","Tøm Cache Lager"
"Footer","Sidefod"
"Forces browsers to use HTTPS. Only works on HTTPS connections.","Tving browsere til at bruge HTTPS. Virker kun på HTTPS-forbindelser."
"Forgot Password Email Sender","Glemt Adgangskode E-Mail Afsender"
"Forgot Password Email Template","Glemt Adgangskode E-Mail Skabelon"
"From","Fra"
"Frontend","Frontend"
"Full URL to the official Facebook profile.","Fuld URL til den officielle Facebook-profil."
"Full URL to the official Instagram profile.","Fuld URL til den officielle Instagram-profil."
"Full URL to the official LinkedIn profile.","Fuld URL til den officielle LinkedIn profil."
"Full URL to the official X (Twitter) profile.","Fuld URL til den officielle X (Twitter) profil."
"General","Generelt"
"General Contact","Generel Kontakt"
"General Contact Email","Generel Kontakt E-Mail"
"General Contact Name","Generel Kontaktnavn"
"General Settings","Generelle Indstillinger"
"Get info about current Maho installation","Få info om den aktuelle Maho installation"
"Global","Globalt"
"Header","Overskrift"
"Helper attributes should not be used in custom layout updates.","Hjælper attributter bør ikke bruges i brugerdefinerede layout opdateringer."
"Host","Vært"
"How long browsers should remember to use HTTPS. Default: 31536000 (1 year)","Hvor længe browsere skal huske at bruge HTTPS. Standard: 31536000 (1 år)"
"How many links to display at once.","Hvor mange links der skal vises på én gang."
"HSTS Max Age (seconds)","HSTS Maks. Alder (sekunder)"
"HTML filtration has failed.","HTML- filtrering mislykkedes."
"HTML Head","Html Hoved"
"HTML tags are not allowed","HTML-tags er ikke tilladt"
"ID","ID"
"ID Path for Specified Store","ID-sti for angivet butik"
"If empty, the ""Allow Countries"" list is used for shipping.","Hvis tom, bruges listen ""Tillad lande"" til forsendelse."
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","Hvis den aktuelle rammeposition ikke dækker de fleste sider, vil linket blive vist til nuværende position plus/minus denne værdi."
"Image quality","Billede kvalitet"
"Incorrect credit card expiration date.","Forkert udløbsdato for kreditkort."
"Instagram URL","Instagram URL"
"Invalid base url type","Ugyldig base url type"
"Invalid block: %s","Ugyldig blok: %s"
"Invalid block type: %s","Ugyldig bloktype: %s"
"Invalid connection","Ugyldig forbindelse"
"Invalid date","Ugyldig dato"
"Invalid image.","Invalid image."
"Invalid layout update handle","Ugyldig layoutopdateringshåndtering"
"Invalid messages storage ""%s"" for layout messages initialization","Ugyldig beskedlagring""%s"" for initialisering af layoutbeskeder"
"Invalid MIME type.","Ugyldig MIME- type."
"Invalid or empty SVG file.","Ugyldig eller tom SVG-fil."
"Invalid query","Ugyldig forespørgsel"
"Invalid stream.","Ugyldig stream."
"Invalid template path used in layout update.","Ugyldig skabelonsti brugt i layoutopdatering."
"Invalid transactional email code: %s","Ugyldig transaktionel e-mailkode: %s"
"Invalid URL","Ugyldig URL"
"Invalid URL scheme.","Ugyldigt URL-system."
"Invalid website's configuration path: %s","Ugyldig hjemmesidens konfigurationssti: %s"
"JavaScript Deferral Mode","JavaScript Deferral Tilstand"
"JavaScript Settings","Javascript- Indstillinger"
"Lax","Lax"
"Layout","Layout"
"Leave empty for access from any location.","Lad være tom for adgang fra ethvert sted."
"Leave this field empty","Efterlad dette felt tomt"
"LinkedIn URL","LinkedIn URL"
"List of stores","Liste over butikker"
"Loading Indicator Timeout","Loading Indikator Timeout"
"Load on Intent","Indlæs på Intention"
"Locale","Landestandard"
"Locale Options","Landestandard Indstillinger"
"Login is Case Sensitive","Login er Case følsom"
"Logo Image","Logo Billede"
"Logo Image Alt","Logo Billede Alt"
"Logo Image Src","Logo Billede SRC"
"Log Settings","Log Indstillinger"
"Maho info","Maho info"
"Maho info API","Maho info API"
"Mail Sending Settings","Mail Sender Indstillinger"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/maho/","Sørg for, at basis-URL slutter med '/' (skråstreg), f.eks. http://yourdomain/maho/"
"Manage Stores","Administrer Butikker"
"Match expressions in the same order as displayed in the configuration.","Match udtryk i samme rækkefølge som vist i konfigurationen."
"Media Storage","Medie Lagerplads"
"Message recipients data must be set.","Data for meddelelsesmodtagere skal angives."
"Minifies CSS files and caches them in media/mahominify for improved performance","Minificerer CSS-filer og caches dem i medier / mahominify for forbedret ydeevne"
"Minifies JavaScript files and caches them in media/mahominify for improved performance","Minificerer JavaScript-filer og caches dem i medier/mahominify for at forbedre ydeevnen"
"Minify CSS Files","Minify CSS Files"
"Minify JavaScript Files","Minimér JavaScript- Filer"
"Minimum Log Severity","Minimum Logalvorlighed"
"Miscellaneous HTML","Diverse HTML"
"Miscellaneous Scripts","Diverse Scripts"
"Model collection resource name is not defined.","Model samling ressource navn er ikke defineret."
"Module ""%1$s"" cannot depend on ""%2$s"".","Modul ""%1$s"" kan ikke afhænge af ""%2$s""."
"Module ""%1$s"" requires module ""%2$s"".","Modul ""%1$s"" kræver modul ""%2$s""."
"Name","Navn"
"New Admin User Create Notification","Ny Admin-bruger Opret Notifikation"
"New Admin User Email Template","Ny Admin Bruger Email Skabelon"
"New Design Change","Nyt Design Ændring"
"New Store","Ny Butik"
"New Store View","Ny Butik Visning"
"New Website","Ny Hjemmeside"
"No","Nej"
"None","Ingen"
"Number from 0 to 100 (default is 85, recommended by Google). Higher values preserve more details but increase file size. For WebP format, you can also use 101 to enable lossless compression.","Nummer fra 0 til 100 (standard er 85, anbefales af Google). Højere værdier bevarer flere detaljer, men øger filstørrelsen. Til WebP-format, kan du også bruge 101 til at aktivere tabsfri komprimering."
"Number of milliseconds to delay showing the loading indicator. The default value is ""200"". An empty value disables the delay.","Antal millisekunder at forsinke der viser indlæsningsindikatoren. Standardværdien er ""200"". En tom værdi deaktiverer forsinkelsen."
"Number of seconds between each allowed request.","Antal sekunder mellem hver tilladt anmodning."
"Offloader header","Offloader header"
"Only messages at this severity level or higher will be logged. For example, selecting ""Error"" will log Error, Critical, Alert, and Emergency messages, but not Warning, Notice, Info, or Debug. Note: Developer mode overrides this setting and logs all levels.","Kun beskeder på dette alvorlighedsniveau eller højere vil blive logget. Valg af ""Fejl"" vil for eksempel logge fejl,Kritiske, advarsels- og nødmeddelelser, men ikke Advarsel, Bemærk, Info eller Debug. Bemærk: Udviklertilstand tilsidesætter denne indstilling og logger alle niveauer."
"Package","Pakke"
"Pagination","Sideinddeling"
"Pagination Frame","Sideinddelings Ramme"
"Pagination Frame Skip","Sideinddelings Ramme Skip"
"Path ""%s"" contains an invalid stream wrapper.","Sti ""%s"" indeholder en ugyldig stream wrapper."
"Path ""%s"" contains invalid parent directory references.","Sti ""%s"" indeholder ugyldige overordnede mappereferencer."
"Path ""%s"" is not available and cannot be used.","Sti ""%s"" er ikke tilgængelig og kan ikke bruges."
"Path ""%s"" is protected and cannot be used.","Sti ""%s"" er beskyttet og kan ikke bruges."
"PHP SOAP extension is required.","PHP SOAP udvidelse er påkrævet."
"Please define flag code.","Angiv venligst flagkode."
"Please do not use ""event"" for an attribute code.","Brug venligst ikke ""begivenhed"" for en attributkode."
"Please enter a number 0 or greater in this field.","Angiv et tal 0 eller større i dette felt."
"Please enter a number 1 or greater in this field.","Angiv venligst et nummer 1 eller større i dette felt."
"Please enter a number greater than 0 in this field.","Angiv et tal større end 0 i dette felt."
"Please enter a number lower than 100.","Angiv et tal, der er lavere end 100."
"Please enter a valid $ amount. For example $100.00.","Angiv et gyldigt $ beløb. For eksempel $100.00."
"Please enter a valid credit card number.","Indtast et gyldigt kreditkortnummer."
"Please enter a valid credit card verification number.","Please enter a valid credit card verification number. (Automatic Copy)"
"Please enter a valid date.","Angiv en gyldig dato."
"Please enter a valid date between %s and %s","Angiv en gyldig dato mellem %s og %s"
"Please enter a valid date equal to or greater than %s","Angiv en gyldig dato lig med eller større end %s"
"Please enter a valid date less than or equal to %s","Angiv en gyldig dato mindre end eller lig med %s"
"Please enter a valid day (1-%d).","Angiv en gyldig dag (1-%d)."
"Please enter a valid email address. For example johndoe@domain.com.","Angiv venligst en gyldig e-mailadresse. For eksempel johndoe@domain.com."
"Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.","Indtast et gyldigt faxnummer. For eksempel (123) 456-7890 eller 123-456-7890."
"Please enter a valid full date","Please enter a valid full date"
"Please enter a valid month (1-12).","Angiv en gyldig måned (1-12)."
"Please enter a valid number in this field.","Please enter a valid number in this field. (Automatic Copy)"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Indtast et gyldigt telefonnummer. For eksempel (123) 456-7890 eller 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Indtast et gyldigt socialsikringsnummer. For eksempel 123-45-6789."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Angiv en gyldig URL. For eksempel http://www.example.com eller www.example.com"
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","Angiv en gyldig URL. Protokollen er påkrævet (http://, https:// eller ftp://)"
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","Angiv venligst en gyldig URL-nøgle. For eksempel ""eksempel-side"", ""eksempel-page.html"" eller ""anotherlevel/eksempelside""."
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","Please enter a valid XML- identifier. For example something_1, block5, id-4. (Automatic Copy)"
"Please enter a valid year (1900-%d).","Angiv et gyldigt år (1900-%d)."
"Please enter a valid zip code.","Angiv et gyldigt postnummer."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Angiv et gyldigt postnummer. For eksempel 90602 eller 90602-1234."
"Please enter issue number or start date for switch/solo card type.","Please enter issue number or start date for switch/solo card type. (Automatic Copy)"
"Please enter more characters. Password should contain both numeric and alphabetic characters.","Angiv flere tegn. Adgangskoden skal indeholde både numeriske og alfabetiske tegn."
"Please enter more characters or clean leading or trailing spaces.","Indtast venligst flere tegn eller rene indledende eller afsluttende rum."
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.","Indtast venligst en gyldig CSS-længde. For eksempel 100px eller 77pt eller 20em eller .5ex eller 50%."
"Please make sure your passwords match.","Sørg venligst for, at dine adgangskoder stemmer overens."
"Please select a file","Vælg venligst en fil"
"Please select an option.","Vælg venligst en mulighed."
"Please select email log entries to delete.","Vælg venligst e-mail log poster at slette."
"Please select one of the above options.","Vælg en af ovenstående muligheder."
"Please select one of the options.","Vælg venligst en af mulighederne."
"Please select State/Province.","Vælg venligst Stat/provins."
"Please set available and/or protected paths list(s) before validation.","Angiv venligst tilgængelige og/eller beskyttede stiliste(r) før validering."
"Please specify either a category or a product, or both.","Angiv enten en kategori eller et produkt eller begge dele."
"Please use letters only (a-z or A-Z) in this field.","Brug kun bogstaver (a-z eller A-Z) i dette felt."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Brug kun tal i dette felt. Undgå mellemrum eller andre tegn såsom prikker eller kommaer."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Brug venligst kun bogstaver (a-z), tal (0-9) eller understregning(_) i dette felt, første tegn skal være et bogstav."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Brug kun bogstaver (a-z eller A-Z), tal (0-9) eller understregning(_) i dette felt, første tegn skal være et bogstav."
"Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Brug kun bogstaver (a-z eller A-Z) eller tal (0-9) i dette felt. Ingen mellemrum eller andre tegn er tilladt."
"Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.","Brug kun bogstaver (a-z eller A-Z) eller tal (0-9) eller mellemrum og # kun i dette felt."
"Please use only visible characters and spaces.","Brug kun synlige tegn og mellemrum."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Brug venligst dette datoformat: dd/mm/åååå. For eksempel 17/03/2006 for 17. marts 2006."
"Please wait, loading...","Vent venligst, indlæser..."
"Port","Port"
"Prevents browsers from MIME-sniffing responses. Recommended for security.","Forhindrer browsere fra MIME-sniffing svar. Anbefales for sikkerhed."
"Profiler","Profiler"
"Rate limit","Bedøm grænse"
"Recovery Link Expiration Period (hours)","Udløbsperiode For Genoprettelseslink (Timer)"
"Referrer Policy","Referrer Politik"
"Request Path for Specified Store","Anmod om sti for angivet butik"
"Request path length exceeds allowed %s symbols.","Anmodning sti længde overstiger tilladte %s symboler."
"Resource ""%s"" is not found.","Ressource""%s"" blev ikke fundet."
"Resource is not set.","Ressourcen er ikke angivet."
"Retrieve info about current Maho installation","Hent info om nuværende Maho installation"
"Retrieve store data","Hent lagringsdata"
"Retrieve store list","Hent butiksliste"
"Return-Path Email","Retursti E-Mail"
"Root Category","Rod Kategori"
"Sales Representative","Salgs Repræsentant"
"Sales Representative Contact Email","Salgsrepræsentant Kontakt E-Mail"
"Sales Representative Contact Name","Salgs Repræsentant Kontakt Navn"
"Same-Site","Samme Websted"
"Save","Gem"
"Save Store","Gem Butik"
"Save Store View","Gem Butiksvisning"
"Save Website","Gem Hjemmeside"
"Secure","Sikker"
"Security","Sikkerhed"
"Sender Email","Afsender E-Mail"
"Sender Name","Afsenders Navn"
"Sent","Sendt"
"Services","Tjenester"
"Session Cookie Management","Session Cookie Management"
"Session Lifetime (seconds)","Session Levetid (sekunder)"
"Session Validation Settings","Session Valideringsindstillinger"
"Set as Default","Sæt som standard"
"Set Return-Path","Sæt Retur-Sti"
"Skin (Images / CSS)","Hud (Billeder / CSS)"
"Small Logo Image Src","Lille Logo Billede Src"
"Social Profiles","Social Profiles"
"Sort Order","Sortér Ordre"
"Start date cannot be greater than end date.","Startdato kan ikke være større end slutdato."
"Startup Page","Startup Page"
"Status","Status"
"Storage Configuration for Media","Indstilling af lagerplads til medier"
"Store","Butik"
"Store API","Store API"
"Store Contact Address","Butik Kontakt Adresse"
"Store Contact Information","Gem Kontaktinformation"
"Store Contact Telephone","Butik Kontakt Telefon"
"Store Email Addresses","Butiks E-Mail Adresser"
"Store Hours of Operation","Butikker for drift"
"Store Information","Butik Information"
"Store Name","Butik Navn"
"Store View","Butik Visning"
"Store view doesn't exist","Butiksvisningen findes ikke"
"Store View Information","Butiks Visningsinformation"
"Store View Name","Butiks Visnings Navn"
"Store with the same code","Opbevares med den samme kode"
"Strict","Streng"
"Subject","Emne"
"SVG file could not be sanitized.","SVG-filen kunne ikke desinficeres."
"SVG sanitization failed: %s","SVG desinficering mislykkedes: %s"
"System","System"
"Template","Skabelon"
"Template Path Hints","Skabelon Sti Hints"
"Templates","Skabeloner"
"Template Settings","Skabelon Indstillinger"
"Template Variables","Skabelon Variabler"
"Text length does not satisfy specified text range.","Tekstlængden opfylder ikke det angivne tekstinterval."
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","Den angivne %s er ugyldig. Sørg for, at den følger ""http://domain.com/"" format."
"The default value is ""30 2 * * *"". An empty value disables automatic cache flushing.","Standardværdien er ""30 2 * * *"". En tom værdi deaktiverer automatisk cache flushing."
"The file extension ""%s"" is not allowed. Allowed extensions: %s","Filendelsen ""%s"" er ikke tilladt. Tilladte udvidelser: %s"
"The file extension ""%s"" is not allowed for security reasons.","Filendelsen ""%s"" er ikke tilladt af sikkerhedsmæssige årsager."
"The From Date value should be less than or equal to the To Date value.","Fra dato værdien skal være mindre end eller lig med til dato værdien."
"Themes","Temaer"
"The store code may contain only letters (a-z), numbers (0-9), underscore(_) or dash(-), the first character must be a letter","Butikskoden må kun indeholde bogstaver (a-z), tal (0-9), understregning(_) eller bindestreg(-), det første tegn skal være et bogstav"
"The store does not exist","Butikken findes ikke"
"The store has been deleted.","Butikken er blevet slettet."
"The store has been saved.","Butikken er blevet gemt."
"The store view #%d is disabled.","Butiksvisningen #%d er deaktiveret."
"The store view has been deleted.","Butiksvisningen er blevet slettet."
"The store view has been saved","Butiksvisningen er blevet gemt"
"The template Name must not be empty.","Skabelonnavnet må ikke være tomt."
"The value is not within the specified range.","Værdien ligger ikke inden for det angivne interval."
"The website does not exist.","Webstedet findes ikke."
"The website has been deleted.","Hjemmesiden er blevet slettet."
"The website has been saved.","Hjemmesiden er blevet gemt."
"This date is a required value.","Denne dato er en påkrævet værdi."
"This email log entry no longer exists.","Denne e-mail log post eksisterer ikke længere."
"This functionality limits the number of requests a user (identified by IP address) can perform within a specific time frame, preventing excessive resources usage and maintaining system performance, stability and security.","Denne funktionalitet begrænser antallet af anmodninger en bruger (identificeret ved IP-adresse) kan udføre inden for en bestemt tidsramme, forebyggelse af overdreven ressourceforbrug og vedligeholdelse af systemets ydeevne, stabilitet og sikkerhed."
"This is a required field.","Dette er et obligatorisk felt."
"This setting enable notification when new admin user created.","Denne indstilling aktiverer notifikation, når ny admin-bruger oprettes."
"This store cannot be deleted.","Denne butik kan ikke slettes."
"This store view cannot be deleted.","Denne butiksvisning kan ikke slettes."
"This website cannot be deleted.","Dette websted kan ikke slettes."
"This will be displayed just before body closing tag.","Dette vil blive vist lige før body closing tag."
"This will be included before head closing tag in page HTML.","Dette vil blive inkluderet før hoved lukning tag i side HTML."
"Timeframe","Timeframe"
"Timezone","Timezone"
"Title Prefix","Titel Præfiks"
"Title Suffix","Titel Suffiks"
"To","Til"
"Too Soon: You are trying to perform this operation too frequently. Please wait a few seconds and try again.","For tidlig: Du forsøger at udføre denne operation for ofte. Vent et par sekunder, og prøv igen."
"Transactional Emails","Transaktionelle E-Mails"
"Translations","Oversættelser"
"Transport","Transport"
"Two and more slashes together are not permitted in request path","To og flere skråstreger sammen er ikke tilladt i forespørgselssti"
"Two and more slashes together are not permitted in url rewrite suffix","To og flere skråstreger sammen er ikke tilladt i url omskrivning endelse"
"Type","Type"
"Unable to create directory: %s","Kan ikke oprette mappe: %s"
"Unable to delete store. Please, try again later.","Kan ikke slette butik. Prøv venligst igen senere."
"Unable to delete store view. Please, try again later.","Kan ikke slette butiks visningen. Prøv venligst igen senere."
"Unable to delete website. Please, try again later.","Kan ikke slette hjemmesiden. Prøv venligst igen senere."
"Unable to proceed. Please, try again","Kan ikke fortsætte. Prøv venligst igen"
