"""Remember Me"" Default Value","""Husk Mig"" Standardværdi"
"Change Billing Address","Skift Faktureringsadresse"
"Changed Email or Password Email Template","Ændret e-mail eller adgangskode Email Skabelon"
"Changed Password or Email","Ændret adgangskode eller e-mail"
"Change Password","Skift Adgangskode"
"Change Shipping Address","Skift Leveringsadresse"
"City","By"
"Close","Luk"
"Company","Virksomhed"
"Configure","Konfigurer"
"Confirmation Link Email","Bekræftelse Link E-Mail"
"Confirmed","Bekræftet"
"Confirm New Password","Bekræft Ny Adgangskode"
"Confirm Password","Bekræft Adgangskode"
"Contact Information","Kontakt Information"
"Continue","Fortsæt"
"Continue Shopping","Fortsæt Indkøb"
"Controls whether password is required during registration when Magic Link is enabled.","Kontrollerer, om adgangskode er påkrævet under registrering, når Magic Link er aktiveret."
"Country","Land"
"Country is required.","Land er påkrævet."
"Create","Opret"
"Create an account","Opret en konto"
"Create customer","Opret kunde"
"Create customer address","Opret kundeadresse"
"Create New Account Options","Opret Nye Kontoindstillinger"
"Create New Customer Account","Opret Ny Kunde Konto"
"Create Order","Opret Ordre"
"CSV","CSV"
"Current Admin Password","Nuværende Administratoradgangskode"
"Current Password","Nuværende Adgangskode"
"Customer","Kunde"
"Customer Account Edit Form","Kunde Konto Rediger Form"
"Customer Account Login Form","Kundekonto Login Formular"
"Customer Account Logout Success","Kunde Konto Logout Succes"
"Customer Account Registration Form","Kundekonto Registreringsformular"
"Customer accounts cannot be disabled because guest checkout is not allowed. Please enable guest checkout first.","Kunde konti kan ikke deaktiveres, da gæst kassen ikke er tilladt. Aktiver venligst gæst kassen først."
"Customer Account Two-Factor Authentication","Kunde Konto To-Faktor Godkendelse"
"Customer Account Two-Factor Authentication Challenge","Kunde Konto To-Faktor Godkendelse Udfordring"
"Customer API","Kunde API"
"Customer collection expected.","Kunde samling forventet."
"Customer Configuration","Kunde Konfiguration"
"Customer email is required","Kunde e-mail er påkrævet"
"Customer Forgot Password Form","Kunde Glemt Adgangskodeformular"
"Customer Group","Kunde Gruppe"
"Customer Groups","Kundegrupper"
"Customer Information","Kunde Information"
"Customer Login","Kunde Login"
"Customer My Account (All Pages)","Kunde Min Konto (Alle Sider)"
"Customer My Account Address Book","Kunde Min Konto Adressebog"
"Customer My Account Address Edit Form","Kunde Min Konto Adresse Rediger Formularen"
"Customer My Account Dashboard","Kunde Min Konto Kontrolpanel"
"Customers","Kunder"
"Customer Since","Kunde Siden"
"Customers Only","Kun Kunder"
"Customer View","Kunde Vis"
"Customer website ID must be specified when using the website scope","Kunde website ID skal angives, når du bruger webstedets anvendelsesområde"
"Customer will stay on the current page if ""No"" is selected.","Kunden vil blive på den aktuelle side, hvis ""Nej"" er valgt."
"Date","Dato"
"Date Added","Dato Tilføjet"
"Date of Birth","Fødselsdato"
"Day","Dag"
"Days in Wishlist","Dage i ønskeseddel"
"DD","DD"
"Default Addresses","Standard Adresser"
"Default Billing Address","Standard Faktureringsadresse"
"Default Email Domain","Standard Email Domæne"
"Default Group","Standard Gruppe"
"Default Shipping Address","Standard Leveringsadresse"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Standardværdi for Deaktivér automatisk gruppeændringer baseret på momsID"
"Default Welcome Email","Standard Velkomst E-Mail"
"Delete","Slet"
"Delete Address","Slet Adresse"
"Delete Customer","Slet Kunde"
"Delete customer","Slet kunde"
"Delete customer address","Slet kundeadresse"
"Delete Customer Group","Slet Kundegruppe"
"Deleted Stores","Slettede Butikker"
"Details","Detaljer"
"Disable 2FA","Deaktivér 2FA"
"Disabled","Deaktiveret"
"Edit","Rediger"
"Edit Account Info","Rediger Konto Info"
"Edit Account Information","Rediger Kontooplysninger"
"Edit Address","Rediger Adresse"
"Edit Customer's Address","Rediger Kundens Adresse"
"Edit Customer Group ""%s""","Rediger Kundegruppe ""%s"""
"Edit Customer Groups","Rediger Kundegrupper"
"Edit Group","Rediger Gruppe"
"Email","E-mail"
"Email:","Email:"
"Email Address","E-Mail Adresse"
"Email Link to Set Password","E-mail link til at angive adgangskode"
"Email Link to Set Password on New Account","Email link til at angive adgangskode på ny konto"
"Email Link to Set Password Options","Email link til at angive adgangskodeindstillinger"
"Email Sender","E-Mail Afsender"
"Email Template","Email Skabelon"
"Enable ""Remember Me""","Aktiver ""Husk mig"""
"Enable 2FA","Aktiver 2FA"
"Enable Automatic Assignment to Customer Group","Aktiver automatisk tildeling til kundegruppe"
"Enable Customer Accounts in Frontend","Aktiver kundekonti i frontend"
"Enable Magic Link Login","Aktiver Magisk Link Login"
"Enable Real-time VAT Validation","Aktiver Real-time Moms Validering"
"Enable Two-Factor Authentication","Aktiver To-Faktor Autentificering"
"Enter the 6-digit code from your authenticator app to finish signing in.","Indtast den 6-cifrede kode fra din autentificerings-app for at afslutte logningen."
"Excel XML","Excel XML"
"Failed to confirm customer account.","Kunne ikke bekræfte kundekonto."
"Fax","Fax"
"First Name","Fornavn"
"Force all customers to set up two-factor authentication before they can use their account.","Tving alle kunder til at konfigurere to-faktor godkendelse, før de kan bruge deres konto."
"Forgot and Remind Email Sender","Glemt og påmind e-mail afsender"
"Forgot Email Template","Glemt Email Skabelon"
"Forgot Password","Glemt Adgangskode"
"Forgot password flow secure","Glemt adgangskodeflow sikker"
"Forgot password requests to times per 24 hours from 1 e-mail","Glemt password anmodninger til gange pr 24 timer fra 1 e-mail"
"Forgot password requests to times per hour from 1 IP","Glemt adgangskodeanmodninger til gange i timen fra 1 IP"
"Forgot Your Password","Glemt Din Adgangskode"
"Forgot Your Password?","Glemt Din Adgangskode?"
"Form Fields Before","Formular Felter Før"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Fra dit My Account Dashboard har du mulighed for at se et øjebliksbillede af din seneste kontoaktivitet og opdatere dine kontooplysninger. Vælg et link nedenfor for at se eller redigere information."
"Gender","Køn"
"Gender is required.","Køn er påkrævet."
"Generate Human-Friendly Customer ID","Generer Human-Friendly Kunde ID"
"Global","Globalt"
"Group","Gruppe"
"Group for Invalid VAT ID","Gruppe for ugyldigt momsnummer"
"Group for Valid VAT ID - Domestic","Gruppe for gyldigt momsnummer - Indenlandsk"
"Group for Valid VAT ID - Intra-Union","Gruppe for gyldigt momsnummer - Intra-Union"
"Group Information","Gruppe Information"
"Group Name","Gruppens Navn"
"Guest","Gæst"
"Hello, %s!","Hej, %s!"
"How long the magic link remains valid. Default: 10 minutes.","Hvor længe det magiske link forbliver gyldigt. Standard: 10 minutter."
"How long to cache VIES validation results. Set to 0 to disable caching.","Hvor lang tid til at cache VIES valideringsresultater. Sæt til 0 for at deaktivere caching."
"HTML","HTML"
"ID","ID"
"If there is an account associated with %s you will receive an email with a login link.","Hvis der er en konto tilknyttet %s , vil du modtage en e-mail med et login-link."
"If VIES service is down, accept VAT numbers that pass format validation.","Hvis VIES service er nede, accepterer momsnumre, der passerer format validering."
"If you are a registered VAT customer, please <a href=""%s"">click here</a> to enter you billing address for proper VAT calculation","Hvis du er en registreret momskunder, bedes du <a href=""%s"">klikke her</a> for at indtaste din faktureringsadresse for korrekt momsberegning"
"If you are a registered VAT customer, please <a href=""%s"">click here</a> to enter you shipping address for proper VAT calculation","Hvis du er en registreret momskunder, bedes du <a href=""%s"">klikke her</a> for at indtaste din leveringsadresse for korrekt momsberegning"
"If you believe this is an error, please contact us at %s","Hvis du mener, at dette er en fejl, bedes du kontakte os på %s"
"Invalid 2FA verification code","Ugyldig 2FA bekræftelseskode"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Ugyldig attribut indstilling angivet for attribut %s (%s), springer posten over."
"Invalid attribute set specified, skipping the record.","Ugyldig attribut angivet og springe over posten."
"Invalid billing address for (%s)","Ugyldig faktureringsadresse for (%s)"
"Invalid current password","Ugyldig nuværende adgangskode"
"Invalid customer data","Ugyldige kundedata"
"Invalid email address ""%s"".","Ugyldig e-mailadresse ""%s""."
"Invalid email address.","Ugyldig e-mailadresse."
"Invalid form key. Please refresh the page.","Ugyldig formularnøgle. Opdater venligst siden."
"Invalid login link.","Ugyldigt login link."
"Invalid login or password.","Ugyldig login eller adgangskode."
"Invalid or expired login link.","Ugyldigt eller udløbet login-link."
"Invalid password reset customer Id.","Ugyldig adgangskode nulstilling kunde ID."
"Invalid password reset token.","Ugyldig adgangskode nulstillingstoken."
"Invalid request method.","Ugyldig anmodningsmetode."
"Invalid shipping address for (%s)","Ugyldig leveringsadresse for (%s)"
"Invalid store specified, skipping the record.","Ugyldig butik angivet, springe over posten."
"Invalid VAT number format for %s.","Ugyldigt momsnummerformat for %s."
"Invalid website, skipping the record, line: %s","Ugyldig hjemmeside, spring over posten, line: %s"
"IP Address","Ip Adresse"
"Last Activity","Sidste Aktivitet"
"Last Date Subscribed","Seneste Dato Abonneret"
"Last Date Unsubscribed","Sidste Dato Afmeldt"
"Last Name","Efternavn"
"Last URL","Seneste URL"
"Leave empty for default (2). Valid range: 1-4","Efterlad blank for standard (2). Gyldigt område: 1-4"
"Leave empty for default (15 minutes).","Efterlad blank for standard (15 minutter)."
"Let customers enable TOTP-based two-factor authentication on their account.","Lad kunder aktivere TOTP-baseret to-faktor godkendelse på deres konto."
"Lifetime Sales","Levetid Salg"
"Log In","Log Ind"
"Login","Login"
"Login and password are required.","Login og adgangskode er påkrævet."
"Login Form","Login Formular"
"Login Information","Login Information"
"Login Options","Log Ind Indstillinger"
"Login with Magic Link","Log ind med Magic Link"
"Logout","Log Ud"
"Log Out","Log Ud"
"Magic Link Email Sender","Magisk Link E-Mail Afsender"
"Magic Link Email Template","Magisk Link Email Skabelon"
"Magic Link Login","Magisk Link Login"
"Magic Link Rate Limit - Email (requests per hour)","Magic Link Rate Limit - Email (anmodninger pr. time)"
"Magic Link Rate Limit - IP (requests per hour)","Magic Link Rate Limit - IP (anmodninger pr. time)"
"Magic Link Registration Password Requirement","Magisk Link Registrering Adgangskode Krav"
"Magic Link Token Expiration (minutes)","Magic Link Token Udløb (minutter)"
"Manage Addresses","Administrer Adresser"
"Manage Customers","Administrer Kunder"
"Maximum length must be less then %s symbols","Maksimal længde skal være mindre end %s symboler"
"Maximum magic link requests per email address per hour. Default: 3.","Maksimum magiske link anmodninger pr. e-mail-adresse i timen. Standard: 3."
"Maximum magic link requests per IP address per hour. Default: 10.","Maksimum magiske link anmodninger pr. IP-adresse i timen. Standard: 10."
"Middle Name","Midterste Navn"
"Minimum admin password length","Minimum admin adgangskode længde"
"Minimum password length","Mindste adgangskodelængde"
"Missing email, skipping the record, line: %s","Manglende e-mail, springe over posten, line: %s"
"Missing email, skipping the record.","Mangler e-mail, springer posten over."
"Missing first name, skipping the record, line: %s","Manglende fornavn, spring over posten, linje: %s"
"Missing firstname, skipping the record.","Manglende fornavn, spring over posten."
"Missing last name, skipping the record, line: %s","Manglende efternavn, spring over posten, linje: %s"
"Missing lastname, skipping the record.","Manglende efternavn, spring over posten."
"Missing website, skipping the record, line: %s","Manglende websted, spring over posten, line: %s"
"MM","MM"
"Month","Måned"
"My Account","Min Konto"
"My Account Wrapper","Min Konto Wrapper"
"My Dashboard","Mit Kontrolpanel"
"My Orders","Mine Ordrer"
"n/a","n/a"
"Name","Navn"
"Name and Address Options","Navn og adresse indstillinger"
"Never","Aldrig"
"New account","Ny konto"
"New account confirmation key","Ny konto-bekræftelsesnøgle"
"New account confirmed","Ny konto bekræftet"
"New Account Email Template","Ny Konto Email Skabelon"
"New Address","Ny Adresse"
"New Customer","Ny Kunde"
"New Customer Address","Ny Kunde Adresse"
"New Customer Group","Ny Kundegruppe"
"New Customer Groups","Nye Kundegrupper"
"New Customers","Nye Kunder"
"New Group","Ny Gruppe"
"New Password","Ny Adgangskode"
"New password field cannot be empty.","Feltet for ny adgangskode må ikke være tomt."
"Newsletter","Nyhedsbrev"
"Newsletter Finish","Nyhedsbrev Afslut"
"Newsletter Information","Nyhedsbrev Information"
"Newsletter Received","Nyhedsbrev Modtaget"
"Newsletter Start","Nyhedsbrev Start"
"Newsletter Subscription","Nyhedsbrev Abonnement"
"No customer collections found","Ingen kundesamlinger fundet"
"No Items Found","Ingen Elementer Fundet"
"No item specified.","Intet element angivet."
"No Newsletter Found","Intet Nyhedsbrev Fundet"
"No Password (Full Passwordless)","Ingen Adgangskode (Fuld Adgangskode)"
"Not confirmed, can login","Ikke bekræftet, kan logge ind"
"Not confirmed, cannot login","Ikke bekræftet, kan ikke logge ind"
"Not Sent","Ikke Sendt"
"Number of Lines in a Street Address ","Antal linjer i en gadeadresse "
"Offline","Offline"
"Online","Online"
"Online Customers","Online Kunder"
"Online Customers Options","Online Kunder Indstillinger"
"Online Minutes Interval","Interval For Online Minutter"
"or","eller"
"Order #","Ordre #"
"Orders","Ordrer"
"Order Total","Ordre Total"
"Password","Adgangskode"
"Password:","Adgangskode:"
"Password forgotten","Glemt adgangskode"
"Password Management","Håndtering Af Adgangskode"
"Password Options","Adgangskode Indstillinger"
"Paused","Pauset"
"PDF","PDF"
"Pending","Afventer"
"Personal Information","Personlige Oplysninger"
"Per Website","Pr. Hjemmeside"
"Please, check your email for confirmation key.","Tjek venligst din e-mail for bekræftelsesnøgle."
"Please enter a number 1 or greater in this field.","Angiv venligst et nummer 1 eller større i dette felt."
"Please enter a number 7 or greater in this field.","Angiv venligst et nummer 7 eller større i dette felt."
"Please enter a password with at most %s characters.","Indtast en adgangskode med højst %s tegn."
"Please enter a valid date between %s and %s at %s.","Angiv en gyldig dato mellem %s og %s på %s."
"Please enter a valid date equal to or greater than %s at %s.","Angiv en gyldig dato lig med eller større end %s på %s."
"Please enter a valid date less than or equal to %s at %s.","Angiv en gyldig dato mindre end eller lig med %s på %s."
"Please enter the city.","Indtast venligst byen."
"Please enter the country.","Indtast venligst landet."
"Please enter the first name.","Indtast venligst fornavnet."
"Please enter the last name.","Indtast venligst efternavn."
"Please enter the state/province.","Angiv venligst staten/provinsen."
"Please enter the street.","Indtast venligst gaden."
"Please enter the telephone number.","Indtast venligst telefonnummeret."
"Please enter the zip/postal code.","Indtast venligst postnummer/postnummer."
"Please enter your email.","Indtast venligst din e-mail."
"Please enter your email below and we'll send you confirmation link for it.","Indtast venligst din e-mail nedenfor, så sender vi dig et bekræftelseslink til det."
"Please make sure your passwords match.","Sørg venligst for, at dine adgangskoder stemmer overens."
"Please select","Vælg venligst"
"Please select a website which contains store view","Vælg venligst et websted, der indeholder butiksvisning"
"Please select region, state or province","Vælg region, stat eller provins"
"Prefix Dropdown Options","Præfiks Dropdown Indstillinger"
"Price","Pris"
"Product","Produkt"
"Product ID","Produkt ID"
"Product Name","Produkt Navn"
"Product Reviews","Produkt Anmeldelser"
"Product Tags","Produkt Tags"
"Provided address does not belong to the logged in customer.","Forudsat adresse tilhører ikke den loggede kunde."
"Purchased On","Købt Den"
"Purchase On","Køb Til"
"Qty","Antal"
"Recent Orders","Seneste Ordrer"
"Records for %s store found.","Poster for %s butik fundet."
"Recovery Link Expiration Period (hours)","Udløbsperiode For Genoprettelseslink (Timer)"
"Redirect Customer to Account Dashboard after Logging in","Omdiriger Kunden til Konto Kontrolpanel efter at have logget ind"
"Refunded","Refunderet"
"Register","Registrer"
"Registration Form","Registreringsformular"
"Registration successful, but we could not send the login link. Please use the login page.","Registrering lykkedes, men vi kunne ikke sende login-linket. Brug venligst login-siden."
"Remember Me","Husk Mig"
"Remind Email Template","Påmind E-Mail Skabelon"
"Remind Password","Påmind Adgangskode"
"Remove","Fjern"
"Remove address","Fjern adresse"
"Require admin user to change user password","Kræv admin-bruger for at ændre brugeradgangskode"
"Require Emails Confirmation","Kræv E-Mails Bekræftelse"
"Require Password (Default)","Kræv Adgangskode (Standard)"
"Require Two-Factor Authentication","Kræver To-Faktor Autentificering"
"Reset a Password","Nulstil en adgangskode"
"Retrieve address data","Hent adressedata"
"Retrieve address info","Hent adresseinfo"
"Retrieve customer addresses","Hent kundeadresser"
"Retrieve customer data","Hent kundedata"
"Retrieve customer groups","Hent kundegrupper"
"Retrieve customer info","Hent kundeinfo"
"Retrieve customers","Hent kunder"
"Retrieve your confirmation link here","Hent dit bekræftelseslink her"
"Retrieve your password","Hent din adgangskode"
"Sales Statistics","Salgs Statistik"
"Save","Gem"
"Save Address","Gem Adresse"
"Save and Continue Edit","Gem og fortsæt redigering"
"Save Customer","Gem Kunde"
"Save Customer Group","Gem Kundegruppe"
"Saved %d record(s)","Gemte %d post(er)"
"Save in address book","Gem i adressebogen"
"Scan this QR code with your authenticator app (Google Authenticator, Authy, etc.), then enter the 6-digit code below to enable two-factor authentication.","Scan denne QR-kode med din autentificerings-app (Google Authenticator, Authy, etc.), og angiv derefter den 6-cifrede kode nedenfor for at aktivere to-faktor-godkendelse."
"Semicolon (;) separated values.<br>Put semicolon in the beginning for empty first option.<br>Leave empty for open text field.","Semicolon (;) adskilte værdier.<br>Sæt semikolon i begyndelsen for tom første mulighed.<br>Efterlad blank for åbent tekstfelt."
"Send confirmation link","Send bekræftelseslink"
"Send From","Send Fra"
"Sending","Sender"
"Send Welcome Email","Send Velkomst E-Mail"
"Send Welcome Email after Confirmation","Send velkomst e-mail efter bekræftelse"
"Sent","Sendt"
"Session Start Time","Session Starttidspunkt"
"Set as Default Billing Address","Angiv som standard faktureringsadresse"
"Set as Default Shipping Address","Angiv som standard leveringsadresse"
"Share Customer Accounts","Del Kunde Konti"
"Shipped to Name","Afsendt til navn"
"Shopping Cart","Indkøbskurv"
"Shopping Cart - %d item(s)","Indkøbskurv - %d vare(r)"
"Shopping Cart of %1$s - %2$d item(s)","Indkøbskurv for %1$s - %2$d vare(r)"
"Show Date of Birth","Vis fødselsdato"
"Show Gender","Vis Køn"
"Show Middle Name (initial)","Vis Mellemnavn (initial)"
"Show Prefix","Vis Præfiks"
"Show Suffix","Show Suffix"
"Show Tax/VAT Number","Vis Moms/Momsnummer"
"Show VAT Number on Frontend","Vis CVR-nummer på frontend"
"Sign In","Log Ind"
"Sign Up for Newsletter","Tilmeld dig til nyhedsbrev"
"Skipping import row, required field ""%s"" is not defined.","Springer over import række, obligatorisk felt ""%s"" er ikke defineret."
"Skipping import row, website ""%s"" field does not exist.","Springer over import række, hjemmeside ""%s"" felt eksisterer ikke."
"SKU","Varenummer"
"State/Province","Stat/provins"
"Status","Status"
"Store","Butik"
"Store View","Butik Visning"
"Street Address","Gade Adresse"
"Street Address %s","Gadenavn %s"
"Subject","Emne"
"Submit","Indsend"
"Subscribed to Newsletter?","Abonneret på nyhedsbrev?"
"Subscribe to Newsletter","Abonner på nyhedsbrev"
"Suffix Dropdown Options","Suffiks Dropdown Indstillinger"
"Tag Name","Tag Navn"
"Tax/VAT number","Moms/momsnummer"
"Tax Calculation Based On","Moms Beregning Baseret På"
"Tax Class","Moms Klasse"
"Telephone","Telefon"
"Text","Tekst"
"Text One Line","Tekst 1 Linje"
"Thank you for registering! We have sent you an email with a login link to %s.","Tak for din registrering! Vi har sendt dig en e-mail med et login-link til %s."
"Thank you for registering with %s.","Tak for din registrering med %s."
"The account information has been saved.","Kontooplysningerne er blevet gemt."
"The address does not belong to this customer.","Adressen tilhører ikke denne kunde."
"The address has been deleted.","Adressen er blevet slettet."
"The address has been saved.","Adressen er blevet gemt."
"The customer does not have default billing address.","Kunden har ikke standard faktureringsadresse."
"The customer email (%s) already exists, skipping the record, line: %s","Kunde-e-mailen (%s) findes allerede, og springe posten over, linie: %s"
"The customer group has been deleted.","Kundegruppen er blevet slettet."
"The customer group has been saved.","Kundegruppen er blevet gemt."
"The customer ID and email did not match, skipping the record, line: %s","Kunde ID og e-mail matcher ikke, spring over posten, line: %s"
"The customer is currently assigned to Customer Group %s.","Kunden er i øjeblikket tildelt til kundegruppe %s."
"The Date of Birth is required.","Fødselsdato er påkrævet."
"The first name cannot be empty.","Fornavnet må ikke være tomt."
"The group ""%s"" cannot be deleted","Gruppen ""%s"" kan ikke slettes"
"The last name cannot be empty.","Efternavnet må ikke være tomt."
"The minimum password length is %s","Den mindste adgangskodelængde er %s"
"The password cannot be empty.","Adgangskoden må ikke være tom."
"The password must have at least %d characters. Leading or trailing spaces will be ignored.","Adgangskoden skal have mindst %d tegn. Førende eller afsluttende mellemrum vil blive ignoreret."
"There are no items in customer's shopping cart at the moment","Der er ingen varer i kundens indkøbskurv i øjeblikket"
"There are no items in customer's wishlist at the moment","Der er ingen varer i kundens ønskeliste i øjeblikket"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","Der er allerede en konto med denne e-mailadresse. Hvis du er sikker på, at det er din e-mailadresse, klik <a href=""%s"">her</a> for at få din adgangskode og få adgang til din konto."
"There was an error validating the VAT ID.","Der opstod en fejl under valideringen af momsnummeret."
"There was an error validating the VAT ID. The customer would belong to Customer Group %s.","Der opstod en fejl under valideringen af momsnummeret. Kunden ville tilhøre kundegruppe %s."
"The suffix that goes after name (Jr., Sr., etc.)","Den suffiks der går efter navn (Jr., Sr., etc.)"
"The TAX/VAT number is required.","Moms nummer er påkrævet."
"The title that goes before name (Mr., Mrs., etc.)","Titlen der går før navn (Mr., Mrs., osv.)"
"The VAT ID entered (%s) is not a valid VAT ID.","Det indtastede momsnummer (%s) er ikke et gyldigt momsnummer."
"The VAT ID entered (%s) is not a valid VAT ID. The customer would belong to Customer Group %s.","Det indtastede momsnummer (%s) er ikke et gyldigt momsnummer. Kunden tilhører kundegruppe %s."
"The VAT ID is valid. The current Customer Group will be used.","CVR-ID er gyldigt. Den nuværende kundegruppe vil blive brugt."
"This account is not active.","Denne konto er ikke aktiv."
"This account is not confirmed.","Denne konto er ikke bekræftet."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Denne konto er ikke bekræftet. <a href=""%s"">Klik her</a> for at sende bekræftelsesmailen."
"This customer email already exists","Denne kunde email findes allerede"
"This customer has no saved addresses.","Denne kunde har ingen gemte adresser."
"This email does not require confirmation.","Denne e-mail kræver ikke bekræftelse."
"This email is sent on checkbox <em>Email Link to Set Password</em> is checked on the customer page in backend.","Denne e-mail er sendt i afkrydsningsfeltet <em>E-mail Link til Set Password</em> er markeret på kundesiden i backend."
"This email will be sent instead of default welcome email, after account confirmation.","Denne e-mail vil blive sendt i stedet for standard velkomste-mail, efter kontobekræftelse."
"This email with a link to set password is sent on new account creation in backend.","Denne e-mail med et link til at angive adgangskoden sendes ved oprettelse af en ny konto i backend."
"To show VAT number on frontend, set Show VAT Number on Frontend option to Yes.","For at vise CVR-nummer på frontend, angiv Vis CVR-nummer på frontend mulighed for Ja."
"Total","I Alt"
"Two-Factor Authentication","To-Faktor Godkendelse"
"Two-factor authentication has been disabled.","To-faktor godkendelse er blevet deaktiveret."
"Two-factor authentication has been enabled.","To-faktor godkendelse er blevet aktiveret."
"Two-factor authentication is currently <strong>enabled</strong> on your account.","To-faktor godkendelse er i øjeblikket <strong>aktiveret</strong> på din konto."
"Two-factor authentication is required. Please set it up to continue.","To-faktor godkendelse er påkrævet. Opsæt den venligst for at fortsætte."
"Two-factor authentication is required and cannot be disabled.","To-faktor autentificering er påkrævet og kan ikke deaktiveres."
"Two-factor authentication is required by the store. Please set it up to continue using your account.","To-faktor godkendelse kræves af butikken. Opsæt den for at fortsætte med at bruge din konto."
"Two-factor authentication is required by the store and cannot be disabled.","To-faktor godkendelse er påkrævet af butikken og kan ikke deaktiveres."
"Type","Type"
"Unable to validate VAT number. Please try again later.","Kan ikke validere CVR-nummer. Prøv igen senere."
"Unknown","Ukendt"
"Unsubscribe from Newsletter","Afmeld nyhedsbrev"
"Update","Opdater"
"Update customer address data","Opdater kundeadressedata"
"Update customer data","Opdater kundedata"
"Use as My Default Billing Address","Brug som standard faktureringsadresse"
"Use as my default billing address","Brug som min standard faktureringsadresse"
"Use as My Default Shipping Address","Brug som min standard forsendelsesadresse"
"Use as my default shipping address","Brug som min standard forsendelsesadresse"
"Validate on Each Transaction","Valider på hver transaktion"
"Validate VAT Number","Validér CVR-nummer"
"Validate VAT numbers against the EU VIES service in real time on address forms.","Validér momsnumre mod EU VIES-tjenesten i realtid på adresseformularer."
"Validation Error Group","Fejlgruppe For Validering"
"VAT Number","CVR-nummer"
"VAT number format is valid.","CVR-nummerformat er gyldigt."
