"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s er blevet tilføjet til din ønskeliste. Klik på <a href=""%2$s"">her</a> for at fortsætte med at handle."
"%1$s has been updated in your wishlist.","%1$s er blevet opdateret på din ønskeliste."
"%d product(s) have been added to shopping cart: %s.","%d produkt(er) er blevet tilføjet til indkøbskurv: %s."
"%s's Wishlist","%s's ønskeseddel"
"%s for ""%s"".","%s for ""%s""."
"%s has been moved to wishlist %s","%s er blevet flyttet til ønskeliste %s"
"%s has been moved to wishlist %s. Please note that uploaded files will need to be re-uploaded when adding to cart.","%s er blevet flyttet til ønskeliste %s. Bemærk, at uploadede filer skal uploades igen, når du tilføjer til kurven."
"%s was added to your shopping cart.","%s blev tilføjet til din indkøbskurv."
"* Required Fields","* Obligatoriske Felter"
"Cannot update wishlist","Kan ikke opdatere ønskeliste"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Markér dette afkrydsningsfelt, hvis du vil tilføje et link til et RSS-feed til din ønskeliste."
"Click for price","Klik for pris"
"Comment","Kommentar"
"Comment:","Kommentar:"
"Configured Price:","Konfigureret Pris:"
"Configure Wishlist Item","Indstil Ønskeliste Element"
"Could not find wishlist","Kunne ikke finde ønskeliste"
"Customer My Account My Wishlist","Kunde Min Konto Min Ønskeliste"
"Customer My Account Wishlist Sharing Form","Kunde Min Konto Ønskeliste Deling Formular"
"Customer Shared Wishlist View","Kunde Delt Ønskelistevisning"
"Date Added","Dato Tilføjet"
"Days in Wishlist","Dage i ønskeseddel"
"Display Wishlist Summary","Vis Ønskeliste Oversigt"
"Edit","Rediger"
"Email address can't be empty.","E-mail-adresse må ikke være tom."
"Email Sender","E-Mail Afsender"
"Email Template","Email Skabelon"
"Enabled","Aktiveret"
"General Options","Generelle Indstillinger"
"Go to Wishlist","Gå til ønskeseddel"
"Helper for wishlist options rendering doesn't implement required interface.","Hjælper til ønskeliste options rendering ikke implementere nødvendig grænseflade."
"In stock","På lager"
"Last Added Items","Seneste Tilføjede Elementer"
"Message","Besked"
"My Wishlist","Min Ønskeliste"
"My Wishlist (%d item)","Min ønskeseddel (%d element)"
"My Wishlist (%d items)","Min ønskeseddel (%d elementer)"
"My Wishlist <small>(%d)</small>","Min Ønskeliste <small>(%d)</small>"
"My Wishlist Link","Mit Ønskeliste Link"
"Options Details","Indstillinger Detaljer"
"Out of stock","Ikke på lager"
"Please, enter your comments...","Indtast venligst dine kommentarer..."
"Please add product to wishlist again.","Tilføj venligst produkt til ønskeliste igen."
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Indtast venligst en gyldig e-mailadresse, adskilt af kommaer. For eksempel johndoe@domain.com, johnsmith@domain.com."
"Please enter no more than 5 email addresses.","Angiv venligst ikke mere end 5 e-mailadresser."
"Please input a valid email address.","Angiv venligst en gyldig e-mailadresse."
"Price","Pris"
"Product","Produkt"
"Product(s) %s have required options. Each of them can be added to cart separately only.","Produkt(er) %s har obligatoriske muligheder. Hver af dem kan kun tilføjes til indkøbskurven separat."
"Qty","Antal"
"Remove Item","Fjern Element"
"Remove item","Fjern element"
"Remove This Item","Fjern Dette Element"
"Requested cart item doesn't exist","Ønskede indkøbskurv findes ikke"
"Requested wishlist doesn't exist","Ønskede ønskeliste findes ikke"
"RSS Feed","RSS Feed"
"RSS link to %s's wishlist","RSS-link til %s's ønskeliste"
"Share Options","Del Muligheder"
"Share Wishlist","Del Ønskeliste"
"Share Your Wishlist","Del Din Ønskeliste"
"Sharing Information","Deling Af Oplysninger"
"SKU","Varenummer"
"This product(s) is currently out of stock","Denne vare(r) er i øjeblikket udsolgt"
"This Wishlist has no Items","Denne ønskeseddel har ingen elementer"
"Unable to add the following product(s) to shopping cart: %s.","Kan ikke tilføje følgende produkt(er) til indkøbskurven: %s."
"Update Wishlist","Opdater Ønskeliste"
"Up to 5 email addresses, separated by commas","Op til 5 e- mail- adresser, adskilt af kommaer"
"User Description","Bruger Beskrivelse"
"View Details","Vis Detaljer"
"View Product","Vis Produkt"
"What's this?","Hvad er dette?"
"Wishlist","Ønskeliste"
"Wishlist could not be created.","Ønskeliste kunne ikke oprettes."
"Wishlist is empty now.","Ønskeliste er tom nu."
"Wishlist Sharing","Ønskeliste Deling"
"You have no items in your wishlist.","Du har ingen varer på din ønskeliste."
"Your Wishlist has been shared.","Din ønskeseddel er blevet delt."
