"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Indkøbskurv Prisregler baseret på ""%s"" attribut er blevet deaktiveret."
"%s Coupon(s) have been generated","%s Kupon(er) er blevet genereret"
"Actions","Handlinger"
"If you select and save the rule you will be able to generate multiple coupon codes.","Hvis du vælger og gemmer reglen, vil du være i stand til at generere flere kupon koder."
"Inactive","Inaktiv"
"is assigned","er tildelt"
"is not assigned","er ikke tildelt"
"Item totals are not set for rule.","Element totaler er ikke angivet for reglen."
"Labels","Etiketter"
"Manage Coupon Codes","Administrer Kupon Koder"
"Maximum Qty Discount is Applied To","Maksimum antal rabatter anvendes til"
"New Rule","Ny Regel"
"No","Nej"
"No Coupon","Ingen Kupon"
"NOT FOUND","IKKE FUNDET"
"NOT LOGGED IN","IKKE LOGGERET IND"
"Not valid data provided","Ikke gyldige data leveret"
"Number of Uses","Antal anvendelser"
"Numeric","Numeric"
"Payment Method","Betalingsmetode"
"Percent of product price discount","Procent af produkt pris rabat"
"Period","Periode"
"Price in cart","Pris i kurv"
"Priority","Prioritet"
"Product attribute combination","Produkt attribut kombination"
"Products subselection","Delvalg af produkter"
"Promotions","Kampagner"
"Public In RSS Feed","Offentlig I RSS-feed"
"Quantity in cart","Mængde i kurv"
"Row total in cart","Række total i kurv"
"Rule Information","Regel Information"
"Rule is not defined","Reglen er ikke defineret"
"Rule Name","Regel Navn"
"Sales Discount Amount","Salgs Rabat Beløb"
"Sales Subtotal Amount","Salg Subtotal Beløb"
"Sales Total Amount","Salg I Alt Beløb"
"Save and Continue Edit","Gem og fortsæt redigering"
"Shipping Country","Leverings Land"
"Shipping Method","Leveringsmetode"
"Shipping Postcode","Levering Postnummer"
"Shipping Region","Forsendelse Region"
"Shipping State/Province","Forsendelse Stat/Provins"
"Shopping Cart Price Rule","Prisregel For Indkøbskurv"
"Shopping Cart Price Rules","Prisregler For Indkøbskurv"
"Special Price","Special Pris"
"Specific Coupon","Specifik Kupon"
"Status","Status"
"Stop Further Rules Processing","Stop Yderligere Regler Behandling"
"Store View Specific Labels","Butik Vis Specifikke Etiketter"
"Subtotal","Subtotal"
"Subtotal Amount","Subtotal Beløb"
"The rule has been deleted.","Reglen er blevet slettet."
"The rule has been saved.","Reglen er blevet gemt."
"This rule no longer exists.","Denne regel eksisterer ikke længere."
"Times Used","Brugte Tider"
"To Date","Til Dato"
"To Fixed Value","Til Fast Værdi"
"To Percentage","Til Procentdel"
"Total","I Alt"
"Total Amount","Samlet Beløb"
"total amount","samlet beløb"
"Total Items Quantity","Samlet Antal Varer"
"total quantity","samlet mængde"
"Total Weight","Samlet Vægt"
"Unable to create requested Coupon Qty. Please check settings and try again.","Kan ikke oprette den ønskede rabatkode. Kontroller indstillingerne og prøv igen."
"Unable to find a rule to delete.","Kan ikke finde en regel at slette."
"Update prices using the following information","Opdater priser ved hjælp af følgende oplysninger"
"Update product's %s %s: %s","Opdater produkts %s %s: %s"
"Update the Product","Opdater produktet"
"Usage limit enforced for logged in customers only","Brugsgrænse håndhæves kun for kunder der er logget ind"
"Use Auto Generation","Brug Automatisk Generering"
"Used","Brugt"
"Uses per Coupon","Anvendelser pr. kupon"
"Uses per Customer","Anvendelser pr. kunde"
"Website","Hjemmeside"
"Websites","Websider"
"Wrong rule specified.","Forkert regel angivet."
"Yes","Ja"
