"%s Screenshot","%s Skærmbillede"
"%s violation(s)","%s overtrædelse(r)"
"Accessibility Scan","Skanning Af Tilgængelighed"
"Scan Results","Skan Resultater"
"Scans older than this many days are deleted automatically. 0 keeps everything.","Scanninger, der er ældre end de mange dage, slettes automatisk. 0 holder alt."
"Scan Timeout","Skan Timeout"
"Scheduled","Planlagt"
"Scheduled Scans","Planlagte Scanninger"
"Selector","Vælger"
"Serious","Alvorlig"
"Show on desktop screenshot","Vis på skærmaftryk på skrivebordet"
"Show on mobile screenshot","Vis på mobilt skærmbillede"
"Source","Kilde"
"Started","Startet"
"Start Scan","Start Scanning"
"Status","Status"
"Summary","Summary"
"System","System"
"Template","Skabelon"
"Template Source","Skabelon Kilde"
"The scan has been deleted.","Scanningen er blevet slettet."
"The scanner cannot run on this server yet:","Scanneren kan ikke køre på denne server endnu:"
"The scanner returned an unexpected result","Scanneren returnerede et uventet resultat"
"The scanner runtime is not installed yet. Run ""./maho accessibility:install"" from the command line to install it.","Scanneren runtime er ikke installeret endnu. Kør ""./maho accessibility:install"" fra kommandolinjen for at installere det."
"The URL to scan must belong to one of the configured store base URLs","URL'en til scanning skal tilhøre en af de konfigurerede butiksbase-URL'er"
"This report was generated with automated checks (axe-core), which detect only a subset of WCAG success criteria. A report with no violations does not guarantee conformance; manual testing with a keyboard and a screen reader is still required.","Denne rapport blev genereret med automatiserede kontroller (axe-core), som kun registrerer en delmængde af WCAG succes kriterier. En rapport uden overtrædelser garanterer ikke overensstemmelse; manuel test med tastatur og en skærmlæser er stadig påkrævet."
"Total","I Alt"
"Total Scans","Totale Scanninger"
"Total Violations","Overtrædelser I Alt"
"Unable to acquire the scanner install lock","Ikke i stand til at erhverve scannerens installationslås"
"Unable to copy the scanner script to %s","Kan ikke kopiere scannerscriptet til %s"
"Unable to create directory %s","Kan ikke oprette mappe %s"
"Unable to start process: %s","Kan ikke starte processen: %s"
"URL","URL"
"URLs to Scan","URL'er til scanning"
"URL to scan","URL til scanning"
"URL to scan, e.g. https://store.example.com/","URL der skal scannes, f.eks. https://store.example.com/"
"Violation #%s: %s","Overtrædelse #%s: %s"
"Violations","Overtrædelser"
"Violations (Latest Scan)","Overtrædelser (Seneste Scan)"
"WCAG %s","WCAG %s"
"WCAG 2.2 Level A","WCAG 2.2 Niveau A"
"WCAG 2.2 Level AA","WCAG 2.2 Niveau AA"
"WCAG 2.2 Level AAA","WCAG 2.2 Niveau AAA"
"WCAG Level","WCAG Niveau"
"Width x height in CSS pixels, scanned with mobile emulation. Default: 390x844","Bredde x højde i CSS pixels, scannet med mobil emulering. Standard: 390x844"
"Width x height in CSS pixels. Every scan runs one pass per viewport. Default: 1280x1024","Bredde x højde i CSS pixels. Hver scanning kører en pass pr viewport. Standard: 1280x1024"
