"3D Secure","3D Sikker"
"Send cart line items to PayPal for display during checkout.","Send varekurv linjevarer til PayPal til visning under kassen."
"SEPA","SEPA"
"Sofort","Sofort"
"Sort Order","Sortér Ordre"
"Test Connection","Test Forbindelse"
"This order has already been placed.","Denne ordre er allerede afgivet."
"This PayPal order has already been used.","Denne PayPal ordre er allerede blevet brugt."
"Title","Titel"
"Transfer Line Items","Overfør Linje Elementer"
"Type","Type"
"Unable to delete payment method.","Betalingsmetoden kan ikke slettes."
"Use PayPal sandbox environment for testing.","Brug PayPal sandkasse miljø til test."
"Venmo","Venmo"
"Webhook ID","Webhook ID"
"Webhook registered successfully. ID: %s","Webhook blev registreret. ID: %s"
"Webhook registration failed: %s","Webhook registrering mislykkedes: %s"
"You have no saved payment methods.","Du har ingen gemte betalingsmetoder."
