"%s %s cycle.","%s %s sykli."
"%s (unavailable)","%s (Ei saatavilla)"
"* Required Fields","* Vaaditut Kentät"
"Full name of the person receiving the product or service paid for by the recurring payment.","Toistuvan maksun kautta maksetun tuotteen tai palvelun vastaanottavan henkilön täydellinen nimi."
"General Information","Yleiset Tiedot"
"greater than","suurempi kuin"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","Jos %s %s %s alivalinta ostoskorissa olevia kohteita, jotka vastaavat %s :a näistä ehdoista:"
"If an item is %s in the cart with %s of these conditions true:","Jos kohde on %s ostoskorissa jossa on %s näistä ehdoista totta:"
"Incorrect credit card expiration date.","Virheellinen luottokortin viimeinen voimassaolopäivä."
"Initial Fee","Alkumaksu"
"Initial non-recurring payment amount due immediately upon profile creation.","Alkuperäinen kertaluonteinen maksumäärä, joka erääntyy välittömästi profiilin luomisen yhteydessä."
"Instructions","Ohjeet"
"Internal Reference ID","Sisäinen Viitetunniste"
"Invalid Credit Card Number","Virheellinen Luottokortin Numero"
"is","on"
"is not","ei ole"
"Issue Number","Ongelman Numero"
"less than","pienempi kuin"
"Make Check Payable to","Tee shekki maksettavaksi"
"Make Check payable to:","Tee shekki maksettavaksi:"
"Make Check payable to: %s","Tee shekki maksettavaksi: %s"
"Maximum Billing Cycles","Maksimi Laskutusjaksot"
"Maximum Order Total","Tilauksen Enimmäismäärä Yhteensä"
"Maximum Payment Failures","Maksun Epäonnistumisten Enimmäismäärä"
"Maximum Trial Billing Cycles","Kokeilujakson Maksimi Laskutusjaksot"
"Minimum Order Total","Minimitilaus Yhteensä"
"Month","Kuukausi"
"N/A","E/A"
"Name","Nimi"
"Name on Card","Nimi kortissa"
"New Order Status","Uuden Tilauksen Tila"
"New Restriction","Uusi Rajoitus"
"NOT FOUND","EI LÖYTTÄ"
"Number of billing periods that make up one billing cycle.","Niiden laskutusjaksojen lukumäärä, jotka muodostavat yhden laskutusjakson."
"Number of Complete Orders","Valmiiden tilausten määrä"
"Order action is not available.","Tilauksen toiminto ei ole käytettävissä."
"Password","Salasana"
"Payment from Applicable Countries","Maksu soveltuvista maista"
"Payment from Specific Countries","Maksu tietyistä maista"
"Payment Method","Maksutapa"
"Payment method code is not set.","Maksutavan koodia ei ole asetettu."
"Payment method code is undefined.","Maksutavan koodi on määrittelemätön."
"Payment Methods","Maksutavat"
"Payment profile is invalid:\n%s","Maksuprofiili on virheellinen:\n%s"
"Payment Reference ID","Maksun Viite ID"
"Payment Restrictions","Maksun Rajoitukset"
"Payment Services","Maksupalvelut"
"Period frequency is wrong.","Aikaväli on väärä."
"Please choose a condition to add.","Ole hyvä ja valitse lisättävä ehto."
"Please enter a valid credit card verification number.","Syötä voimassa oleva luottokortin vahvistusnumero."
"Please select restriction(s).","Valitse rajoitukset."
"Product Attribute","Tuotteen Attribuutti"
"Product attribute combination","Tuotteen attribuuttien yhdistelmä"
"Product Categories","Tuoteryhmät"
"Products subselection","Tuotteiden alavalinta"
"Purchase Order","Osta Tilaus"
"Purchase Order Number","Ostotilauksen Numero"
"Purchase Order Number:","Ostotilauksen Numero:"
"Purchase Order Number: %s","Ostotilauksen Numero: %s"
"Recurring Profile Start Date","Toistuva Profiilin Aloituspäivä"
"Recurring profile start date has invalid format.","Toistuva profiilin aloituspäivämäärä on virheellinen muoto."
"Reference ID is not set.","Viitetunnusta ei ole asetettu."
"Refund action is not available.","Hyvitystoiminto ei ole käytettävissä."
"Repeats %s time(s).","Repeats %s time(s)."
"Repeats until suspended or canceled.","Toistuu kunnes keskeytetään tai peruutetaan."
"Save Restriction","Tallenna Rajoitus"
"Schedule Description","Aikataulun Kuvaus"
"Schedule description must be not empty.","Aikataulun kuvaus ei saa olla tyhjä."
"Selected payment type is not allowed for billing country.","Valittu maksutapa ei ole sallittu laskutusmaassa."
"Send Check to","Lähetä shekki"
"Send Check to:","Lähetä shekki:"
"Severe 3D Secure Card Validation","Vaikea 3D Turvallinen Kortin Validointi"
"Shipping Amount","Toimituksen Määrä"
"Shipping Country","Toimitus Maa"
"Shipping Method","Toimitustapa"
"Shipping Postcode","Toimituksen Postinumero"
"Shipping Region","Toimituksen Alue"
"Shipping State/Province","Toimitusosavaltio/maakunta"
"Short description of the recurring payment. By default equals to the product name.","Lyhyt kuvaus toistuvasta maksusta. Oletuksena on sama kuin tuotteen nimi."
"Sort Order","Järjestä Järjestys"
"Start Date","Aloitus Päivämäärä"
"Start date has invalid format.","Aloituspäivämäärän muoto on virheellinen."
"Start date is undefined.","Aloituspäivämäärä on määrittelemätön."
"Status","Tila"
"Status ""%s"" cannot be unassigned. It is in used in %d payment method configuration(s): %s","Tila ""%s"" ei voi peruuttaa. Se on käytössä %d maksutavan asetuksissa: %s"
"Stores","Kaupat"
"Subscriber Name","Tilaajan Nimi"
"Subtotal","Välisumma"
"Switch/Solo/Maestro Issue Number","Switch/Solo/Maestro Issue Number"
"Switch/Solo/Maestro Only","Kytkin/Solo/Maestro Vain"
"Switch/Solo/Maestro Start Date","Switch/Solo/Maestro Aloituspäivä"
"Tax Amount","Veron Määrä"
"Test Mode","Testaa Tila"
"The date when billing for the profile begins.","Päivämäärä, jolloin profiilin laskutus alkaa."
"The number of billing cycles for payment period.","Maksuajan osalta laskutusjaksojen lukumäärä."
"The number of scheduled payments that can fail before the profile is automatically suspended.","Niiden maksujen määrä, jotka voivat epäonnistua, ennen kuin profiili keskeytetään automaattisesti."
"The payment restriction has been deleted.","Maksun rajoitus on poistettu."
"The payment restriction has been saved.","Maksujen rajoitus on tallennettu."
"The payment review action is unavailable.","Maksun arviointitoimi ei ole käytettävissä."
"The requested Payment Method is not available.","Pyydettyä maksutapaa ei ole saatavilla."
"This restriction no longer exists.","Tätä rajoitusta ei enää ole."
"Title","Otsikko"
"total amount","summa yhteensä"
"Total Items Quantity","Kohteiden Määrä Yhteensä"
"Total of %d record(s) were deleted.","Yhteensä %d tietuetta poistettiin."
"Total of %d record(s) were updated.","Yhteensä %d tietuetta päivitettiin."
"total quantity","kokonaismäärä"
"Total Weight","Paino Yhteensä"
"Trial Billing Amount","Kokeilujakson Laskutusmäärä"
"Trial billing amount is wrong.","Kokeilujakson laskutussumma on väärä."
"Trial Billing Frequency","Kokeilujakson Laskutustiheys"
"Trial Billing Period Unit","Oikeudenkäynnin Laskutusaika Yksikkö"
"Trial billing period unit is wrong.","Kokeilujakson laskutusaikayksikkö on väärä."
"Trial Period","Kokeilujakso"
"Trial period frequency is wrong.","Kokeilujakson tiheys on väärä."
"Trial period max cycles is wrong.","Kokeilujakson max syklit ovat väärässä."
"Two Weeks","Kaksi Viikkoa"
"Type","Tyyppi"
"Unable to find a restriction to delete.","Poistettavaa rajoitusta ei löydy."
"Unable to save Billing Agreement:","Laskutussopimusta ei voi tallentaa:"
"Unit for billing during the subscription period.","Yksikkö laskutusta varten tilauskauden aikana."
"Void action is not available.","Mitätön toiminto ei ole käytettävissä."
"Week","Viikko"
"What is this?","Mikä tämä on?"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","Se, keskeytetäänkö maksuprofiili, jos alkuperäinen maksu epäonnistuu, tai lisätäänkö se jäljellä olevaan saldoon."
"Wrong %s specified.","Väärä %s määritetty."
"Wrong or empty billing amount specified.","Väärä tai tyhjä laskutussumma määritetty."
"Year","Vuosi"
"Zero Subtotal Checkout","Nolla Välisumma Kassalle"
