"""Remember Me"" Cookie Lifetime","""Muista Minut"" Evästeen Elinikä"
"Full URL to the official Facebook profile.","Täysi URL viralliselle Facebook-profiilille."
"Full URL to the official Instagram profile.","Täysi URL viralliselle Instagram-profiilille."
"Full URL to the official LinkedIn profile.","Koko URL-osoite viralliselle LinkedIn profiilille."
"Full URL to the official X (Twitter) profile.","Koko URL-osoite viralliselle X (Twitter) -profiilille."
"General","Yleiset"
"General Contact","Yleinen Yhteystieto"
"General Contact Email","Yleinen Yhteystieto"
"General Contact Name","Yleinen Yhteyshenkilön Nimi"
"General Settings","Yleiset Asetukset"
"Get info about current Maho installation","Hanki tietoa nykyisestä Mahon asennuksesta"
"Global","Globaali"
"Header","Otsikko"
"Helper attributes should not be used in custom layout updates.","Avustavia attribuutteja ei pitäisi käyttää mukautetuissa asettelun päivityksissä."
"Host","Isäntä"
"How long browsers should remember to use HTTPS. Default: 31536000 (1 year)","Kuinka pitkien selaimien tulisi muistaa käyttää HTTPS-valmistetta. Oletus: 31536000 (1 vuosi)"
"How many links to display at once.","Kuinka monta linkkiä näytetään kerralla."
"HSTS Max Age (seconds)","Hsts Max Ikä (Sekuntia)"
"HTML filtration has failed.","HTML-suodatus epäonnistui."
"HTML Head","Html Otsikko"
"HTML tags are not allowed","HTML-tagit eivät ole sallittuja"
"ID","ID"
"ID Path for Specified Store","Tunnuksen polku määrättyä kauppaa varten"
"If empty, the ""Allow Countries"" list is used for shipping.","Jos tyhjä, ""Salli maat"" -listaa käytetään toimitukseen."
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","Jos nykyinen kehyksen sijainti ei kata äärimmäisiä sivuja, linkki nykyiseen sijaintiin plus / miinus tämä arvo."
"Image quality","Kuvan laatu"
"Incorrect credit card expiration date.","Virheellinen luottokortin viimeinen voimassaolopäivä."
"Instagram URL","Instagram URL"
"Invalid base url type","Virheellinen perusURL-tyyppi"
"Invalid block: %s","Virheellinen lohko: %s"
"Invalid block type: %s","Virheellinen lohkon tyyppi: %s"
"Invalid connection","Virheellinen yhteys"
"Invalid date","Virheellinen päivämäärä"
"Invalid image.","Invalid image."
"Invalid layout update handle","Virheellinen asettelun päivityskahva"
"Invalid messages storage ""%s"" for layout messages initialization","Virheellinen viestien tallennustila ""%s"" layout viestien alustukseen"
"Invalid MIME type.","Virheellinen MIME-tyyppi."
"Invalid or empty SVG file.","Virheellinen tai tyhjä SVG-tiedosto."
"Invalid query","Virheellinen kysely"
"Invalid stream.","Virheellinen stream."
"Invalid template path used in layout update.","Sivupohjan polku ei kelpaa asettelun päivityksessä."
"Invalid transactional email code: %s","Virheellinen tapahtuman sähköpostikoodi: %s"
"Invalid URL","Virheellinen URL"
"Invalid URL scheme.","Virheellinen URL-järjestelmä."
"Invalid website's configuration path: %s","Virheellinen sivuston konfiguraatiopolku: %s"
"JavaScript Deferral Mode","Javascriptin Jälki-Tila"
"JavaScript Settings","JavaScriptin Asetukset"
"Lax","Lax"
"Layout","Asettelu"
"Leave empty for access from any location.","Jätä tyhjäksi päästäksesi mistä tahansa sijainnista."
"Leave this field empty","Jätä tämä kenttä tyhjäksi"
"LinkedIn URL","LinkedIn URL"
"List of stores","Luettelo kaupoista"
"Loading Indicator Timeout","Ladataan Indikaattoria Aikakatkaistiin"
"Load on Intent","Lataa teltassa"
"Locale","Lokaatio"
"Locale Options","Lokaation Asetukset"
"Login is Case Sensitive","Kirjautuminen on merkkijonon herkkä"
"Logo Image","Logon Kuva"
"Logo Image Alt","Logon Kuvan Alt"
"Logo Image Src","Logo Kuvat SRC"
"Log Settings","Lokin Asetukset"
"Maho info","Mahon tiedot"
"Maho info API","Maho info API"
"Mail Sending Settings","Sähköpostin Lähettämisen Asetukset"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/maho/","Varmista, että perusURL-osoite päättyy '/' (lash), esim. http://yourdomain/maho/"
"Manage Stores","Hallitse Kauppoja"
"Match expressions in the same order as displayed in the configuration.","Sovita lausekkeet samassa järjestyksessä kuin näytetään asetuksissa."
"Media Storage","Median Tallennustila"
"Message recipients data must be set.","Viestin vastaanottajan tiedot on määritettävä."
"Minifies CSS files and caches them in media/mahominify for improved performance","Minimoi CSS-tiedostot ja kätköt mediassa / mahominify paremman suorituskyvyn"
"Minifies JavaScript files and caches them in media/mahominify for improved performance","Minifies JavaScript-tiedostot ja kätköt media/mahominify parantaaksesi suorituskykyä"
"Minify CSS Files","Minify CSS Files"
"Minify JavaScript Files","Pienennä JavaScript-tiedostot"
"Minimum Log Severity","Lokin Minimi Vakavuus"
"Miscellaneous HTML","Sekalainen HTML"
"Miscellaneous Scripts","Sekalaiset Skriptit"
"Model collection resource name is not defined.","Mallin kokoelman nimeä ei ole määritelty."
"Module ""%1$s"" cannot depend on ""%2$s"".","Moduuli ""%1$s"" ei voi riippua ""%2$s""."
"Module ""%1$s"" requires module ""%2$s"".","Moduuli ""%1$s"" vaatii moduulin ""%2$s""."
"Name","Nimi"
"New Admin User Create Notification","Uusi Ylläpito Käyttäjän Luo Ilmoitus"
"New Admin User Email Template","Uusi Ylläpitäjän Sähköpostimalli"
"New Design Change","Uusi Ulkoasun Muutos"
"New Store","Uusi Kauppa"
"New Store View","Uusi Kauppanäkymä"
"New Website","Uusi Sivusto"
"No","Ei"
"None","Ei Mitään"
"Number from 0 to 100 (default is 85, recommended by Google). Higher values preserve more details but increase file size. For WebP format, you can also use 101 to enable lossless compression.","Numero 0-100 (oletus on 85, suositellaan Google). Korkeammat arvot säilyttävät tarkemmat tiedot, mutta lisäävät tiedoston kokoa. WebP-muodossa, voit myös käyttää 101 jotta häviötön pakkaus."
"Number of milliseconds to delay showing the loading indicator. The default value is ""200"". An empty value disables the delay.","Mllisekuntien lukumäärä, joka viivyttää kuormitusindikaattorin näyttämistä. Oletusarvo on ""200"". Tyhjä arvo poistaa viiveen käytöstä."
"Number of seconds between each allowed request.","Kunkin sallitun pyynnön välinen sekunti"
"Offloader header","Offloader header"
"Only messages at this severity level or higher will be logged. For example, selecting ""Error"" will log Error, Critical, Alert, and Emergency messages, but not Warning, Notice, Info, or Debug. Note: Developer mode overrides this setting and logs all levels.","Vain tämän vakavuustason tai sitä korkeamman tason viestit kirjataan. Esimerkiksi, valinta ""Virhe"" loki virhe, kriittinen, hälytys, ja hätäviestejä, mutta ei varoitus, Notice, Info, tai Debug. Huomautus: Kehittäjätila ohittaa tämän asetuksen ja kirjautuu kaikille tasoille."
"Package","Paketti"
"Pagination","Sivutus"
"Pagination Frame","Sivutuksen Kehys"
"Pagination Frame Skip","Sivutuksen Kehys Ohita"
"Path ""%s"" contains an invalid stream wrapper.","Polku ""%s"" sisältää virheellisen stream-wrapperin."
"Path ""%s"" contains invalid parent directory references.","Polku ""%s"" sisältää virheellisiä isäntähakemistoviitteitä."
"Path ""%s"" is not available and cannot be used.","Polku ""%s"" ei ole käytettävissä eikä sitä voi käyttää."
"Path ""%s"" is protected and cannot be used.","Polku ""%s"" on suojattu eikä sitä voi käyttää."
"Per-endpoint Limits","Per-päätepisteen Raja-arvot"
"PHP SOAP extension is required.","PHP SOAP-laajennus on pakollinen."
"Please define flag code.","Määritä lipun koodi."
"Please do not use ""event"" for an attribute code.","Ole hyvä ja älä käytä attribuutin koodia ""tapahtuma""."
"Please enter a number 0 or greater in this field.","Syötä numero 0 tai suurempi tähän kenttään."
"Please enter a number 1 or greater in this field.","Syötä numero 1 tai suurempi tähän kenttään."
"Please enter a number greater than 0 in this field.","Syötä tähän kenttään numero, joka on suurempi kuin 0."
"Please enter a number lower than 100.","Anna numero, joka on pienempi kuin 100."
"Please enter a valid $ amount. For example $100.00.","Syötä kelvollinen $ summa. Esimerkiksi $ 100,00."
"Please enter a valid credit card number.","Syötä voimassa oleva luottokortin numero."
"Please enter a valid credit card verification number.","Syötä voimassa oleva luottokortin vahvistusnumero."
"Please enter a valid date.","Syötä kelvollinen päivämäärä."
"Please enter a valid date between %s and %s","Syötä kelvollinen päivämäärä välillä %s ja %s"
"Please enter a valid date equal to or greater than %s","Anna kelvollinen päivämäärä, joka on yhtä suuri tai suurempi kuin %s"
"Please enter a valid date less than or equal to %s","Anna kelvollinen päivämäärä pienempi tai yhtä suuri kuin %s"
"Please enter a valid day (1-%d).","Syötä kelvollinen päivä (1-%d)."
"Please enter a valid email address. For example johndoe@domain.com.","Anna voimassa oleva sähköpostiosoite. Esimerkiksi johndoe@domain.com."
"Please enter a valid full date","Syötä kelvollinen koko päivämäärä"
"Please enter a valid month (1-12).","Syötä kelvollinen kuukausi (1-12)."
"Please enter a valid number in this field.","Syötä kelvollinen numero tähän kenttään."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Syötä kelvollinen puhelinnumero. Esimerkiksi (123) 456-7890 tai 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Syötä voimassa oleva sosiaaliturvatunnus. Esimerkiksi 123-45-6789."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Anna kelvollinen URL. Esimerkiksi http://www.example.com tai www.example.com"
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","Syötä kelvollinen URL-osoite. Protokollaa tarvitaan (http://, SOD:// tai ftp://)"
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","Syötä kelvollinen URL-avain. Esimerkiksi ""esimerkki-sivu"", ""esimerkki-page.html"" tai ""muu taso/esimerkki-sivu""."
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","Syötä kelvollinen XML-tunniste. Esimerkiksi something_1, block5, id-4."
"Please enter a valid year (1900-%d).","Syötä kelvollinen vuosi (1900-%d)."
"Please enter a valid zip code.","Syötä kelvollinen postinumero."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Syötä kelvollinen postinumero. Esimerkiksi 90602 tai 90602-1234."
"Please enter issue number or start date for switch/solo card type.","Syötä ongelman numero tai aloituspäivä kytkin / soolo kortin tyyppi."
"Please enter more characters. Password should contain both numeric and alphabetic characters.","Kirjoita lisää merkkejä. Salasanan tulee sisältää sekä numeroita että aakkosmerkkejä."
"Please enter more characters or clean leading or trailing spaces.","Syötä lisää merkkejä tai puhtaita etu- tai perään jääviä välilyöntejä."
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.","Syötä kelvollinen CSS-pituus. Esimerkiksi 100px tai 77pt tai 20em tai .5ex tai 50%."
"Please make sure your passwords match.","Varmista, että salasanat täsmäävät."
"Please select a file","Ole hyvä ja valitse tiedosto"
"Please select an option.","Ole hyvä ja valitse vaihtoehto."
"Please select email log entries to delete.","Valitse poistettavat sähköpostilokitiedot."
"Please select one of the above options.","Valitse yksi yllä olevista vaihtoehdoista."
"Please select one of the options.","Ole hyvä ja valitse yksi vaihtoehdoista."
"Please select State/Province.","Valitse osavaltio/maakunta."
"Please set available and/or protected paths list(s) before validation.","Määritä käytettävissä olevat ja/tai suojatut polkuluettelot ennen validointia."
"Please specify either a category or a product, or both.","Määritä joko kategoria tai tuote tai molemmat."
"Please use letters only (a-z or A-Z) in this field.","Käytä vain kirjaimia (a-z tai A-Z) tässä kentässä."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Käytä vain numeroita tässä kentässä. Vältä välilyöntejä tai muita merkkejä, kuten pisteitä tai pilkkuja."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Käytä tässä kentässä vain kirjaimia (a-z), numeroita (0-9) tai alaviivaa (_), ensimmäisen merkin tulee olla kirjain."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Käytä tässä kentässä vain kirjaimia (a-z tai A-Z), numeroita (0-9) tai alaviivoja (_), ensimmäisen merkin tulee olla kirjain."
"Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Käytä vain kirjaimia (a-z tai A-Z) tai numeroita (0-9) tässä kentässä. Välilyöntejä tai muita merkkejä ei sallita."
"Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.","Käytä vain kirjaimia (a-z tai A-Z) tai numeroita (0-9) tai välilyöntejä ja vain # tässä kentässä."
"Please use only visible characters and spaces.","Käytä vain näkyviä merkkejä ja välilyöntejä."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Käytä tätä päivämäärän muotoa: pp/kk/vvvv.. Esimerkiksi 17/03/2006 17. maaliskuuta 2006."
"Please wait, loading...","Odota, ladataan..."
"Port","Portti"
"Prevents browsers from MIME-sniffing responses. Recommended for security.","Ehkäisee selaimia MIME-nuuskeilta vastauksilta. Suositellaan turvallisuudelle."
"Profiler","Profiler"
"Rate limit","Arvostele raja"
"Recovery Link Expiration Period (hours)","Palautuslinkin Voimassaoloaika (Tuntia)"
"Referrer Policy","Viittauslausekkeen Käytäntö"
"Request Path for Specified Store","Pyydä polkua määrättyyn kauppaan"
"Request path length exceeds allowed %s symbols.","Pyydä polun pituus ylittää sallitun %s symbolin."
"Resource ""%s"" is not found.","Resurssia ""%s"" ei löydy."
"Resource is not set.","Resurssia ei ole asetettu."
"Retrieve info about current Maho installation","Hae tietoja nykyisestä Mahon asennuksesta"
"Retrieve store data","Hae kaupan tiedot"
"Retrieve store list","Nouda myymäläluettelo"
"Return-Path Email","Return-Path Sähköposti"
"Root Category","Juuren Kategoria"
"Sales Representative","Myynnin Edustaja"
"Sales Representative Contact Email","Myynnin Edustajan Yhteyssähköpostiosoite"
"Sales Representative Contact Name","Myynti Edustajan Yhteyshenkilön Nimi"
"Same-Site","Same-Site"
"Save","Tallenna"
"Save Store","Tallenna Kauppa"
"Save Store View","Tallenna Kauppanäkymä"
"Save Website","Tallenna Sivusto"
"Secure","Turvallinen"
"Security","Turvallisuus"
"Sender Email","Lähettäjän Sähköposti"
"Sender Name","Lähettäjän Nimi"
"Sent","Lähetetty"
"Server returned status %s","Palvelin palautti tilan %s"
"Services","Palvelut"
"Session Cookie Management","Istunnon Evästeen Hallinta"
"Session Lifetime (seconds)","Istunnon Kesto (Sekuntia)"
"Session Validation Settings","Istunnon Vahvistuksen Asetukset"
"Set as Default","Aseta oletukseksi"
"Set Return-Path","Aseta Return-Path"
"Skin (Images / CSS)","Ulkoasu (Kuvat / CSS)"
"Small Logo Image Src","Pieni Logo Kuvat SRC"
"Social Profiles","Social Profiles"
"Sort Order","Järjestä Järjestys"
"Start date cannot be greater than end date.","Aloituspäivä ei voi olla suurempi kuin lopetuspäivä."
"Startup Page","Startup Page"
"Status","Tila"
"Storage Configuration for Media","Tallennustilan asetukset medialle"
"Store","Kauppa"
"Store API","Store API"
"Store Contact Address","Kaupan Yhteystieto"
"Store Contact Information","Kaupan Yhteystiedot"
"Store Contact Telephone","Kaupan Yhteyspuhelinnumero"
"Store Email Addresses","Kaupan Sähköpostiosoitteet"
"Store Hours of Operation","Kaupan toimintatunnit"
"Store Information","Kaupan Tiedot"
"Store Name","Kaupan Nimi"
"Store View","Kaupan Näkymä"
"Store view doesn't exist","Kauppanäkymää ei ole olemassa"
"Store View Information","Kauppanäkymän Tiedot"
"Store View Name","Kauppanäkymän Nimi"
"Store with the same code","Säilytä samalla koodilla"
"Strict","Tiukka"
"Subject","Aihe"
"SVG file could not be sanitized.","SVG-tiedostoa ei voitu puhdistaa."
"SVG sanitization failed: %s","SVG sanitiointi epäonnistui: %s"
"System","Järjestelmä"
"Template","Malli"
"Template Path Hints","Sivupohjan Polun Vinkkejä"
"Templates","Mallit"
"Template Settings","Sivupohjan Asetukset"
"Template Variables","Mallin Muuttujat"
"Text length does not satisfy specified text range.","Tekstin pituus ei täytä määritettyä tekstialuetta."
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","Antamasi %s on virheellinen. Varmista, että se noudattaa ""http://domain.com/"" -muotoa."
"The default value is ""30 2 * * *"". An empty value disables automatic cache flushing.","Oletusarvo on ""30 2 * *"". Tyhjä arvo poistaa automaattisen välimuistin huuhtelut."
"The file extension ""%s"" is not allowed. Allowed extensions: %s","Tiedostopääte ""%s"" ei ole sallittu. Sallitut lisäosat: %s"
"The file extension ""%s"" is not allowed for security reasons.","Tiedostopääte ""%s"" ei ole sallittu turvallisuussyistä."
"The From Date value should be less than or equal to the To Date value.","Alkaen päivämäärä arvon on oltava pienempi tai yhtä suuri kuin päivämäärä arvo."
"Themes","Teemat"
