"(not processed yet)","(ei käsitelty vielä)"
"Further requests are still recorded, but the customer receipt email is suppressed (visible and resendable in the admin grid). Defeats email-bombing of third parties. 0 disables the limit.","Muita pyyntöjä on vielä tallennettu, mutta asiakaskuitti sähköposti on tukahdutettu (näkyvä ja resendable admin ruudukko). Defeats email-bombing of third parties. 0 poistaa rajan."
"General","Yleiset"
"Honeypot Field","Honeypotin Kenttä"
"ID","ID"
"If you do not receive a confirmation email within a few minutes, please contact us at %s and quote your reference number.","Jos et saa vahvistussähköpostia muutaman minuutin kuluessa, ole hyvä ja ota yhteyttä osoitteeseen %s ja lainaa viitenumeroasi."
"I hereby revoke this contract","Peruutan täten tämän sopimuksen"
"Information Requested","Pyydetyt Tiedot"
"Internal Note","Sisäinen Huomautus"
"Invalid decision.","Päätös ei kelpaa."
"Invalid form key. Please refresh the page and try again.","Virheellinen lomakkeen avain. Päivitä sivu ja yritä uudelleen."
"IP Address","Ip Osoite"
"Leave empty to use the General Contact email address.","Jätä tyhjäksi käyttääksesi General Contact -sähköpostiosoitetta."
"Leave empty to use the label configured under Sales > Revocation Button.","Jätä tyhjäksi käyttääksesi tarraa, joka on määritetty Myynnin > Peruutuspainikkeella."
"Leave empty to use the translated default (""Revoke contract"" / ""Vertrag widerrufen"").","Jätä tyhjäksi käyttääksesi käännettyä oletusta (""Peruuta sopimus"" / ""Vertrag widerrufen"")."
"Link Order","Linkin Tilaus"
"Link to order (increment ID):","Linkki tilaukseen (lisäys ID):"
"Link to the contract revocation form (EU Directive 2023/2673). Place it in your footer or anywhere it must stay visible during the withdrawal period.","Linkki sopimuksen peruutuslomakkeeseen (EU-direktiivi 2023/2673). Aseta se alatunnisteeseen tai missä tahansa sen on pysyttävä näkyvissä peruuttamisajan aikana."
"Locale","Lokaatio"
"Mark as Accepted","Merkitse hyväksytyksi"
"Mark as Rejected","Merkitse hylätyksi"
"Mark the selected requests as accepted? The matched orders are not modified.","Merkitse valitut pyynnöt hyväksytyksi? Yhdistettyjä tilauksia ei ole muokattu."
"Mark the selected requests as rejected? The matched orders are not modified.","Merkitse valitut pyynnöt hylätyksi? Yhdistettyjä tilauksia ei ole muokattu."
"Matched Order","Täsmätty Tilaus"
"Merchant Notification Email","Kauppias Ilmoitus Sähköposti"
"Merchant Notifications per Store per Hour","Kauppias Ilmoitukset per kauppa per tunti"
"Merchant Notification Template","Kauppiaiden Ilmoitusmalli"
"Minimum Submit Time (Seconds)","Pienin Viestiaika (Sekuntia)"
"Must only acknowledge receipt of the declaration, never acceptance.","Täytyy vain ilmoittaa vastaanottaneensa julistuksen, koskaan hyväksyä."
"Name","Nimi"
"No","Ei"
"No (self-asserted via the public form)","Ei (itse vahvistettu julkisen muodon kautta)"
"No order could be matched to this request. The customer typed ""%s"".","Tähän pyyntöön ei voitu vastata. Asiakas on kirjoittanut ""%s""."
"No order found for increment ID ""%s"".","Tilausta ei löytynyt lisäykselle ID ""%s""."
"Only invisible background measures are used (honeypot, submit timing, invisible captcha, rate limits).<br>Manual CAPTCHAs and email verification links are legally inadmissible for the revocation form. Do not tune these limits so strictly that legitimate customers are blocked.","Käytetään vain näkymättömiä taustamittareita (hunajapotti, lähetysaika, näkymätön captcha, nopeusrajat).<br>Manuaaliset CAPTCHA-linkit ja sähköpostivahvistuslinkit ovat oikeudellisesti kiellettyjä peruutuslomakkeessa. Älä viritä näitä rajoja niin tiukasti, että lailliset asiakkaat on estetty."
"Order","Tilaus"
"Order Number","Tilauksen Numero"
"Order Reference","Tilauksen Viite"
"Please enter a valid email address.","Anna voimassa oleva sähköpostiosoite."
"Please fill in your name, your order reference and your email address.","Ole hyvä ja täytä nimesi, tilaussi ja sähköpostiosoitteesi."
"Please select request(s).","Valitse pyyntö(t)."
"Processed At","Käsitelty"
"Processed Status","Käsitellyn Tila"
"Processing","Käsitellään"
"Process Requests","Prosessin Pyynnöt"
"Reason","Syy"
"Reason (optional)","Syy (valinnainen)"
"Receipt Emails per Recipient per Day","Vastaanottajaa kohti lähetetyt sähköpostit päivässä"
"Received","Vastaanotettu"
"Received at","Vastaanotettu klo"
"Received at (UTC)","Vastaanotettu (UTC)"
"Reference number","Viitenumero"
"Rejected","Hylätty"
"Reject Revocation","Hylkää Peruutus"
"Reject this revocation? This records the decision and adds a note to the matched order. No order status changes automatically.","Hylätäänkö tämä kumoaminen? Tämä kirjaa päätöksen ja lisää merkinnän vastaavaan tilaukseen. Tilauksen tila ei muutu automaattisesti."
"Request #%s","Pyyntö #%s"
"Resend Receipt Email","Lähetä Vastaanotto Uudelleen"
"Resend the receipt email to %s?","Lähetä kuitti sähköposti uudelleen %s?"
"Revocation Button","Peruutuksen Painike"
"Revocation Form","Peruuttamislomake"
"Revocation Merchant Notification","Peruutus Merchant Ilmoitus"
"Revocation Receipt Confirmation","Peruutuksen Vahvistus"
"Revocation received","Peruutus vastaanotettu"
"Revocation Request","Peruutuspyyntö"
"Revocation Request #%s","Peruutuspyyntö #%s"
"Revocation request #%s accepted.","Peruutuspyyntö #%s hyväksytty."
"Revocation request #%s rejected.","Peruutuspyyntö #%s hylättiin."
"Revocation Requests","Peruutuspyynnöt (Peruuttaminen)"
"Revocation Success","Peruutus Onnistui"
"Revoke contract","Kumoa sopimus"
"Revoke this contract","Peruuta tämä sopimus"
"Sales","Myynti"
"Save Note","Tallenna Huomautus"
"Store View","Kaupan Näkymä"
"Submissions faster than this after page render are silently dropped as bot traffic. 0 disables the check.","Lähetykset nopeammin kuin tämä jälkeen sivun renderöinti on hiljaa pudonnut bottiliikennettä. 0 poistaa tarkistuksen käytöstä."
"Submissions per IP per Hour","Lähetykset per IP per tunti"
"The customer receipt email was suppressed (%s) at %s and has not been delivered. Use ""Resend Receipt Email"" to deliver it after triage.","Asiakaskuitti sähköposti oli tukahdutettu (%s) klo %s ja sitä ei ole toimitettu. Käytä ""Lähetä kuitti uudelleen"" lähettääksesi sen kokeilun jälkeen."
"The receipt email could not be sent. Please check the email configuration.","Kuittaussähköpostia ei voitu lähettää. Ole hyvä ja tarkista sähköpostin asetukset."
"The receipt email has been resent to %s.","Kuitti sähköposti on lähetetty uudelleen %s."
"The request has been linked to order %s.","Pyyntö on linkitetty tilaukseen %s."
"The revocation has been marked as accepted.","Peruuttaminen on merkitty hyväksytyksi."
"The revocation has been marked as rejected.","Peruutus on merkitty hylätyksi."
"The revocation request has been saved.","Peruutuspyyntö on tallennettu."
"This revocation request no longer exists.","Tätä peruutuspyyntöä ei ole enää olemassa."
"This revocation was accepted. To refund the customer, %s for order %s.","Tämä peruutus hyväksyttiin. Lunastaaksesi asiakkaan, %s tilaukselle %s."
"Total of %d request(s) were updated.","Yhteensä %d pyyntöä päivitettiin."
"Used to gate the my-account entry point. The statutory period is 14 days.","Käytetään My-tilin lähtöpisteen porttiin. Lakisääteinen aika on 14 päivää."
"User Agent","Käyttäjän Agentti"
"Verified","Vahvistettu"
"View Request","Näytä Pyyntö"
"View Requests","Näytä Pyynnöt"
"We have received your revocation declaration. Please note that this confirms receipt only; the validity of the revocation will be assessed and we will contact you separately.","Olemme saaneet kumoamisilmoituksenne. Huomioithan, että tämä vahvistaa kuitti vain; peruutuksen voimassaoloa arvioidaan ja otamme sinuun yhteyttä erikseen."
"Yes","Kyllä"
"Yes (submitted from an authenticated customer session)","Kyllä (lähetetty asiakkaan todennetusta istunnosta)"
"You can revoke your contract within the statutory withdrawal period using this form.<br>After submitting, you will receive a confirmation that your declaration has been received.","Voit peruuttaa sopimuksesi lakisääteisen peruuttamisajan kuluessa käyttämällä tätä lomaketta.<br>Lähettämisen jälkeen saat vahvistuksen siitä, että ilmoituksesi on vastaanotettu."
"Your request could not be processed right now. Please try again later or contact us directly.","Pyyntöäsi ei voitu käsitellä juuri nyt. Yritä myöhemmin uudelleen tai ota meihin yhteyttä suoraan."
"Your revocation has been received","Peruutuksesi on vastaanotettu"
