"-- Please Select --","-- Valitse --"
"Account Created In Store","Kaupassa Luotu Tili"
"Refresh Segments","Päivitä Segmentit"
"Row Total","Rivin Summa"
"Row Total (Inc. Tax)","Rivi Yhteensä (Inc.)"
"Sales rule does not exist.","Myyntisääntöä ei ole olemassa."
"Sales rule is not active.","Myyntisääntö ei ole aktiivinen."
"Sales rule is required when coupon generation is enabled.","Myyntisääntöä tarvitaan, kun kuponkigenerointi on käytössä."
"Sales rule must be configured for specific coupon codes.","Myyntisääntö on konfiguroitava tietyille alennuskoodeille."
"Sales rule must have auto-generation enabled.","Myyntisäännöllä on oltava automaattinen luonti käytössä."
"Sales rule to base coupon on","Myyntisääntö, jonka mukaan kuponki lasketaan"
"Sales rule to use as template for generated coupons","Myyntisääntö, jota käytetään mallina luoduille kuponkeille"
"Save and Continue Edit","Tallenna ja jatka muokkaamista"
"Save Email Sequences","Tallenna Sähköpostin Sarjat"
"Save Segment","Tallenna Segmentti"
"Save Segments","Tallenna Segmentit"
"Scheduled","Ajoitettu"
"Segment ID is required.","Segmentin tunnus vaaditaan."
"Segment Information","Segmentin Tiedot"
"Segment Name","Segmentin Nimi"
"Segment name is required.","Segmentin nimi vaaditaan."
"Segment Refresh Cron Schedule","Segmentti Päivitä Cron Aikataulu"
"Selected sales rule is not active.","Valittu myyntisääntö ei ole aktiivinen."
"Selected sales rule must be configured for ""Specific Coupon"" type.","Valittu myyntisääntö on konfiguroitava ""Erityinen kuponki"" tyypille."
"Selected sales rule must have ""Use Auto Generation"" enabled.","Valitulla myyntisäännöllä on oltava ""Käytä automaattista luontia"" käytössä."
"Sent","Lähetetty"
"Sequence ID is required.","Sequence ID on pakollinen."
"Sequence not found.","Sarjaa ei löytynyt."
"Sequence step %d: %s","Sequence step %d: %s"
"Sequence Step Settings","Sequence Step Asetukset"
"Shopping Cart","Ostoskori"
"Shopping Cart Information","Ostoskorin Tiedot"
"Simple Product","Yksinkertainen Tuote"
"Skipped","Ohitettu"
"Statistics","Tilastot"
"Status Change Date","Tilan Muutoksen Päivämäärä"
"Step","Vaihe"
"Step Number","Vaiheen Numero"
"Step number %d already exists for this segment %s trigger.","Vaihenumero %d on jo olemassa tälle segmentille %s."
"Step number must be greater than 0.","Vaiheen numeron on oltava suurempi kuin 0."
"Subject","Aihe"
"Subscription Status","Tilauksen Tila"
"Template ID is required.","Mallin tunnus vaaditaan."
"The email sequence has been deleted.","Sähköpostin järjestys on poistettu."
"The email sequence has been saved.","Sähköpostijärjestys on tallennettu."
"The segment has been deleted.","Segmentti on poistettu."
"The segment has been refreshed.","Segmentti on päivitetty."
"The segment has been saved.","Segmentti on tallennettu."
"This segment no longer exists.","Tätä segmenttiä ei ole enää olemassa."
"This sequence no longer exists.","Tätä järjestystä ei enää ole."
"Total of %d record(s) were deleted.","Yhteensä %d tietuetta poistettiin."
"Total of %d record(s) were updated.","Yhteensä %d tietuetta päivitettiin."
"Total Ordered Amount","Tilattu Määrä Yhteensä"
"Trigger event must be either ""enter"" or ""exit"".","Käynnistimen tapahtuman on oltava joko ""enter"" tai ""exit""."
"Unable to find a segment to refresh.","Segmenttiä ei löydy päivitettäväksi."
"Unknown Segment","Tuntematon Segmentti"
"View","Näytä"
"View Count","Näytä Määrä"
"View Customers in Segment","Näytä asiakkaat segmentissä"
"Viewed","Katsottu"
"Viewed Products","Katsotut Tuotteet"
"Virtual Product","Virtuaalinen Tuote"
"When customer enters segment","Kun asiakas tulee segmenttiin"
"When customer exits segment","Kun asiakas lopettaa segmentin"
"Wishlist","Toivelista"
"Wishlist Items Count","Toivelista Tuotteiden Määrä"
"Wishlist Shared","Toivelista Jaettu"
