"Action","Toiminto"
"Newsletter Variables","Uutiskirjeen Muuttujat"
"New Template","Uusi Malli"
"No problems found.","Ongelmia ei löytynyt."
"No subscribers selected.","Tilaajia ei ole valittu."
"Not Activated","Ei Aktivoitu"
"No Templates Found","Sivupohjia Ei Löytynyt"
"Not Sent","Ei Lähetetty"
"Pause","Tauko"
"Paused","Keskeytetty"
"Please enter a valid email address.","Anna voimassa oleva sähköpostiosoite."
"Please refer to exeption.log","Katso exeption.log"
"Please select subscriber(s)","Valitse tilaaja(t)"
"Preview","Esikatselu"
"Preview Template","Esikatsele Mallia"
"Processed","Käsitelty"
"Queue Date Start","Jonon Alkamispäivä"
"Queue Finish","Jono Valmis"
"Queue Information","Tietoja Jonosta"
"Queue Newsletter...","Jonon Uutiskirje..."
"Queue Start","Jonon Aloitus"
"Queue Subject","Jonon Aihe"
"Recipients","Vastaanottajat"
"Reset","Reset"
"Resume","Jatka"
"Return HTML Version","Palauta Html- Versio"
"Save and Resume","Tallenna ja jatka"
"Save As","Tallenna Nimellä"
"Save Newsletter","Tallenna Uutiskirje"
"Save Template","Tallenna Malli"
"Segment Name","Segmentin Nimi"
"Selected problems have been deleted.","Valitut ongelmat on poistettu."
"Selected problem subscribers have been unsubscribed.","Valitut ongelmatilaajat on peruutettu."
"Sender","Lähettäjä"
"Sender Email","Lähettäjän Sähköposti"
"Sender Name","Lähettäjän Nimi"
"Sender name is required","Lähettäjän nimi on pakollinen"
"Sending","Lähetetään"
"Sent","Lähetetty"
"Sequence Step Number","Sekvenssivaiheen Numero"
"Sign up for our newsletter","Kirjaudu sisään uutiskirjeemme"
"Sign Up for Our Newsletter:","Tilaa uutiskirjeemme:"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Anteeksi, mutta ylläpitäjä kielsi tilauksen vieraille. <a href=""%s"">rekisteröi</a>."
"Start","Aloita"
"Status","Tila"
"Store","Kauppa"
"Store View","Kaupan Näkymä"
"Subject","Aihe"
"Submit","Lähetä"
"Subscribe","Tilaa"
"Subscribed","Tilattu"
"Subscriber","Tilaaja"
"Subscriber Email","Tilaajan Sähköposti"
"Subscribers","Tilaajat"
"Subscribers From","Tilaajat Alkaen"
"Subscription Options","Tilauksen Asetukset"
"Success Email Sender","Sähköpostin Lähettäjä Onnistui"
"Success Email Template","Sähköpostin Malli Onnistui"
"Template code is required","Mallin koodi on pakollinen"
"Template Content","Mallin Sisältö"
"Template Information","Sivupohjan Tiedot"
"Template Name","Mallin Nimi"
"Template Styles","Template Styles"
"Template Subject","Mallin Aihe"
"Template Type","Mallin Tyyppi"
"Template type must be numeric","Mallin tyypin on oltava numeerinen"
"Thank you for your subscription.","Kiitos tilauksestasi."
"The newsletter template has been deleted.","Uutiskirjeen malli on poistettu."
"There was a problem with the subscription.","Tilauksen kanssa oli ongelma."
"There was a problem with the subscription: %s","Tilauksen kanssa tapahtui virhe: %s"
"There was a problem with the un-subscription.","Tilauksen poiston yhteydessä tapahtui virhe."
"The subscription has been removed.","Tilaus on poistettu."
"The subscription has been saved.","Tilaus on tallennettu."
"This email address is already assigned to another user.","Tämä sähköpostiosoite on jo määritetty toiselle käyttäjälle."
"This email address is already confirmed.","Tämä sähköpostiosoite on jo vahvistettu."
"This email address is already registered.","Tämä sähköpostiosoite on jo rekisteröity."
"Type","Tyyppi"
"Unconfirmed","Vahvistamaton"
"Unsubscribe","Peruuta Tilaus"
"Unsubscribed","Tilaus Peruutettu"
"Unsubscribe Link","Peruuta Linkki"
"Unsubscribe Selected","Peruuta Valittujen Tilaus"
"Unsubscription Email Sender","Peruuta Sähköpostin Lähettäjä"
"Unsubscription Email Template","Peruuta Sähköpostimalli"
"View Newsletter","Näytä Uutiskirje"
"Website","Sivusto"
"You are currently subscribed to our newsletter.","Olet tällä hetkellä tilannut uutiskirjeemme."
"You have been unsubscribed.","Tilauksesi on peruttu."
"Your subscription has been confirmed.","Tilauksesi on vahvistettu."
