"%d country(s) were skipped because they no longer exist.","%d maata ohitettiin, koska niitä ei enää ole."
"%d region(s) were skipped because they have existing region names.","%d aluetta ohitettiin, koska niillä on olemassa olevan alueen nimet."
"-- Please select --","-- Valitse --"
"CurrencyConverterAPI","ValuuttaConverterAPI"
"Currency Options","Valuutan Asetukset"
"Currency rates can't be retrieved.","Valuuttakursseja ei voi noutaa."
"Currency rate service error: %s","Valuuttakurssin palveluvirhe: %s"
"Currency Setup","Valuutan Asetukset"
"Currency Update Warnings","Valuutan Päivityksen Varoitukset"
"Default: only add new locales","Oletus: lisää vain uusia lokaatioita"
"Default Display Currency","Oletus Näytön Valuutta"
"Default Name","Oletus Nimi"
"Default name cannot be longer than 255 characters.","Oletusnimi ei voi olla pidempi kuin 255 merkkiä."
"Default name for this region in English","Oletusnimi tälle alueelle englanniksi"
"Default name is required.","Oletusnimi on pakollinen."
"Delete Country","Poista Maa"
"Delete Region","Poista Alue"
"Directory","Hakemisto"
"Directory Management","Hakemistojen Hallinta"
"Display not required State","Näytä ei vaadi tilaa"
"Edit Country","Muokkaa Maata"
"Edit Country ""%s""","Muokkaa Maata ""%s"""
"Edit Region","Muokkaa Aluetta"
"Edit Region ""%s""","Muokkaa Maata ""%s"""
"Enabled","Käytössä"
"Error:","Virhe:"
"Error Email Recipient","Virhe Sähköpostin Vastaanottaja"
"Error Email Sender","Error Email Sender"
"Error Email Template","Virhe Sähköpostin Malli"
"FATAL ERROR:","EPÄTALLINEN VIRHE:"
"Frequency","Taajuus"
"Hold Ctrl/Cmd to select multiple countries","Pidä Ctrl/Cmd pohjassa valitaksesi useita maita"
"Hold Ctrl/Cmd to select multiple locales","Pidä Ctrl/Cmd pohjassa valitaksesi useita lokaatioita"
"Import","Tuo"
"Import completed successfully.","Tuonti suoritettu onnistuneesti."
"Import Regions","Tuo Alueet"
"Import Results","Tuonnin Tulokset"
"Installed Currencies","Asennettu Valuutat"
"Invalid country code: %s","Virheellinen maakoodi: %s"
"Invalid Import Service specified.","Virheellinen tuontipalvelu määritetty."
"Invalid rates received","Virheelliset hinnat vastaanotettu"
"Invalid target currency.","Virheellinen kohdevaluutta."
"ISO2 Code","ISO2 Code"
"ISO2 code is required.","ISO2-koodi on pakollinen."
"ISO2 code must be exactly 2 uppercase letters.","ISO2-koodin on oltava täsmälleen 2 isoa kirjainta."
"ISO3 Code","ISO3 Code"
"ISO3 code is required.","ISO3-koodi on pakollinen."
"ISO3 code must be exactly 3 uppercase letters.","ISO3-koodin on oltava täsmälleen 3 isoa kirjainta."
"List of countries","Luettelo maista"
"List of regions in specified country","Luettelo tietyn maan alueista"
"Locale and region name are required.","Paikallinen ja aluenimi vaaditaan."
"Locale is required.","Kieli on pakollinen."
"Locales","Locales"
"Localized Name","Lokalisoitu Nimi"
"Localized name for this region","Lokalisoitu nimi tälle alueelle"
"Manage Countries","Hallinnoi Maita"
"Manage Directory","Hallitse Hakemistoa"
"Manage Regions","Hallinnoi Alueita"
"Manage Translations","Hallitse Käännöksiä"
"New Country","Uusi Maa"
"New Region","Uusi Alue"
"No API Key was specified or an invalid API Key was specified.","API-avainta ei ole määritetty tai virheellinen API-avain on määritelty."
"One or more invalid symbols have been specified.","Yksi tai useampi virheellinen symboli on määritelty."
"Please select at least one country.","Valitse vähintään yksi maa."
"Please select at least one locale.","Valitse ainakin yksi paikka."
"Please select country(s).","Valitse maa (maa)."
"Please select region(s).","Valitse alue (alueet)."
"Please select region name(s).","Valitse alueen nimet."
"Popular","Suosittu"
"Postal Code is Optional for the following countries","Postinumero on valinnainen seuraavissa maissa"
"Preview changes without importing (Dry Run)","Esikatsele muutokset ilman tuontia (Dry Run)"
"Region","Alue"
"Region API","Alueen API"
"Region Code","Alueen Koodi"
"Region code cannot be longer than 32 characters.","Alueen koodi ei voi olla pidempi kuin 32 merkkiä."
"Region ID","Alueen Tunnus"
"Region Information","Alueen Tiedot"
"Region name cannot be longer than 255 characters.","Alueen nimi voi olla enintään 255 merkkiä."
"Region name is required.","Alueen nimi vaaditaan."
"Regions","Alueet"
"Running...","Käynnissä..."
"Running import...","Suoritetaan tuontia..."
"Save Country","Tallenna Maa"
"Save Region","Tallenna Alue"
"Scheduled Import Settings","Ajoitetut Tuontiasetukset"
"Selected country does not exist.","Valittua maata ei ole olemassa."
"Service","Palvelu"
"Short code for this region (e.g. CA, NY, TX)","Lyhyt koodi tälle alueelle (esim. CA, NY, TX)"
"Shows what would be imported without making actual changes","Näyttää mitä tuotaisiin tekemättä todellisia muutoksia"
"Start Time","Aloitus Aika"
"State/Province","Osavaltio/Provinssi"
"State is required for","Tila on pakollinen"
"States Options","Valtioiden Asetukset"
"System","Järjestelmä"
"The ""%s"" is not allowed as base currency for your subscription plan.","The ""%s"" is not allowed as base currency for your subscription plan. (Automatic Copy)"
"The account this API request is coming from is inactive.","Tili tämä API-pyyntö on tulossa, ei ole aktiivinen."
"The country has been deleted.","Maa on poistettu."
"The country has been saved.","Maa on tallennettu."
"The current request did not return any results.","Tämänhetkinen pyyntö ei tuottanut tuloksia."
"The maximum allowed API amount of monthly API requests has been reached.","Kuukausittaisten API-pyyntöjen suurin sallittu API-määrä on saavutettu."
"The region has been deleted.","Alue on poistettu."
"The region has been saved.","Alue on pelastettu."
"This country no longer exists.","Tätä maata ei ole enää olemassa."
"This region no longer exists.","Tätä aluetta ei enää ole."
"Three character ISO code (e.g. USA, GBR, DEU)","Kolmen merkin pituinen ISO-koodi (esim. USA, GBR, DEU)"
"Top Countries","Suosituimmat Maat"
"Two character country code (e.g. US, GB, DE)","Kaksimerkinen maakoodi (esim. US, GB, DE)"
"Two character ISO code (usually same as Country ID)","Kaksimerkkinen ISO-koodi (yleensä sama kuin maatunnus)"
"Unable to calculate rate for %s to %s.","Ei voida laskea hintaa %s %s."
"Unable to initialize the import model.","Tuonnin mallia ei voitu alustaa."
"Unable to retrieve rate for USD to %s.","Ei voitu noutaa USD %s -hintaa."
"Undefined rate from ""%s-%s"".","Määrittelemätön hinta ""%s-%s""."
"Update existing regions and localized names","Päivitä olemassa olevat alueet ja lokalisoidut nimet"
"WARNING:","VAROITUS:"
"Your Currency","Sinun Valuuttasi"
"Your Currency:","Sinun Valuutta:"
"Your current currency is: %s","Nykyinen valuuttasi on: %s"
