"%s Screenshot","%s Kuvakaappaus"
"%s violation(s)","%s rikkomusta"
"Accessibility Scan","Esteettömyyden Skannaus"
"Scheduled Scans","Ajoitetut Scantit"
"Selector","Valitsin"
"Serious","Vakava"
"Show on desktop screenshot","Näytä työpöydän kuvakaappauksessa"
"Show on mobile screenshot","Näytä mobiilikuvan kuvakaappauksessa"
"Source","Lähde"
"Started","Aloitettu"
"Start Scan","Aloita Skannaus"
"Status","Tila"
"Summary","Summary"
"System","Järjestelmä"
"Template","Malli"
"Template Source","Sivupohjan Lähde"
"The scan has been deleted.","Skannaus on poistettu."
"The scanner cannot run on this server yet:","Skanneri ei voi suorittaa tällä palvelimella:"
"The scanner returned an unexpected result","Skanneri palautti odottamattoman tuloksen"
"The scanner runtime is not installed yet. Run ""./maho accessibility:install"" from the command line to install it.","Skannerin ajoaikaa ei ole vielä asennettu. Suorita ""./maho accessibility:install"" komentoriviltä asentaaksesi sen."
"The URL to scan must belong to one of the configured store base URLs","Skannattavan URL-osoitteen on kuuluttava johonkin määritetyistä kaupan perusosoitteista"
"This report was generated with automated checks (axe-core), which detect only a subset of WCAG success criteria. A report with no violations does not guarantee conformance; manual testing with a keyboard and a screen reader is still required.","Tämä raportti laadittiin automatisoiduilla tarkastuksilla (axe-core), jotka havaitsevat vain osan WCAG:n onnistumiskriteereistä. Raportti, jossa ei ole rikkomuksia, ei takaa vastaavuutta; manuaalinen testaus näppäimistöllä ja näytön lukija on edelleen tarpeen."
"Total","Yhteensä"
"Total Scans","Scantteja Yhteensä"
"Total Violations","Rikkomuksia Yhteensä"
"Unable to acquire the scanner install lock","Skannerin asennuslukitusta ei voitu hankkia"
"Unable to copy the scanner script to %s","Skannerin skriptiä ei voitu kopioida %s"
"Unable to create directory %s","Ei voitu luoda hakemistoa %s"
"Unable to start process: %s","Prosessia ei voitu käynnistää: %s"
"URL","URL-osoite"
"URLs to Scan","URL:t skannataksesi"
"URL to scan","Skannattava URL-osoite"
"URL to scan, e.g. https://store.example.com/","Haettava URL-osoite, esim. https://store.example.com/"
"Violation #%s: %s","Rikkomus #%s: %s"
"Violations","Rikkomukset"
"Violations (Latest Scan)","Rikkomukset (viimeisimmät Skantit)"
"WCAG %s","WCAG %s"
"WCAG 2.2 Level A","WCAG 2.2 Taso A"
"WCAG 2.2 Level AA","Wcag 2.2 Taso Aa"
"WCAG 2.2 Level AAA","WCAG 2.2 Taso AAA"
"WCAG Level","WCAG Taso"
"Width x height in CSS pixels, scanned with mobile emulation. Default: 390x844","Leveys x korkeus CSS pikseleissä, skannattu mobiiliemuloinnilla. Oletus: 390x844"
"Width x height in CSS pixels. Every scan runs one pass per viewport. Default: 1280x1024","Leveys x korkeus CSS pikseleissä. Jokainen skannaus suorittaa yhden syötön per katseluportti. Oletus: 1280x1024"
