"""Remember Me"" Default Value","""Muista Minut"" Oletusarvo"
"Day","Päivä"
"Days in Wishlist","Päivää toivelistalla"
"DD","DD"
"Default Addresses","Oletus Osoitteet"
"Default Billing Address","Oletus Laskutusosoite"
"Default Email Domain","Sähköpostin Oletustoimialue"
"Default Group","Oletus Ryhmä"
"Default Shipping Address","Oletus Toimitusosoite"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Oletusarvo Poista käytöstä Automaattiset konsernimuutokset ALV-tunnuksen perusteella"
"Default Welcome Email","Tervetuliaissähköposti Oletuksena"
"Delete","Poista"
"Delete Address","Poista Osoite"
"Delete Customer","Poista Asiakas"
"Delete customer","Poista asiakas"
"Delete customer address","Poista asiakasosoite"
"Delete Customer Group","Poista Asiakasryhmä"
"Deleted Stores","Poistetut Kaupat"
"Details","Yksityiskohdat"
"Disabled","Pois Käytöstä"
"Edit","Muokkaa"
"Edit Account Info","Muokkaa Tilin Tietoja"
"Edit Account Information","Muokkaa Tilin Tietoja"
"Edit Address","Muokkaa Osoitetta"
"Edit Customer's Address","Muokkaa Asiakkaan Osoitetta"
"Edit Customer Group ""%s""","Muokkaa Asiakasryhmää ""%s"""
"Edit Customer Groups","Muokkaa Asiakasryhmiä"
"Edit Group","Muokkaa Ryhmää"
"Email","Sähköposti"
"Email:","Email:"
"Email Address","Sähköposti Osoite"
"Email Link to Set Password","Sähköpostilinkki salasanan asettamiseksi"
"Email Link to Set Password on New Account","Sähköpostilinkki salasanan asettamiseksi uudelle tilille"
"Email Link to Set Password Options","Sähköpostilinkki salasanan määrittämiseksi"
"Email Sender","Sähköpostin Lähettäjä"
"Email Template","Sähköpostin Malli"
"Enable ""Remember Me""","Ota Käyttöön ""Muista Minut"""
"Enable Automatic Assignment to Customer Group","Ota automaattinen määritys käyttöön asiakasryhmässä"
"Enable Customer Accounts in Frontend","Ota asiakastilit käyttöön julkisella sivustolla"
"Enable Magic Link Login","Ota Käyttöön Magic Link -kirjautuminen"
"Enable Real-time VAT Validation","Ota Käyttöön reaaliaikainen Alv-Vahvistus"
"Excel XML","Excel XML"
"Failed to confirm customer account.","Asiakastilin vahvistaminen epäonnistui."
"Fax","Faksi"
"First Name","Etunimi"
"Forgot and Remind Email Sender","Unohditko ja muistuta sähköpostin lähettäjää"
"Forgot Email Template","Unohdin Sähköpostimallin"
"Forgot Password","Unohtunut Salasana"
"Forgot password flow secure","Unohdin salasanan kulun suojauksen"
"Forgot password requests to times per 24 hours from 1 e-mail","Unohditko salasanapyynnöt 24 tunnin välein 1 sähköpostin kautta"
"Forgot password requests to times per hour from 1 IP","Unohdin salasanapyynnöt kertaa tunnissa 1 IP"
"Forgot Your Password","Unohditko Salasanasi"
"Forgot Your Password?","Unohditko Salasanasi?"
"Form Fields Before","Lomakkeen Kentät Ennen"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Oma tili -hallintapaneelista voit tarkastella tilannekuvaa viimeaikaisista tiliesi toiminnoista ja päivittää tilitietojasi. Valitse alla oleva linkki nähdäksesi tai muokataksesi tietoja."
"Gender","Sukupuoli"
"Gender is required.","Sukupuoli vaaditaan."
"Generate Human-Friendly Customer ID","Luo Henkilökohtainen Asiakastunnus"
"Global","Globaali"
"Group","Ryhmä"
"Group for Invalid VAT ID","Virheellinen ALV-tunnus ryhmä"
"Group for Valid VAT ID - Domestic","Voimassa olevan ALV-tunnuksen ryhmä - Kotimaa"
"Group for Valid VAT ID - Intra-Union","Voimassa olevan ALV-tunnuksen ryhmä - Unionin sisäinen tunnus"
"Group Information","Ryhmän Tiedot"
"Group Name","Ryhmän Nimi"
"Guest","Vieras"
"Hello, %s!","Hei, %s!"
"How long the magic link remains valid. Default: 10 minutes.","Kuinka kauan taikalinkki pysyy voimassa. Oletus: 10 minuuttia."
"How long to cache VIES validation results. Set to 0 to disable caching.","Kuinka kauan välimuistia VIES validointituloksia. Aseta arvoon 0 poistaaksesi välimuistin käytöstä."
"HTML","HTML"
"ID","ID"
"If there is an account associated with %s you will receive an email with a login link.","Jos %s on liitetty tili, saat sähköpostiviestin, jossa on kirjautumislinkki."
"If VIES service is down, accept VAT numbers that pass format validation.","Jos VIES-palvelu on alhaalla, hyväksy alv-numerot, jotka hyväksyvät muotovahvistuksen."
"If you are a registered VAT customer, please <a href=""%s"">click here</a> to enter you billing address for proper VAT calculation","Jos olet rekisteröitynyt ALV-asiakas, ole hyvä ja <a href=""%s"">klikkaa tästä</a> syöttääksesi laskutusosoitteen oikeaa ALV-laskutusta varten"
"If you are a registered VAT customer, please <a href=""%s"">click here</a> to enter you shipping address for proper VAT calculation","Jos olet rekisteröitynyt ALV-asiakas, ole hyvä ja <a href=""%s"">klikkaa tästä</a> syöttääksesi toimitusosoitteen kunnolliseen ALV-laskentaan"
"If you believe this is an error, please contact us at %s","Jos uskot tämän olevan virhe, ota meihin yhteyttä osoitteessa %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Virheellinen attribuutille %s (%s), ohitetaan tietue."
"Invalid attribute set specified, skipping the record.","Määritelty attribuuttijoukko ei kelpaa, ohitetaan tietue."
"Invalid billing address for (%s)","Virheellinen laskutusosoite (%s)"
"Invalid current password","Virheellinen nykyinen salasana"
"Invalid customer data","Asiakkaan tiedot eivät kelpaa"
"Invalid email address ""%s"".","Virheellinen sähköpostiosoite ""%s""."
"Invalid email address.","Virheellinen sähköpostiosoite."
"Invalid form key. Please refresh the page.","Virheellinen lomakkeen avain. Ole hyvä ja päivitä sivu."
"Invalid login link.","Virheellinen kirjautumislinkki."
"Invalid login or password.","Virheellinen käyttäjätunnus tai salasana."
"Invalid or expired login link.","Virheellinen tai vanhentunut kirjautumislinkki."
"Invalid password reset customer Id.","Virheellinen salasanan nollaus asiakastunnus."
"Invalid password reset token.","Virheellinen salasanan nollaustunnus."
"Invalid request method.","Virheellinen pyyntömenetelmä."
"Invalid shipping address for (%s)","Virheellinen toimitusosoite (%s)"
"Invalid store specified, skipping the record.","Virheellinen kauppa, ohitetaan tietue."
"Invalid VAT number format for %s.","%s alv-numeron muoto ei kelpaa."
"Invalid website, skipping the record, line: %s","Virheellinen verkkosivusto, ohitetaan tietue, rivi: %s"
"IP Address","Ip Osoite"
"Last Activity","Viimeisin Toiminta"
"Last Date Subscribed","Viimeisin Päivämäärä Tilattu"
"Last Date Unsubscribed","Viimeisen Päivämäärän Tilaus Peruutettu"
"Last Name","Sukunimi"
"Last URL","Viimeisin URL"
"Leave empty for default (2). Valid range: 1-4","Jätä tyhjäksi oletukseksi (2). Voimassa oleva alue: 1-4"
"Leave empty for default (15 minutes).","Jätä tyhjäksi oletukseksi (15 minuuttia)."
"Lifetime Sales","Elinikäiset Myynnit"
"Log In","Kirjaudu Sisään"
"Login","Kirjaudu"
"Login and password are required.","Kirjautuminen ja salasana ovat pakollisia."
"Login Form","Kirjautumislomake"
"Login Information","Kirjautumisen Tiedot"
"Login Options","Kirjautumisen Asetukset"
"Login with Magic Link","Kirjaudu sisään maagisella linkillä"
"Logout","Kirjaudu Ulos"
"Log Out","Kirjaudu Ulos"
"Magic Link Email Sender","Magic Link -sähköpostin Lähettäjä"
"Magic Link Email Template","Magic Link -malli"
"Magic Link Login","Magic Link -kirjautuminen"
"Magic Link Rate Limit - Email (requests per hour)","Magic Link Rate Raja - Sähköposti (pyyntöjä tunnissa)"
"Magic Link Rate Limit - IP (requests per hour)","Magic Link Rate Limit - IP (pyyntöjä tunnissa)"
"Magic Link Registration Password Requirement","Magic Link Rekisteröinti Salasana Vaatimus"
"Magic Link Token Expiration (minutes)","Magic Link Token Vanheneminen (Minuuttia)"
"Manage Addresses","Hallitse Osoitteita"
"Manage Customers","Hallinnoi Asiakkaita"
"Maximum length must be less then %s symbols","Enimmäispituuden on oltava pienempi kuin %s symbolit"
"Maximum magic link requests per email address per hour. Default: 3.","Maksimi taikuus linkki pyyntöjä per sähköpostiosoite tunnissa. Oletus: 3."
"Maximum magic link requests per IP address per hour. Default: 10.","Maksimi magic link pyyntöjä per IP-osoite tunnissa. Oletus: 10."
"Middle Name","Toinen Nimi"
"Minimum admin password length","Ylläpitäjän salasanan vähimmäispituus"
"Minimum password length","Salasanan vähimmäispituus"
"Missing email, skipping the record, line: %s","Puuttuva sähköposti, ohitetaan tietue, rivi: %s"
"Missing email, skipping the record.","Puuttuva sähköposti, ohitetaan tietue."
"Missing first name, skipping the record, line: %s","Puuttuva etunimi, ohitetaan tietue, rivi: %s"
"Missing firstname, skipping the record.","Puuttuva etunimi, ohitetaan tietue."
"Missing last name, skipping the record, line: %s","Puuttuva sukunimi, ohitetaan tietue, rivi: %s"
"Missing lastname, skipping the record.","Puuttuva sukunimi, ohitetaan tietue."
"Missing website, skipping the record, line: %s","Puuttuva verkkosivusto, ohitetaan tietue, rivi: %s"
"MM","MM"
"Month","Kuukausi"
"My Account","Oma Tili"
"My Account Wrapper","Oma Tili Wrapper"
"My Dashboard","Oma Kojelauta"
"My Orders","Omat Tilaukset"
"n/a","n/a"
"Name","Nimi"
"Name and Address Options","Nimen ja osoitteen asetukset"
"Never","Ei Koskaan"
"New account","Uusi tili"
"New account confirmation key","Uusi tilin vahvistusavain"
"New account confirmed","Uusi tili vahvistettu"
"New Account Email Template","Uuden Tilin Sähköpostimalli"
"New Address","Uusi Osoite"
"New Customer","Uusi Asiakas"
"New Customer Address","Uusi Asiakasosoite"
"New Customer Group","Uusi Asiakasryhmä"
"New Customer Groups","Uudet Asiakasryhmät"
"New Customers","Uudet Asiakkaat"
"New Group","Uusi Ryhmä"
"New Password","Uusi Salasana"
"New password field cannot be empty.","Uusi salasanakenttä ei voi olla tyhjä."
"Newsletter","Uutiskirje"
"Newsletter Finish","Uutiskirjeen Valmis"
"Newsletter Information","Uutiskirjeen Tiedot"
"Newsletter Received","Uutiskirje Vastaanotettu"
"Newsletter Start","Uutiskirjeen Alku"
"Newsletter Subscription","Uutiskirjeen Tilaus"
"No customer collections found","Asiakaskokoelmia ei löytynyt"
"No Items Found","Kohteita Ei Löytynyt"
"No item specified.","Kohdetta ei ole määritelty."
"No Newsletter Found","Uutiskirjeitä Ei Löytynyt"
"No Password (Full Passwordless)","Ei Salasanaa (Poista Salasanaton)"
"Not confirmed, can login","Ei vahvistettu, voi kirjautua"
"Not confirmed, cannot login","Ei vahvistettu, ei voi kirjautua"
"Not Sent","Ei Lähetetty"
"Number of Lines in a Street Address ","Rivien määrä katuosoitteessa "
"Offline","Offline-tilassa"
"Online","Paikalla"
"Online Customers","Online-asiakkaat"
"Online Customers Options","Online-Asiakkaan Asetukset"
"Online Minutes Interval","Online Minuuttien Aikaväli"
"or","tai"
"Order #","Tilaus #"
"Orders","Tilaukset"
"Order Total","Tilaus Yhteensä"
"Password","Salasana"
"Password:","Salasana:"
"Password forgotten","Salasana unohtunut"
"Password Management","Salasanan Hallinta"
"Password Options","Salasanan Asetukset"
"Paused","Keskeytetty"
"PDF","PDF"
"Pending","Odottaa"
"Personal Information","Henkilökohtaiset Tiedot"
"Per Website","Per Sivusto"
"Please, check your email for confirmation key.","Ole hyvä ja tarkista sähköpostisi vahvistusavaimen saamiseksi."
"Please enter a number 1 or greater in this field.","Syötä numero 1 tai suurempi tähän kenttään."
"Please enter a number 7 or greater in this field.","Syötä numero 7 tai suurempi tähän kenttään."
"Please enter a password with at most %s characters.","Please enter a password with at most %s characters."
"Please enter a valid date between %s and %s at %s.","Syötä kelvollinen päivämäärä välillä %s ja %s klo %s."
"Please enter a valid date equal to or greater than %s at %s.","Anna kelvollinen päivämäärä, joka on yhtä suuri tai suurempi kuin %s klo %s."
"Please enter a valid date less than or equal to %s at %s.","Syötä kelvollinen päivämäärä vähemmän tai yhtä suuri kuin %s klo %s."
"Please enter the city.","Syötä kaupunki."
"Please enter the country.","Ole hyvä ja syötä maa."
"Please enter the first name.","Ole hyvä ja syötä etunimi."
"Please enter the last name.","Ole hyvä ja syötä sukunimi."
"Please enter the state/province.","Syötä osavaltio/provinssi."
"Please enter the street.","Ole hyvä ja syötä katu."
"Please enter the telephone number.","Ole hyvä ja syötä puhelinnumero."
"Please enter the zip/postal code.","Ole hyvä ja syötä postinumero."
"Please enter your email.","Ole hyvä ja syötä sähköpostiosoitteesi."
"Please enter your email below and we'll send you confirmation link for it.","Ole hyvä ja kirjoita sähköpostiosoitteesi alla ja lähetämme sinulle vahvistuslinkin."
"Please make sure your passwords match.","Varmista, että salasanat täsmäävät."
"Please select","Valitse"
"Please select a website which contains store view","Ole hyvä ja valitse sivusto, joka sisältää kaupan näkymän"
"Please select region, state or province","Valitse alue, osavaltio tai provinssi"
"Prefix Dropdown Options","Etuliitteen Pudotusvalinnat"
"Price","Hinta"
"Product","Tuote"
"Product ID","Tuotteen Tunnus"
"Product Name","Tuotteen Nimi"
"Product Reviews","Tuotteiden Arvostelut"
"Product Tags","Tuotteen Tunnisteet"
"Provided address does not belong to the logged in customer.","Annettu osoite ei kuulu kirjautuneelle asiakkaalle."
"Purchased On","Ostettu Päällä"
"Purchase On","Osta Päällä"
"Qty","Määrä"
"Recent Orders","Viimeisimmät Tilaukset"
"Records for %s store found.","Tietueet %s myymälälle löytyi."
"Recovery Link Expiration Period (hours)","Palautuslinkin Voimassaoloaika (Tuntia)"
"Redirect Customer to Account Dashboard after Logging in","Asiakas ohjaa tilin hallintapaneeliin kirjautumisen jälkeen"
"Refunded","Hyvitetty"
"Register","Rekisteröidy"
"Registration Form","Rekisteröintilomake"
"Registration successful, but we could not send the login link. Please use the login page.","Rekisteröinti onnistui, mutta emme voineet lähettää kirjautumislinkkiä. Ole hyvä ja käytä kirjautumissivua."
"Remember Me","Muista Minut"
"Remind Email Template","Muistuta Sähköpostimallia"
"Remind Password","Muistuta Salasana"
"Remove","Poista"
"Remove address","Poista osoite"
"Require admin user to change user password","Vaadi järjestelmänvalvojan käyttäjää vaihtamaan käyttäjän salasanaa"
"Require Emails Confirmation","Vaadi Sähköpostien Vahvistus"
"Require Password (Default)","Vaadi Salasana (Oletus)"
"Reset a Password","Nollaa salasana"
"Retrieve address data","Nouda osoitetiedot"
"Retrieve address info","Hae osoitteen tiedot"
"Retrieve customer addresses","Nouda asiakasosoitteita"
"Retrieve customer data","Hae asiakastiedot"
"Retrieve customer groups","Nouda asiakasryhmiä"
"Retrieve customer info","Hae asiakastiedot"
"Retrieve customers","Hae asiakkaita"
"Retrieve your confirmation link here","Hae vahvistuslinkkisi täältä"
"Retrieve your password","Hae salasanasi"
"Sales Statistics","Myynnin Tilastot"
"Save","Tallenna"
"Save Address","Tallenna Osoite"
"Save and Continue Edit","Tallenna ja jatka muokkaamista"
"Save Customer","Tallenna Asiakas"
"Save Customer Group","Tallenna Asiakasryhmä"
"Saved %d record(s)","Tallennetut %d tietueet"
"Save in address book","Tallenna osoitekirjaan"
"Semicolon (;) separated values.<br>Put semicolon in the beginning for empty first option.<br>Leave empty for open text field.","Puolipiste (;) erotettu arvo.<br>Laita puolipisteen alussa tyhjä ensimmäinen vaihtoehto.<br>Jätä tyhjäksi avoin tekstikenttä."
"Send confirmation link","Lähetä vahvistuslinkki"
"Send From","Lähetä Lähettäjältä"
"Sending","Lähetetään"
"Send Welcome Email","Lähetä Tervetuliaissähköposti"
"Send Welcome Email after Confirmation","Lähetä tervetuliaisviesti vahvistuksen jälkeen"
"Sent","Lähetetty"
"Session Start Time","Istunnon Aloitusaika"
"Set as Default Billing Address","Aseta oletuslaskutusosoitteeksi"
"Set as Default Shipping Address","Aseta oletustoimitusosoitteeksi"
"Share Customer Accounts","Jaa Asiakastilit"
"Shipped to Name","Lähetetty nimeen"
"Shopping Cart","Ostoskori"
"Shopping Cart - %d item(s)","Ostoskori - %d tuotetta"
"Shopping Cart of %1$s - %2$d item(s)","Ostoskori %1$s - %2$d kohdetta"
"Show Date of Birth","Näytä syntymäaika"
"Show Gender","Näytä Sukupuoli"
"Show Middle Name (initial)","Näytä Toinen Nimi (Alku)"
"Show Prefix","Näytä Etuliite"
"Show Suffix","Show Suffix"
"Show Tax/VAT Number","Näytä ALV-numero"
"Show VAT Number on Frontend","Näytä ALV-numero julkisivustossa"
"Sign Up for Newsletter","Rekisteröidy uutiskirjeeseen"
"Skipping import row, required field ""%s"" is not defined.","Ohitetaan tuontirivi, pakollinen kenttä ""%s"" ei ole määritelty."
"Skipping import row, website ""%s"" field does not exist.","Ohitetaan tuontirivi, sivusto ""%s"" -kenttää ei ole olemassa."
"SKU","Tuotenro"
"State/Province","Osavaltio/Provinssi"
"Status","Tila"
"Store","Kauppa"
"Store View","Kaupan Näkymä"
"Street Address","Katuosoite"
"Street Address %s","Katuosoite %s"
"Subject","Aihe"
"Submit","Lähetä"
"Subscribed to Newsletter?","Tilaa uutiskirjeemme?"
"Subscribe to Newsletter","Tilaa uutiskirje"
"Suffix Dropdown Options","Pääteikkunan Pudotusvalinnat"
"Tag Name","Tagin Nimi"
"Tax/VAT number","Veron/ALV-numero"
"Tax Calculation Based On","Veron Laskeminen"
"Tax Class","Veroluokka"
"Telephone","Puhelin"
"Text","Teksti"
"Text One Line","Lähetä Teksti Yhdelle Riville"
"Thank you for registering! We have sent you an email with a login link to %s.","Kiitos rekisteröitymisestä! Olemme lähettäneet sinulle sähköpostiviestin, jossa on kirjautumislinkki %s."
"Thank you for registering with %s.","Kiitos rekisteröitymisestä kanssa %s."
"The account information has been saved.","Tilin tiedot on tallennettu."
"The address does not belong to this customer.","Osoite ei kuulu tälle asiakkaalle."
"The address has been deleted.","Osoite on poistettu."
"The address has been saved.","Osoite on tallennettu."
"The customer does not have default billing address.","Asiakkaalla ei ole oletuslaskutusosoitetta."
"The customer email (%s) already exists, skipping the record, line: %s","Asiakassähköposti (%s) on jo olemassa, ohitetaan tietue, rivi: %s"
"The customer group has been deleted.","Asiakasryhmä on poistettu."
"The customer group has been saved.","Asiakasryhmä on tallennettu."
"The customer ID and email did not match, skipping the record, line: %s","Asiakastunnus ja sähköposti eivät täsmää, ohitetaan tietue, rivi: %s"
"The customer is currently assigned to Customer Group %s.","Asiakas on tällä hetkellä liitetty asiakasryhmään %s."
"The Date of Birth is required.","Syntymän päivämäärä on pakollinen."
"The first name cannot be empty.","Etunimi ei voi olla tyhjä."
"The group ""%s"" cannot be deleted","Ryhmää ""%s"" ei voi poistaa"
"The last name cannot be empty.","Sukunimi ei voi olla tyhjä."
"The minimum password length is %s","Salasanan vähimmäispituus on %s"
"The password cannot be empty.","Salasana ei voi olla tyhjä."
"The password must have at least %d characters. Leading or trailing spaces will be ignored.","Salasanassa on oltava vähintään %d merkkiä. Välilyöntien johtaminen tai perääntyminen jätetään huomiotta."
"There are no items in customer's shopping cart at the moment","Asiakkaiden ostoskorissa ei tällä hetkellä ole tuotteita"
"There are no items in customer's wishlist at the moment","Tällä hetkellä asiakkaan toivelistalla ei ole tuotteita"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","Tällä sähköpostiosoitteella on jo olemassa tili. Jos olet varma, että se on sähköpostiosoitteesi, <a href=""%s"">klikkaa tästä</a> saadaksesi salasanasi ja käyttää tiliäsi."
"There was an error validating the VAT ID.","Alv-tunnuksen validoinnissa tapahtui virhe."
"There was an error validating the VAT ID. The customer would belong to Customer Group %s.","Alv-tunnuksen vahvistamisessa tapahtui virhe. Asiakas kuuluu asiakasryhmään %s."
"The suffix that goes after name (Jr., Sr., etc.)","Nimensä jälkeen kulkeva loppuliite (Jr., Sr., jne.)"
"The TAX/VAT number is required.","ALV-tunnus on pakollinen."
"The title that goes before name (Mr., Mrs., etc.)","Otsikko, joka menee ennen nimeä (Mr., Mrs., jne.)"
"The VAT ID entered (%s) is not a valid VAT ID.","Syötetty ALV-tunnus (%s) ei ole kelvollinen ALV-tunnus."
"The VAT ID entered (%s) is not a valid VAT ID. The customer would belong to Customer Group %s.","Syötetty ALV-tunnus (%s) ei ole kelvollinen ALV-tunnus. Asiakas kuuluu asiakasryhmään %s."
"The VAT ID is valid. The current Customer Group will be used.","ALV ID on voimassa. Nykyistä asiakasryhmää käytetään."
"This account is not active.","Tämä tili ei ole aktiivinen."
"This account is not confirmed.","Tiliä ei ole vahvistettu."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Tätä tiliä ei ole vahvistettu. <a href=""%s"">Klikkaa tästä</a> lähettääksesi vahvistussähköpostin uudelleen."
"This customer email already exists","Tämä asiakassähköposti on jo olemassa"
"This customer has no saved addresses.","Tällä asiakkaalla ei ole tallennettuja osoitteita."
"This email does not require confirmation.","Tämä sähköpostiosoite ei vaadi vahvistusta."
"This email is sent on checkbox <em>Email Link to Set Password</em> is checked on the customer page in backend.","Tämä sähköpostiosoite on lähetetty valintaruutuun <em>Sähköposti Linkki asettaa salasana</em> on tarkistettu asiakassivulta ylläpidossa."
"This email will be sent instead of default welcome email, after account confirmation.","Tämä sähköpostiosoite lähetetään oletusarvoisesti tervetuliaissähköpostin sijaan tilin vahvistuksen jälkeen."
"This email with a link to set password is sent on new account creation in backend.","Tämä sähköpostiviesti, jossa on linkki salasanan asettamiseksi, on lähetetty uuden tilin luomiseen ylläpidossa."
"To show VAT number on frontend, set Show VAT Number on Frontend option to Yes.","Jos haluat näyttää ALV-numeron frontentissä, aseta ALV-numero verkkokaupan valinnassa Kyllä."
"Total","Yhteensä"
