"%s was added to your shopping cart.","%s lisättiin ostoskoriisi."
"%s was updated in your shopping cart.","%s päivitettiin ostoskorissasi."
"(Excl. Tax)","(Veroton)"
"Confirm Password","Vahvista Salasana"
"Content","Sisältö"
"Content Height","Sisällön Korkeus"
"Content Height (css)","Sisällön Korkeus (css)"
"Continue","Jatka"
"Continue Shopping","Jatka Ostoksia"
"Controls how the item count is calculated in the cart icon badge.","Määrittää kuinka tavaran määrä lasketaan ostoskorin kuvakkeen merkissä."
"Count Method","Lukumäärä Menetelmä"
"Country","Maa"
"Coupon:","Kuponki:"
"Coupon code ""%s"" was applied.","Alennuskoodi ""%s"" otettiin käyttöön."
"Coupon code was removed.","Alennuskoodi poistettiin."
"Create an order from shopping cart","Luo tilaus ostoskorista"
"Create shopping cart","Luo ostoskori"
"Customer's information","Asiakkaan tiedot"
"Customer Address is not valid.","Asiakkaan osoite ei kelpaa."
"Customer Information","Asiakkaan Tiedot"
"Delete Condition","Poista Ehto"
"Details","Yksityiskohdat"
"Disabled","Pois Käytöstä"
"Discount code or gift card","Alennuskoodi tai lahjakortti"
"Discounts","Alennukset"
"Display number of items in wishlist","Näytä toivelistalla olevien kohteiden määrä"
"Displays all checkout steps on a single page in a 2-column layout","Näyttää kaikki kassavaiheen vaiheet yhdellä sivulla 2-sarakkeen asettelulla"
"Edit","Muokkaa"
"Edit Address","Muokkaa Osoitetta"
"Edit Condition","Muokkaa Ehtoa"
"Edit item parameters","Muokkaa kohteen parametreja"
"Edit Terms and Conditions","Muokkaa ehtoja ja ehtoja"
"Email Address","Sähköposti Osoite"
"Empty Shopping Cart Content Before","Tyhjä Ostoskorin Sisältö Ennen"
"Enabled","Käytössä"
"Enable One-Step Checkout","Ota Käyttöön Yksivaiheinen Kassalle"
"Enable Onepage Checkout","Ota Käyttöön Onepage Checkout"
"Enable Terms and Conditions","Ota käyttöehdot käyttöön"
"Enter discount code","Syötä alennuskoodi"
"Enter promo code","Syötä kampanjakoodi"
"Estimate","Arvio"
"Estimate Shipping and Tax","Arvio merenkulusta ja verosta"
"Excl. Tax","Ilman Veroa"
"Failed to save billing address. Please try again.","Laskutusosoitteen tallennus epäonnistui. Yritä uudelleen."
"Fax","Faksi"
"Forgot your password?","Unohditko salasanasi?"
"Get list of available payment methods","Hanki luettelo käytettävissä olevista maksutavoista"
"Get list of available shipping methods","Hanki luettelo saatavilla olevista toimitustavoista"
"Get list of products in shopping cart","Hanki luettelo tuotteista ostoskorissa"
"Get terms and conditions","Hanki käyttöehdot"
"Get total prices for shopping cart","Hanki kaikki hinnat ostoskoriin"
"Gift card ""%s"" was removed.","Lahjakortti ""%s"" poistettiin."
"Gift Card:","Lahjakortti:"
"Gift Message","Lahjan Viesti"
"Grouped Product Image","Ryhmitelty Tuotekuva"
"Have an account?","Onko sinulla tili?"
"HTML","HTML"
"ID","ID"
"If customer accounts are disabled in the frontend, guest checkout must remain enabled.","Jos asiakastilit on poistettu käytöstä frontentissä, vierailijoiden on pysyttävä käytössä."
"Incl. Tax","Sis. Verollinen"
"Invalid data.","Virheellinen tieto."
"Invalid form key. Please refresh the page.","Virheellinen lomakkeen avain. Ole hyvä ja päivitä sivu."
"Invalid method: %s","Virheellinen menetelmä: %s"
"Invalid shipping method.","Virheellinen toimitustapa."
"Items","Kohteet"
"Items After","Kohteet Jälkeen"
"Items Before","Kohteet Ennen"
"Item was removed successfully.","Kohde poistettiin onnistuneesti."
"Item was updated successfully.","Kohde päivitettiin onnistuneesti."
"Load customer quote error","Asiakkaan tarjouksen latausvirhe"
"Loading next step...","Ladataan seuraavaa vaihetta..."
"Login","Kirjaudu"
"Manage Terms and Conditions","Hallinnoi ehtoja ja ehtoja"
"Mini-cart promotion block","Miniostoskorin mainospalikka"
"Minimum order amount is %s","Minimi tilausmäärä on %s"
"Move","Siirrä"
"Move to Wishlist","Siirrä toiveluetteloon"
"Move to wishlist","Siirrä toiveluetteloon"
"New Address","Uusi Osoite"
"New Condition","Uusi Ehto"
"New Terms and Conditions","Uudet ehdot ja ehdot"
"No Payment Methods","Ei Maksutapoja"
"ok","ok"
"One item of products do not have identifier or sku","Yhdellä tuotteella ei ole tunnistetta tai sku"
"One item of products is not belong any of quote item","Yksi tuote ei kuulu mihinkään lainaus tuote"
"One Page Checkout","Yhden Sivun Kassalle"
"One Page Checkout Failure","Yhden Sivun Checkout Epäonnistui"
"One Page Checkout Overview","Yhden Sivun Kassalle Yleiskatsaus"
"One Page Checkout Success","Yhden Sivun Kassalle Onnistui"
"One Step Checkout","Yksi Askel Kassalle"
"or","tai"
"Order #","Tilaus #"
"Order Review","Tilauksen Arvostelu"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","SUORITA YHTEENSÄ LÄHETTÄVÄT ENNEN KUIN TIIVISTETTAA JÄRJESTELMÄÄ"
"Password","Salasana"
"Payment Failed Email Reciever","Epäonnistuneen Maksun Sähköpostin Vastaanottaja"
"Payment Failed Emails","Epäonnistuneiden Maksujen Sähköpostit"
"Payment Failed Email Sender","Epäonnistuneen Maksun Sähköpostin Lähettäjä"
"Payment Failed Template","Epäonnistuneen Maksun Malli"
"Payment Information","Maksun Tiedot"
"Payment Method","Maksutapa"
"Payment method information","Maksutavan tiedot"
"Payment Methods After Checkout Button","Maksutavat Checkout Painikkeen Jälkeen"
"Payment Methods Before Checkout Button","Maksutavat Ennen Kassalle Painike"
"Payment methods in shopping cart","Maksutavat ostoskorissa"
"Payment profile # %s: ""%s"".","Maksuprofiili # %s: ""%s""."
"Place Order","Tee Tilaus"
"Please agree to all the terms and conditions before placing the order.","Hyväksy kaikki ehdot ja ehdot ennen tilauksen tekemistä."
"Please choose to register or to checkout as a guest","Ole hyvä ja valitse rekisteröityä tai kassalle vieraana"
"Please enter a promo code.","Ole hyvä ja syötä kampanjakoodi."
"Please select a payment method.","Ole hyvä ja valitse maksutapa."
"Please select a shipping method.","Ole hyvä ja valitse toimitustapa."
"Please select region, state or province","Valitse alue, osavaltio tai provinssi"
"Please select shipping and payment methods before placing your order.","Valitse toimitus- ja maksutavat ennen tilauksen tekemistä."
"Please specify payment method.","Määritä maksutapa."
"Please specify shipping method.","Ole hyvä ja määritä toimitustapa."
"Price","Hinta"
"Proceed to Checkout","Siirry kassalle"
"Product","Tuote"
"Product Name","Tuotteen Nimi"
"Product not found.","Tuotetta ei löytynyt."
"Products","Tuotteet"
"Promo code ""%s"" is not valid.","Kampanjakoodi ""%s"" ei kelpaa."
"Qty","Määrä"
"Qty:","Määrä:"
"Quantity","Määrä"
"Quantity was recalculated from %d to %d","Määrä laskettiin uudelleen %d arvosta %d"
"Quote item does not exist.","Tarjouksen kohdetta ei ole olemassa."
"Quote item is not found.","Tarjouksen kohdetta ei löytynyt."
"Quote Lifetime (days)","Tarjouksen Voimassaoloaika (Päivää)"
"Register","Rekisteröidy"
"Remove","Poista"
"Remove coupon code from shopping cart","Poista kuponkikoodi ostoskorista"
"Remove Item","Poista Kohde"
"Remove product(s) from shopping cart","Poista tuotteet ostoskorista"
"Remove product from shopping cart","Poista tuote ostoskorista"
"Remove This Item","Poista Tämä Kohde"
"Retrieve information about shopping cart","Hae tietoa ostoskorista"
"Sales","Myynti"
"Save Condition","Tallenna Ehto"
"Save in address book","Tallenna osoitekirjaan"
"See price before order confirmation.","Katso hinta ennen tilausvahvistusta."
"Select a billing address from your address book or enter a new address.","Valitse laskutusosoite osoitekirjastasi tai kirjoita uusi osoite."
"Select a shipping address from your address book or enter a new address.","Valitse toimitusosoite osoitekirjastasi tai anna uusi osoite."
"Send Payment Failed Email Copy Method","Epäonnistuneen Maksun Sähköpostin Kopiointimenetelmä"
"Send Payment Failed Email Copy To","Epäonnistuneen Maksun Sähköpostin Kopioinnin Lähettäminen Kohteeseen"
"Separate by "","".","Erota "",""."
"Set customer's addresses in shopping cart","Aseta asiakkaan osoitteet ostoskoriin"
"Set customer for shopping cart","Aseta asiakas ostoskoriin"
"Set payment method","Aseta maksutapa"
"Set shipping method","Aseta toimitustapa"
"Shipping Address","Toimitusosoite"
"Shipping Information","Toimitustiedot"
"Shipping information","Toimitustiedot"
"Shipping Method","Toimitustapa"
"Shipping method has not been selected yet","Toimitustapaa ei ole vielä valittu"
"Shipping Methods","Toimitustavat"
"Shipping methods in shopping cart","Toimitustavat ostoskorissa"
"Ship to different address","Toimita eri osoitteeseen"
"Ship to this address","Lähetä tähän osoitteeseen"
"Shopping Cart","Ostoskori"
"Shopping cart ability to set coupon code","Ostoskorin kyky asettaa kuponkikoodi"
"Shopping Cart is Empty","Ostoskori on tyhjä"
"Shopping cart items","Ostoskorin nimikkeet"
"Shopping Cart Items After","Ostoskorin Esineet Jälkeen"
"Shopping Cart Items Before","Ostoskorin Tuotteet Ennen"
"Shopping Cart Sidebar Extra Actions","Ostoskorin Sivupalkin Lisätoiminnot"
"Show Content as","Näytä sisältö"
"Shows only logo header during checkout, removes navigation and footer for a distraction-free experience","Näyttää vain logon ylätunnisteen kassalla, poistaa navigoinnin ja alatunnisteen häiritsemättömästä kokemuksesta"
"SKU","Tuotenro"
"Some of the requested products are not available in the desired quantity.","Osa pyydetyistä tuotteista ei ole saatavilla haluamassaan."
"Some of the requested products are unavailable.","Joitakin pyydettyjä tuotteita ei ole saatavilla."
"Some products quantities were recalculated because of quantity increment mismatch","Eräiden tuotteiden määrät laskettiin uudelleen määrän lisäyksen eroavaisuuksien vuoksi"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Valitettavasti vieraskirjautuminen ei ole käytössä. Yritä uudelleen tai ota yhteyttä kaupan omistajaan."
"Sorry, no quotes are available for this order at this time.","Valitettavasti tällä tilauksella ei ole lainausmerkkejä tällä hetkellä."
"State/Province","Osavaltio/Provinssi"
"Status","Tila"
"Store View","Kaupan Näkymä"
"Street Address","Katuosoite"
"Street Address %s","Katuosoite %s"
"Submitting order information...","Lähetetään tilaustietoja..."
"Subtotal","Välisumma"
"Subtotal must exceed minimum order amount","Välisumman on oltava suurempi kuin minimitilausmäärä"
"Summary","Summary"
"Telephone","Puhelin"
"Terms and Conditions","Ehdot ja ehdot"
"Terms and Conditions Information","Säännöt ja ehdot -tiedot"
"Text","Teksti"
"Thank you for your purchase!","Kiitos ostoksestasi!"
"The condition has been deleted","Ehto on poistettu"
"The condition has been saved.","Ehto on tallennettu."
"The onepage checkout is disabled.","onepage checkout on poistettu käytöstä."
"The product could not be found.","Tuotetta ei löytynyt."
"The product does not exist.","Tuotetta ei ole olemassa."
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Tällä sähköpostiosoitteella on jo rekisteröity asiakas. Ole hyvä ja kirjaudu sisään käyttämällä tätä sähköpostiosoitetta tai kirjoita toinen sähköpostiosoite rekisteröidäksesi tilisi."
"There was an error processing your order. Please contact us or try again later.","Tilauksesi käsittelyssä tapahtui virhe. Ota meihin yhteyttä tai yritä myöhemmin uudelleen."
"This condition no longer exists.","Tätä ehtoa ei enää ole."
"Total","Yhteensä"
"Total quantity (2 shirts + 3 pants = 5)","Kokonaismäärä (2 paitaa + 3 housua = 5)"
"Unable to remove promo code.","Promokoodia ei voi poistaa."
"Unable to set Payment Method.","Maksutapaa ei voitu asettaa."
"Unique products (2 different products = 2)","Yksilölliset tuotteet (2 eri tuotetta = 2)"
"Unit Price","Yksikköhinta"
"Update","Päivitä"
"Update Cart","Päivitä Kortti"
"Update product(s) quantities in shopping cart","Päivitä tuotteiden määrä ostoskorissa"
"Update product quantities in shopping cart","Päivitä tuotteiden määrä ostoskorissa"
"Update Shopping Cart","Päivitä Ostoskori"
"Update Total","Päivitys Yhteensä"
"Use Billing Address","Käytä Laskutusosoitetta"
"Use Minimal Checkout Layout","Käytä Minimaalista Checkout Asettelua"
"VAT Number","ALV-numero (ALV-numero)"
"View Shopping Cart","Näytä Ostoskori"
"Waiting for address...","Odotetaan osoitea..."
"Waiting for shipping method...","Odotetaan toimitustapaa..."
"What's this?","Mikä tämä on?"
"You have no items in your shopping cart.","Sinulla ei ole esineitä ostoskoriin."
"You may be interested in the following items","Sinua saattaa kiinnostaa seuraavat kohteet"
"Your billing agreement # is: %s.","Laskutussopimuksesi # on: %s."
"Your Checkout Progress","Kassaasi Edistyminen"
"Your order # is: %s.","Tilauksesi # on: %s."
"Your order cannot be completed at this time as there are no payment methods available for it.","Tilaustasi ei voida suorittaa tällä hetkellä, koska sille ei ole käytettävissä maksutapoja."
"Your order cannot be completed at this time as there are no shipping methods available for it. Please make necessary changes in your shipping address.","Tilaustasi ei voida suorittaa tällä hetkellä, koska sille ei ole saatavilla toimitustapoja. Tee tarvittavat muutokset toimitusosoitteeseesi."
"Your order has been received.","Tilauksesi on vastaanotettu."
"Your recurring payment profiles:","Sinun toistuvat maksuprofiilit:"
"Your shopping cart is empty.","Ostoskorisi on tyhjä."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Saat tilauksen vahvistus sähköpostia, jossa on tiedot tilauksesi ja linkki seurata sen etenemistä."
"Zip","Postinumero"
"Zip/Postal Code","Postinumero"
