"%d product(s) were updated","%d tuotetta päivitettiin"
"%s (Default Template from Locale)","%s (Oletusmalli Locale)"
"%s cache type(s) disabled.","%s välimuistityyppi poistettu käytöstä."
"%s cache type(s) enabled.","%s välimuistityyppi(t) käytössä."
"%s cache type(s) refreshed.","%s välimuistityyppi(t) päivitetty."
"Add URL Rewrite for a Product","Lisää tuotteen URL-uudelleenkirjoitus"
"Admin","Ylläpitäjä"
"Advanced Profiles","Edistyneet Profiilit"
"After authorization application will have access to you account.","Lupahakemuksen jälkeen sinulla on pääsy tilillesi."
"Alert","Hälytys"
"All","Kaikki"
"All Allowed Countries","Kaikki Sallitut Maat"
"All Cache","Kaikki Välimuistit"
"All countries","Kaikki maat"
"All fields","Kaikki kentät"
"Allowed","Sallittu"
"All possible rates were fetched, please click on ""Save"" to apply","Kaikki mahdolliset hinnat haettiin, ole hyvä ja klikkaa ""Tallenna"" käyttääksesi"
"All rates were fetched, please click on ""Save"" to apply","Kaikki hinnat noudettiin, ole hyvä ja klikkaa ""Tallenna"" käyttääksesi"
"All Reviews","Kaikki Arvostelut"
"All Store Views","Kaikki Kauppanäkymät"
"All Tags","Kaikki Tunnisteet"
"All valid rates have been saved.","Kaikki voimassa olevat hinnat on tallennettu."
"All Websites","Kaikki Sivustot"
"Alt text:","Alt teksti:"
"Always (during development)","Aina (kehittämisen aikana)"
"Amounts","Summat"
" and "," ja "
"An error occurred: %s","Tapahtui virhe: %s"
"An error occurred while adding condition.","Ehtoa lisättäessä tapahtui virhe."
"An error occurred while clearing the configurable swatches image cache.","Tapahtui virhe poistettaessa konfiguroitavia swatches image cache."
"An error occurred while clearing the image cache.","Tapahtui virhe poistettaessa kuvan välimuisti."
"An error occurred while clearing the minified CSS/JS cache.","Tapahtui virhe poistettaessa pienennetty CSS/JS välimuisti."
"An error occurred while deleting email log entries.","Tapahtui virhe poistettaessa sähköpostin lokitietoja."
"An error occurred while deleting email template data. Please review log and try again.","Tapahtui virhe poistettaessa sähköpostimallitietoja. Tarkista loki ja yritä uudelleen."
"An error occurred while deleting record(s).","Tapahtui virhe poistaessa tietueita/tietueita."
"An error occurred while deleting this role.","Tämän roolin poistamisessa tapahtui virhe."
"An error occurred while deleting this set.","Tämän asetuksen poistamisessa tapahtui virhe."
"An error occurred while deleting this template.","Tämän mallin poistamisessa tapahtui virhe."
"An error occurred while deleting URL Rewrite.","Virhe tapahtui poistaessa URL-osoitteen uudelleenkirjoitusta."
"An error occurred while finishing process. Please refresh the cache","Tapahtui virhe prosessin valmistuksessa. Ole hyvä ja päivitä välimuisti"
"An error occurred while logging in.","Kirjauduttaessa sisään tapahtui virhe."
"An error occurred while rebuilding the catalog index.","Tapahtui virhe rakennettaessa luetteloindeksiä uudelleen."
"An error occurred while rebuilding the CatalogInventory Stock Status.","An error occurred while rebuilding the CatalogInventory Stock Status."
"An error occurred while rebuilding the flat catalog category.","Tapahtui virhe rakennettaessa uudelleen tasainen katalogikategoria."
"An error occurred while rebuilding the flat product catalog.","An error occurred while rebuilding the flat product catalog."
"An error occurred while rebuilding the search index.","Virhe tapahtui rakennettaessa hakuindeksiä uudelleen."
"An error occurred while refreshing roles.","Rooleja päivitettäessä tapahtui virhe."
"An error occurred while refreshing the Catalog Rewrites.","Katalogin uudelleenkirjoituksissa tapahtui virhe."
"An error occurred while refreshing the catalog rewrites.","Tapahtui virhe päivitettäessä luetteloa uudelleenkirjoituksia."
"An error occurred while refreshing the Layered Navigation indices.","Layered Navigation indices -päivityksen yhteydessä tapahtui virhe."
"An error occurred while refreshing the layered navigation indices.","Tapahtui virhe kerroksisen navigoinnin indeksien päivittämisessä."
"An error occurred while saving account.","Tilin tallennuksessa tapahtui virhe."
"An error occurred while saving review.","Arvostelua tallennettaessa tapahtui virhe."
"An error occurred while saving the customer.","Asiakkaan tallentamisessa tapahtui virhe."
"An error occurred while saving this configuration:","Virhe tapahtui tallennettaessa tätä asetusta:"
"An error occurred while saving this role.","Tapahtui virhe tallennettaessa tätä roolia."
"An error occurred while saving this template.","Sivupohjaa tallennettaessa tapahtui virhe."
"An error occurred while saving URL Rewrite.","Virhe tapahtui tallennettaessa URL-osoitteen uudelleenkirjoitusta."
"An error occurred while sending the test email.","Testisähköpostin lähettämisen aikana tapahtui virhe."
"An error occurred while updating the email address.","Tapahtui virhe päivitettäessä sähköpostiosoitetta."
"An error occurred while updating the selected review(s).","Tapahtui virhe päivitettäessä valittua arvostelua."
"Any","Kaikki"
"Any Attribute Set","Mikä Tahansa Ominaisuus"
"Any Group","Mikä Tahansa Ryhmä"
"Any Status","Mikä Tahansa Tilanne"
"Any Type","Mikä Tahansa Tyyppi"
"Any Visibility","Kaikki Näkyvyys"
"API Key","Api Avain"
"API Key Confirmation","Api Avaimen Vahvistus"
"Archive file name:","Arkistotiedoston nimi:"
"Area","Alue"
"Are you sure you want to delete the selected URL rewrites?","Oletko varma, että haluat poistaa valitut URL-osoitteiden uudelleenkirjoitukset?"
"Are you sure you want to do this?","Oletko varma, että haluat tehdä tämän?"
"ASCII","ASCII"
"Assigned","Määritetty"
"Associated Tags","Liittyvät Tagit"
"At least one currency has to be allowed.","Ainakin yksi valuutta on sallittava."
"Attributes","Ominaisuudet"
"Attribute Set Name:","Attribuuttiryhmän Nimi:"
"A user with the same user name or email already exists.","Käyttäjä, jolla on sama käyttäjänimi tai sähköpostiosoite, on jo olemassa."
"Authorization confirmed","Valtuutus vahvistettu"
"Authorize","Valtuuta"
"Authorize application","Hyväksy sovellus"
"Authorized OAuth Tokens","Valtuutetut OAuth-Tunnukset"
"Automatic (equalize price ranges)","Automaattiset (tasoita hintaluokat)"
"Automatic (equalize product counts)","Automaattinen (tasaa tuotemäärät)"
"Average","Keskiarvo"
"Average Order Amount","Tilauksen Keskimääräinen Määrä"
"Back","Takaisin"
"Backend Locale","Taustaosan Lokaatio"
"Base currency","Perus valuutta"
"Bcc","Piilokopio"
"Bestsellers","Bestsellers"
"Billing Address","Laskutusosoite"
"Billing Address: ","Laskutusosoite: "
"Billing Agreement","Laskutussopimus"
"Billing Agreements","Laskutussopimukset"
"BINARY","SINARIA"
"Block Details","Lohkon Tiedot"
"Block has been deleted.","Lohko on poistettu."
"Block Information","Lohkon Tiedot"
"Block Name","Lohkon Nimi"
"Block Name is disallowed.","Lohkon nimi ei ole sallittu."
"Block Name is incorrect.","Lohkon nimi on virheellinen."
"Block Name is required field.","Lohkon nimi on pakollinen kenttä."
"Blocks","Lohkot"
"Both (without and with tax)","Molemmat (ilman veroja)"
"Browse Files...","Selaa Tiedostoja..."
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Dynaaminen hinnoittelu ei voi sisältää muokattuja vaihtoehtoja. Valintoja ei tallenneta."
"By Email","Sähköpostin Mukaan"
"By IP","IP"
"By IP and Email","IP-osoitteen ja sähköpostin mukaan"
"Cache Control","Välimuistin Hallinta"
"Cache Control (beta)","Välimuistin Hallinta (beta)"
"Cache Management","Välimuistin Hallinta"
"Cache Type","Cache Type"
"Cancel","Peruuta"
"Cannot add new comment.","Uutta kommenttia ei voi lisätä."
"Cannot add tracking number.","Seurantanumeroa ei voi lisätä."
"Cannot create an invoice without products.","Laskua ei voi luoda ilman tuotteita."
"Cannot create credit memo for the order.","Ei voi luoda hyvityslaskua tilaukselle."
"Cannot delete the design change.","Suunnittelun muutosta ei voi poistaa."
"Cannot delete tracking number.","Seurantanumeroa ei voi poistaa."
"Cannot do shipment for the order.","Toimitusta ei voi tehdä tilaukselle."
"Cannot do shipment for the order separately from invoice.","Tilauksen lähetystä ei voi tehdä erikseen laskusta."
"Cannot initialize shipment for adding tracking number.","Lähetystä ei voida alustaa seurantanumeron lisäämiseksi."
"Cannot initialize shipment for delete tracking number.","Lähetystä ei voi alustaa poistaaksesi seurantanumeron."
"Cannot load track with retrieving identifier.","Kappaletta ei voi ladata haun tunnisteella."
"Cannot retrieve tracking number detail.","Seurantanumeron tietoja ei voida noutaa."
"Cannot save shipment.","Toimitusta ei voi tallentaa."
"Cannot save the credit memo.","Hyvityslaskua ei voi tallentaa."
"Cannot send shipment information.","Lähetyksen tietoja ei voi lähettää."
"Cannot update item quantity.","Kohdetta ei voi päivittää."
"Cannot update the item's quantity.","Kohteen määrää ei voi päivittää."
"Card Verification Number","Kortin Tarkistusnumero"
"Catalog","Katalogi"
"Catalog Price Rules","Tuoteluettelon Hintasäännöt"
"Catalog Rewrites","Luettelon Uudelleenkirjoitukset"
"Categories","Kategoriat"
"Category","Kategoria"
"Category:","Luokka:"
"Change Password","Vaihda Salasana"
"Chart is disabled. If you want to enable chart, click <a href=""%s"">here</a>.","Kaavio on poistettu käytöstä. Jos haluat ottaa kaavion käyttöön, napsauta <a href=""%s"">tästä</a>."
"Checkbox","Valintaruutu"
"Child Transactions","Lapsi Tapahtumat"
"Choose an attribute","Valitse attribuutti"
"Choose Store View:","Valitse Kauppanäkymä:"
"Chosen category does not associated with any website, so url rewrite is not possible.","Valittu kategoria ei liity mihinkään sivustoon, joten url-uudelleenkirjoittaminen ei ole mahdollista."
"Chosen product does not associated with any website, so url rewrite is not possible.","Valittu tuote ei liity mihinkään verkkosivustoon, joten url-uudelleenkirjoittaminen ei ole mahdollista."
"Clear","Tyhjennä"
"Close","Sulje"
"close","sulje"
"CMS","CMS"
"Code","Koodi"
"Color scheme","Väriteema"
"Color scheme: dark","Värikuva: tumma"
"Color scheme: follow system","Värimalli: seuraa järjestelmää"
"Color scheme: light","Väriteemat: valo"
"Comment text field cannot be empty.","Kommentin tekstikenttä ei voi olla tyhjä."
"Compiled observers, cron jobs, routes, and API permissions.","Koottu tarkkailijat, cron työpaikkoja, reittejä, ja API luvat."
"Config form fieldset clone model required to be able to clone fields","Config form fieldset klooni malli vaaditaan klooni kenttiä"
"Configuration","Asetukset"
"Confirmation Of Authorization","Varmistus Valtuutuksesta"
"Confirmed email:","Vahvistettu sähköpostiosoite:"
"Confirm New Password","Vahvista Uusi Salasana"
"Confirm token authorization for admin","Vahvista järjestelmänvalvojan valtuutus"
"Confirm token authorization Pop Up for admin","Vahvista valtuutus Pop Up järjestelmänvalvojalle"
"Continue","Jatka"
"Convert to Plain Text","Muunna pelkäksi tekstiksi"
"Country","Maa"
"Country:","Maa:"
"Coupon Discount (Formatted Text)","Kupongin Alennus (Muotoillut Tekstit)"
"Coupon Discount Amount (Raw Number)","Kupongin Alennuksen Määrä (Raakanumero)"
"Coupons","Kupongit"
"Create","Luo"
"Created At","Luotu Klo"
"Create DB Backup","Luo Tietokannan Varmuuskopio"
"Create URL Rewrite:","Create URL Rewrite:"
"Credit Card %s","Luottokortti %s"
"Credit Card Number","Luottokortin Numero"
"Credit Card Type","Luottokortin Tyyppi"
"Credit memo #%s comment added","Hyvityslasku #%s kommentti lisätty"
"Credit memo #%s created","Hyvityslasku #%s luotu"
"Credit memo's total must be positive.","Luoton memon kokonaismäärän on oltava positiivinen."
"Credit Memo History","Hyvityslaskun Historia"
"Credit Memos","Kredit Muistit"
"Credit Memo Totals","Hyvityslaskut Yhteensä"
"CRITICAL","KRIITTINEN"
"Critical","Kriittinen"
"critical","kriittinen"
"CSV","CSV"
"CSV / Tab separated","CSV / välilehti erotettu"
"Currency","Valuutta"
"Currency ""%s"" is used as %s in %s.","Valuutta ""%s"" käytetään %s %s."
"Currency doesn't exist.","Valuutta ei ole olemassa."
"Currency Information","Valuutan Tiedot"
"Current Admin Password","Nykyinen Ylläpitäjän Salasana"
"Current Configuration Scope:","Nykyinen Kokoonpanon Laajuus:"
"Current Month","Nykyinen Kuukausi"
"Current password field cannot be empty.","Nykyinen salasanakenttä ei voi olla tyhjä."
"Custom","Mukautettu"
"Customer","Asiakas"
"Customer email address changed from %s to %s by %s.","Asiakkaan sähköpostiosoite vaihdettiin %s :sta %s , jonka on %s"
"Customer Group:","Asiakasryhmä:"
"Customer Groups","Asiakasryhmät"
"Customer Name","Asiakkaan Nimi"
"Customer Reviews","Asiakkaiden Arvostelut"
"Customers","Asiakkaat"
"Customers by Number of Orders","Asiakkaat tilausten määrän mukaan"
"Customers by Orders Total","Asiakkaat tilausten yhteensä"
"Customer Shopping Carts","Asiakkaiden Ostoskorit"
"Customer Since:","Asiakkaan Alkaen:"
"Customer Tax Classes","Asiakkaan Veroluokat"
"Customer with the same email already exists.","Asiakas samalla sähköpostiosoitteella on jo olemassa."
"Custom Symbol","Mukautettu Symboli"
"Custom Variable ""%s""","Mukautettu Muuttuja ""%s"""
"Custom Variables","Mukautetut Muuttujat"
"Dashboard","Hallintapaneeli"
"Database","Tietokanta"
"Dataflow - Advanced Profiles","Dataflow - Edistyneet Profiilit"
"Dataflow - Profiles","Dataflow - Profiles"
"Data Format","Tietojen Muoto"
"Data transfer:","Tietojen siirto:"
"Date","Päivämäärä"
"Date & Time","Päivämäärä Ja Aika"
"Date Added","Päivämäärä Lisätty"
"Date Updated","Päivämäärä Päivitetty"
"Day","Päivä"
"Debug","Debug"
"Decimal separator:","Desimaalien erotin:"
"Default (Admin) Values","Oletus (Admin) Arvot"
"Default Billing Address","Oletus Laskutusosoite"
"Default Config","Default Config"
"Default display currency ""%s"" is not available in allowed currencies.","Oletusvaluutta ""%s"" ei ole käytettävissä sallituissa valuutoissa."
"Default scope","Oletus teema"
"Default Symbol","Oletus Symboli"
"Default Template from Locale","Oletusmalli lokaalista"
"Default Values","Oletusarvot"
"Delete","Poista"
"Delete %s","Poista %s"
"Delete %s '%s'","Poista %s '%s'"
"Delete Block","Poista Lohko"
"Delete File","Poista Tiedosto"
"Delete Image","Poista Kuva"
"Delete Profile","Poista Profiili"
"Delete Role","Poista Rooli"
"Delete Store","Poista Kauppa"
"Delete Store View","Poista Kauppanäkymä"
"Delete Template","Poista Malli"
"Delete User","Poista Käyttäjä"
"Delete Variable","Poista Muuttuja"
"Delete Website","Poista Sivusto"
"Description","Kuvaus"
"Design","Ulkoasu"
"Details","Yksityiskohdat"
"Direction:","Suunta:"
"Disable","Poista Käytöstä"
"Disable All Email Communications","Poista Kaikki Sähköpostiviestintä Käytöstä"
"Disabled","Pois Käytöstä"
"Disallowed block name for frontend.","Estetyn lohkon nimi"
"Display default currency","Näytä oletusvaluutta"
"Do nothing","Älä tee mitään"
"Download","Lataa"
"Downloads","Lataukset"
"Do you really want to KILL parallel process and start new indexing process?","Haluatko todella KILL:n rinnakkaisen prosessin ja aloittaa uuden indeksointiprosessin?"
"Drop-down","Pudotusalas"
"Edit","Muokkaa"
"Edit Block","Muokkaa Lohkoa"
"Edit Block '%s'","Muokkaa Estä '%s'"
"Edit Design Change","Muokkaa Ulkoasun Muutosta"
"Edit Email Template","Muokkaa Sähköpostimallia"
"Edit Order","Muokkaa Tilausta"
"Edit Queue","Muokkaa Jonoa"
"Edit Review","Muokkaa Arvostelua"
"Edit Role","Muokkaa Roolia"
"Edit Store View","Muokkaa Kauppanäkymää"
"Edit System Template","Muokkaa Järjestelmämallia"
"Edit Template","Muokkaa Mallia"
"Edit URL Rewrite","Muokkaa URL-uudelleenkirjoitusta"
"Edit User","Muokkaa Käyttäjää"
"Edit User '%s'","Muokkaa Käyttäjän%s'"
"Edit Variable","Muokkaa Muuttujaa"
"Edit Variable '%s'","Muokkaa Muuttujaa '%s'"
"Edit Website","Muokkaa Sivustoa"
"Email","Sähköposti"
"Email:","Email:"
"Email Address:","Sähköpostin Osoite:"
"Email can only be changed for guest orders.","Sähköpostiosoitetta voidaan muuttaa vain vieraiden tilausten osalta."
"Email transport is disabled. Please configure an email transport in Mail Sending Settings.","Sähköpostin siirto ei ole käytössä. Määritä sähköpostin lähetyksen asetukset sähköpostin lähettämisasetuksissa."
"Emergency","Hätätila"
"Enable","Aktivoi"
"Enable 2FA","Ota 2FA Käyttöön"
"Enabled","Käytössä"
"Enable Password Authentication","Ota Salasanan Todennus Käyttöön"
"Enclose Values In:","Enclose Arvot:"
"Engagement","Sitoutuminen"
"Enter current password and press ""Save Account"" to confirm passkey change.","Syötä nykyinen salasana ja paina ""Tallenna tili"" vahvistaaksesi salasanan muutos."
"Enter new email address:","Syötä uusi sähköpostiosoite:"
"Enter the 6-digit code from your authenticator app","Syötä 6-numeroinen koodi todentajan sovelluksestasi"
"Entity Attributes","Entiteetin Ominaisuudet"
"Entity Type","Entiteetin Tyyppi"
"Entity type:","Entiteetin tyyppi:"
"Entry & Exit Pages","Syöttö Ja Poistu Sivuista"
"Error","Virhe"
"example: ""sitemap/"" or ""/"" for base path (path must be writeable)","esimerkki: ""sitemap/"" tai ""/"" peruspolun osalta (polku on kirjoitettavissa)"
"example: sitemap.xml","example: sitemap.xml"
"Excel XML","Excel XML"
"Excl. Tax","Ilman Veroa"
"Excl. Tax:","Veroton Vero:"
"Expiration Date","Viimeinen Käyttöpäivä"
"Export","Vie"
"Export:","Vienti:"
"Export CSV","Vie CSV"
"Export Filters","Vie Suodattimet"
"Export to:","Vie kohteeseen:"
"Failed","Epäonnistui"
"failed","epäonnistui"
"Failed to add a product to cart by id ""%s"".","Tuotteen lisääminen ostoskoriin tunnuksella ""%s""."
"Failed to cancel the billing agreement.","Laskutussopimuksen peruuttaminen epäonnistui."
"Failed to delete the billing agreement.","Laskutussopimuksen poistaminen epäonnistui."
"Failed to send test email. Please check your email configuration and error logs.","Testisähköpostin lähettäminen epäonnistui. Tarkista sähköpostin määritys ja virhelokit."
"Failed to update the profile.","Profiilin päivitys epäonnistui."
"Field","Kenttä"
"Field Mapping","Kentän Kartoitus"
"File","Tiedosto"
"File Information","Tiedoston Tiedot"
"File mode","Tiedoston tila"
"File name:","Tiedoston nimi:"
"File System","Tiedostojärjestelmä"
"Finished profile execution.","Profiilin suoritus valmis."
"First Invoice Created Date","Ensimmäinen Lasku Luotu Päivämäärä"
"First Name","Etunimi"
"First Name:","Etunimi:"
"First Name is required field.","Etunimi on pakollinen kenttä."
"Fixed","Kiinteä"
"Flush Catalog Images Cache","Tyhjennä Katalogikuvien Välimuisti"
"Flush Minified CSS/JS Cache","Tyhjennä Minified CSS/JS -välimuisti"
"Flush Swatch Images Cache","Tyhjennä Swatch Kuvien Välimuisti"
"For category","Kategorian osalta"
"Forgot Admin Password","Unohdin Ylläpitäjän Salasana"
"Forgot your password?","Unohditko salasanasi?"
"Forgot your user name or password?","Unohditko käyttäjänimesi tai salasanasi?"
"For product","Tuotteelle"
"From","Alkaen"
"from","alkaen"
"FTP Host[:Port]","Ftp Isäntä[:Port]"
"General Information","Yleiset Tiedot"
"Give the verifier code to application administrator","Anna todentajan koodi sovelluksen järjestelmänvalvojalle"
"GLOBAL","GLOBAALI"
"Global Search","Globaali Haku"
"Google Sitemaps","Google Sitemaps"
"Go to messages inbox","Siirry viestien saapuneet-kansioon"
"Go to notifications","Siirry ilmoituksiin"
"Grand Total","Yhteensä"
"Grid (default) / List","Ruudukko (oletus) / Lista"
"Grid Only","Vain Ruudukko"
"Group:","Ryhmä:"
"Guest","Vieras"
"Health Check","Terveystarkastus"
"Helper attributes should not be used in custom layout updates.","Avustavia attribuutteja ei pitäisi käyttää mukautetuissa asettelun päivityksissä."
"Helper for options rendering doesn't implement required interface.","Helper vaihtoehtojen renderöintiin ei toteuta vaadittua käyttöliittymää."
"Home","Koti"
"HTTP (unsecure)","HTTP (suojaamaton)"
"HTTPS (SSL)","HTTPS (SSL)"
"ID","ID"
"Id","Id"
"ID Path","ID Polku"
"If there is an account associated with %s you will receive an email with a link to reset your password.","Jos %s on liitetty tili, saat sähköpostiviestin, jossa on linkki salasanan nollaamista varten."
"If this message persists, please contact the store owner.","Jos tämä viesti jatkuu, ota yhteyttä kaupan omistajaan."
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Jos et määritä valinnan arvoa tietylle kaupan näkymälle, käytetään oletusarvoa (Admin) (Admin)."
"Images Cache","Images Cache"
"Import","Tuo"
"Import/Export","Tuo/Vie"
"Import/Export Advanced","Tuo/Vienti Lisäasetukset"
"Import/Export Profile","Tuo/Vie Profiili"
"Import and Export","Tuonti ja vienti"
"Import and Export Tax Rates","Tuonti- ja vientiverot"
"Imported <strong>%s</strong> records","Tuotu <strong>%s</strong> tietueet"
"Import Service","Tuo Palvelu"
"Inactive","Passiivinen"
"Incl. Tax","Sis. Verollinen"
"Incl. Tax:","Sis. Vero:"
"Incoming Message","Saapuva Viesti"
"In Database:","Tietokannassa:"
"In File:","Tiedostossa:"
"Informational","Tiedottaminen"
"Input fields (from - to)","Syöttökentät (alkaen - yhteen)"
"Insert Variable...","Lisää Muuttuja..."
"Interactive","Interaktiivinen"
"Interface Locale: %s","Käyttöliittymän Sijainti: %s"
"Internal Error","Sisäinen Virhe"
"Invalid 2FA verification code","Virheellinen 2FA vahvistuskoodi"
"Invalidated","Kumottu"
"Invalid current password.","Virheellinen nykyinen salasana."
"Invalid data","Virheellinen data"
"Invalid email address ""%s"".","Virheellinen sähköpostiosoite ""%s""."
"Invalid email address.","Virheellinen sähköpostiosoite."
"Invalid field name '%s', must not be one of NOT, AND, OR, XOR","Virheellinen kentän nimi '%s', ei saa olla jokin NOT, AND, OR, XOR"
"Invalid Form Key. Please refresh the page.","Virheellinen lomakkeen avain. Ole hyvä ja päivitä sivu."
"Invalid Import Service Specified","Virheellinen Tuontipalvelu Määritelty"
"Invalid input data for %s => %s rate","Virheellinen syöttötieto %s => %s nopeudelle"
"Invalid operator '%s', must be one of NOT, AND, OR, XOR","Virheellinen operaattori '%s', täytyy olla yksi EI EN, AND, OR, XOR"
"Invalid parent block for this block","Virheellinen isäntälohko tälle lohkolle"
"Invalid parent block for this block.","Virheellinen isäntälohko tälle lohkolle."
"Invalid password reset token.","Virheellinen salasanan nollaustunnus."
"Invalid POST data (please check post_max_size and upload_max_filesize settings in your php.ini file).","Virheelliset POST-tiedot (tarkista post_max_size ja upload_max_filesize asetukset php.ini tiedostostasi)."
"Invalid request method","Virheellinen pyyntötapa"
"Invalid response","Virheellinen vastaus"
"Invalid Secret Key. Please refresh the page.","Virheellinen salainen avain. Ole hyvä ja päivitä sivu."
"Invalid sender name ""%s"". Please use only visible characters and spaces.","Virheellinen lähettäjän nimi ""%s"". Käytä vain näkyviä merkkejä ja välilyöntejä."
"Invalid template data.","Virheellinen mallitieto."
"Invalid template path used in layout update.","Sivupohjan polku ei kelpaa asettelun päivityksessä."
"Invalid timezone","Virheellinen aikavyöhyke"
"Invalid User Name or Password.","Virheellinen käyttäjänimi tai salasana."
"Inventory Stock Status","Varaston Tila"
"Invoice #%s comment added","Lasku #%s kommentti lisätty"
"Invoice #%s created","Lasku #%s luotu"
"Invoice canceling error.","Laskun peruutus virhe."
"Invoice capturing error.","Virhe tallennettaessa laskua."
"Invoice History","Laskun Historia"
"Invoices","Laskut"
"Invoice Totals","Lasku Yhteensä"
"Invoice voiding error.","Invoice voiding error."
"IP Address","Ip Osoite"
"Is Allowed","On Sallittu"
"Is Allowed is required field.","On Sallittu on pakollinen kenttä."
"Is Closed","On Suljettu"
"Is Default","On Oletus"
"Issue Number","Ongelman Numero"
"Items","Kohteet"
"JavaScript/CSS","JavaScript/CSS"
"JavaScript/CSS Cache","JavaScript/CSS-välimuisti"
"Languages","Kielet"
"Last 5 Orders","Viimeiset 5 Tilausta"
"Last 5 Search Terms","Viimeiset 5 Hakutermiä"
"Last 7 Days","Viimeiset 7 Päivää"
"Last 24 Hours","Viimeiset 24 Tuntia"
"Last Credit Memo Created Date","Viimeisin Hyvityslasku Luotu Päivämäärä"
"Last Invoice Created Date","Viimeisin Lasku Luotu Päivämäärä"
"Last Logged In (%s):","Viimeksi Kirjautunut (%s):"
"Last Logged In:","Viimeksi Kirjautunut:"
"Last Name","Sukunimi"
"Last Name:","Sukunimi:"
"Last Name is required field.","Sukunimi on pakollinen kenttä."
