"# of Use","# käyttö"
"%1$s incl tax.","%1$s sis. veron."
"%s-%s of %s","%s-%s %s"
"%s and above","%s ja yli"
"%s Item(s)","%s Kohde(t)"
"An error occurred while deleting this review.","Tämän tarkistuksen poistamisessa tapahtui virhe."
"An error occurred while removing products from websites.","Tuotteiden poistamisessa sivustoilta tapahtui virhe."
"An error occurred while saving the attribute set.","Tapahtui virhe tallennettaessa attribuutin asetusta."
"An error occurred while saving the collection, aborting. Error message: %s","Virhe tallennettaessa kokoelmaa, keskeytettiin. Virheviesti: %s"
"An error occurred while saving the product. ","Tuotteen tallennuksessa tapahtui virhe. "
"An error occurred while saving the search query.","Tapahtui virhe tallennettaessa hakua."
"An error occurred while saving the URL rewrite","Tapahtui virhe tallennettaessa URL-osoitteen uudelleenkirjoitusta"
"An error occurred while saving this review.","Arvostelun tallennuksessa tapahtui virhe."
"An error occurred while updating the product(s) attributes.","Tuotteen (tuotteiden) attribuuttien päivityksessä tapahtui virhe."
"An error occurred while updating the product(s) status.","Tuotteen (tuotteiden) tilan päivittämisessä tapahtui virhe."
"An invalid group ID is specified, skipping the record.","Virheellinen ryhmätunnus on määritetty, ohitetaan tietue."
"An invalid option ID is specified for %s (%s), skipping the record.","Epäkelpo vaihtoehto ID on määritetty %s (%s), ohitetaan tietue."
"An invalid store was specified.","Virheellinen kauppa määritettiin."
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Sovelletaan vain luetteloihin tuotteisiin ja luokkiin. Mikä tahansa mediasisältö lisätään muokkaimeen staattisena URL-osoitteena. Sitä ei päivitetä, jos järjestelmän konfiguraation base URL muuttuu."
"Apply","Käytä"
"Apply MAP (Default Value)","Käytä MAP (oletusarvo)"
"Apply price filter","Käytä hintasuodatinta"
"Apply To","Käytä Kohteeseen"
"Approved","Hyväksytty"
"A product type is not defined for the indexer.","Tuotetyyppiä ei ole määritelty indeksoijalle."
"Are you sure?","Oletko varma?"
"Are you sure you want to delete this category?","Oletko varma, että haluat poistaa tämän kategorian?"
"Are you sure you would like to remove all products from your comparison?","Oletko varma, että haluat poistaa kaikki tuotteet vertailustasi?"
"Are you sure you would like to remove this item from the compare products?","Oletko varma, että haluat poistaa tämän kohteen vertailusta valmistetuista tuotteista?"
"Assign","Määritä"
"Assigned Products","Määritetyt Tuotteet"
"Assign product link","Määritä tuotelinkki"
"Assign product to category","Määritä tuote kategoriaan"
"Associated Products","Liittyvät Tuotteet"
"Attrib. Set Name","Attrib. Aseta Nimi"
"Attribute ""%s"" is invalid.","Attribuutti ""%s"" on virheellinen."
"Attribute ""%s"" is required.","Attribuutti ""%s"" on pakollinen."
"Attribute add","Attribuutin lisäys"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter. Do not use ""event"" for an attribute code.","Attribuutin koodi on virheellinen. Käytä vain kirjaimia (a-z), numeroita (0-9) tai alaviivoja (_) tässä kentässä, ensimmäisen merkin tulee olla kirjain. Älä käytä attribuutin koodia ""tapahtumaa""."
"Attribute Information","Attribuutin Tiedot"
"Attribute Name:","Attribuutin Nimi:"
"Attribute remove","Attribuutin poisto"
"Attributes","Ominaisuudet"
"Attribute Set","Attribuuttiryhmä"
"Attribute Sets","Attribuuttien Sarjat"
"Attribute with the same code already exists","Attribuutti samalla koodilla on jo olemassa"
"Attrribute names can be specified per store.","Attrributen nimet voidaan määritellä kauppaa kohden."
"Autogenerate","Luo Automaattisesti"
"Availability:","Saatavuus:"
"Back","Takaisin"
"Background Color","Taustan Väri"
"Backorders","Jälkitoimitukset"
"Based On","Perustuu"
"Base Image Width","Peruskuvan Leveys"
"Before Order Confirmation","Ennen Tilauksen Vahvistusta"
"Best Value","Paras Arvo"
"Block after Info Column","Estä tietosarakkeen jälkeen"
"Bottom/Left","Ala/Vasemmalla"
"Bottom/Right","Ala/Oikealle"
"Bottom Block Options Wrapper","Alalohkon Valinnat Wrapper"
"Bundle Items","Yhdistä Kohteet"
"Buy %1$s","Osta %1$s"
"Buy %1$s for","Osta %1$s"
"Buy %1$s for %2$s","Osta %1$s %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Osta %1$s %2$s (%3$s sis. vero) kukin"
"Buy %1$s for %2$s each","Osta %1$s %2$s :lle jokaisesta"
"Cache Lifetime (Seconds)","Välimuistin Käyttöikä (Sekuntia)"
"Cache refresh needed.","Välimuistin päivitys tarvitaan."
"Can't create image.","Kuvaa ei voi luoda."
"Can be Divided into Multiple Boxes for Shipping","Voidaan jakaa useisiin laatikoihin toimitusta varten"
"Can be used only with catalog input type Dropdown","Voidaan käyttää vain katalogin syöttötyypin pudotusvalikossa"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Voidaan käyttää vain katalogin syöttötyypillä Dropdown, Multiple Select ja Price"
"Cancel","Peruuta"
"Cannot create image.","Kuvaa ei voi luoda."
"Cannot create writeable directory '%s'.","Ei voida luoda kirjoitettavaa hakemistoa '%s'."
"Cart Item Attribute","Ostoskorin Tuotteen Määrite"
"Catalog","Katalogi"
"Catalog + Search","Katalogi + Haku"
"Catalog Category (Anchor)","Katalogin Kategoria (Ankkuri)"
"Catalog Category (Non-Anchor)","Tuoteluettelo Kategoria (ei-Anchor)"
"Catalog Category (Without Subcategories)","Tuoteluettelon Kategoria (ilman Alaluokkaa)"
"Catalog Category Link","Luettelon Kategorian Linkki"
"Catalog New Products List","Tuoteluettelo Uusien Tuotteiden Lista"
"Catalog Price Scope","Tuoteluettelon Hintalaajuus"
"Catalog Product Compare List","Tuoteluettelon Vertailulista"
"Catalog product custom options API","Tuoteluettelon mukautetut vaihtoehdot API"
"Catalog product custom option values API","Tuoteluettelon mukautetut asetusarvot API"
"Catalog Product Email to a Friend","Tuoteluettelo Lähetä sähköpostia ystävälle"
"Catalog Product Image Gallery Popup","Tuoteluettelon Tuotekuvan Ponnahdusikkuna"
"Catalog Product Link","Tuoteluettelon Tuotteen Linkki"
"Catalog Product View (Any)","Tuoteluettelo Näkymä (jo)"
"Catalog Product View (Configurable)","Tuoteluettelon Näkymä (Muokattava)"
"Catalog Product View (Grouped)","Tuoteluettelon Tuotenäkymä (Grouped)"
"Catalog Product View (Simple)","Tuoteluettelon Tuotenäkymä (yksinkertainen)"
"Catalog Product View (Virtual)","Tuoteluettelo (Virtuaalinen)"
"Catalog Seo Sitemap (Category List)","Tuotekatalogi Seo Sivukartta (Tuoteryhmäluettelo)"
"Catalog Seo Sitemap (Category Tree)","Tuoteluettelo Seo Sitemap (Tuoteryhmäpuu)"
"Catalog Seo Sitemap (Common)","Katalogi Seo Sivukartta (Yleinen)"
"Catalog Seo Sitemap (Product List)","Tuoteluettelo Seo Sivukartta (Tuoteluettelo)"
"Catalog URL Rewrites","Luettelon Url Uudelleenkirjoitukset"
"Categories","Kategoriat"
"categories","kategoriat"
"Categories Sitemap","Kategoriat Sivukartta"
"Category","Kategoria"
"Category API","Kategoria API"
"Category attributes API","Kategorian attribuutit API"
"Category Data","Kategorian Tiedot"
"Category delete error: %s","Kategorian poistovirhe: %s"
"Category Flat Data","Kategorian Flat Data"
"Category ID","Luokka ID"
"Category is not dynamic.","Kategoria ei ole dynaaminen."
"Category Link Block Template","Kategorian Linkkilohkon Malli"
"Category Link Inline Template","Kategorian Linkin Sisäinen Malli"
"Category move error: %s","Kategorian siirtovirhe: %s"
"Category must be an instance of Mage_Catalog_Model_Category.","Kategorian on oltava Mage_Catalog_Model_Categoryn ilmentymä."
"Category not found.","Kategoriaa ei löytynyt."
"Category Products","Tuoteryhmän Tuotteet"
"Category save error: %s","Kategorian tallennus virhe: %s"
"Category Top Navigation","Kategoria Ylhäällä Navigointi"
"Category URL Suffix","Kategorian URL Jälkiliite"
"Category was not found.","Kategoriaa ei löytynyt."
"Center","Keskitetty"
"Change","Muuta"
"Change Attribute Set","Vaihda Attribuuttiryhmää"
"Change or Retrieve attribute store view","Vaihda tai hae attribuuttikaupan näkymää"
"Change status","Muuta tila"
"Changing the attribute set may result in data loss for attributes that do not exist in the new set. Are you sure?","Attribuuttiryhmän muuttaminen voi johtaa tietojen menetykseen attribuuteissa, joita ei ole uudessa sarjassa. Oletko varma?"
"Check items to add to the cart or","Valitse ostoskoriin lisättävät tuotteet tai"
"Choose an Option...","Valitse vaihtoehto..."
"Clear All","Tyhjennä Kaikki"
"Clear Price","Tyhjennä Hinta"
"Click for price","Klikkaa saadaksesi hinnan"
"Close Window","Sulje Ikkuna"
"Collapse All","Kutista Kaikki"
"Comma-separated.","Pilkulla erotettu."
"Comparable","Vertailukelpoinen"
"Comparable on Front-end","Vertailukelpoinen etupäässä"
"Comparable on the Frontend","Vertailtavissa julkisivustolla"
"Compare","Vertaa"
"Compare Products","Vertaa Tuotteita"
"Conditions","Ehdot"
"Conditions Combination","Ehtojen Yhdistäminen"
"Configurable","Muokattavissa"
"Configurable Product Settings","Muokattavissa Olevat Tuotteen Asetukset"
"Continue","Jatka"
"Controls display of Add to Cart and View Details buttons in category pages and product lists. When disabled, only product names and images will be clickable.","Controls display of Add to Cart and View Details painikkeet tuoteryhmäsivuilla ja tuotelistalla. Kun pois päältä, vain tuotenimet ja kuvat ovat klikkaamalla."
"Copy From Configurable","Kopioi Muokattavasta"
"Country/State","Maa/osavaltio"
"Create","Luo"
"Create (Upload)","Luo (lataus)"
"Create attribute set based on another set","Luo attribuuttijoukko toisen joukon perusteella"
"Create Empty","Luo Tyhjä"
"Create new attribute","Luo uusi attribuutti"
"Create new category","Luo uusi kategoria"
"Create new product","Luo uusi tuote"
"Create Permanent Redirect for old URL","Luo pysyvä uudelleenohjaus vanhalle URL:lle"
"Create Permanent Redirect for URLs if URL Key Changed","Luo pysyvä uudelleenohjaus URL-osoitteille, jos URL-avain muuttui"
"Create Product Settings","Luo Tuoteasetukset"
"Create Simple Associated Product","Luo Yksinkertainen Liittyvä Tuote"
"Cross-sells","Ristiinmyynti"
"Custom Design","Muokattu Ulkoasu"
"Customer Group","Asiakasryhmä"
"Customers Reviews","Asiakkaiden Arvostelut"
"Customers Tagged Product","Asiakkaat Merkitään Tuote"
"Custom Options","Mukautetut Asetukset"
"Custom options","Mukautetut asetukset"
"Data Type for Saving in Database","Tietojen tallennuksen tyyppi tietokantaan"
"Date & Time Custom Options","Päivämäärän Ja Ajan Mukautetut Valinnat"
"Date Subscribed","Tilattu Päivämäärä"
"Datetime","Päivämäärä"
"Decimal","Desimaali"
"Declare attribute value saving scope","Hylkää attribuutin arvon säästämisen soveltamisala"
"Default ""What's This"" Text Message","Oletus ""Mikä Tämä"" Tekstiviesti"
"Default Popup Text Message","Oletus Ponnahdusikkunan Tekstiviesti"
"Default Price","Oletus Hinta"
"Default Price Navigation Step","Oletus Hinnan Navigointi Vaihe"
"Default Qty","Default Qty"
"Default Values","Oletusarvot"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Määrittää perusvaluutan laajuuden (""ValuuttaSetup"" > ""Valuuttaasetukset"" > ""Perusvaluutta"")."
"Delete","Poista"
"Delete Attribute","Poista Ominaisuus"
"Delete attribute","Poista attribuutti"
"Delete Attribute Set","Poista Attribuuttijoukko"
"Delete Category","Poista Kategoria"
"Delete category","Poista kategoria"
"Delete File","Poista Tiedosto"
"Delete Group Price","Poista Ryhmän Hinta"
"Delete product","Poista tuote"
"Delete Row","Poista Rivi"
"Delete Search","Poista Haku"
"Delete Tier","Poista Taso"
"Depends on design theme","Riippuu suunnitteluteemasta"
"Description","Kuvaus"
"Design","Ulkoasu"
"Details","Yksityiskohdat"
"Disabled","Pois Käytöstä"
"Disallowed file format.","Ei sallittu tiedostomuoto."
"Disallowed file type.","Ei sallittu tiedostotyyppi."
"Display Actual Price","Näytä Todellinen Hinta"
"Display in Suggested Terms","Näytä ehdotetuissa termeissä"
"Display Page Control","Näytä Sivun Ohjaus"
"Display Price Interval as One Price","Näytä hintaväli yhtenä hinnana"
"Display Product Count","Näytä Tuotteiden Määrä"
"Display Type","Näytön Tyyppi"
"Downloadable Information","Ladattavat Tiedot"
"Do you want to duplicate the product images as well?","Haluatko myös kopioida tuotekuvat ja kopioida niitä?"
"Do you want to duplicate the product images as well?","Haluatko myös kopioida tuotekuvat ja kopioida niitä?"
"Duplicate","Duplicate"
"Duplicate Product","Kahdenna Tuote"
"Duplicate website, country and state tax found.","Monista sivusto, maan ja valtion vero löytyi."
"Duplicate website group price customer group.","Monista sivuston ryhmän hinta-asiakasryhmä."
"Duplicate website tier price customer group and quantity.","Monista sivuston määrittämisen hinta asiakasryhmä ja määrä."
"Dynamic category processed successfully.","Dynaaminen kategoria käsitelty onnistuneesti."
"Dynamic Category Rules","Dynaamisten Kategorioiden Säännöt"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Esim. {{{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance."
"each","kukin"
"Edit","Muokkaa"
"Edit Attribute Set '%s'","Muokkaa Attribuuttijoukkoa%s'"
"Edit Product Attribute","Muokkaa Tuoteattribuuttia"
"Edit Product Attribute ""%s""","Muokkaa Tuoteattribuuttia ""%s"""
"Edit Search","Muokkaa Hakua"
"Edit Search '%s'","Muokkaa Hakua%s'"
"Edit Set Name","Muokkaa Aseta Nimeä"
"Email","Sähköposti"
"Empty","Tyhjä"
"Enable Add to cart Button in product listings","Ota käyttöön Lisää ostoskoriin Painike tuotteiden luetteloissa"
"Enabled","Käytössä"
"Enable MAP","Ota MAP Käyttöön"
"Enable Qty Increments","Ota Käyttöön Määrä Lisäykset"
"Enable WYSIWYG","Ota WYSIWYG Käyttöön"
"Error during retrieval of option value: %s","Virhe valinnan arvon hakemisessa: %s"
"Error loading children: %s","Virhe ladattaessa lapsia: %s"
"ex. http://domain.com","esim. http://domain.com"
"Exclude","Ohita"
"Expand All","Laajenna Kaikki"
"Failed","Epäonnistui"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Tiedoston %skopiointi epäonnistui. Poista media olemassa olemattomilla kuvilla ja yritä uudelleen."
"Failed to move file: %s","Tiedoston siirto epäonnistui: %s"
"Field is not complete","Kenttä ei ole valmis"
"File","Tiedosto"
"File options format is not valid.","Tiedostoasetusmuoto ei kelpaa."
"File upload failed","Tiedoston siirto palvelimelle epäonnistui"
"File upload failed. Please contact the store administrator.","Tiedoston siirto palvelimelle epäonnistui. Ota yhteyttä kaupan ylläpitäjään."
"File upload failed with error code: %s","Tiedoston lähettäminen epäonnistui virhekoodi: %s"
"Filter","Suodatin"
"Filterable (no results)","Suodatettavissa (ei tuloksia)"
"Filterable (with results)","Suodatettavissa (tuloksilla)"
"Filter model name must be declared.","Suodatinmallin nimi on ilmoitettava."
"Filter must be an object. Please set correct filter.","Suodattimen on oltava objekti. Aseta oikea suodatin."
"Filters","Suodattimet"
"First Name","Etunimi"
"Fixed","Kiinteä"
"For internal use.","Sisäiseen käyttöön."
"For the last time placed.","Viime kerralla asetettu."
"From","Alkaen"
"Frontend","Julkisivu"
"Frontend Properties","Julkisivun Ominaisuudet"
"Gallery","Galleria"
"General Information","Yleiset Tiedot"
"Get full information about attribute with list of options","Hanki kaikki tiedot attribuutista vaihtoehdoista"
"Get full information about custom option in product","Hanki täydelliset tiedot mukautetusta vaihtoehdosta tuotteessa"
"Get list of available custom option types","Hanki luettelo käytettävissä olevista mukautetuista vaihtoehtotyypeistä"
"Get list of non-default attributes by product type and attributes set","Hae luettelo ei-oletusarvoisista attribuuteista tuotetyypin ja määritettyjen attribuuttien mukaan"
"Get list of possible attribute types","Hae luettelo mahdollisista attribuuttityypeistä"
"Get special price","Hanki erikoishinta"
"Global","Globaali"
"Globally Editable","Globaalisti Muokattava"
"Go to Home Page","Siirry etusivulle"
"Grid","Ruudukko"
"Group add","Ryhmän lisäys"
"Grouped","Ryhmitelty"
"Group remove","Ryhmän poistaminen"
"Groups","Ryhmät"
"Home","Koti"
"HTML tags are not allowed in SKU attribute.","HTML-tagit eivät ole sallittuja SKU-attribuutissa."
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Jos tyhjä, kategorian nimeä käytetään"
"If empty, the Product Name will be used","Jos tyhjä, tuotteen nimeä käytetään"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Jos et määritä valinnan arvoa tietylle kaupan näkymälle, käytetään oletusarvoa (Admin) (Admin)."
"Image","Kuva"
"Image content is not valid base64 data.","Kuvan sisältö ei ole kelvollinen base64-tieto."
"Image does not exist.","Kuvaa ei ole olemassa."
"Image type and information need to be specified for each store view.","Kuvantyyppi ja -tiedot on määriteltävä jokaiselle kauppanäkymälle."
"In Cart","Ostoskorissa"
"Incl. Tax","Sis. Verollinen"
"Indexed category/products association","Indeksoitu luokka/tuotteiden assosiaatio"
"Index product and categories URL rewrites","Indeksoi tuotteet ja luokat URL uudelleenkirjoittaa"
"Index product attributes for layered navigation building","Indeksoi tuotteen attribuutit kerroksisen navigoinnin rakentamiseen"
"Index product prices","Indeksoi tuotteiden hinnat"
"Info","Tiedot"
"Info Column Options Wrapper","Info Sarakkeen Valinnat Wrapper"
"Input Type","Input Type"
"In Stock","Varastossa Olevat"
"In stock","Varastossa olevat"
"Integer","Kokonaisluku"
"Internal Error","Sisäinen Virhe"
"Interval Division Limit","Aikaväli Division Raja"
"Invalid attribute %s","Virheellinen attribuutti %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Virheellinen attribuutille %s (%s), ohitetaan tietue."
"Invalid attribute set specified, skipping the record.","Määritelty attribuuttijoukko ei kelpaa, ohitetaan tietue."
"Invalid block: %s.","Virheellinen lohko: %s."
"Invalid category.","Virheellinen luokka."
"Invalid category IDs.","Virheelliset kategorian tunnukset."
"Invalid custom option(s).","Kelpaamattomat mukautetut vaihtoehdot"
"Invalid image file type.","Virheellinen kuvatyyppi."
"Invalid image type.","Virheellinen kuvatyyppi."
"Invalid option ID specified for %s (%s), skipping the record.","Virheellinen vaihtoehto ID määritetty %s (%s), ohitetaan tietue."
"Invalid product collection resource.","Virheellinen tuotekokoelmaresurssi."
"Invalid product type specified, skipping the record.","Virheellinen tuotetyyppi, ohitetaan tietue."
"Invalid store specified","Virheellinen kauppa määritetty"
"Invalid store specified, skipping the record.","Virheellinen kauppa, ohitetaan tietue."
"Invalid Tier Prices","Virheellinen Määrän Hinnat"
"Invalid tier prices. The product is not associated to the requested website.","Virheellinen määrittämistaso. Tuotetta ei ole liitetty pyydettyyn verkkosivustoon."
"Inventory","Tavaraluettelo"
"Is Default","On Oletus"
"Is Required","On Pakollinen"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Kohteet, joita et halua näyttää luettelossa tai hakutuloksissa pitäisi olla tila 'Pois päältä' halutussa kaupassa."
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Kohteet, joita et halua näyttää luettelossa tai hakutuloksissa tulee olla tila 'Pois päältä' halutussa kaupassa."
"Keep Frame","Pidä Kehys"
"Label","Tunniste"
"Last Name","Sukunimi"
"Last Notification","Viimeisin Ilmoitus"
"Layered Navigation","Kertynyt Navigointi"
"Learn More","Lue Lisää"
"leave blank if its not an image","jätä tyhjäksi, jos se ei ole kuva"
"Line %d, Email: %s","Line %d, Email: %s"
"Line %d, SKU: %s","Rivi %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Linkki (Related, Up sell, Cross sell)"
"Link product does not exist.","Linkkituotetta ei ole olemassa."
"Link to a Specified Category","Linkki määrättyyn kategoriaan"
"Link to a Specified Product","Linkki määrättyyn tuotteeseen"
"List","Lista"
"List Mode","Listan Tila"
"List of Products that are set as New","Luettelo tuotteista, jotka on asetettu uudeksi"
"List of types","Luettelo tyypeistä"
"Manage Attributes","Hallinnoi Attribuutteja"
"Manage Attribute Sets","Hallinnoi Attribuuttiasetuksia"
"Manage Catalog Categories","Hallitse Luettelon Luokkia"
"Manage Categories","Kategorioiden Hallinta"
"Manage Label / Options","Hallitse Tunnusta / Valintoja"
"Manage Options (values of your attribute)","Hallitse valintoja (attribuutin arvoja)"
"Manage Product Attributes","Hallinnoi Tuotteen Attribuutteja"
"Manage Products","Tuotteiden Hallinta"
"Manage Product Sets","Hallitse Tuotesarjoja"
"Manage Stock","Hallitse Varastoa"
"Manage Titles (Size, Color, etc.)","Hallitse otsikoita (koko, väri jne.)"
"Max Characters","Merkkien Maksimi"
"Maximal Depth","Suurin Syvyys"
"Maximum allowed image size for '%s' is %sx%s px.","Suurin sallittu kuvan koko '%s' on %sx%s px."
"Maximum file size","Tiedoston enimmäiskoko"
"Maximum image height","Kuvan enimmäiskorkeus"
"Maximum Image Size","Kuvan Enimmäiskoko"
"Maximum image width","Kuvan maksimi leveys"
"Maximum number of characters:","Merkkien enimmäismäärä:"
"Maximum Number of Price Intervals","Suurin hintavälien määrä"
"Maximum number of price intervals is 100","Enimmäismäärä hintaväliä on 100"
"Maximum Qty Allowed in Shopping Cart","Maksimi määrä sallittu ostoskorissa"
"Maximum resolution for upload image","Suurin resoluutio ladattavalle kuvalle"
"Maximum width and height dimension for upload image is %s.","Suurin leveys ja korkeus mitat ladattaessa kuva on %s."
"Maximum width and height resolutions for upload image","Suurin sallittu leveys ja korkeusresoluutio ladattavalle kuvalle."
"Maximum width base product image will be scaled down to in pixels","Suurin leveys perustuotteen kuva pienennetään pikseleihin asti"
"Maximum width small product image will be scaled down to in pixels","Suurin leveys pieni tuote kuva pienennetään alas pikseleinä"
"Media Image","Median Kuva"
"Middle Name","Toinen Nimi"
"Minimum Advertised Price","Mainotettu Vähimmäishinta"
"Minimum Lines per Page","Vähimmäisriviä sivua kohti"
"Minimum Qty Allowed in Shopping Cart","Ostoskorissa sallittu vähimmäismäärä"
"Minimum Qty for Item's Status to be Out of Stock","Minimi määrä tuotteen tilalle olla varastossa"
"Missing SKU, skipping the record.","Puuttuva SKU, ohitetaan tietue."
"Move","Siirrä"
"Move category in tree","Siirrä kategoria puuhun"
"Multi update product","Multi päivitys tuote"
"Must be in the allowed values list.","Täytyy olla sallittujen arvojen luettelossa."
"My Account","Oma Tili"
"N/A","E/A"
"Name","Nimi"
"Name in %s","Nimi %s"
"New Product","Uusi Tuote"
"New Product Attribute","Uusi Tuotemäärite"
"New Products","Uudet Tuotteet"
"New products","Uudet tuotteet"
"New Products Grid Template","Uusien Tuotteiden Ruudukkomalli"
"New Products Images and Names Template","Uusien tuotteiden kuvien ja nimien malli"
"New Products Images Only Template","Vain Uusien Tuotteiden Kuvat"
"New Products List Template","Uusien Tuotteiden Listamalli"
"New Products Names Only Template","Vain Uusien Tuotteiden Nimet"
"New Root Category","Uusi Juurikategoria"
"New Search","Uusi Haku"
"New Subcategory","Uusi Alakategoria"
"Next","Seuraava"
"No","Ei"
"No, without images","Ei, ilman kuvia"
"No image","Ei kuvaa"
"No layout updates","Ei asettelun päivityksiä"
"None","Ei Mitään"
"No options of this product are available.","Tämän tuotteen vaihtoehtoja ei ole saatavilla."
"No product collections found.","Tuotekokoelmia ei löytynyt."
"Notify for Quantity Below","Ilmoita määrästä alla"
"Notify Low Stock RSS","Ilmoita Matalat RSS"
"Not Individually","Ei Yksilöllisesti"
"Number of Products per Page","Tuotteiden määrä per sivu"
"Number of Products to Display","Näytettävien tuotteiden määrä"
"Number of results","Tulosten lukumäärä"
"Number of results (For the last time placed)","Tulosten lukumäärä (viimeisen kerran osalta)"
"Number of Uses","Käyttöjen määrä"
"On Gesture","Eleessä"
"Option:","Asetus:"
"Options","Valinnat"
"Options Control","Valintojen Hallinta"
"Options is required","Valinnat vaaditaan"
"Option validation failed to add product to cart.","Vaihtoehdon validointi ei onnistunut lisäämään tuotetta ostoskoriin."
"Option values","Valinnan arvot"
"Out of Stock","Ei varastossa"
"Out of stock","Ei varastossa"
