"%s items queued for embedding.","%s kohdetta jonossa upotettavaksi."
"Action","Toiminto"
"OpenAI-compatible endpoint, e.g. https://api.example.com/v1","OpenAI-yhteensopiva päätepiste, esim. https://api.example.com/v1"
"OpenAI Embed Model","Avattu Upota Malli"
"OpenAI Image Model","OpenAI- Kuvamalli"
"Output Tokens","Ulostulon Tokenit"
"Out Tokens","Ulos Tunnisteet"
"Pending","Odottaa"
"Pending Embed Tasks","Odottavat Upotetut Tehtävät"
"PII Detection","PII Tunnistus"
"Placeholder URL Pattern","Paikkamerkin URL Kuvio"
"Platform","Alusta"
"Platform / Model","Alusta / Malli"
"Priority","Prioriteetti"
"Processing","Käsitellään"
"Products (%s enabled)","Tuotteet (%s käytössä)"
"Prompt Injection Detection","Kysy Injektion Havaitseminen"
"Queue","Jono"
"Queue an embedding task whenever a category is saved.","Jonottaa upotustehtävän aina kun kategoria on tallennettu."
"Queue an embedding task whenever a product is saved.","Laita upotustehtävä jonoon aina kun tuote tallennetaan."
"Queue Cron Schedule","Jonon Aikataulu"
"Queued","Jonossa"
"Queue for Embedding","Jono sulauttamista varten"
"Queue Status","Jonon Tila"
"Refresh Models","Päivitä Mallit"
"Response","Vastaus"
"Retries","Uudelleen"
"Return a placeholder image URL when image generation is disabled or fails.","Palauta paikkamerkkikuvan URL-osoite, kun kuvan luonti on poistettu käytöstä tai se epäonnistuu."
"Safety & Guardrails","Turvallisuus Ja Vartijat"
"Sanitize HTML Output","Sanitize Html- Ulostulo"
"Scan user inputs for prompt injection attempts before sending to AI.","Skannaa käyttäjän syötteet nopeaa injektointia varten ennen AI:n lähettämistä."
"Status","Tila"
"Store ID","Kaupan Tunnus"
"Strip dangerous tags/attributes from AI responses used as HTML.","Poista vaaralliset tagit/attribuutit AI-vasteista, joita käytetään HTML:nä."
"Target Dimensions","Target Dimensions"
"Task #%s","Tehtävä #%s"
"Task Details","Tehtävän Tiedot"
"Task History","Tehtävän Historia"
"Task not found.","Tehtävää ei löytynyt."
"Task Timeout (seconds)","Tehtävän Aikakatkaisu (Sekuntia)"
"The async queue is disabled. Enable it under System &gt; AI &gt; Queue Settings or tasks will never be processed.","Async jono on poistettu käytöstä. Ota se käyttöön System &gt; AI &gt; Jono Asetuksia tai tehtäviä ei koskaan käsitellä."
"This queues %s products and %s categories (%s tasks total) for background processing.","Tämä asettaa %s tuotteet ja %s kategoriat (%s tehtävät yhteensä) taustan prosessointia varten."
"This will queue all selected items for embedding. Continue?","Tämä jonottaa kaikki valitut kohteet upotettavaksi. Jatketaanko?"
"Type","Tyyppi"
"Usage","Käyttö"
"Use Placeholder Fallback","Käytä Paikkamerkkia Takaisinpäin"
"Use {w} and {h} tokens for width/height. e.g. https://placehold.co/{w}x{h} or https://picsum.photos/{w}/{h}","Use {w} and {h} tokens for width/height. e.g. https://placehold.co/{w}x{h} or https://picsum.photos/{w}/{h}"
"Vector size. 0 = model default. OpenAI and Google support native truncation; others are truncated after retrieval.","Vektorin koko. 0 = mallin oletusarvo. OpenAI ja Google tukevat natiivi katkaisua; muut ovat katkaistu haun jälkeen."
"Vector with %d dimensions","Vektori, jossa %d mitat"
"View","Näytä"
"Warning: %d embedding tasks are already pending. Running this again will add duplicate tasks.","Varoitus: %d upotustehtävät ovat jo käynnissä. Tämän suorittaminen uudelleen lisää päällekkäisiä tehtäviä."
"— save the API key to load available models —","— tallenna API-avain saatavilla olevien mallien lataamiseen —"
