"-- Please Select --","-- Por favor seleccione --"
"Please select at least one website.","Por favor, seleccione al menos un sitio web."
"Please select segment(s).","Por favor, seleccione segmento(s)."
"Prefix for coupon codes","Prefijo para códigos de cupón"
"Prefix for generated coupon codes (e.g., CART, WELCOME)","Prefijo para códigos de cupón generados (por ejemplo, CART, WELCOME)"
"Processing","Procesando"
"Product: %s","Producto: %s"
"Product Type","Tipo de producto"
"Progress record already exists for this customer and sequence.","El registro de progreso ya existe para este cliente y secuencia."
"Purchase Date","Fecha de compra"
"Quantity in Cart","Cantidad en el carrito"
"Quantity Ordered","Cantidad ordenada"
"Refresh Mode","Modo Refrescar"
"Refresh Segments","Actualizar segmentos"
"Row Total","Fila Total"
"Row Total (Inc. Tax)","Fila Total (Inc. Impuesto)"
"Sales rule does not exist.","Regla de venta no existe."
"Sales rule is not active.","La regla de venta no está activa."
"Sales rule is required when coupon generation is enabled.","Regla de venta es necesaria cuando la generación de cupones está habilitada."
"Sales rule must be configured for specific coupon codes.","La regla de ventas debe configurarse para códigos de cupón específicos."
"Sales rule must have auto-generation enabled.","La regla de ventas debe tener habilitada la generación automática."
"Sales rule to base coupon on","Regla de ventas a base de cupón en"
"Sales rule to use as template for generated coupons","Regla de ventas a utilizar como plantilla para cupones generados"
"Save and Continue Edit","Guardar y continuar editando"
"Save Email Sequences","Guardar secuencias de email"
"Save Segment","Guardar segmento"
"Save Segments","Guardar segmentos"
"Scheduled","Programado"
"Segment ID is required.","El ID del segmento es necesario."
"Segment Information","Información del segmento"
"Segment Name","Nombre del segmento"
"Segment name is required.","Nombre del segmento es requerido."
"Segment Refresh Cron Schedule","Programa de actualización del segmento Cron"
"Selected sales rule is not active.","La regla de ventas seleccionada no está activa."
"Selected sales rule must be configured for ""Specific Coupon"" type.","La regla de ventas seleccionada debe estar configurada para el tipo ""Cupón Específico""."
"Selected sales rule must have ""Use Auto Generation"" enabled.","La regla de ventas seleccionada debe tener activada la opción ""Usar generación automática""."
"Sent","Enviado"
"Sequence ID is required.","Se requiere el ID de secuencia."
"Sequence not found.","Secuencia no encontrada."
"Sequence step %d: %s","Paso de secuencia %d: %s"
"Sequence Step Settings","Ajustes de paso de secuencia"
"Shopping Cart","Carrito de compras"
"Shopping Cart Information","Información del carrito de compras"
"Simple Product","Producto simple"
"Skipped","Omitido"
"Statistics","Estadísticas"
"Status Change Date","Fecha de cambio de estado"
"Step","Paso"
"Step Number","Número de paso"
"Step number %d already exists for this segment %s trigger.","El número de paso %d ya existe para este segmento disparador %s."
"Step number must be greater than 0.","El número de paso debe ser mayor que 0."
"Subject","Asunto"
"Subscription Status","Estado de la suscripción"
"Template ID is required.","Se requiere ID de Plantilla."
"The email sequence has been deleted.","La secuencia de correo electrónico ha sido eliminada."
"The email sequence has been saved.","Se ha guardado la secuencia de correo electrónico."
"The segment has been deleted.","El segmento ha sido eliminado."
"The segment has been refreshed.","El segmento ha sido actualizado."
"The segment has been saved.","El segmento ha sido guardado."
"This segment no longer exists.","Este segmento ya no existe."
"This sequence no longer exists.","Esta secuencia ya no existe."
"Total of %d record(s) were deleted.","Se eliminaron un total de %d registro(s)."
"Total of %d record(s) were updated.","Se actualizaron un total de %d registro(s)."
"Total Ordered Amount","Cantidad total de pedidos"
"Trigger event must be either ""enter"" or ""exit"".","Evento de activación debe ser ""intro"" o ""salir""."
"Unable to find a segment to refresh.","No se puede encontrar un segmento para actualizar."
"Unknown Segment","Segmento desconocido"
"View","Ver"
"View Count","Número de vistas"
"View Customers in Segment","Ver clientes en el segmento"
"Viewed","Visto"
"Viewed Products","Productos vistos"
"Virtual Product","Producto virtual"
"When customer enters segment","Cuando el cliente entra en el segmento"
"When customer exits segment","Cuando el cliente sale del segmento"
"Wishlist","Lista de deseos"
"Wishlist Items Count","Número de artículos de lista de deseos"
"Wishlist Shared","Lista de deseos compartida"
