"Action","Accin"
"Newsletter unsubscription success","Se ha cancelado la suscripción al boletín de noticias"
"Newsletter Variables","Variables del boletín"
"New Template","Nueva plantilla"
"No problems found.","No se encontraron problemas."
"No subscribers selected.","No hay suscriptores seleccionados."
"Not Activated","No activado"
"No Templates Found","Plantillas no encontradas"
"Not Sent","No enviado"
"Pause","Pausa"
"Paused","Pausado"
"Per email address. Default 3 per hour. 0 to disable.","Por dirección de correo electrónico. Por defecto 3 por hora. 0 para desactivar."
"Per IP address (lenient, legitimate users). Default 30 per hour. 0 to disable.","Por dirección IP (leniente, usuarios legítimos). Por defecto 30 por hora. 0 para desactivar."
"Please enter a valid email address.","Por favor, introduzca una dirección de correo electrónico válida."
"Please refer to exeption.log","Por favor, consulte exeption.log"
"Please select subscriber(s)","Por favor, seleccione suscriptor(es)"
"Preview","Vista previa"
"Preview Template","Plantilla de vista previa"
"Processed","Procesado"
"Queue Date Start","Fecha de inicio de cola"
"Queue Finish","Finalizar cola"
"Queue Information","Información de la cola"
"Queue Newsletter...","Boletín de cola..."
"Queue Start","Inicio de cola"
"Queue Subject","Asunto de cola"
"Recipients","Destinatarios"
"Reset","Reset"
"Resume","Reanudar"
"Return HTML Version","Devolver versión HTML"
"Save and Resume","Guardar y reanudar"
"Save As","Guardar como"
"Save Newsletter","Guardar boletín"
"Save Template","Guardar plantilla"
"Segment Name","Nombre del segmento"
"Selected problems have been deleted.","Los problemas seleccionados han sido eliminados."
"Selected problem subscribers have been unsubscribed.","Los suscriptores de problemas seleccionados han sido cancelados."
"Sender","Remitente"
"Sender Email","Email del remitente"
"Sender Name","Nombre del remitente"
"Sender name is required","El nombre del remitente es obligatorio"
"Sending","Enviando"
"Sent","Enviado"
"Sequence Step Number","Número de paso de secuencia"
"Sign up for our newsletter","Suscríbase a nuestro boletín de noticias"
"Sign Up for Our Newsletter:","Regístrate en nuestro boletín de noticias:"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>."
"Start","Comenzar"
"Status","Estado"
"Store","Tienda"
"Store View","Vista de tienda"
"Subject","Asunto"
"Submit","Enviar"
"Subscribe","Suscribirse"
"Subscribed","Suscrito"
"Subscriber","Suscriptor"
"Subscriber Email","Email del suscriptor"
"Subscribers","Suscriptores"
"Subscribers From","Suscriptores de"
"Subscription Options","Opciones de suscripción"
"Success Email Sender","Remitente de Email Exitoso"
"Success Email Template","Plantilla de Email Exitoso"
"Template code is required","El código de plantilla es requerido"
"Template Content","Contenido de la plantilla"
"Template Information","Información de la plantilla"
"Template Name","Nombre de Plantilla"
"Template Styles","Template Styles"
"Template Subject","Asunto de la plantilla"
"Template Type","Tipo de plantilla"
"Template type must be numeric","El tipo de plantilla debe ser numérico"
"Thank you for your subscription.","Gracias por tu suscripción."
"The newsletter template has been deleted.","Se ha eliminado la plantilla del boletín de noticias."
"There was a problem with the subscription.","Hubo un problema con la suscripción."
"There was a problem with the subscription: %s","Hubo un problema con la suscripción: %s"
"There was a problem with the un-subscription.","Hubo un problema con la cancelación de la suscripción."
"The subscription has been removed.","La suscripción ha sido eliminada."
"The subscription has been saved.","La suscripción ha sido guardada."
"This email address is already assigned to another user.","Este correo electrónico ya está asignado a otro usuario."
"This email address is already confirmed.","Esta dirección de correo electrónico ya está confirmada."
"This email address is already registered.","Esta dirección de correo electrónico ya está registrada."
"Type","Tipo"
"Unconfirmed","Sin confirmar"
"Unsubscribe","Darse de baja"
"Unsubscribed","Desuscrito"
"Unsubscribe Link","Enlace de desuscripción"
"Unsubscribe Selected","Desuscribirse Seleccionado"
"Unsubscription Email Sender","Remitente de Correo sin Suscripción"
"Unsubscription Email Template","Plantilla de correo electrónico de baja"
"View Newsletter","Ver boletín"
"Website","Sitio web"
"You are currently subscribed to our newsletter.","Actualmente está suscrito a nuestro boletín de noticias."
"You have been unsubscribed.","Ha sido cancelado su suscripción."
"Your subscription has been confirmed.","Tu suscripción ha sido confirmada."
