"* Required Fields","* Campos requeridos"
"Error generating gift card PDF: %s","Error generando tarjeta de regalo PDF: %s"
"Expired","Caducó"
"Expires","Caduca"
"Expires:","Caduca:"
"Expires At","Caduca el"
"Fixed + Range","Fijado + Rango"
"Fixed Amount(s)","Cantidad fija (s)"
"Fixed Amounts","Importes fijos"
"From","De"
"From:","De:"
"General","General"
"Gift Card","Tarjeta de regalo"
"Gift card ""%s"" has been fully used.","La tarjeta de regalo ""%s"" se ha utilizado completamente."
"Gift card ""%s"" has expired.","La tarjeta de regalo ""%s"" ha caducado."
"Gift card ""%s"" is already applied.","Tarjeta regalo ""%s"" ya está aplicada."
"Gift card ""%s"" is not active.","Tarjeta regalo ""%s"" no está activa."
"Gift card ""%s"" is not valid.","El vale de regalo ""%s"" no es válido."
"Gift card ""%s"" is not valid for this website.","Tarjeta regalo ""%s"" no es válida para este sitio web."
"Gift card ""%s"" was applied.","Se ha aplicado la tarjeta de regalo ""%s""."
"Gift card amount cannot be less than %s","La cantidad de la tarjeta de regalo no puede ser inferior a %s"
"Gift card amount cannot be more than %s","La cantidad de la tarjeta de regalo no puede ser mayor de %s"
"Gift Card Balance","Saldo de tarjeta de regalo"
"Gift Card Code","Código de tarjeta de regalo"
"Gift Card History","Historial de la tarjeta de regalo"
"Gift Card Information","Información de la tarjeta de regalo"
"Gift card is not associated with any website.","La tarjeta de regalo no está asociada con ningún sitio web."
"Gift card not found.","Tarjeta de regalo no encontrada."
"Gift Card Notification Email","Email de notificación de tarjeta de regalo"
"Gift Card Options","Opciones de tarjeta de regalo"
"Gift card products cannot be added when a gift card code is applied. Please remove the gift card code first.","Los productos de tarjeta de regalo no se pueden añadir cuando se aplica un código de tarjeta de regalo. Por favor, elimine el código de tarjeta de regalo primero."
"Gift Cards","Tarjetas de regalo"
"Gift cards cannot be used to purchase gift card products.","Las tarjetas de regalo no se pueden utilizar para comprar productos de tarjetas de regalo."
"Gift Cards Configuration","Configuración de tarjetas de regalo"
"Gift Card Transaction History","Historial de transacciones de tarjeta de regalo"
"Gift card was removed.","Se eliminó la tarjeta de regalo."
"Gift Certificates","Certificados de regalo"
"Hold Ctrl/Cmd to select multiple. All selected websites must share the same base currency; the card balance is denominated in it.","Mantenga pulsado Ctrl/Cmd para seleccionar múltiple. Todos los sitios web seleccionados deben compartir la misma moneda base; el saldo de la tarjeta está denominado en ella."
"Inactive","Inactivo"
"Initial Balance","Saldo inicial"
"Invalid form key. Please refresh the page and try again.","Clave de formulario no válida. Por favor, actualiza la página e inténtalo de nuevo."
"Invalid gift card code.","Código de tarjeta de regalo inválido."
"Invalid request.","Solicitud no válida."
"Leave blank for immediate delivery","Dejar en blanco para entrega inmediata"
"Leave empty to use system default. 0 = never expires.","Dejar en blanco para usar el sistema por defecto. 0 = nunca expire."
"Lifetime (days)","Duración (días)"
"Lost cards not replaced","Tarjetas perdidas no reemplazadas"
"Manage Gift Cards","Administrar tarjetas de regalo"
"Maximum Amount","Cantidad máxima"
"Message:","Mensaje:"
"Minimum Amount","Cantidad Mínima"
"New Gift Card","Nueva tarjeta de regalo"
"Not redeemable for cash","No canjeable por efectivo"
"Optional","Opcional"
"Order #","Pedido #"
"Order History","Historial de pedidos"
"Other Amount","Otro monto"
"Personal Message","Mensaje personal"
"Please enter a gift card code.","Por favor, introduzca un código de tarjeta de regalo."
"Please select a valid gift card amount","Por favor, seleccione una cantidad válida de tarjeta de regalo"
"Please select gift card(s).","Por favor, seleccione una tarjeta de regalo."
"Price varies","El precio varía"
"Print PDF","Print PDF"
"QR Code & Barcode","QR Code & Barcode"
"Recipient Email","Email del destinatario"
"Recipient Name","Nombre del destinatario"
"Refund Expiration Extension (days)","Extensión de reembolso (días)"
"Refund to Gift Card","Reembolso a tarjeta de regalo"
"Remove","Eliminar"
"Save And Continue Edit","Guardar y continuar editando"
"Save Gift Card","Guardar tarjeta de regalo"
"Schedule Delivery","Programar entrega"
"Select Amount","Seleccionar cantidad"
"Send Email","Enviar Email"
"Send gift card email to %s?","¿Enviar correo electrónico de tarjeta de regalo a %s?"
"Show Barcode (Code128)","Show Barcode (Code128)"
"Show QR Code","Show QR Code"
"Status","Estado"
"The gift card has been deleted.","El vale de regalo ha sido eliminado."
"The gift card has been saved.","Se ha guardado el vale de regalo."
"This gift card is in %s, which cannot be converted to %s.","Este vale de regalo está en %s, que no puede convertirse a %s."
"This gift card no longer exists.","Este vale de regalo ya no existe."
"This is a required field.","Este es un campo obligatorio."
"To","A"
"Too many attempts. Please wait a moment and try again.","Demasiados intentos. Por favor, espere un momento y vuelva a intentarlo."
"Too many recent lookup attempts. Please wait a while before trying again.","Demasiados intentos recientes de búsqueda. Por favor espere un rato antes de volver a intentarlo."
"Total: %s","Total: %s"
"Transaction History","Historial de transacciones"
"Unable to check balance.","No se puede comprobar el saldo."
"Unable to find a gift card to delete.","No se puede encontrar una tarjeta de regalo para eliminar."
"Unknown","Desconocido"
"Updated At","Actualizado el"
"Used","Usado"
"Use Default (%s)","Usar por defecto (%s)"
"View","Ver"
"Website","Sitio web"
"Websites","Sitios web"
"We could not find an active gift card for that code on this store.","No pudimos encontrar una tarjeta de regalo activa para ese código en esta tienda."
"When refunding to an expired gift card, extend expiration by this many days. 0 = no extension (card stays expired but balance is restored).","Cuando el reembolso a una tarjeta de regalo caducada, extender el vencimiento por estos muchos días. 0 = ninguna extensión (la tarjeta se queda caducada pero el saldo se restaura)."
"Your Email","Tu email"
"Your Name","Tu nombre"
