"Action","Accin"
"Immediate: answer the question, keep nothing","Inmediato: responder la pregunta, no guardar nada"
"Include Images","Incluye imágenes"
"Last Time Generated","Última vez generada"
"Link for Google","Enlace para Google"
"List every sitemap configured for this store view at the end of the file. llms.txt lists the same sitemaps and does not read this setting.","Listar cada mapa del sitio configurado para esta vista de tienda al final del archivo. llms.txt lista los mismos mapas del sitio y no lee esta configuración."
"llms.txt","llms.txt"
"llms.txt gives AI agents a markdown index of the store: name, description, CMS pages, top level categories, the search URL, and the sitemaps. llms-full.txt adds the full text of the CMS pages. No AI vendor promises to read these files today, so treat them as a low cost bet on an emerging convention, not as a traffic channel. Both files are served per domain, not per store view. When several store views share one domain, the store view that the bare domain resolves to is the one that answers, and it links to the other store views. When store codes are in URLs, each store view also answers at its own path, for example /de/llms.txt.","llms.txt proporciona a los agentes de AI un índice de marcado de la tienda: nombre, descripción, páginas CMS, categorías de nivel superior, la URL de búsqueda y los mapas llms-full. xt añade el texto completo de las páginas CMS. Ningún proveedor de IA promete leer estos archivos hoy así que tratarlos como una apuesta de bajo costo a una convención emergente, no como un canal de tráfico. Ambos archivos se sirven por dominio, no por vista de tienda. Cuando varias vistas de tienda comparten un dominio, la vista de la tienda que el dominio desnudo resuelve es la que responde, y enlaza a las otras vistas de la tienda. Cuando los códigos de la tienda están en URL, cada vista de la tienda también responde en su propia ruta, por ejemplo /de/llms.txt."
"Markdown appended verbatim to the end of llms.txt.","Markdown añadió literalmente al final de llms.txt."
"Maximum URLs per Sitemap File","Máximo de URLs por archivo de mapa del sitio"
"Monthly","Mensual"
"Never","Nunca"
"New Sitemap","Nuevo mapa del sitio"
"No, reserved","No, reservado"
"Not stated","No indicado"
"Path","Ruta"
"Please create the specified folder ""%s"" inside your public directory before saving the sitemap.","Por favor, cree la carpeta especificada ""%s"" dentro de su directorio público antes de guardar el mapa del sitio."
"Please define correct path","Por favor, defina la ruta correcta"
"Please enter a sitemap name with at most %s characters.","Por favor, introduzca un nombre de mapa del sitio con como máximo %s caracteres."
"Please make sure that ""%s"" inside your public directory is writable by web-server.","Por favor, asegúrese de que ""%s"" dentro de su directorio público tiene permisos de escritura por el servidor web."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Por favor, utilice sólo letras (a-z o A-Z), números (0-9) o guión bajo (_) en el nombre del archivo. No se permiten espacios u otros caracteres."
"Priority","Prioridad"
"Products Options","Opciones de productos"
"Reference: index, excerpt and link back","Referencia: índice, extracto y enlace atrás"
"Restore recommended rules","Restaurar reglas recomendadas"
"robots.txt","robots.txt"
"robots.txt is served per domain, not per store view. When several store views share one domain, the store view that the bare domain resolves to is the one that answers.","robots.txt se sirve por dominio, no por vista de tienda. Cuando varias vistas de tienda comparten un dominio, la vista de tienda a la que se resuelve el dominio desnudo es la que responde."
"Rules only, one per line, without User-agent lines. They are written into the wildcard group and repeated inside every named group, because RFC 9309 gives a named group no access to the wildcard rules. Rules that name the admin path are dropped, so the path stays private.","Sólo reglas, una por línea, sin líneas agente de usuario. Se escriben en el grupo comodín y se repiten dentro de cada grupo nombrado, porque RFC 9309 da a un grupo nombrado no acceso a las reglas comodín. Las reglas que llaman la ruta de administración son eliminadas, por lo que la ruta permanece privada."
"Show lastmod","Show lastmod"
"Shown to AI agents as the store summary. Leave empty to use the default meta description.","Mostrar a agentes IA como el resumen de la tienda. Dejar vacío para usar la meta descripción por defecto."
"Sitemap","Sitemap"
"Sitemap generate Warnings","Sitemap genera advertencias"
"Split sitemap files when they exceed this number of URLs","Dividir archivos de mapa del sitio cuando excedan este número de URLs"
"Start Time","Hora de inicio"
"Store Description","Descripción de la tienda"
"Store View","Vista de tienda"
"The file %s exists and is served by the web server, so these settings have no effect on it. Delete it to use the settings below.","El archivo %s existe y es servido por el servidor web, por lo que estas configuraciones no tienen efecto en él. Bórrelo para usar la configuración a continuación."
"The priority must be between 0 and 1.","La prioridad debe estar entre 0 y 1."
"The sitemap ""%s"" has been generated.","El mapa del sitio web ""%s"" ha sido generado."
"The sitemap has been deleted.","El mapa del sitio ha sido eliminado."
"The sitemap has been saved.","Se ha guardado el mapa del sitio."
"This sitemap no longer exists.","Este mapa del sitio ya no existe."
"Training crawlers","Capacitación de raspadores"
"Training opt-out tokens (not crawlers)","Entrenamiento opt-out tokens (no rastreadores)"
"Training or fine-tuning AI models on the pages. Reserved by default: it is the one use that gives the store nothing back.","Formación o ajuste de modelos de IA en las páginas. Reservado de forma predeterminada: es el uso que da a la tienda nada de nuevo."
"Unable to find a sitemap to delete.","No se puede encontrar un mapa del sitio para eliminar."
"Unable to find a sitemap to generate.","No se puede encontrar un mapa del sitio para generar."
"Unable to generate the sitemap.","No se puede generar el mapa del sitio."
"User-triggered fetchers","Recuperadores activados por el usuario"
"Valid values range: from 0.0 to 1.0.","Rango de valores válidos: de 0.0 a 1.0."
"Weekly","Semanal"
"When off, /llms.txt answers 404.","Cuando está apagado, /llms.txt responde 404."
"When off, /robots.txt answers 404, which tells crawlers that no policy applies.","Cuando está apagado, /robots.txt responde 404, lo que le dice a los raspadores que no se aplica ninguna política."
"Yearly","Anual"
"Yes, allowed","Sí, permitido"
