"3D Secure","3D seguro"
"PayPal order ID not found.","ID de pedido de PayPal no encontrado."
"Please complete the PayPal payment before placing the order.","Por favor, complete el pago de PayPal antes de realizar el pedido."
"Processor Response","Respuesta del procesador"
"Przelewy24","Przelewy24"
"Quote is no longer active and no matching order was found.","La cotización ya no está activa y no se ha encontrado ningún pedido correspondiente."
"Registers a webhook with PayPal to receive real-time notifications for payments, refunds, and disputes. Requires a publicly accessible HTTPS URL.","Registra un webhook con PayPal para recibir notificaciones en tiempo real de pagos, reembolsos y disputas. Requiere una URL HTTPS accesible públicamente."
"Register Webhook","Registrar Webhook"
"Review your order on the next step to confirm your payment with PayPal.","Revisa tu pedido en el siguiente paso para confirmar tu pago con PayPal."
"Sandbox Mode","Modo Sandbox"
"Saved Payment","Pago guardado"
"Saved Payment Method","Método de pago guardado"
"Saved Payment Methods","Métodos de pago guardados"
"Save this payment method for future purchases","Guardar este método de pago para futuras compras"
"Send cart line items to PayPal for display during checkout.","Enviar artículos de línea de carrito a PayPal para mostrarlos durante el pago."
"SEPA","SEPA"
"Sofort","Sofort"
"Sort Order","Ordenar"
"Test Connection","Probar conexión"
"This order has already been placed.","Este pedido ya ha sido realizado."
"This PayPal order has already been used.","Este pedido de PayPal ya ha sido utilizado."
"Title","Título"
"Transfer Line Items","Artículos de línea de transferencia"
"Type","Tipo"
"Unable to delete payment method.","No se puede eliminar el método de pago."
"Use PayPal sandbox environment for testing.","Usar entorno sandbox de PayPal para pruebas."
"Venmo","Venmo"
"Webhook ID","ID de Webhook"
"Webhook registered successfully. ID: %s","Webhook registrado con éxito. ID: %s"
"Webhook registration failed: %s","Error en el registro de Webhook: %s"
"You have no saved payment methods.","No tiene métodos de pago guardados."
