"%s was added to your shopping cart.","%s fue añadido a su carrito de compras."
"%s was updated in your shopping cart.","Se actualizó %s en su carrito de compras."
"(Excl. Tax)","(Excl. impuesto)"
"Customer Address is not valid.","Dirección del cliente no es válida."
"Customer Information","Información del cliente"
"Delete Condition","Condición de eliminación"
"Details","Detalles"
"Disabled","Deshabilitado"
"Discount code or gift card","Código de descuento o vale de regalo"
"Discounts","Descuentos"
"Display number of items in wishlist","Mostrar el número de elementos en la lista de deseos"
"Displays all checkout steps on a single page in a 2-column layout","Muestra todos los pasos de pago en una sola página en un diseño de 2 columnas"
"Edit","Editar"
"Edit Address","Editar dirección"
"Edit Condition","Editar condición"
"Edit item parameters","Editar parámetros del artículo"
"Edit Terms and Conditions","Editar términos y condiciones"
"Email Address","Dirección de email"
"Empty Shopping Cart Content Before","Vaciar el contenido del carrito de compras antes"
"Enabled","Activado"
"Enable One-Step Checkout","Habilitar pago de un paso"
"Enable Onepage Checkout","Habilitar pago de Onepage"
"Enable Terms and Conditions","Habilitar términos y condiciones"
"Enter discount code","Introduzca código de descuento"
"Enter promo code","Introducir código promocional"
"Estimate","Estimar"
"Estimate Shipping and Tax","Estimar envío e impuestos"
"Excl. Tax","Excl. impuestos"
"Failed to save billing address. Please try again.","Error al guardar la dirección de facturación. Por favor, inténtalo de nuevo."
"Fax","Fax"
"Forgot your password?","¿Olvidaste tu contraseña?"
"Get list of available payment methods","Obtener lista de métodos de pago disponibles"
"Get list of available shipping methods","Obtener lista de métodos de envío disponibles"
"Get list of products in shopping cart","Obtener lista de productos en el carrito de compras"
"Get terms and conditions","Obtener términos y condiciones"
"Get total prices for shopping cart","Obtener precios totales para el carrito de compras"
"Gift card ""%s"" was removed.","Se eliminó la tarjeta de regalo ""%s""."
"Gift Card:","Tarjeta de regalo:"
"Gift Message","Mensaje de regalo"
"Grouped Product Image","Imagen de artículo agrupado"
"Have an account?","¿Tienes una cuenta?"
"HTML","HTML"
"ID","ID"
"If customer accounts are disabled in the frontend, guest checkout must remain enabled.","Si las cuentas de clientes están desactivadas en el frontend, el checkout de invitados debe permanecer activado."
"Incl. Tax","Incl. impuestos"
"Invalid data.","Datos inválidos."
"Invalid form key. Please refresh the page.","Clave de formulario no válida. Por favor, actualiza la página."
"Invalid method: %s","Método no válido: %s"
"Invalid shipping method.","Método de envío inválido."
"Items","Elementos"
"Items After","Elementos después de"
"Items Before","Elementos antes"
"Item was removed successfully.","El artículo fue eliminado con éxito."
"Item was updated successfully.","El elemento se ha actualizado correctamente."
"Load customer quote error","Error al cargar la cotización del cliente"
"Loading next step...","Cargando el siguiente paso..."
"Login","Ingresar"
"Manage Terms and Conditions","Administrar términos y condiciones"
"Mini-cart promotion block","Bloque promoción de mini carrito"
"Minimum order amount is %s","La cantidad mínima del pedido es %s"
"Move","Mover"
"Move to Wishlist","Mover a lista de deseos"
"Move to wishlist","Mover a lista de deseos"
"New Address","Nueva dirección"
"New Condition","Nueva condición"
"New Terms and Conditions","Nuevos términos y condiciones"
"No Payment Methods","Sin métodos de pago"
"ok","ok"
"One item of products do not have identifier or sku","Un artículo de productos no tiene identificador o sku"
"One item of products is not belong any of quote item","Un artículo de los productos no pertenece a ninguno de los artículos citados"
"One Page Checkout","Pago de una página"
"One Page Checkout Failure","Falló el pago de una página"
"One Page Checkout Overview","Resumen de pago de una página"
"One Page Checkout Success","Checkout de una página con éxito"
"One Step Checkout","Pago de un paso"
"or","o"
"Order #","Pedido #"
"Order Review","Revisión del pedido"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","ORDEN TOTALES SERÁN DISPLAZADOS POR QUE SUBMITES EL ORDEN"
"Password","Contraseña"
"Payment Failed Email Reciever","Receptor de Email de Pago Fallido"
"Payment Failed Emails","Correos de pago fallidos"
"Payment Failed Email Sender","Remitente de correo de pago fallido"
"Payment Failed Template","Plantilla de pago fallida"
"Payment Information","Información de pago"
"Payment Method","Método de pago"
"Payment method information","Información del método de pago"
"Payment Methods After Checkout Button","Métodos de pago después del botón de pago"
"Payment Methods Before Checkout Button","Métodos de pago antes del botón de pago"
"Payment methods in shopping cart","Métodos de pago en el carrito de compras"
"Payment profile # %s: ""%s"".","Perfil de pago # %s: ""%s""."
"Place Order","Realizar pedido"
"Please agree to all the terms and conditions before placing the order.","Por favor, acepte todos los términos y condiciones antes de realizar el pedido."
"Please choose to register or to checkout as a guest","Por favor, elija registrarse o comprar como invitado"
"Please enter a promo code.","Introduce un código promocional."
"Please select a payment method.","Por favor, seleccione un método de pago."
"Please select a shipping method.","Por favor, seleccione un método de envío."
"Please select region, state or province","Por favor seleccione región, estado o provincia"
"Please select shipping and payment methods before placing your order.","Por favor, seleccione los métodos de envío y pago antes de realizar su pedido."
"Please specify payment method.","Por favor, especifique el método de pago."
"Please specify shipping method.","Por favor, especifique el método de envío."
"Price","Precio"
"Proceed to Checkout","Proceder a la compra"
"Product","Producto"
"Product Name","Producto"
"Product not found.","Producto no encontrado."
"Products","Productos"
"Promo code ""%s"" is not valid.","El código promocional ""%s"" no es válido."
"Qty","Cantidad"
"Qty:","Caja:"
"Quantity","Cantidad"
"Quantity was recalculated from %d to %d","La cantidad se ha recalculado de %d a %d"
"Quote item does not exist.","Citar artículo no existe."
"Quote item is not found.","No se encontró la cita del artículo."
"Quote Lifetime (days)","Citar tiempo de vida (días)"
"Register","Registrarse"
"Remove","Eliminar"
"Remove coupon code from shopping cart","Quitar código de cupón del carrito de compras"
"Remove Item","Eliminar elemento"
"Remove product(s) from shopping cart","Eliminar producto(s) del carrito de compras"
"Remove product from shopping cart","Eliminar producto del carrito de compras"
"Remove This Item","Eliminar este elemento"
"Retrieve information about shopping cart","Recuperar información sobre el carrito de compras"
"Sales","Ventas"
"Save Condition","Guardar condición"
"Save in address book","Guardar en libreta de direcciones"
"See price before order confirmation.","Ver el precio antes de confirmar el pedido."
"Select a billing address from your address book or enter a new address.","Seleccione una dirección de facturación de su libreta de direcciones o introduzca una nueva dirección."
"Select a shipping address from your address book or enter a new address.","Seleccione una dirección de envío de su libreta de direcciones o introduzca una nueva dirección."
"Send Payment Failed Email Copy Method","Método de copia de correo electrónico fallido de envío"
"Send Payment Failed Email Copy To","Enviar copia de correo fallida de pago a"
"Separate by "","".","Separar por "",""."
"Set customer's addresses in shopping cart","Configurar direcciones del cliente en el carrito de compras"
"Set customer for shopping cart","Establecer cliente para carrito de compras"
"Set payment method","Establecer método de pago"
"Set shipping method","Establecer método de envío"
"Shipping Address","Dirección de envío"
"Shipping Information","Información de envío"
"Shipping information","Información de envío"
"Shipping Method","Método de envío"
"Shipping method has not been selected yet","El método de envío aún no ha sido seleccionado"
"Shipping Methods","Métodos de envío"
"Shipping methods in shopping cart","Métodos de envío en el carrito de compras"
"Ship to different address","Enviar a una dirección diferente"
"Ship to this address","Enviar a esta dirección"
"Shopping Cart","Carrito de compras"
"Shopping cart ability to set coupon code","Capacidad del carrito de la compra para establecer código de cupón"
"Shopping Cart is Empty","El carrito de compras está vacío"
"Shopping cart items","Artículos del carrito de compras"
"Shopping Cart Items After","Carrito de compras después de"
"Shopping Cart Items Before","Carrito de compras antes de"
"Shopping Cart Sidebar Extra Actions","Acciones extra de la barra lateral de la compra"
"Show Content as","Mostrar contenido como"
"Shows only logo header during checkout, removes navigation and footer for a distraction-free experience","Muestra sólo la cabecera del logo durante la compra, elimina la navegación y el pie de página para una experiencia sin distracciones"
"SKU","SKU"
"Some of the requested products are not available in the desired quantity.","Algunos de los productos solicitados no están disponibles en la cantidad deseada."
"Some of the requested products are unavailable.","Algunos de los productos solicitados no están disponibles."
"Some products quantities were recalculated because of quantity increment mismatch","Algunas cantidades de productos fueron recalculadas debido a la falta de coincidencia del incremento de la cantidad"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Lo sentimos, el pago de invitado no está habilitado. Por favor, inténtalo de nuevo o contacta con el propietario de la tienda."
"Sorry, no quotes are available for this order at this time.","Lo sentimos, no hay cotizaciones disponibles para este pedido en este momento."
"State/Province","Estado/Provenza"
"Status","Estado"
"Store View","Vista de tienda"
"Street Address","Dirección de calle"
"Street Address %s","Dirección de calle %s"
"Submitting order information...","Enviando información del pedido..."
"Subtotal","Subtotal"
"Subtotal must exceed minimum order amount","El subtotal debe exceder el importe mínimo del pedido"
"Summary","Summary"
"Telephone","Teléfono"
"Terms and Conditions","Términos y Condiciones"
"Terms and Conditions Information","Información de términos y condiciones"
"Text","Texto"
"Thank you for your purchase!","¡Gracias por tu compra!"
"The condition has been deleted","La condición ha sido eliminada"
"The condition has been saved.","La condición ha sido guardada."
"The onepage checkout is disabled.","El pago de una página está deshabilitado."
"The product could not be found.","El producto no se ha encontrado."
"The product does not exist.","El producto no existe."
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Ya hay un cliente registrado usando esta dirección de correo electrónico. Inicie sesión usando esta dirección de correo electrónico o introduzca una dirección de correo electrónico diferente para registrar su cuenta."
"There was an error processing your order. Please contact us or try again later.","Hubo un error al procesar su pedido. Por favor, póngase en contacto con nosotros o inténtelo de nuevo más tarde."
"This condition no longer exists.","Esta condición ya no existe."
"Total","Total"
"Total quantity (2 shirts + 3 pants = 5)","Cantidad total (2 camisetas + 3 pantalones = 5)"
"Unable to remove promo code.","No se puede eliminar el código promocional."
"Unable to set Payment Method.","No se puede establecer el método de pago."
"Unique products (2 different products = 2)","Productos únicos (2 productos diferentes = 2)"
"Unit Price","Precio unitario"
"Update","Actualizar"
"Update Cart","Actualizar Carrito"
"Update product(s) quantities in shopping cart","Actualizar cantidades de producto(s) en el carrito de compras"
"Update product quantities in shopping cart","Actualizar cantidades de productos en el carrito de compras"
"Update Shopping Cart","Actualizar carrito de compras"
"Update Total","Actualizar Total"
"Use Billing Address","Usar dirección de facturación"
"Use Minimal Checkout Layout","Usar diseño mínimo de pago"
"VAT Number","Número de IVA"
"View Shopping Cart","Ver carrito de compras"
"Waiting for address...","Esperando por dirección..."
"Waiting for shipping method...","Esperando el método de envío..."
"What's this?","¿Qué es esto?"
"You have no items in your shopping cart.","No tiene artículos en su carrito de compras."
"You may be interested in the following items","Puede estar interesado en los siguientes artículos"
"Your billing agreement # is: %s.","Tu número de acuerdo de facturación es: %s."
"Your Checkout Progress","Progreso de pago"
"Your order # is: %s.","Su número de pedido es: %s."
"Your order cannot be completed at this time as there are no payment methods available for it.","Su pedido no se puede completar en este momento ya que no hay métodos de pago disponibles."
"Your order cannot be completed at this time as there are no shipping methods available for it. Please make necessary changes in your shipping address.","Su pedido no se puede completar en este momento ya que no hay métodos de envío disponibles para él. Por favor, haga los cambios necesarios en su dirección de envío."
"Your order has been received.","Su pedido ha sido recibido."
"Your recurring payment profiles:","Tus perfiles de pago recursos:"
"Your shopping cart is empty.","Su carrito de compras está vacío."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Recibirás un correo electrónico de confirmación de pedido con los detalles de tu pedido y un enlace para seguir su progreso."
"Zip","Zip"
"Zip/Postal Code","Código postal"
