"""Remember Me"" Default Value","Valor predeterminado ""Recordarme"""
"Are you sure you want to delete this address?","¿Está seguro que desea eliminar esta dirección?"
"Assign a Customer Group","Asignar un grupo de clientes"
"Average Sale","Promedio de venta"
"Back","Atrás"
"Bad request.","Solicitud incorrecta."
"Based on the VAT ID, the customer would belong to the Customer Group %s.","Basado en el ID del IVA, el cliente pertenecería al grupo de clientes %s."
"Bill to Name","Facturar a nombre"
"Bought From","Comprado de"
"By Email","Por Email"
"By IP","Por IP"
"By IP and Email","Por IP y Email"
"Cache Lifetime (hours)","Tiempo de vida del caché (horas)"
"Cancel","Cancelar"
"Cannot save address.","No se puede guardar la dirección."
"Cannot save a new password.","No se puede guardar una nueva contraseña."
"Cannot save the customer.","No se puede guardar el cliente."
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","No se pueden compartir cuentas de clientes globalmente porque algunas cuentas de clientes con los mismos correos electrónicos existen en varios sitios web y no se pueden combinar."
"Change Account Data","Cambiar datos de la cuenta"
"Change Billing Address","Cambiar dirección de facturación"
"Changed Email or Password Email Template","Plantilla de correo electrónico o contraseña cambiada"
"Changed Password or Email","Contraseña o email cambiados"
"Change Password","Cambiar contraseña"
"Change Shipping Address","Cambiar dirección de envío"
"City","Ciudad"
"Close","Cerrar"
"Company","Empresa"
"Configure","Configurar"
"Confirmation Link Email","Email de enlace de confirmación"
"Confirmed","Confirmada"
"Confirm New Password","Confirmar nueva contraseña"
"Confirm Password","Confirmar contraseña"
"Contact Information","Información de contacto"
"Continue","Continuar"
"Continue Shopping","Continuar comprando"
"Controls whether password is required during registration when Magic Link is enabled.","Controla si la contraseña es necesaria durante el registro cuando Magic Link está habilitado."
"Country","País"
"Country is required.","El país es obligatorio."
"Create","Crear"
"Create an account","Crear una cuenta"
"Create customer","Crear cliente"
"Create customer address","Crear dirección de cliente"
"Create New Account Options","Crear nuevas opciones de cuenta"
"Create New Customer Account","Crear nueva cuenta de cliente"
"Create Order","Crear pedido"
"CSV","CSV"
"Current Admin Password","Contraseña actual del administrador"
"Current Password","Contraseña actual"
"Customer","Cliente"
"Customer Account Edit Form","Cuenta de cliente Editar Formulario"
"Customer Account Login Form","Formulario de inicio de sesión de cuenta de cliente"
"Customer Account Logout Success","Cuenta de cliente cerrada con éxito"
"Customer Account Registration Form","Formulario de registro de cuenta de cliente"
"Customer accounts cannot be disabled because guest checkout is not allowed. Please enable guest checkout first.","Las cuentas de clientes no se pueden desactivar porque no se permite el pago de invitados. Por favor, habilite el pago de invitado primero."
"Customer Addresses","Direcciones del cliente"
"Customer API","API del cliente"
"Customer collection expected.","Se esperaba una distribución del cliente."
"Customer Configuration","Configuración del cliente"
"Customer email is required","Se requiere correo electrónico del cliente"
"Customer Forgot Password Form","Formulario de contraseña olvidado del cliente"
"Customer Group","Grupo de clientes"
"Customer Groups","Grupos de clientes"
"Customer Information","Información del cliente"
"Customer Login","Inicio de sesión"
"Customer My Account (All Pages)","Cliente Mi cuenta (todas las páginas)"
"Customer My Account Address Book","Cliente Mi libreta de direcciones de cuenta"
"Customer My Account Address Edit Form","Cliente mi cuenta Editar formulario de dirección"
"Customer My Account Dashboard","Cliente Mi panel de cuenta"
"Customers","Clientes"
"Customer Since","Cliente desde"
"Customers Only","Sólo clientes"
"Customer View","Vista del cliente"
"Customer website ID must be specified when using the website scope","ID del sitio web del cliente debe especificarse cuando se utiliza el ámbito del sitio web"
"Customer will stay on the current page if ""No"" is selected.","El cliente permanecerá en la página actual si se selecciona ""No""."
"Date","Fecha"
"Date Added","Fecha añadida"
"Date of Birth","Fecha de nacimiento"
"Day","Día"
"Days in Wishlist","Días en lista de deseos"
"DD","DD"
"Default Addresses","Direcciones por defecto"
"Default Billing Address","Dirección de facturación por defecto"
"Default Email Domain","Dominio de Email por defecto"
"Default Group","Grupo por defecto"
"Default Shipping Address","Dirección de envío por defecto"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Valor predeterminado para deshabilitar cambios de grupo automáticos basado en ID de IVA"
"Default Welcome Email","Email de bienvenida por defecto"
"Delete","Eliminar"
"Delete Address","Eliminar dirección"
"Delete Customer","Eliminar cliente"
"Delete customer","Eliminar cliente"
"Delete customer address","Eliminar dirección de cliente"
"Delete Customer Group","Eliminar grupo de clientes"
"Deleted Stores","Tiendas eliminadas"
"Details","Detalles"
"Disabled","Deshabilitado"
"Edit","Editar"
"Edit Account Info","Editar información de cuenta"
"Edit Account Information","Editar información de la cuenta"
"Edit Address","Editar dirección"
"Edit Customer's Address","Editar dirección del cliente"
"Edit Customer Group ""%s""","Editar grupo de clientes ""%s "" """
"Edit Customer Groups","Editar grupos de clientes"
"Edit Group","Editar grupo"
"Email","E-mail"
"Email:","Email:"
"Email Address","Dirección de email"
"Email Link to Set Password","Enlace de correo para establecer contraseña"
"Email Link to Set Password on New Account","Enlace de correo electrónico para establecer contraseña en una nueva cuenta"
"Email Link to Set Password Options","Enlace de correo para establecer opciones de contraseña"
"Email Sender","Remitente de Email"
"Email Template","Plantilla de email"
"Enable ""Remember Me""","Habilitar ""Recordarme"""
"Enable Automatic Assignment to Customer Group","Habilitar asignación automática al grupo de clientes"
"Enable Customer Accounts in Frontend","Activar cuentas de clientes en el Frontend"
"Enable Magic Link Login","Activar inicio de sesión de Magic Link"
"Enable Real-time VAT Validation","Activar validación de IVA en tiempo real"
"Excel XML","Excel XML"
"Failed to confirm customer account.","Error al confirmar la cuenta del cliente."
"Fax","Fax"
"First Name","Nombre"
"Forgot and Remind Email Sender","Olvidó y recordó al remitente de correo"
"Forgot Email Template","Plantilla de Email olvidado"
"Forgot Password","Olvidó la contraseña"
"Forgot password flow secure","Olvidé el flujo de contraseña seguro"
"Forgot password requests to times per 24 hours from 1 e-mail","Solicitudes de contraseña olvidadas a veces cada 24 horas desde 1 e-mail"
"Forgot password requests to times per hour from 1 IP","Solicitudes de contraseña olvidadas a veces por hora desde 1 IP"
"Forgot Your Password","Olvidó su contraseña"
"Forgot Your Password?","¿Olvidaste tu contraseña?"
"Form Fields Before","Campos de formulario antes"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Desde el panel de control de mi cuenta puedes ver una instantánea de la actividad reciente de tu cuenta y actualizar la información de tu cuenta. Seleccione un enlace a continuación para ver o editar la información."
"Gender","Sexo"
"Gender is required.","El género es necesario."
"Generate Human-Friendly Customer ID","Generar ID de cliente amigable para humanos"
"Global","Global"
"Group","Grupo"
"Group for Invalid VAT ID","Grupo para ID de IVA no válido"
"Group for Valid VAT ID - Domestic","Grupo para ID de IVA válido - Doméstico"
"Group for Valid VAT ID - Intra-Union","Grupo para ID de IVA válido - Intra-Union"
"Group Information","Información del grupo"
"Group Name","Nombre del grupo"
"Guest","Invitado"
"Hello, %s!","¡Hola, %s!"
"How long the magic link remains valid. Default: 10 minutes.","Cuánto tiempo permanece válido el enlace mágico. Por defecto: 10 minutos."
"How long to cache VIES validation results. Set to 0 to disable caching.","Cuánto tiempo para cachear los resultados de validación VIES. Establecer en 0 para desactivar la caché."
"HTML","HTML"
"ID","ID"
"If there is an account associated with %s you will receive an email with a login link.","Si hay una cuenta asociada con %s , recibirás un correo electrónico con un enlace de inicio de sesión."
"If VIES service is down, accept VAT numbers that pass format validation.","Si el servicio VIES está caído, acepte números de IVA que pasen el formato de validación."
"If you are a registered VAT customer, please <a href=""%s"">click here</a> to enter you billing address for proper VAT calculation","If you are a registered VAT customer, please <a href=""%s"">click here</a> to enter you billing address for proper VAT calculation"
"If you are a registered VAT customer, please <a href=""%s"">click here</a> to enter you shipping address for proper VAT calculation","If you are a registered VAT customer, please <a href=""%s"">click here</a> to enter you shipping address for proper VAT calculation"
"If you believe this is an error, please contact us at %s","Si crees que esto es un error, por favor contáctanos en %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Opción de atributo no válida especificada para el atributo %s (%s), omitiendo el registro."
"Invalid attribute set specified, skipping the record.","Se especificó un conjunto de atributos no válido, omitiendo el registro."
"Invalid billing address for (%s)","Dirección de facturación no válida para (%s)"
"Invalid current password","Contraseña actual no válida"
"Invalid customer data","Datos de cliente inválidos"
"Invalid email address ""%s"".","Dirección de correo electrónico no válida ""%s""."
"Invalid email address.","Dirección de correo inválida."
"Invalid form key. Please refresh the page.","Clave de formulario no válida. Por favor, actualiza la página."
"Invalid login link.","Enlace de acceso inválido."
"Invalid login or password.","Usuario o contraseña no válidos."
"Invalid or expired login link.","Enlace de inicio de sesión no válido o caducado."
"Invalid password reset customer Id.","ID de cliente de restablecimiento de contraseña inválido."
"Invalid password reset token.","Token de restablecimiento de contraseña inválido."
"Invalid request method.","Método de solicitud inválido."
"Invalid shipping address for (%s)","Dirección de envío no válida para (%s)"
"Invalid store specified, skipping the record.","Se especificó una tienda no válida, omitiendo el registro."
"Invalid VAT number format for %s.","Formato de número de IVA no válido para %s."
"Invalid website, skipping the record, line: %s","Sitio web inválido, omitiendo el registro, línea: %s"
"IP Address","Dirección IP"
"Last Activity","Última actividad"
"Last Date Subscribed","Última fecha suscrita"
"Last Date Unsubscribed","Última fecha de desuscripción"
"Last Name","Apellido"
"Last URL","Última URL"
"Leave empty for default (2). Valid range: 1-4","Dejar vacío por defecto (2). Rango válido: 1-4"
"Leave empty for default (15 minutes).","Dejar en blanco por defecto (15 minutos)."
"Lifetime Sales","Ventas de por vida"
"Log In","Iniciar sesión"
"Login","Ingresar"
"Login and password are required.","Se requiere nombre de usuario y contraseña."
"Login Form","Formulario de acceso"
"Login Information","Información de acceso"
"Login Options","Opciones de inicio de sesión"
"Login with Magic Link","Iniciar sesión con Magic Link"
"Logout","Cerrar sesión"
"Log Out","Cerrar sesión"
"Magic Link Email Sender","Remitente de Email de Enlaces Mágicos"
"Magic Link Email Template","Plantilla de email de enlace mágico"
"Magic Link Login","Inicio de sesión de enlace mágico"
"Magic Link Rate Limit - Email (requests per hour)","Límite de tasa de enlace mágico: correo electrónico (peticiones por hora)"
"Magic Link Rate Limit - IP (requests per hour)","Tasa de enlace mágico - IP (peticiones por hora)"
"Magic Link Registration Password Requirement","Requiere contraseña de registro de enlace mágico"
"Magic Link Token Expiration (minutes)","Vencimiento del token de enlace mágico (minutos)"
"Manage Addresses","Administrar direcciones"
"Manage Customers","Administrar clientes"
"Maximum length must be less then %s symbols","La longitud máxima debe ser menor que %s símbolos"
"Maximum magic link requests per email address per hour. Default: 3.","Máximo de solicitudes de enlaces mágicos por dirección de correo electrónico por hora. Por defecto: 3."
"Maximum magic link requests per IP address per hour. Default: 10.","Máximo de solicitudes de enlaces por dirección IP por hora. Predeterminado: 10."
"Middle Name","Segundo nombre"
"Minimum admin password length","Longitud mínima de la contraseña del administrador"
"Minimum password length","Longitud mínima de la contraseña"
"Missing email, skipping the record, line: %s","Falta correo electrónico, saltando el registro, línea: %s"
"Missing email, skipping the record.","Falta correo electrónico, omitiendo el registro."
"Missing first name, skipping the record, line: %s","Nombre faltante, saltando el registro, línea: %s"
"Missing firstname, skipping the record.","Falta el nombre, omitiendo el registro."
"Missing last name, skipping the record, line: %s","Apellido faltante, omitiendo el registro, línea: %s"
"Missing lastname, skipping the record.","Falta el apellido, omitiendo el registro."
"Missing website, skipping the record, line: %s","Falta sitio web, omitiendo el registro, línea: %s"
"MM","MM"
"Month","Mes"
"My Account","Mi cuenta"
"My Account Wrapper","Mi Contrato de Cuenta"
"My Dashboard","Mi Tablero"
"My Orders","Mis pedidos"
"n/a","n/a"
"Name","Nombre"
"Name and Address Options","Opciones de nombre y dirección"
"Never","Nunca"
"New account","Nueva cuenta"
"New account confirmation key","Nueva clave de confirmación de cuenta"
"New account confirmed","Nueva cuenta confirmada"
"New Account Email Template","Nueva plantilla de email de cuenta"
"New Address","Nueva dirección"
"New Customer","Nuevo cliente"
"New Customer Address","Nueva dirección de cliente"
"New Customer Group","Nuevo grupo de clientes"
"New Customer Groups","Nuevos grupos de clientes"
"New Customers","Nuevos clientes"
"New Group","Nuevo grupo"
"New Password","Nueva contraseña"
"New password field cannot be empty.","El campo de la nueva contraseña no puede estar vacío."
"Newsletter","Boletín"
"Newsletter Finish","Último boletín"
"Newsletter Information","Información del boletín"
"Newsletter Received","Boletín recibido"
"Newsletter Start","Inicio del boletín"
"Newsletter Subscription","Suscripción al boletín de noticias"
"No customer collections found","No se encontraron colecciones de clientes"
"No Items Found","No hay artículos encontrados"
"No item specified.","Ningún elemento especificado."
"No Newsletter Found","No se encontró boletín de noticias"
"No Password (Full Passwordless)","Sin contraseña (sin contraseña)"
"Not confirmed, can login","No confirmado, puede iniciar sesión"
"Not confirmed, cannot login","No confirmado, no se puede iniciar sesión"
"Not Sent","No enviado"
"Number of Lines in a Street Address ","Número de líneas en una dirección de calle "
"Offline","Desconectado"
"Online","En línea"
"Online Customers","Clientes en línea"
"Online Customers Options","Opciones de clientes en línea"
"Online Minutes Interval","Intervalo de minutos en línea"
"or","o"
"Order #","Pedido #"
"Orders","Pedidos"
"Order Total","Total del pedido"
"Password","Contraseña"
"Password:","Contraseña:"
"Password forgotten","Contraseña olvidada"
"Password Management","Gestión de contraseñas"
"Password Options","Opciones de contraseña"
"Paused","Pausado"
"PDF","DF"
"Pending","Pendiente"
"Personal Information","Información Personal"
"Per Website","Por sitio web"
"Please, check your email for confirmation key.","Por favor, compruebe su correo electrónico para obtener la clave de confirmación."
"Please enter a number 1 or greater in this field.","Por favor, introduzca un número 1 o mayor en este campo."
"Please enter a number 7 or greater in this field.","Por favor, introduzca un número 7 o mayor en este campo."
"Please enter a password with at most %s characters.","Por favor, introduzca una contraseña con como máximo %s caracteres."
"Please enter a valid date between %s and %s at %s.","Por favor, introduzca una fecha válida entre %s y %s en %s."
"Please enter a valid date equal to or greater than %s at %s.","Por favor, introduzca una fecha válida igual o mayor que %s en %s."
"Please enter a valid date less than or equal to %s at %s.","Por favor, introduzca una fecha válida menor o igual a %s en %s."
"Please enter the city.","Por favor, introduzca la ciudad."
"Please enter the country.","Por favor ingrese el país."
"Please enter the first name.","Por favor, introduzca el nombre."
"Please enter the last name.","Por favor, introduzca el apellido."
"Please enter the state/province.","Por favor, introduzca el estado/provincia."
"Please enter the street.","Por favor, introduzca la calle."
"Please enter the telephone number.","Por favor, introduzca el número de teléfono."
"Please enter the zip/postal code.","Por favor, introduzca el código postal."
"Please enter your email.","Por favor, introduce tu correo electrónico."
"Please enter your email below and we'll send you confirmation link for it.","Por favor, introduce tu correo electrónico a continuación y te enviaremos el enlace de confirmación."
"Please make sure your passwords match.","Por favor, asegúrese de que sus contraseñas coinciden."
"Please select","Por favor seleccione"
"Please select a website which contains store view","Por favor, seleccione un sitio web que contenga vista de tienda"
"Please select region, state or province","Por favor seleccione región, estado o provincia"
"Prefix Dropdown Options","Opciones de prefijo Dropdown"
"Price","Precio"
"Product","Producto"
"Product ID","ID producto"
"Product Name","Producto"
"Product Reviews","Reseñas de producto"
"Product Tags","Etiquetas de producto"
"Provided address does not belong to the logged in customer.","La dirección proporcionada no pertenece al cliente conectado."
"Purchased On","Comprado el"
"Purchase On","Comprar en"
"Qty","Cantidad"
"Recent Orders","Pedidos recientes"
"Records for %s store found.","Registros de la tienda %s."
"Recovery Link Expiration Period (hours)","Periodo de expiración de enlace de recuperación (horas)"
"Redirect Customer to Account Dashboard after Logging in","Redirigir al cliente al panel de control de cuentas después de iniciar sesión"
"Refunded","Reembolsado"
"Register","Registrarse"
"Registration Form","Formulario de registro"
"Registration successful, but we could not send the login link. Please use the login page.","Registro exitoso, pero no hemos podido enviar el enlace de inicio de sesión. Por favor, utilice la página de inicio de sesión."
"Remember Me","Recordarme"
"Remind Email Template","Plantilla de recordatorio de email"
"Remind Password","Recordar contraseña"
"Remove","Eliminar"
"Remove address","Eliminar dirección"
"Require admin user to change user password","Requiere que el usuario admin cambie la contraseña de usuario"
"Require Emails Confirmation","Requerir Confirmación de Emails"
"Require Password (Default)","Requiere contraseña (por defecto)"
"Reset a Password","Restablecer una contraseña"
"Retrieve address data","Recuperar datos de dirección"
"Retrieve address info","Recuperar información de dirección"
"Retrieve customer addresses","Recuperar direcciones de clientes"
"Retrieve customer data","Recuperar datos del cliente"
"Retrieve customer groups","Recuperar grupos de clientes"
"Retrieve customer info","Recuperar información del cliente"
"Retrieve customers","Recuperar clientes"
"Retrieve your confirmation link here","Recuperar el enlace de confirmación aquí"
"Retrieve your password","Recuperar tu contraseña"
"Sales Statistics","Estadísticas de ventas"
"Save","Guardar"
"Save Address","Guardar dirección"
"Save and Continue Edit","Guardar y continuar editando"
"Save Customer","Guardar cliente"
"Save Customer Group","Guardar grupo de clientes"
"Saved %d record(s)","Saved %d record(s)"
"Save in address book","Guardar en libreta de direcciones"
"Semicolon (;) separated values.<br>Put semicolon in the beginning for empty first option.<br>Leave empty for open text field.","Punto y coma (;) valores separados.<br>Ponga punto y coma al principio para la primera opción vacía.<br>Deje en blanco para el campo de texto abierto."
"Send confirmation link","Enviar enlace de confirmación"
"Send From","Enviar desde"
"Sending","Enviando"
"Send Welcome Email","Enviar Email de Bienvenida"
"Send Welcome Email after Confirmation","Enviar correo de bienvenida después de la confirmación"
"Sent","Enviado"
"Session Start Time","Hora de inicio de sesión"
"Set as Default Billing Address","Establecer como dirección de facturación predeterminada"
"Set as Default Shipping Address","Establecer como dirección de envío predeterminada"
"Share Customer Accounts","Compartir cuentas de cliente"
"Shipped to Name","Enviado a nombre"
"Shopping Cart","Carrito de compras"
"Shopping Cart - %d item(s)","Carrito de compras - %d artículo(s)"
"Shopping Cart of %1$s - %2$d item(s)","Carrito de compra de %1$s - %2$d artículo(s)"
"Show Date of Birth","Mostrar fecha de nacimiento"
"Show Gender","Mostrar género"
"Show Middle Name (initial)","Mostrar nombre central (inicial)"
"Show Prefix","Mostrar prefijo"
"Show Suffix","Show Suffix"
"Show Tax/VAT Number","Mostrar número impuesto/IVA"
"Show VAT Number on Frontend","Mostrar número de IVA en el Frontend"
"Sign Up for Newsletter","Regístrate en el boletín"
"Skipping import row, required field ""%s"" is not defined.","Omitir la fila de importación, el campo obligatorio ""%s"" no está definido."
"Skipping import row, website ""%s"" field does not exist.","Omitir la fila de importación, el campo ""%s"" del sitio web no existe."
"SKU","SKU"
"State/Province","Estado/Provenza"
"Status","Estado"
"Store","Tienda"
"Store View","Vista de tienda"
"Street Address","Dirección de calle"
"Street Address %s","Dirección de calle %s"
"Subject","Asunto"
"Submit","Enviar"
"Subscribed to Newsletter?","¿Suscrito a Boletín de noticias?"
"Subscribe to Newsletter","Suscribirse al boletín de noticias"
"Suffix Dropdown Options","Opciones de sufijo Dropdown"
"Tag Name","Nombre de la etiqueta"
"Tax/VAT number","Número de impuesto/IVA"
"Tax Calculation Based On","Cálculo de impuestos basado en"
"Tax Class","Clase de impuestos"
"Telephone","Teléfono"
"Text","Texto"
"Text One Line","Texto de una línea"
"Thank you for registering! We have sent you an email with a login link to %s.","¡Gracias por registrarse! Te hemos enviado un correo electrónico con un enlace de inicio de sesión a %s."
"Thank you for registering with %s.","Gracias por registrarse en %s."
"The account information has been saved.","La información de la cuenta ha sido guardada."
"The address does not belong to this customer.","La dirección no pertenece a este cliente."
"The address has been deleted.","La dirección ha sido eliminada."
"The address has been saved.","La dirección ha sido guardada."
"The customer does not have default billing address.","El cliente no tiene la dirección de facturación predeterminada."
"The customer email (%s) already exists, skipping the record, line: %s","El correo electrónico del cliente (%s) ya existe, ignorando el registro, línea: %s"
"The customer group has been deleted.","El grupo de clientes ha sido eliminado."
"The customer group has been saved.","El grupo de clientes ha sido guardado."
"The customer ID and email did not match, skipping the record, line: %s","El ID del cliente y el correo electrónico no coincidieron, omitiendo el registro, línea: %s"
"The customer is currently assigned to Customer Group %s.","El cliente está actualmente asignado al grupo de clientes %s."
"The Date of Birth is required.","Se requiere la fecha de nacimiento."
"The first name cannot be empty.","El nombre no puede estar vacío."
"The group ""%s"" cannot be deleted","El grupo ""%s"" no puede ser eliminado"
"The last name cannot be empty.","El apellido no puede estar vacío."
"The minimum password length is %s","La longitud mínima de la contraseña es %s"
"The password cannot be empty.","La contraseña no puede estar vacía."
"The password must have at least %d characters. Leading or trailing spaces will be ignored.","La contraseña debe tener al menos %d caracteres. Los espacios principales o finales serán ignorados."
"There are no items in customer's shopping cart at the moment","No hay artículos en el carrito de compras del cliente en este momento"
"There are no items in customer's wishlist at the moment","No hay artículos en la lista de deseos del cliente en este momento"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","Ya hay una cuenta con esta dirección de correo electrónico. Si estás seguro de que es tu dirección de correo electrónico, <a href=""%s"">haz clic aquí</a> para obtener tu contraseña y acceder a tu cuenta."
"There was an error validating the VAT ID.","Hubo un error al validar el ID del IVA."
"There was an error validating the VAT ID. The customer would belong to Customer Group %s.","Hubo un error al validar el ID del IVA. El cliente pertenecería al grupo de clientes %s."
"The suffix that goes after name (Jr., Sr., etc.)","El sufijo que va después del nombre (Jr., a., etc.)"
"The TAX/VAT number is required.","Se requiere el número TAX/IVA."
"The title that goes before name (Mr., Mrs., etc.)","El título que va antes del nombre (m., m., m., etc.)"
"The VAT ID entered (%s) is not a valid VAT ID.","El ID de IVA introducido (%s) no es un ID de IVA válido."
"The VAT ID entered (%s) is not a valid VAT ID. The customer would belong to Customer Group %s.","El ID de IVA introducido (%s) no es un ID de IVA válido. El cliente pertenecería al grupo de clientes %s."
"The VAT ID is valid. The current Customer Group will be used.","El ID del IVA es válido. Se utilizará el grupo de clientes actual."
"This account is not active.","Esta cuenta no está activa."
"This account is not confirmed.","Esta cuenta no está confirmada."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email."
"This customer email already exists","Este correo electrónico de cliente ya existe"
"This customer has no saved addresses.","Este cliente no tiene direcciones guardadas."
"This email does not require confirmation.","Este correo electrónico no requiere confirmación."
"This email is sent on checkbox <em>Email Link to Set Password</em> is checked on the customer page in backend.","Este correo electrónico se envía en la casilla de verificación <em>Enlace de correo electrónico para establecer la contraseña</em> se comprueba en la página del cliente en backend."
"This email will be sent instead of default welcome email, after account confirmation.","Este correo electrónico se enviará en lugar del correo de bienvenida por defecto, después de la confirmación de la cuenta."
"This email with a link to set password is sent on new account creation in backend.","Este correo electrónico con un enlace para establecer la contraseña se envía en la creación de nueva cuenta en backend."
"To show VAT number on frontend, set Show VAT Number on Frontend option to Yes.","Para mostrar el número de IVA en la parte delantera, establezca la opción Mostrar número de IVA en el Frontend en Sí."
"Total","Total"
"Type","Tipo"
"Unable to validate VAT number. Please try again later.","No se puede validar el número de IVA. Por favor, inténtalo de nuevo más tarde."
"Unknown","Desconocido"
"Unsubscribe from Newsletter","Darse de baja del boletín"
"Update","Actualizar"
"Update customer address data","Actualizar datos de la dirección del cliente"
"Update customer data","Actualizar datos del cliente"
"Use as My Default Billing Address","Usar como mi dirección de facturación predeterminada"
"Use as my default billing address","Usar como mi dirección de facturación por defecto"
"Use as My Default Shipping Address","Usar como mi dirección de envío predeterminada"
"Use as my default shipping address","Usar como mi dirección de envío por defecto"
"Validate on Each Transaction","Validar en cada transacción"
"Validate VAT Number","Validar número de IVA"
"Validate VAT numbers against the EU VIES service in real time on address forms.","Validar los números de IVA con el servicio EU VIES en tiempo real en formularios de dirección."
"Validation Error Group","Grupo de error de validación"
"VAT Number","Número de IVA"
"VAT number format is valid.","Formato de número de IVA válido."
"VAT number format is valid. VIES validation is not available for this country.","El formato de número de IVA es válido. La validación VIES no está disponible para este país."
"VAT number is not valid.","El número de IVA no es válido."
"VAT number is required.","Se requiere un número de IVA."
"VAT number is valid.","El número de IVA es válido."
"VAT Number Validation","Validación del número de IVA"
"VAT Request Date","Fecha de solicitud de IVA"
"VAT Request Identifier","Identificador de solicitud de IVA"
"VAT validation is not available for this country.","La validación del IVA no está disponible para este país."
"VIES service is unavailable. VAT format is valid.","Servicio VIES no disponible. Formato IVA válido."
"View","Ver"
"View Order","Ver pedido"
"Visitor","Visitante"
"Visitors Only","Sólo visitantes"
"Warning: email containing password in plaintext will be sent.","Advertencia: el correo electrónico que contiene la contraseña en texto plano será enviado."
"Website","Sitio web"
"Welcome, %s!","¡Bienvenido, %s!"
"Welcome Email","Email de bienvenida"
"When disabled, only guest checkout is available. Customer registration, login, and account pages are disabled.","Cuando está deshabilitado, sólo hay disponible la compra de invitados. El registro de clientes, el inicio de sesión y las páginas de cuenta están deshabilitadas."
"Wishlist","Lista de deseos"
"Wishlist - %d item(s)","Lista de deseos - %d artículo(s)"
"Would you like to change the Customer Group for this order?","¿Quieres cambiar el grupo de clientes para este pedido?"
"Wrong confirmation key.","Clave de confirmación incorrecta."
"Wrong customer account specified.","Cuenta de cliente incorrecta especificada."
"Wrong email.","Email incorrecto."
"Wrong transactional account email type","Tipo de email de cuenta transaccional incorrecto"
"Year","Año"
"You are currently subscribed to our newsletter.","Actualmente está suscrito a nuestro boletín de noticias."
"You are not subscribed to our newsletter.","No estás suscrito a nuestro boletín de noticias."
"You are now logged out","Has cerrado la sesión"
"You have been successfully logged in.","Has iniciado sesión con éxito."
"You have exceeded magic link requests per hour from this email address.","Ha excedido las solicitudes de enlace mágico por hora de esta dirección de correo electrónico."
"You have exceeded magic link requests per hour from this IP address.","Ha excedido las solicitudes de enlace mágico por hora de esta dirección IP."
"You have exceeded requests to times per 24 hours from 1 e-mail.","Usted ha superado los tiempos por 24 horas a partir de 1 correo electrónico."
