"%d country(s) were skipped because they no longer exist.","%d country(s) were skipped because they no longer exist."
"%d region(s) were skipped because they have existing region names.","Se omitieron %d región(es) porque tienen nombres de región existentes."
"-- Please select --","-- Por favor, seleccione --"
"Default: only add new locales","Por defecto: sólo añadir nuevos locales"
"Default Display Currency","Moneda por defecto"
"Default Name","Nombre por defecto"
"Default name cannot be longer than 255 characters.","El nombre por defecto no puede tener más de 255 caracteres."
"Default name for this region in English","Nombre predeterminado para esta región en Inglés"
"Default name is required.","Se requiere nombre predeterminado."
"Delete Country","Eliminar país"
"Delete Region","Eliminar región"
"Directory","Directorio"
"Directory Management","Gestión de directorios"
"Display not required State","Mostrar estado no requerido"
"Edit Country","Editar país"
"Edit Country ""%s""","Editar País ""%s"""
"Edit Region","Editar región"
"Edit Region ""%s""","Editar región ""%s"""
"Enabled","Activado"
"Error:","Error:"
"Error Email Recipient","Destinatario de Email de Error"
"Error Email Sender","Error Email Sender"
"Error Email Template","Plantilla de Email de Error"
"ExchangeRate-API","Intercambio de valoración-API"
"FATAL ERROR:","ERROR FALL:"
"Fixer API","API de Fixer"
"Frankfurter","Tor"
"Frequency","Frecuencia"
"Hold Ctrl/Cmd to select multiple countries","Mantén pulsado Ctrl/Cmd para seleccionar varios países"
"Hold Ctrl/Cmd to select multiple locales","Mantenga pulsado Ctrl/Cmd para seleccionar múltiples locales"
"Import","Importar"
"Import completed successfully.","Importación completada con éxito."
"Import Regions","Importar regiones"
"Import Results","Importar resultados"
"Installed Currencies","Monedas instaladas"
"Invalid country code: %s","Código de país inválido: %s"
"Invalid Import Service specified.","Servicio de importación especificado no válido."
"Invalid rates received","Tarifas recibidas no válidas"
"Invalid target currency.","Moneda de destino inválida."
"ISO2 Code","ISO2 Code"
"ISO2 code is required.","Se requiere código ISO2."
"ISO2 code must be exactly 2 uppercase letters.","El código ISO2 debe ser exactamente 2 letras mayúsculas."
"ISO3 Code","ISO3 Code"
"ISO3 code is required.","Se requiere código ISO3."
"ISO3 code must be exactly 3 uppercase letters.","El código ISO3 debe ser exactamente 3 letras mayúsculas."
"List of countries","Lista de países"
"List of regions in specified country","Lista de regiones en el país especificado"
"Locale and region name are required.","El idioma y el nombre de la región son requeridos."
"Locale is required.","Idioma requerido."
"Locales","Locales"
"Localized Name","Nombre localizado"
"Localized name for this region","Nombre localizado para esta región"
"Lower numbers are tried first when the scheduled import falls back to another service.","Los números más bajos se prueban primero cuando la importación programada regresa a otro servicio."
"Manage Countries","Administrar países"
"Manage Directory","Administrar directorio"
"Manage Regions","Gestionar regiones"
"Manage Translations","Administrar traducciones"
"New Country","Nuevo país"
"New Region","Nueva región"
"No API Key was specified or an invalid API Key was specified.","No se especificó ninguna clave API o se especificó una clave API no válida."
"One or more invalid symbols have been specified.","Se han especificado uno o más símbolos no válidos."
"Open access endpoint covering far more currencies than the ECB list, updated once a day. No account or API key needed. <a href='https://www.exchangerate-api.com/docs/free' target='_blank'>exchangerate-api.com</a>","endpoint de acceso abierto que cubre muchas más monedas que la lista del BCE, actualizada una vez al día. No se necesita ninguna cuenta o clave API. <a href='https://www.exchangerate-api.com/docs/free' target='_blank'>exchangerate-api.com</a>"
"Please select at least one country.","Por favor, seleccione al menos un país."
"Please select at least one locale.","Por favor, seleccione al menos una localidad."
"Please select country(s).","Por favor, seleccione país(es)."
"Please select region(s).","Por favor, seleccione region(s)."
"Please select region name(s).","Por favor, seleccione nombre(s) región."
"Popular","Popular"
"Postal Code is Optional for the following countries","Código postal es opcional para los siguientes países"
"Preview changes without importing (Dry Run)","Vista previa de cambios sin importar (Ejecutar seco)"
"Rates were imported from ""%s"" after the services below failed.","Las tarifas fueron importadas de ""%s"" después de que los servicios a continuación fallaran."
"Reference rates aggregated from central banks and official sources. No account or API key needed. <a href='https://frankfurter.dev' target='_blank'>frankfurter.dev</a>","Tasas de referencia agregadas desde bancos centrales y fuentes oficiales. No se necesita ninguna cuenta o clave API. <a href='https://frankfurter.dev' target='_blank'>frankfurter.dev</a>"
"Region","Región"
"Region API","API de región"
"Region Code","Código de región"
"Region code cannot be longer than 32 characters.","El código de región no puede tener más de 32 caracteres."
"Region ID","ID de región"
"Region Information","Información de la región"
"Region name cannot be longer than 255 characters.","El nombre de la región no puede tener más de 255 caracteres."
"Region name is required.","Se requiere el nombre de la región."
"Regions","Regiones"
"Requires a key for <a href='https://fixer.io' target='_blank'>fixer.io</a> itself. Keys for other apilayer products, Currency Data API included, are rejected by this endpoint.","Requiere una clave para <a href='https://fixer.io' target='_blank'>fixer.io</a> . Las claves para otros productos de apilayer incluidos, API de datos de divisas son rechazadas por este extremo."
"Running...","Ejecutando..."
"Running import...","Ejecutando importación..."
"Save Country","Guardar país"
"Save Region","Guardar región"
"Scheduled Import Settings","Configuración de importación programada"
"Selected country does not exist.","El país seleccionado no existe."
"Service","Servicio"
"Short code for this region (e.g. CA, NY, TX)","Código corto para esta región (por ejemplo, CA, NY, TX)"
"Shows what would be imported without making actual changes","Muestra lo que se importaría sin hacer cambios reales"
"Sort Order","Ordenar"
"Start Time","Hora de inicio"
"State/Province","Estado/Provenza"
"State is required for","El estado es obligatorio para"
"States Options","Opciones de Estados"
"Store %s has no currency it can sell in: none of its allowed currencies has an exchange rate from %s.","La tienda %s no tiene ninguna moneda en la que se puede vender: ninguna de sus monedas permitidas tiene un tipo de cambio de %s."
"System","Sistema"
"The ""%s"" is not allowed as base currency for your subscription plan.","El ""%s"" no está permitido como moneda base para su plan de suscripción."
"The account this API request is coming from is inactive.","La cuenta de la que proviene esta solicitud API está inactiva."
"The country has been deleted.","El país ha sido eliminado."
"The country has been saved.","El país ha sido guardado."
"The current request did not return any results.","La solicitud actual no devolvió ningún resultado."
"The maximum allowed API amount of monthly API requests has been reached.","Se ha alcanzado la cantidad máxima permitida de solicitudes mensuales de API."
"The region has been deleted.","La región ha sido eliminada."
"The region has been saved.","La región ha sido guardada."
"There is no exchange rate from %s to %s.","No hay tipo de cambio de %s a %s."
"This country no longer exists.","Este país ya no existe."
"This region no longer exists.","Esta región ya no existe."
"Three character ISO code (e.g. USA, GBR, DEU)","Código ISO de tres caracteres (por ejemplo, Estados Unidos, GBR, DEU)"
"Top Countries","Top Países"
"Two character country code (e.g. US, GB, DE)","Código de país de dos caracteres (ej: EE. UU, GB, R)"
"Two character ISO code (usually same as Country ID)","Código ISO de dos caracteres (usualmente igual al ID de país)"
"Unable to calculate rate for %s to %s.","No se puede calcular la tasa para %s a %s."
"Unable to initialize the import model.","No se puede inicializar el modelo de importación."
"Undefined rate from ""%s-%s"".","Tipo de cambio indefinido de ""%s-%s""."
"Update existing regions and localized names","Actualizar regiones existentes y nombres localizados"
"Your Currency","Tu moneda"
"Your Currency:","Tu moneda:"
