"%s Screenshot","Captura de pantalla %s"
"%s violation(s)","%s violation(s)"
"Accessibility Scan","Escaneo de accesibilidad"
"Scanning... this can take a couple of minutes.","Escaneando... esto puede tardar un par de minutos."
"Scan not found","Escaneo no encontrado"
"Scan Results","Escanear resultados"
"Scans older than this many days are deleted automatically. 0 keeps everything.","Los escaneos más antiguos que estos muchos días se eliminan automáticamente. 0 lo mantiene todo."
"Scan Timeout","Tiempo de Escaneo"
"Scheduled","Programado"
"Scheduled Scans","Escaneo programado"
"Selector","Selector"
"Serious","Serioso"
"Show on desktop screenshot","Mostrar en pantalla de escritorio"
"Show on mobile screenshot","Mostrar en captura de pantalla móvil"
"Source","Fuente"
"Started","Iniciado"
"Start Scan","Iniciar escaneo"
"Status","Estado"
"Summary","Summary"
"System","Sistema"
"Template","Plantilla"
"Template Source","Fuente de plantilla"
"The scan has been deleted.","El escaneo ha sido eliminado."
"The scanner cannot run on this server yet:","El escáner aún no puede ejecutarse en este servidor:"
"The scanner returned an unexpected result","El escáner devolvió un resultado inesperado"
"The scanner runtime is not installed yet. Run ""./maho accessibility:install"" from the command line to install it.","El tiempo de ejecución de scanner aún no está instalado. Ejecute ""./maho accessibility:install"" desde la línea de comandos para instalarlo."
"The URL to scan must belong to one of the configured store base URLs","La URL a escanear debe pertenecer a una de las URL base de la tienda configuradas"
"This report was generated with automated checks (axe-core), which detect only a subset of WCAG success criteria. A report with no violations does not guarantee conformance; manual testing with a keyboard and a screen reader is still required.","Este informe se generó con controles automatizados (eje central), que detectan sólo un subconjunto de criterios de éxito de WCAG. Un informe sin infracciones no garantiza la conformidad; las pruebas manuales con un teclado y un lector de pantalla siguen siendo necesarias."
"Total","Total"
"Total Scans","Escaneo total"
"Total Violations","Violaciones Totales"
"Unable to acquire the scanner install lock","No se puede adquirir el candado de instalación"
"Unable to copy the scanner script to %s","No se puede copiar el script de escáner a %s"
"Unable to create directory %s","No se puede crear el directorio %s"
"Unable to start process: %s","No se puede iniciar el proceso: %s"
"URL","URL"
"URLs to Scan","URLs para escanear"
"URL to scan","URL para escanear"
"URL to scan, e.g. https://store.example.com/","URL para escanear, p. ej., https://store.example.com/"
"Violation #%s: %s","Violación #%s: %s"
"Violations","Violaciones"
"Violations (Latest Scan)","Violaciones (Último escaneo)"
"WCAG %s","WCAG %s"
"WCAG 2.2 Level A","Nivel A WCAG 2.2"
"WCAG 2.2 Level AA","Nivel AA WCAG 2.2"
"WCAG 2.2 Level AAA","Nivel WCAG 2.2 AAA"
"WCAG Level","Nivel WCAG"
"Width x height in CSS pixels, scanned with mobile emulation. Default: 390x844","Ancho x altura en píxeles CSS, escaneado con emulación móvil. Por defecto: 390x844"
"Width x height in CSS pixels. Every scan runs one pass per viewport. Default: 1280x1024","Ancho x altura en píxeles CSS. Cada escaneo ejecuta una pasada por vista. Por defecto: 1280x1024"
