"-- No Role --","-- Sin rol --"
"Edit Role '%s'","Editar Rol '%s'"
"Email","E-mail"
"First Name","Nombre"
"General Settings","Configuración General"
"GraphQL, admin","GraphQL, admin"
"GraphQL, public","GraphQL, público"
"Hidden (stored hashed). Regenerate if needed.","Oculto (almacenado hashed). Regenerar si es necesario."
"How long API responses are cached. Default: 300 (5 minutes). Set to 0 to disable caching.","Cuántas respuestas API se almacenan en caché. Por defecto: 300 (5 minutos). Establecer en 0 para desactivar la caché."
"ID","ID"
"Inactive","Inactivo"
"In seconds (default: 3600 = 1 hour)","En segundos (por defecto: 3600 = 1 hora)"
"In seconds (default: 86400 = 24 hours)","En segundos (por defecto: 86400 = 24 horas)"
"JWT signing secret. Auto-generated (random) and stored encrypted on first use if left empty.","JWT firma secreto. Autogenerado (aleatorio) y almacenado cifrado en el primer uso si se deja vacío."
"Last Name","Apellido"
"Leave blank to keep the current key.","Dejar en blanco para mantener la clave actual."
"Leave empty to allow access to all stores.","Dejar en blanco para permitir el acceso a todas las tiendas."
"Legacy JSON-RPC","Legado JSON-RPC"
"Legacy REST (Magento 1)","REST heredado (Magento 1)"
"Legacy SOAP v1","Legado SOAP v1"
"Legacy SOAP v2","Legado SOAP v2"
"Legacy XML-RPC","Legacy XML-RPC"
"Modern REST API at /api/rest/v2/*","API REST moderna en /api/rest/v2/*"
"New API Key","Nueva Clave API"
"New API User","Nuevo usuario API"
"New Role","Nuevo rol"
"No permissions needed, these are read-only public endpoints.","No se necesitan permisos, estos son puntos finales públicos de sólo lectura."
"OAuth2 Client Credentials","Credenciales de cliente de OAuth2"
"OAuth2 client_id and client_secret will be generated when you save this user.","El client_id y client_secret de OAuth2 se generarán cuando guarde este usuario."
"OAuth2 Settings","Configuración de OAuth2"
"Original Magento 1 JSON-RPC at /api/jsonrpc","Original Magento 1 JSON-RPC en /api/jsonrpc"
"Original Magento 1 REST API at /api/rest/*","API REST original de Magento 1 en /api/rest/*"
"Original Magento 1 SOAP at /api/soap","Original Magento 1 SOAP en /api/jabón"
"Original Magento 1 SOAP v2 at /api/v2_soap","Original Magento 1 v2 SOAP en /api/v2_jabón"
"Original Magento 1 XML-RPC at /api/xmlrpc","XML-RPC original de Magento 1 en /api/xmlrpc"
"Permissions","Permisos"
"Public Storefront Access","Acceso al Espacial Público"
"Refresh Token Lifetime","Actualizar tiempo de vida del token"
"Regenerate Credentials","Regenerar credenciales"
"Resource Access","Acceso a recursos"
"REST/GraphQL - Roles","REST/GraphQL - Rol"
"REST/GraphQL - Users","REST/GraphQL - Usuarios"
"Restrict to Stores","Restringir a tiendas"
"REST v2 (new)","REST v2 (nuevo)"
"Role","Rol"
"Role has been deleted.","El rol ha sido eliminado."
"Role has been saved.","El rol ha sido guardado."
"Role Info","Info de Rol"
"Role Information","Información del rol"
"Role Name","Nombre del Rol"
"Role name is required.","El nombre del rol es requerido."
"Save and Continue Edit","Guardar y continuar editando"
"Save API User","Guardar usuario API"
"Save Role","Guardar rol"
"Save these credentials now. The secret cannot be retrieved later.","Guarda estas credenciales ahora. El secreto no se puede recuperar más tarde."
"Service Account Permissions","Permisos de Cuenta de Servicio"
"Status","Estado"
"Storefront/customer-facing GraphQL at /api/graphql","GraphQL frente al cliente en /api/graphql"
"Symfony App Secret","Symfony App Secret"
"System","Sistema"
"These operations use customer JWT tokens obtained when a customer logs in. They are scoped to the logged-in customer's own data and cannot be granted to service accounts.","Estas operaciones utilizan tokens JWT del cliente obtenidos cuando un cliente se conecta. Se les permite acceder a los datos personales del cliente y no se les puede conceder a las cuentas de servicio."
"These permissions control what API users (service accounts) can do. Grant only the operations each integration needs.","Estos permisos controlan lo que los usuarios de la API (cuentas de servicio) pueden hacer. Dar sólo las operaciones que cada integración necesita."
"These resources are publicly readable without authentication. Any visitor or app can access this data via GET requests.","Estos recursos son públicamente legibles sin autenticación. Cualquier visitante o aplicación puede acceder a estos datos a través de solicitudes GET."
"This API user no longer exists.","Este usuario de API ya no existe."
"This role no longer exists.","Este rol ya no existe."
"User Info","Información del usuario"
"Username","Usuario"
"User Role","Rol de Usuario"
