"%s file does not exists or is not readable","El archivo %s no existe o no es legible"
"-- Please Select --","-- Por favor seleccione --"
"File is totally invalid. Please fix errors and re-upload file","El archivo no es válido. Por favor, corrija los errores y vuelva a subir el archivo"
"File is valid! To start import process press ""Import"" button","¡El archivo es válido! Para comenzar el proceso de importación pulsa el botón ""Importar"""
"File is valid, but import is not possible","El archivo es válido, pero la importación no es posible"
"File was not uploaded","El archivo no se ha subido"
"Filter","Filtro"
"From","De"
"Header column names already set","Nombres de columnas de cabecera ya establecidos"
"Import","Importar"
"Import/Export","Importar/Exportar"
"Import Behavior","Importar comportamiento"
"Import CSV","Importar CSV"
"Import has been done successfuly.","Importación realizada con éxito."
"Import Settings","Importar ajustes"
"Import successfully done.","Importación realizada con éxito."
"Incorrect entity type","Tipo de entidad incorrecta"
"Input entity code is not equal to entity adapter code","El código de entidad de entrada no es igual al código de adaptador de entidad"
"in rows","en filas"
"in rows:","en filas:"
"Invalid entity","Entidad no válida"
"Invalid entity model","Modelo de entidad no válido"
"Invalid file format","Formato de archivo inválido"
"Invalid parameters","Parámetros no válidos"
"Invalid seek position","Posición de búsqueda no válida"
"Invalid seek position: %d","Posición de búsqueda no válida: %d"
"Invalid value for '%s'","Valor no válido para '%s'"
"Invalid value for '%s' column","Valor no válido para la columna '%s'"
"No data provided for import","No hay datos para importar"
"No data rows found after header processing","No se encontraron filas de datos después del procesamiento del encabezado"
"Node does not has model token tag","El nodo no tiene etiqueta de token de modelo"
"No filter data provided","No hay datos de filtro proporcionados"
"No source specified","Fuente no especificada"
"Not implemented yet","Aún no implementado"
"No valid data sent","Datos no válidos enviados"
"No writer specified","No se especificó ningún escritor"
"Please fix errors and re-upload file","Por favor, corrija los errores y vuelva a cargar el archivo"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Por favor, corrija errores y vuelva a cargar el archivo o simplemente pulse el botón ""Importar"" para omitir filas con errores"
"Products","Productos"
"Replace Existing Complex Data","Reemplazar datos complejos existentes"
"Row %d is not an array","Fila %d no es un array"
"Row %d missing columns: %s","Fila %d columnas faltantes: %s"
"Select File to Import","Seleccionar archivo a importar"
"Skip","Saltar"
"Source data array cannot be empty","El array de datos de origen no puede estar vacío"
"Source data must be an array","Los datos de origen deben ser una matriz"
"Source file moving failed","Error al mover el archivo fuente"
"Source is not set","Fuente no establecida"
"Source must be a string file path or array","La fuente debe ser una ruta de archivo de cadena o matriz"
"Status","Estado"
"There are no product types available for export","No hay tipos de productos disponibles para exportar"
"There is no data for export","No hay datos para exportar"
"To","A"
"Total size of uploadable files must not exceed %s","El tamaño total de los archivos cargables no debe exceder de %s"
"Unknown attribute filter type","Tipo de filtro de atributos desconocido"
"Uploaded file has no extension","El archivo subido no tiene extensión"
"Validation finished successfully","Validación finalizada correctamente"
