"%s %s cycle.","Ciclo %s %s."
"Countries","Paesi"
"Created At","Creato Il"
"Credit Card Number","Numero Carta Di Credito"
"Credit card number mismatch with credit card type.","Numero di carta di credito non corrispondente al tipo di carta di credito."
"Credit Card Type","Tipo Carta Di Credito"
"Credit card type is not allowed for this payment method.","Il tipo di carta di credito non è consentito per questo metodo di pagamento."
"Credit Card Types","Tipi Di Carta Di Credito"
"Currency","Valuta"
"Currency code is undefined.","Il codice valuta non è definito."
"Customer Groups","Gruppi Di Clienti"
"Customer ID is not set.","L'ID cliente non è impostato."
"Day","Giorno"
"Debug Mode","Modalità Debug"
"Delete Restriction","Elimina Restrizione"
"Description","Descrizione"
"Edit","Modifica"
"Edit Restriction","Modifica Restrizione"
"Edit Restriction '%s'","Modifica Restrizione '%s'"
"Enabled","Abilitato"
"equals or greater than","uguale o superiore a"
"equals or less than","è uguale o inferiore a"
"Expiration Date","Data Di Scadenza"
"FOUND","TROVATO"
"Full name of the person receiving the product or service paid for by the recurring payment.","Nome completo della persona che riceve il prodotto o il servizio pagato dal pagamento ricorrente."
"General Information","Informazioni Generali"
"greater than","maggiore di"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","Se %s %s %s per una sotto-selezione di articoli nel carrello corrispondenti %s di queste condizioni:"
"If an item is %s in the cart with %s of these conditions true:","Se un oggetto è %s nel carrello con %s di queste condizioni vero:"
"Incorrect credit card expiration date.","Data di scadenza della carta di credito errata."
"Initial Fee","Commissione Iniziale"
"Initial non-recurring payment amount due immediately upon profile creation.","Importo iniziale di pagamento non ricorrente dovuto immediatamente alla creazione del profilo."
"Instructions","Istruzioni"
"Internal Reference ID","Id Di Riferimento Interno"
"Invalid Credit Card Number","Numero Carta Di Credito Non Valido"
"is","è"
"is not","non è"
"Issue Number","Numero Di Problema"
"less than","meno di"
"Make Check Payable to","Rendi l'assegno pagabile a"
"Make Check payable to:","Rendere il controllo pagabile a:"
"Make Check payable to: %s","Rendere il controllo pagabile a: %s"
"Maximum Billing Cycles","Cicli Di Fatturazione Massimi"
"Maximum Order Total","Totale Massimo Ordine"
"Maximum Payment Failures","Massimo Fallimenti Di Pagamento"
"Maximum Trial Billing Cycles","Cicli Massimi Di Fatturazione Di Prova"
"Minimum Order Total","Totale Ordine Minimo"
"Month","Mese"
"N/A","N/A"
"Name","Nome"
"Name on Card","Nome sulla carta"
"New Order Status","Stato Nuovo Ordine"
"New Restriction","Nuova Restrizione"
"NOT FOUND","NON TROVATO"
"Number of billing periods that make up one billing cycle.","Numero di periodi di fatturazione che compongono un ciclo di fatturazione."
"Number of Complete Orders","Numero di ordini completati"
"Order action is not available.","L'azione dell'ordine non è disponibile."
"Password","Password"
"Payment from Applicable Countries","Pagamento da Paesi Applicabili"
"Payment from Specific Countries","Pagamento da paesi specifici"
"Payment Method","Metodo Di Pagamento"
"Payment method code is not set.","Il codice del metodo di pagamento non è impostato."
"Payment method code is undefined.","Il codice del metodo di pagamento non è definito."
"Payment Methods","Metodi Di Pagamento"
"Payment profile is invalid:\n%s","Profilo di pagamento non valido:\n%s"
"Payment Reference ID","Id Di Riferimento Pagamento"
"Payment Restrictions","Restrizioni Di Pagamento"
"Payment Services","Servizi Di Pagamento"
"Period frequency is wrong.","La frequenza del periodo è errata."
"Please choose a condition to add.","Scegli una condizione da aggiungere."
"Please enter a valid credit card verification number.","Inserisci un numero valido di verifica della carta di credito."
"Please select restriction(s).","Seleziona restrizioni."
"Product Attribute","Attributo Prodotto"
"Product attribute combination","Combinazione attributo prodotto"
"Product Categories","Categorie Di Prodotti"
"Products subselection","Sottoselezione prodotti"
"Purchase Order","Ordine Di Acquisto"
"Purchase Order Number","Numero Ordine D'Acquisto"
"Purchase Order Number:","Numero D'Ordine D'Acquisto:"
"Purchase Order Number: %s","Numero D'Ordine D'Acquisto: %s"
"Recurring Profile Start Date","Data Di Inizio Profilo Ricorrente"
"Recurring profile start date has invalid format.","La data di inizio del profilo ricorrente ha un formato non valido."
"Reference ID is not set.","ID di riferimento non impostato."
"Refund action is not available.","Azione di rimborso non disponibile."
"Repeats %s time(s).","Ripeti %s volta(e)"
"Repeats until suspended or canceled.","Ripetere fino alla sospensione o annullata."
"Save Restriction","Salva Restrizione"
"Schedule Description","Descrizione Pianificazione"
"Schedule description must be not empty.","La descrizione della pianificazione non deve essere vuota."
"Selected payment type is not allowed for billing country.","Il tipo di pagamento selezionato non è consentito per il paese di fatturazione."
"Send Check to","Invia assegno a"
"Send Check to:","Invia assegno a:"
"Severe 3D Secure Card Validation","Grave Convalida Della Carta Sicura 3D"
"Shipping Amount","Importo Spedizione"
"Shipping Country","Paese Di Spedizione"
"Shipping Method","Metodo Di Spedizione"
"Shipping Postcode","Postcode Di Spedizione"
"Shipping Region","Regione Di Spedizione"
"Shipping State/Province","Stato Di Spedizione/Provincia"
"Short description of the recurring payment. By default equals to the product name.","Breve descrizione del pagamento ricorrente. Per impostazione predefinita è uguale al nome del prodotto."
"Sort Order","Ordina"
"Start Date","Data Di Inizio"
"Start date has invalid format.","La data di inizio ha un formato non valido."
"Start date is undefined.","La data di inizio non è definita."
"Status","Stato"
"Status ""%s"" cannot be unassigned. It is in used in %d payment method configuration(s): %s","Lo stato ""%s"" non può essere non assegnato. È in uso nelle configurazioni del metodo di pagamento %d : %s"
"Stores","Negozi"
"Subscriber Name","Nome Abbonato"
"Subtotal","Subtotale"
"Switch/Solo/Maestro Issue Number","Numero Di Problema Switch/Solo/Maestro"
"Switch/Solo/Maestro Only","Solo Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Switch/Solo/Maestro Data Di Inizio"
"Tax Amount","Importo Fiscale"
"Test Mode","Modalità Di Prova"
"The date when billing for the profile begins.","La data in cui inizia la fatturazione del profilo."
"The number of billing cycles for payment period.","Il numero di cicli di fatturazione per il periodo di pagamento."
"The number of scheduled payments that can fail before the profile is automatically suspended.","Il numero di pagamenti programmati che possono fallire prima che il profilo venga sospeso automaticamente."
"The payment restriction has been deleted.","La restrizione di pagamento è stata eliminata."
"The payment restriction has been saved.","La restrizione di pagamento è stata salvata."
"The payment review action is unavailable.","L'azione di revisione del pagamento non è disponibile."
"The requested Payment Method is not available.","Il metodo di pagamento richiesto non è disponibile."
"This restriction no longer exists.","Questa restrizione non esiste più."
"Title","Titolo"
"total amount","importo totale"
"Total Items Quantity","Quantità Totale Oggetti"
"Total of %d record(s) were deleted.","Totale dei record %d sono stati eliminati."
"Total of %d record(s) were updated.","Totale dei record %d sono stati aggiornati."
"total quantity","quantità totale"
"Total Weight","Peso Totale"
"Trial Billing Amount","Importo Fatturazione Prova"
"Trial billing amount is wrong.","La fatturazione della prova è errata."
"Trial Billing Frequency","Frequenza Di Fatturazione Di Prova"
"Trial Billing Period Unit","Unità Periodo Di Fatturazione Prova"
"Trial billing period unit is wrong.","L'unità del periodo di fatturazione della prova è errata."
"Trial Period","Periodo Di Prova"
"Trial period frequency is wrong.","La frequenza del periodo di prova è errata."
"Trial period max cycles is wrong.","Periodo di prova massimo cicli è errato."
"Two Weeks","Due Settimane"
"Type","Tipo"
"Unable to find a restriction to delete.","Impossibile trovare una restrizione da eliminare."
"Unable to save Billing Agreement:","Impossibile salvare l'accordo di fatturazione:"
"Unit for billing during the subscription period.","Unità di fatturazione durante il periodo di abbonamento."
"Void action is not available.","L'azione del vuoto non è disponibile."
"Week","Settimana"
"What is this?","Che cos'è questo?"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","Indica se sospendere il profilo di pagamento se la commissione iniziale fallisce o aggiungerla al saldo in sospeso."
"Wrong %s specified.","%s specificato errato."
"Wrong or empty billing amount specified.","Importo di fatturazione specificato errato o vuoto."
"Year","Anno"
"Zero Subtotal Checkout","Checkout Subtotale Zero"
