"-- Please Select --","-- Seleziona --"
"Account Created In Store","Account Creato Nel Negozio"
"Lifetime Profit (Sales - Refunds)","Profitto A Vita (Vendite - Rimborsi)"
"Lifetime Refunds Amount","Importo Rimborsi A Vita"
"Lifetime Sales Amount","Importo Vendite A Vita"
"Manage Email Sequences","Gestisci Sequenze Email"
"Manage Segments","Gestisci Segmenti"
"Manual","Manuale"
"Master switch to enable/disable all email automation for this segment","Interruttore principale per abilitare/disabilitare tutta l'automazione delle email per questo segmento"
"minutes","minuti"
"Minutes to wait before sending (0 = immediate, 60 = 1 hour, 1440 = 1 day)","Minuti da attendere prima dell'invio (0 = immediato, 60 = 1 ora, 1440 = 1 giorno)"
"Mode","Modalità"
"New Email Sequence Step for ""%s""","Nuovo passaggio Sequenza Email per ""%s"""
"New Segment","Nuovo Segmento"
"New Sequence","Nuova Sequenza"
"Newsletter","Newsletter"
"Newsletter Subscription","Iscrizione Newsletter"
"Newsletter Template","Template Newsletter"
"Newsletter template to use for this step","Modello di newsletter da usare per questo passaggio"
"None","Nessuno"
"Not Active","Non Attivo"
"Number of days until coupon expires (default: 30)","Numero di giorni fino alla scadenza del coupon (default: 30)"
"Number of Orders","Numero di ordini"
"Order","Ordine"
"Order History","Cronologia Ordini"
"Order in the email sequence (1, 2, 3...)","Ordine nella sequenza email (1, 2, 3...)"
"Pending","In Attesa"
"Personal Information","Informazioni Personali"
"Please save the segment first.","Salvare prima il segmento."
"Please select...","Per favore seleziona..."
"Please select at least one website.","Seleziona almeno un sito web."
"Please select segment(s).","Seleziona segmento/i."
"Prefix for coupon codes","Prefisso per i codici coupon"
"Prefix for generated coupon codes (e.g., CART, WELCOME)","Prefisso per i codici coupon generati (ad esempio, CART, WELCOME)"
"Processing","Elaborazione"
"Product: %s","Prodotto: %s"
"Product Type","Tipo Di Prodotto"
"Progress record already exists for this customer and sequence.","Il record di avanzamento esiste già per questo cliente e sequenza."
"Purchase Date","Data Di Acquisto"
"Quantity in Cart","Quantità nel carrello"
"Quantity Ordered","Quantità Ordinata"
"Refresh Mode","Modalità Di Aggiornamento"
"Refresh Segments","Aggiorna I Segmenti"
"Row Total","Totale Riga"
"Row Total (Inc. Tax)","Totale Riga (Tasse Inc.)"
"Sales rule does not exist.","La regola di vendita non esiste."
"Sales rule is not active.","La regola di vendita non è attiva."
"Sales rule is required when coupon generation is enabled.","La regola di vendita è richiesta quando la generazione di coupon è abilitata."
"Sales rule must be configured for specific coupon codes.","La regola di vendita deve essere configurata per specifici codici coupon."
"Sales rule must have auto-generation enabled.","La regola di vendita deve abilitare la generazione automatica."
"Sales rule to base coupon on","Regola di vendita su cui basare il coupon"
"Sales rule to use as template for generated coupons","Regola di vendita da usare come modello per i coupon generati"
"Save and Continue Edit","Salva e continua a modificare"
"Save Email Sequences","Salva Sequenze Email"
"Save Segment","Salva Segmento"
"Save Segments","Salva Segmenti"
"Scheduled","Pianificato"
"Segment ID is required.","L'ID del segmento è obbligatorio."
"Segment Information","Informazioni Segmento"
"Segment Name","Nome Segmento"
"Segment name is required.","Nome del segmento richiesto."
"Segment Refresh Cron Schedule","Programma Cron Aggiornamento Segmento"
"Selected sales rule is not active.","La regola di vendita selezionata non è attiva."
"Selected sales rule must be configured for ""Specific Coupon"" type.","La regola di vendita selezionata deve essere configurata per il tipo ""Coupon"" specifico."
"Selected sales rule must have ""Use Auto Generation"" enabled.","La regola di vendita selezionata deve essere abilitata ""Use Auto Generation""."
"Sent","Inviato"
"Sequence ID is required.","L'ID sequenza è richiesto."
"Sequence not found.","Sequenza non trovata."
"Sequence step %d: %s","Passo di sequenza %d: %s"
"Sequence Step Settings","Impostazioni Passo Sequenza"
"Shopping Cart","Carrello Della spesa"
"Shopping Cart Information","Informazioni Carrello"
"Simple Product","Prodotto Semplice"
"Skipped","Saltato"
"Statistics","Statistiche"
"Status Change Date","Data Cambio Stato"
"Step","Passo"
"Step Number","Numero Passo"
"Step number %d already exists for this segment %s trigger.","Il numero di passaggio %d esiste già per questo trigger di segmento %s."
"Step number must be greater than 0.","Il numero dello step deve essere maggiore di 0."
"Subject","Oggetto"
"Subscription Status","Stato Abbonamento"
"Template ID is required.","ID modello è obbligatorio."
"The email sequence has been deleted.","La sequenza email è stata eliminata."
"The email sequence has been saved.","La sequenza email è stata salvata."
"The segment has been deleted.","Il segmento è stato eliminato."
"The segment has been refreshed.","Il segmento è stato aggiornato."
"The segment has been saved.","Il segmento è stato salvato."
"This segment no longer exists.","Questo segmento non esiste più."
"This sequence no longer exists.","Questa sequenza non esiste più."
"Total of %d record(s) were deleted.","Totale dei record %d sono stati eliminati."
"Total of %d record(s) were updated.","Totale dei record %d sono stati aggiornati."
"Total Ordered Amount","Importo Totale Ordinato"
"Trigger event must be either ""enter"" or ""exit"".","L'evento trigger deve essere ""enter"" o ""exit""."
"Unable to find a segment to refresh.","Impossibile trovare un segmento da aggiornare."
"Unknown Segment","Segmento Sconosciuto"
"View","Visualizza"
"View Count","Visualizza Conteggio"
"View Customers in Segment","Visualizza clienti nel segmento"
"Viewed","Visualizzato"
"Viewed Products","Prodotti Visti"
"Virtual Product","Prodotto Virtuale"
"When customer enters segment","Quando il cliente entra nel segmento"
"When customer exits segment","Quando il cliente esce dal segmento"
"Wishlist","Wishlist"
"Wishlist Items Count","Conteggio Oggetti Lista Desideri"
"Wishlist Shared","Lista Dei Desideri Condivisi"
