"Action","Azione"
"The sitemap has been deleted.","La sitemap è stata eliminata."
"The sitemap has been saved.","La sitemap è stata salvata."
"This sitemap no longer exists.","Questa mappa del sito non esiste più."
"Training crawlers","Strisciatori da allenamento"
"Training opt-out tokens (not crawlers)","Token opt-out di allenamento (non crawlers)"
"Training or fine-tuning AI models on the pages. Reserved by default: it is the one use that gives the store nothing back.","Addestramento o fine-tuning modelli AI sulle pagine. Riservato per impostazione predefinita: è l'unico uso che non dà nulla al negozio indietro."
"Unable to find a sitemap to delete.","Impossibile trovare una mappa del sito da eliminare."
"Unable to find a sitemap to generate.","Impossibile trovare una sitemap da generare."
"Unable to generate the sitemap.","Impossibile generare la sitemap."
"User-triggered fetchers","Recuperi attivati dall'utente"
"Valid values range: from 0.0 to 1.0.","Intervallo di valori validi: da 0.0 a 1.0."
"Weekly","Settimanale"
"When off, /llms.txt answers 404.","Quando spento, /llms.txt risponde 404."
"When off, /robots.txt answers 404, which tells crawlers that no policy applies.","Quando spento, /robots.txt risponde 404, che dice crawler che non si applica alcuna politica."
"Yearly","Annuale"
"Yes, allowed","Sì, permesso"
