"%d product(s) were updated","%d prodotto(i) aggiornato(i)"
"%s (Default Template from Locale)","%s (modello predefinito da locale)"
"%s cache type(s) disabled.","%s tipi di cache disabilitati."
"%s cache type(s) enabled.","%s tipi di cache abilitati."
"%s cache type(s) refreshed.","%s tipi di cache aggiornati."
"Allowed","Consentito"
"All possible rates were fetched, please click on ""Save"" to apply","Tutte le tariffe possibili sono state recuperate, per favore clicca su ""Salva"" per applicare"
"All rates were fetched, please click on ""Save"" to apply","Tutte le tariffe sono state recuperate, fare clic su ""Salva"" per applicare"
"All Reviews","Tutte Le Recensioni"
"All Store Views","Tutte Le Viste Negozio"
"All Tags","Tutte Le Etichette"
"All valid rates have been saved.","Tutte le tariffe valide sono state salvate."
"All Websites","Tutti I Siti Web"
"Always (during development)","Sempre (durante lo sviluppo)"
"Amounts","Importi"
" and "," e "
"An error occurred: %s","Si è verificato un errore: %s"
"An error occurred while adding condition.","Si è verificato un errore durante l'aggiunta della condizione."
"An error occurred while clearing the configurable swatches image cache.","Si è verificato un errore durante la pulizia della cache configurabile di swatches immagine."
"An error occurred while clearing the image cache.","Si è verificato un errore durante la cancellazione della cache dell'immagine."
"An error occurred while clearing the minified CSS/JS cache.","Si è verificato un errore durante la pulizia della cache CSS/JS minificata."
"An error occurred while deleting email log entries.","Si è verificato un errore durante l'eliminazione delle voci di registro email."
"An error occurred while deleting email template data. Please review log and try again.","Si è verificato un errore durante l'eliminazione dei dati del modello di email. Si prega di rivedere il registro e riprovare."
"An error occurred while deleting record(s).","Si è verificato un errore durante l'eliminazione dei record."
"An error occurred while deleting this role.","Si è verificato un errore durante l'eliminazione di questo ruolo."
"An error occurred while deleting this set.","Si è verificato un errore durante l'eliminazione di questo set."
"An error occurred while deleting this template.","Si è verificato un errore durante l'eliminazione di questo modello."
"An error occurred while deleting URL Rewrite.","Si è verificato un errore durante l'eliminazione dell'URL Rewrite."
"An error occurred while finishing process. Please refresh the cache","Si è verificato un errore durante il processo di completamento. Si prega di aggiornare la cache"
"An error occurred while logging in.","Si è verificato un errore durante l'accesso."
"An error occurred while rebuilding the catalog index.","Si è verificato un errore durante la ricostruzione dell'indice del catalogo."
"An error occurred while rebuilding the CatalogInventory Stock Status.","Si è verificato un errore durante la ricostruzione dello stato delle azioni CatalogInventory."
"An error occurred while rebuilding the flat catalog category.","Si è verificato un errore durante la ricostruzione della categoria del catalogo piatto."
"An error occurred while rebuilding the flat product catalog.","Si è verificato un errore durante la ricostruzione del catalogo di prodotti piatti."
"An error occurred while rebuilding the search index.","Si è verificato un errore durante la ricostruzione dell'indice di ricerca."
"An error occurred while refreshing roles.","Si è verificato un errore durante l'aggiornamento dei ruoli."
"An error occurred while refreshing the Catalog Rewrites.","Si è verificato un errore durante l'aggiornamento del Catalog Rewrites."
"An error occurred while refreshing the catalog rewrites.","Si è verificato un errore durante l'aggiornamento delle riscritture del catalogo."
"An error occurred while refreshing the Layered Navigation indices.","Si è verificato un errore durante l'aggiornamento degli indici di navigazione a livello."
"An error occurred while refreshing the layered navigation indices.","Si è verificato un errore durante l'aggiornamento degli indici di navigazione a livello."
"An error occurred while saving account.","Si è verificato un errore nel salvataggio dell'account."
"An error occurred while saving review.","Si è verificato un errore durante il salvataggio della recensione."
"An error occurred while saving the customer.","Si è verificato un errore durante il salvataggio del cliente."
"An error occurred while saving this configuration:","Si è verificato un errore durante il salvataggio della configurazione:"
"An error occurred while saving this role.","Si è verificato un errore durante il salvataggio del ruolo."
"An error occurred while saving this template.","Si è verificato un errore durante il salvataggio di questo modello."
"An error occurred while saving URL Rewrite.","Si è verificato un errore durante il salvataggio dell'URL Rewrite."
"An error occurred while sending the test email.","Si è verificato un errore durante l'invio dell'email di prova."
"An error occurred while updating the email address.","Si è verificato un errore nell'aggiornamento dell'indirizzo email."
"An error occurred while updating the selected review(s).","Si è verificato un errore durante l'aggiornamento delle recensioni selezionate."
"Any","Qualsiasi"
"Any Attribute Set","Qualsiasi Set Di Attributi"
"Any Group","Qualsiasi Gruppo"
"Any Status","Qualsiasi Stato"
"Any Type","Qualsiasi Tipo"
"Any Visibility","Qualsiasi Visibilità"
"API Key","Chiave API"
"API Key Confirmation","Conferma Chiave API"
"Archive file name:","Nome file archiviato:"
"Area","Zona"
"Are you sure you want to delete the selected URL rewrites?","Sei sicuro di voler eliminare la riscrittura dell'URL selezionato?"
"Are you sure you want to do this?","Sei sicuro di voler fare questo?"
"ASCII","ASCII"
"Assigned","Assegnato"
"Associated Tags","Etichette Associate"
"At least one currency has to be allowed.","Deve essere consentita almeno una valuta."
"Attributes","Attributi"
"Attribute Set Name:","Nome Set Attributi:"
"A user with the same user name or email already exists.","Esiste già un utente con lo stesso nome utente o email."
"Authorization confirmed","Autorizzazione confermata"
"Authorize","Autorizza"
"Authorize application","Autorizza l'applicazione"
"Authorized OAuth Tokens","Token OAuth Autorizzati"
"Automatic (equalize price ranges)","Automatico (equalizza intervalli di prezzo)"
"Automatic (equalize product counts)","Automatico (equalizza il numero di prodotti)"
"Average","Media"
"Average Order Amount","Importo Medio Dell'Ordine"
"Back","Indietro"
"Backend Locale","Backend Locale"
"Base currency","Valuta di base"
"Bcc","CCN"
"Bestsellers","Bestsellers"
"Billing Address","Indirizzo Di Fatturazione"
"Billing Address: ","Indirizzo Di Fatturazione: "
"Billing Agreement","Accordo Di Fatturazione"
"Billing Agreements","Accordi Di Fatturazione"
"BINARY","BINARIO"
"Block Details","Dettagli Blocco"
"Block has been deleted.","Il blocco è stato eliminato."
"Block Information","Informazioni Blocco"
"Block Name","Nome Blocco"
"Block Name is disallowed.","Il nome del blocco è vietato."
"Block Name is incorrect.","Nome del blocco non è corretto."
"Block Name is required field.","Il nome del blocco è un campo obbligatorio."
"Blocks","Blocchi"
"Both (without and with tax)","Sia (senza e con le imposte)"
"Browse Files...","Sfoglia File..."
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Il pacchetto con prezzi dinamici non può includere opzioni personalizzate definite. Le opzioni non verranno salvate."
"By Email","Per Email"
"By IP","Per IP"
"By IP and Email","Per IP e Email"
"Cache Control","Controllo Cache"
"Cache Control (beta)","Controllo Cache (beta)"
"Cache Management","Gestione Cache"
"Cache Type","Cache Type"
"Cancel","Annulla"
"Cannot add new comment.","Impossibile aggiungere un nuovo commento."
"Cannot add tracking number.","Impossibile aggiungere il numero di tracciamento."
"Cannot create an invoice without products.","Impossibile creare una fattura senza prodotti."
"Cannot create credit memo for the order.","Impossibile creare la nota di credito per l'ordine."
"Cannot delete the design change.","Impossibile eliminare il cambiamento di design."
"Cannot delete tracking number.","Impossibile eliminare il numero di tracciamento."
"Cannot do shipment for the order.","Impossibile effettuare la spedizione per l'ordine."
"Cannot do shipment for the order separately from invoice.","Impossibile effettuare la spedizione per l'ordine separatamente dalla fattura."
"Cannot initialize shipment for adding tracking number.","Impossibile inizializzare la spedizione per aggiungere il numero di tracciamento."
"Cannot initialize shipment for delete tracking number.","Impossibile inizializzare la spedizione per eliminare il numero di tracciamento."
"Cannot load track with retrieving identifier.","Impossibile caricare la traccia con l'identificatore di recupero."
"Cannot retrieve tracking number detail.","Impossibile recuperare il dettaglio del numero di tracciamento."
"Cannot save shipment.","Impossibile salvare la spedizione."
"Cannot save the credit memo.","Impossibile salvare la nota di credito."
"Cannot send shipment information.","Impossibile inviare informazioni sulla spedizione."
"Cannot update item quantity.","Impossibile aggiornare la quantità di oggetto."
"Cannot update the item's quantity.","Impossibile aggiornare la quantità dell'oggetto."
"Card Verification Number","Numero Verifica Carta"
"Catalog","Catalogo"
"Catalog Price Rules","Regole Prezzo Catalogo"
"Catalog Rewrites","Rewrites Catalogo"
"Categories","Categorie"
"Category","Categoria"
"Category:","Categoria:"
"Change Password","Cambia Password"
"Chart is disabled. If you want to enable chart, click <a href=""%s"">here</a>.","Il grafico è disabilitato. Se vuoi abilitare il grafico, clicca <a href=""%s"">qui</a>."
"Checkbox","Checkbox"
"Child Transactions","Transazioni Figlio"
"Choose an attribute","Scegli un attributo"
"Choose Store View:","Scegli Vista Negozio:"
"Chosen category does not associated with any website, so url rewrite is not possible.","La categoria scelta non è associata ad alcun sito web, quindi la riscrittura dell'url non è possibile."
"Chosen product does not associated with any website, so url rewrite is not possible.","Il prodotto scelto non è associato con alcun sito web, quindi url riscrittura non è possibile."
"Clear","Pulisci"
"Close","Chiudi"
"close","chiudi"
"CMS","CMS"
"Code","Codice"
"Comment text field cannot be empty.","Il campo testo del commento non può essere vuoto."
"Compiled observers, cron jobs, routes, and API permissions.","Osservatori compilati, cron work, percorsi e permessi API."
"Config form fieldset clone model required to be able to clone fields","Il modello di clone del form di configurazione deve essere in grado di clonare i campi"
"Configuration","Configurazione"
"Confirmation Of Authorization","Conferma Di Autorizzazione"
"Confirmed email:","Email confermata:"
"Confirm New Password","Conferma Nuova Password"
"Confirm token authorization for admin","Conferma l'autorizzazione token per l'amministratore"
"Confirm token authorization Pop Up for admin","Conferma autorizzazione token Pop Up per admin"
"Continue","Continua"
"Convert to Plain Text","Converti in testo semplice"
"Country","Paese"
"Country:","Paese:"
"Coupon Discount (Formatted Text)","Sconto Coupon (Testo Formato)"
"Coupon Discount Amount (Raw Number)","Importo Sconto Coupon (Numero Crudo)"
"Coupons","Coupon"
"Create","Crea"
"Created At","Creato Il"
"Create DB Backup","Crea Backup DB"
"Create URL Rewrite:","Create URL Rewrite:"
"Credit Card %s","Carta Di Credito %s"
"Credit Card Number","Numero Carta Di Credito"
"Credit Card Type","Tipo Carta Di Credito"
"Credit memo #%s comment added","Nota di credito #%s commento aggiunto"
"Credit memo #%s created","Nota di credito #%s creata"
"Credit memo's total must be positive.","Il totale della nota di credito deve essere positivo."
"Credit Memo History","Cronologia Nota Di Credito"
"Credit Memos","Memo Di Credito"
"Credit Memo Totals","Totale Nota Di Credito"
"CRITICAL","CRITICO"
"Critical","Critico"
"critical","critico"
"CSV","CSV"
"CSV / Tab separated","CSV / Tab separati"
"Currency","Valuta"
"Currency ""%s"" is used as %s in %s.","La valuta ""%s"" è utilizzata come %s in %s."
"Currency doesn't exist.","La valuta non esiste."
"Currency Information","Informazioni Sulla Valuta"
"Current Admin Password","Password Attuale Dell'Amministratore"
"Current Configuration Scope:","Campo Di Configurazione Attuale:"
"Current Month","Mese Corrente"
"Current password field cannot be empty.","Il campo password attuale non può essere vuoto."
"Custom","Personalizzato"
"Customer","Cliente"
"Customer email address changed from %s to %s by %s.","Indirizzo email del cliente cambiato da %s a %s da %s."
"Customer Group:","Gruppo Clienti:"
"Customer Groups","Gruppi Di Clienti"
"Customer Name","Nome Cliente"
"Customer Reviews","Recensioni Dei Clienti"
"Customers","Clienti"
"Customers by Number of Orders","Clienti per Numero di Ordini"
"Customers by Orders Total","Clienti per Totale Ordini"
"Customer Shopping Carts","Carrelli Cliente"
"Customer Since:","Perché:"
"Customer Tax Classes","Classi Tassa Cliente"
"Customer with the same email already exists.","Il cliente con la stessa email esiste già."
"Custom Symbol","Simbolo Personalizzato"
"Custom Variable ""%s""","Variabile Personalizzata ""%s"""
"Custom Variables","Variabili Personalizzate"
"Dashboard","Dashboard"
"Database","Database"
"Dataflow - Advanced Profiles","Dataflow - Profili Avanzati"
"Dataflow - Profiles","Dataflow - Profiles"
"Data Format","Formato Dati"
"Data transfer:","Trasferimento di dati:"
"Date","Data"
"Date & Time","Data E Ora"
"Date Added","Data Aggiunta"
"Date Updated","Data Di Aggiornamento"
"Day","Giorno"
"Debug","Debug"
"Decimal separator:","Separatore decimale:"
"Default (Admin) Values","Valori Predefiniti (Admin)"
"Default Billing Address","Indirizzo Di Fatturazione Predefinito"
"Default Config","Default Config"
"Default display currency ""%s"" is not available in allowed currencies.","La valuta di visualizzazione predefinita ""%s"" non è disponibile nelle valute consentite."
"Default scope","Ambito predefinito"
"Default Symbol","Simbolo Predefinito"
"Default Template from Locale","Modello predefinito da Locale"
"Default Values","Valori Predefiniti"
"Delete","Elimina"
"Delete %s","Elimina %s"
"Delete %s '%s'","Elimina %s '%s'"
"Delete Block","Elimina Blocco"
"Delete File","Elimina File"
"Delete Image","Elimina Immagine"
"Delete Profile","Elimina Profilo"
"Delete Role","Elimina Ruolo"
"Delete Store","Elimina Negozio"
"Delete Store View","Elimina Vista Negozio"
"Delete Template","Elimina Modello"
"Delete User","Elimina Utente"
"Delete Variable","Elimina Variabile"
"Delete Website","Elimina Sito Web"
"Description","Descrizione"
"Design","Design"
"Details","Dettagli"
"Direction:","Direzione:"
"Disable","Disabilita"
"Disable All Email Communications","Disabilita Tutte Le Comunicazioni Email"
"Disabled","Disabilitato"
"Disallowed block name for frontend.","Nome blocco non consentito per il frontend."
"Display default currency","Visualizza valuta predefinita"
"Do nothing","Non fare nulla"
"Download","Scarica"
"Downloads","Download"
"Do you really want to KILL parallel process and start new indexing process?","Vuoi davvero KILL processo parallelo e avviare un nuovo processo di indicizzazione?"
"Drop-down","Discesa"
"Edit","Modifica"
"Edit Block","Modifica Blocco"
"Edit Block '%s'","Modifica Blocco '%s'"
"Edit Design Change","Modifica Cambiamento Design"
"Edit Email Template","Modifica Modello Email"
"Edit Order","Modifica Ordine"
"Edit Queue","Modifica Coda"
"Edit Review","Modifica Revisione"
"Edit Role","Modifica Ruolo"
"Edit Store View","Modifica Vista Negozio"
"Edit System Template","Modifica Modello Di Sistema"
"Edit Template","Modifica Modello"
"Edit URL Rewrite","Modifica URL Rewrite"
"Edit User","Modifica Utente"
"Edit User '%s'","Modifica Utente '%s'"
"Edit Variable","Modifica Variabile"
"Edit Variable '%s'","Modifica Variabile '%s'"
"Edit Website","Modifica Sito Web"
"Email","Email"
"Email:","Email:"
"Email Address:","Indirizzo Email:"
"Email can only be changed for guest orders.","L'email può essere modificata solo per gli ordini ospite."
"Email transport is disabled. Please configure an email transport in Mail Sending Settings.","Il trasporto email è disabilitato. Si prega di configurare un trasporto email nelle impostazioni di invio email."
"Emergency","Emergenza"
"Enable","Abilita"
"Enable 2FA","Abilita 2FA"
"Enabled","Abilitato"
"Enable Password Authentication","Abilita Autenticazione Password"
"Enclose Values In:","Raccogli I Valori In:"
"Engagement","Impegno"
"Enter current password and press ""Save Account"" to confirm passkey change.","Inserire la password corrente e premere ""Salva account"" per confermare la modifica della chiave di accesso."
"Enter new email address:","Inserisci un nuovo indirizzo email:"
"Entity Attributes","Attributi Dell'Entità"
"Entity Type","Tipo Di Entità"
"Entity type:","Tipo di entità:"
"Entry & Exit Pages","Voce & Pagine Di Uscita"
"Error","Errore"
"example: ""sitemap/"" or ""/"" for base path (path must be writeable)","esempio: ""sitemap/"" o ""/"" per il percorso di base (il percorso deve essere scrivibile)"
"example: sitemap.xml","example: sitemap.xml"
"Excel XML","Excel XML"
"Excl. Tax","Tasse Escluse"
"Excl. Tax:","Tasse Escl."
"Expiration Date","Data Di Scadenza"
"Export","Esporta"
"Export:","Esportazione:"
"Export CSV","Esporta CSV"
"Export Filters","Esporta Filtri"
"Export to:","Esporta in:"
"Failed","Fallito"
"failed","fallito"
"Failed to add a product to cart by id ""%s"".","Aggiunta di un prodotto al carrello tramite id ""%s "" non riuscita."
"Failed to cancel the billing agreement.","Impossibile annullare l'accordo di fatturazione."
"Failed to delete the billing agreement.","Impossibile eliminare l'accordo di fatturazione."
"Failed to send test email. Please check your email configuration and error logs.","Impossibile inviare l'email di prova. Controlla la tua configurazione email e i log degli errori."
"Failed to update the profile.","Impossibile aggiornare il profilo."
"Field","Campo"
"Field Mapping","Mappatura Del Campo"
"File","File"
"File Information","Informazioni Sul File"
"File mode","Modalità file"
"File name:","Nome file:"
"File System","File System"
"Finished profile execution.","Esecuzione del profilo terminata."
"First Invoice Created Date","Prima Fattura Data Creata"
"First Name","Nome"
"First Name:","Nome:"
"First Name is required field.","Il nome è campo obbligatorio."
"Fixed","Fisso"
"Flush Catalog Images Cache","Flush Catalog Immagini Cache"
"Flush Minified CSS/JS Cache","Vampate Minified CSS/JS Cache"
"Flush Swatch Images Cache","Flush Swatch Immagini Cache"
"For category","Per categoria"
"Forgot Admin Password","Password Amministratore Dimenticata"
"Forgot your password?","Hai dimenticato la password?"
"Forgot your user name or password?","Hai dimenticato il nome utente o la password?"
"For product","Per prodotto"
"From","Da"
"from","da"
"FTP Host[:Port]","Host[:Port] FTP"
"General Information","Informazioni Generali"
"Give the verifier code to application administrator","Dare il codice del verificatore all'amministratore dell'applicazione"
"GLOBAL","GLOBALE"
"Global Record Search","Ricerca Globale Dei Record"
"Global Search","Ricerca Globale"
"Google Sitemaps","Google Sitemaps"
"Go to messages inbox","Vai alla casella di posta dei messaggi"
"Go to notifications","Vai alle notifiche"
"Grand Total","Totale Complessivo"
"Grid (default) / List","Griglia (predefinito) / Elenco"
"Grid Only","Solo Griglia"
"Group:","Gruppo:"
"Guest","Ospite"
"Health Check","Controllo Salute"
"Helper attributes should not be used in custom layout updates.","Gli attributi Helper non devono essere usati negli aggiornamenti di layout personalizzati."
"Helper for options rendering doesn't implement required interface.","Helper per le opzioni di rendering non implementa l'interfaccia richiesta."
"Home","Home"
"HTTP (unsecure)","HTTP (non protetto)"
"HTTPS (SSL)","HTTPS (SSL)"
"ID","ID"
"Id","Id"
"ID Path","Percorso ID"
"If there is an account associated with %s you will receive an email with a link to reset your password.","Se c'è un account associato a %s riceverai un'email con un link per reimpostare la password."
"If this message persists, please contact the store owner.","Se questo messaggio persiste, si prega di contattare il proprietario del negozio."
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Se non si specifica un valore di opzione per una specifica vista negozio, verrà utilizzato il valore predefinito (Admin)."
"Images Cache","Images Cache"
"Import","Importa"
"Import/Export","Importa/Esporta"
"Import/Export Advanced","Importa/Esporta Avanzate"
"Import/Export Profile","Importa/Esporta Profilo"
"Import and Export","Importazione ed esportazione"
"Import and Export Tax Rates","Importa ed Esporta Aliquote Fiscali"
"Imported <strong>%s</strong> records","Importato <strong>%s</strong> record"
"Import Service","Servizio Di Importazione"
"In","In"
"Inactive","Inattivo"
"Incl. Tax","Tasse Incl."
"Incl. Tax:","Tasse Incl.:"
"Incoming Message","Messaggio In Arrivo"
"In Database:","Nel Database:"
"In File:","In File:"
"Informational","Informazionale"
"Input fields (from - to)","Campi di ingresso (da - a)"
"Insert Variable...","Inserisci Variabile..."
"Interactive","Interattivo"
"Interface Locale: %s","Interfaccia Locale: %s"
"Internal Error","Errore Interno"
"Invalid 2FA verification code","Codice di verifica 2FA non valido"
"Invalidated","Invalidato"
"Invalid current password.","Password corrente non valida."
"Invalid data","Dati non validi"
"Invalid email address ""%s"".","Indirizzo email non valido ""%s""."
"Invalid email address.","Indirizzo email non valido."
"Invalid field name '%s', must not be one of NOT, AND, OR, XOR","Il nome del campo '%s' non è valido, non deve essere uno di NOT, AND, OR, XOR"
"Invalid Form Key. Please refresh the page.","Chiave modulo non valida. Si prega di aggiornare la pagina."
"Invalid Import Service Specified","Specificato Servizio Di Importazione Non Valido"
"Invalid input data for %s => %s rate","Dati di input non validi per il tasso %s => %s"
"Invalid operator '%s', must be one of NOT, AND, OR, XOR","Operatore non valido '%s', deve essere uno di NO, AND, OR, XOR"
"Invalid parent block for this block","Blocco padre non valido per questo blocco"
"Invalid parent block for this block.","Blocco genitore non valido per questo blocco."
"Invalid password reset token.","Token di reimpostazione password non valido."
"Invalid POST data (please check post_max_size and upload_max_filesize settings in your php.ini file).","Dati POST non validi (controllare post_max_size e upload_max_filesize impostazioni nel file php.ini)."
"Invalid request method","Metodo di richiesta non valido"
"Invalid response","Risposta non valida"
"Invalid Secret Key. Please refresh the page.","Chiave Segreta non valida. Si prega di aggiornare la pagina."
"Invalid sender name ""%s"". Please use only visible characters and spaces.","Nome mittente non valido ""%s"". Si prega di utilizzare solo caratteri e spazi visibili."
"Invalid template data.","Dati modello non validi."
"Invalid template path used in layout update.","Percorso modello non valido utilizzato nell'aggiornamento del layout."
"Invalid timezone","Fuso orario non valido"
"Invalid User Name or Password.","Nome utente o password non validi."
"Inventory Stock Status","Stato Scorte Inventario"
"Invoice #%s comment added","Fattura #%s commento aggiunto"
"Invoice #%s created","Fattura #%s creata"
"Invoice canceling error.","Errore annullamento fattura."
"Invoice capturing error.","Errore di acquisizione fattura."
"Invoice History","Cronologia Fatture"
"Invoices","Fatture"
"Invoice Totals","Totale Fatture"
"Invoice voiding error.","Invoice voiding error."
"IP Address","Indirizzo IP"
"Is Allowed","È Consentito"
"Is Allowed is required field.","È consentito il campo obbligatorio."
"Is Closed","È Chiuso"
"Is Default","È Predefinito"
"Issue Number","Numero Di Problema"
"Items","Oggetti"
"JavaScript/CSS","JavaScript/CSS"
"JavaScript/CSS Cache","Cache JavaScript/CSS"
"Languages","Lingue"
"Last 5 Orders","Ultimi 5 Ordini"
"Last 5 Search Terms","Ultimi 5 Termini Di Ricerca"
"Last 7 Days","Ultimi 7 Giorni"
"Last 24 Hours","Ultime 24 Ore"
"Last Credit Memo Created Date","Ultima Nota Di Credito Data Di Creazione"
"Last Invoice Created Date","Data Creazione Ultima Fattura"
"Last Logged In (%s):","Ultimo Accesso (%s):"
"Last Logged In:","Ultimo Accesso"
"Last Name","Cognome"
"Last Name:","Cognome:"
"Last Name is required field.","Cognome è campo obbligatorio."
"Last updated: %s. To refresh last day's <a href=""%s"">statistics</a>, click <a href=""%s"">here</a>.","Last updated: %s. To refresh last day's <a href=""%s"">statistics</a>, click <a href=""%s"">here</a>."
"Latest Message:","Ultimo Messaggio:"
"Layered Navigation Indices","Indici Di Navigazione A Livelli"
"Layered Navigation Indices were refreshed.","Gli indici di navigazione a livelli sono stati aggiornati."
"Leave empty to use tax identifier","Lasciare vuoto per usare l'identificatore fiscale"
"Lifetime","Durata"
"Lifetime Sales","Vendite A Vita"
"Lifetime statistics have been updated.","Le statistiche a vita sono state aggiornate."
"Links","Collegamenti"
"Links with associated products will retain only after saving current product.","I collegamenti con i prodotti associati manterranno solo dopo aver salvato il prodotto corrente."
"List (default) / Grid","Elenco (predefinito) / Griglia"
"List Only","Solo Lista"
"Load default template","Carica modello predefinito"
"Loading...","Caricamento..."
"Load Template","Carica Modello"
"Local/Remote Server","Server Locale/Remoto"
"Locale","Localizzazione"
"Local Server","Server Locale"
"Log In","Log In"
"Login","Accedi"
"Log in to Admin Panel","Accedi al pannello di amministrazione"
"Log into Maho Admin Page","Accedi alla pagina di amministrazione di Maho"
"Log in to use <strong>%s</strong>","Accedi per utilizzare <strong>%s</strong>"
"Login with Passkey","Accedi con Passkey"
"Log Out","Esci"
"Low Stock","Stock Basso"
"Maho Admin","Maho Admin"
"Maho Test Email","Email Di Prova Maho"
"MAJOR","MAJOR"
"major","maggiore"
"Make sure that data encoding in the file is consistent and saved in one of supported encodings (UTF-8 or ANSI).","Assicurarsi che la codifica dei dati nel file sia coerente e salvata in una delle codifiche supportate (UTF-8 o ANSI)."
"Manage Attributes","Gestisci Attributi"
"Manage Attribute Sets","Gestisci Set Di Attributi"
"Manage Categories","Gestisci Categorie"
"Manage Content","Gestisci Contenuto"
"Manage Currency Rates","Gestisci I Tassi Di Valuta"
"Manage Customers","Gestisci Clienti"
"Manage Options (values of your attribute)","Gestisci opzioni (valori del tuo attributo)"
"Manage Ratings","Gestisci Valutazioni"
"Manage Stores","Gestisci Negozi"
"Manage Tax Rules","Gestione Regole Fiscali"
"Manage Tax Zones and Rates","Gestisci zone e tariffe fiscali"
"Manage Titles (Size, Color, etc.)","Gestisci titoli (dimensione, colore, ecc.)"
"Manual","Manuale"
"Matched Expression","Espressione Corrispondente"
"Maximum sender name length is 255. Please correct your settings.","La lunghezza massima del nome del mittente è 255. Correggi le impostazioni."
"Messages Inbox","Messaggi In Inbox"
