"%s Screenshot","Schermata %s"
"%s violation(s)","%s violazione(i)"
"Accessibility Scan","Scansione Accessibilità"
"Source","Fonte"
"Started","Iniziato"
"Start Scan","Avvia Scansione"
"Status","Stato"
"Summary","Summary"
"System","Sistema"
"Template","Modello"
"Template Source","Sorgente Modello"
"The scan has been deleted.","La scansione è stata eliminata."
"The scanner cannot run on this server yet:","Lo scanner non può ancora essere eseguito su questo server:"
"The scanner returned an unexpected result","Lo scanner ha restituito un risultato inatteso"
"The scanner runtime is not installed yet. Run ""./maho accessibility:install"" from the command line to install it.","Il runtime dello scanner non è ancora installato. Eseguire ""./maho accessibility:install"" dalla riga di comando per installarlo."
"The URL to scan must belong to one of the configured store base URLs","L'URL da scansionare deve appartenere a uno degli URL di base del negozio configurato"
"This report was generated with automated checks (axe-core), which detect only a subset of WCAG success criteria. A report with no violations does not guarantee conformance; manual testing with a keyboard and a screen reader is still required.","Questo rapporto è stato generato con controlli automatici (axe-core), che rilevano solo un sottoinsieme di criteri di successo WCAG. Un rapporto senza violazioni non garantisce la conformità; è ancora necessario un test manuale con una tastiera e un lettore di schermo."
"Total","Totale"
"Total Scans","Scansione Totale"
"Total Violations","Violazioni Totali"
"Unable to acquire the scanner install lock","Impossibile acquisire il blocco di installazione dello scanner"
"Unable to copy the scanner script to %s","Impossibile copiare lo script dello scanner su %s"
"Unable to create directory %s","Impossibile creare la directory %s"
"Unable to start process: %s","Impossibile avviare il processo: %s"
"URL","URL"
"URLs to Scan","URL da Scansione"
"URL to scan","URL da scannerizzare"
"URL to scan, e.g. https://store.example.com/","URL da scansionare, ad esempio https://store.example.com/"
"Violation #%s: %s","Violazione #%s: %s"
"Violations","Violazioni"
"Violations (Latest Scan)","Violazioni (ultima scansione)"
"WCAG %s","WCAG %s"
"WCAG 2.2 Level A","WCAG 2.2 Livello A"
"WCAG 2.2 Level AA","WCAG 2.2 Livello AA"
"WCAG 2.2 Level AAA","WCAG 2.2 Livello AAA"
"WCAG Level","Livello WCAG"
"Width x height in CSS pixels, scanned with mobile emulation. Default: 390x844","Larghezza x altezza in pixel CSS, scansionata con emulazione mobile. Predefinito: 390x844"
"Width x height in CSS pixels. Every scan runs one pass per viewport. Default: 1280x1024","Larghezza x altezza in pixel CSS. Ogni scansione esegue un passaggio per viewport. Predefinito: 1280x1024"
