"Action","Azione"
"Newsletter Subscription","Iscrizione alla newsletter"
"Newsletter subscription confirmation","Conferma di sottoscrizione newsletter"
"Newsletter Subscription Form","Newsletter Subscription Form"
"Newsletter Subscription Form Before","Newsletter Subscription Form Before"
"Newsletter subscription success","Sottoscrizione alla Newsletter avvenuta"
"Newsletter Templates","Templates Newsletter"
"Newsletter unsubscription success","Cancellazione dalla Newsletter avvenuta"
"Newsletter Variables","Newsletter Variables"
"New Template","Nuovo Template"
"No problems found.","No problems found."
"No subscribers selected.","No subscribers selected."
"Not Activated","Non attivato"
"No Templates Found","Nessun template trovato"
"Not Sent","Non Inviato"
"Pause","Pausa"
"Paused","Sospeso"
"Please enter a valid email address.","Prego inserisci un indirizzo email valido."
"Please refer to exeption.log","Please refer to exeption.log"
"Please select subscriber(s)","Please select subscriber(s)"
"Preview","Anteprima"
"Preview Template","Anteprima template"
"Processed","Eseguiti"
"Queue Date Start","Data inizio coda"
"Queue Finish","Queue Finish"
"Queue Information","Informazioni sulla coda"
"Queue Newsletter...","Queue Newsletter..."
"Queue Start","Inizio Coda"
"Queue Subject","Soggetto Coda"
"Recipients","Destinatari"
"Reset","Ripristina"
"Resume","Riprendi"
"Return HTML Version","Restituisci la versione HTML"
"Save and Resume","Salva e Ripristina"
"Save As","Salva come"
"Save Newsletter","Salva Newsletter"
"Save Template","Salva Template"
"Segment Name","Nome segmento"
"Selected problems have been deleted.","Selected problems have been deleted."
"Selected problem subscribers have been unsubscribed.","Selected problem subscribers have been unsubscribed."
"Sender","Mittente"
"Sender Email","Email mittente"
"Sender Name","Nome mittente"
"Sender name is required","Sender name is required"
"Sending","Invio in corso"
"Sent","Inviato"
"Sequence Step Number","Sequence Step Number"
"Sign up for our newsletter","Sign up for our newsletter"
"Sign Up for Our Newsletter:","Iscriviti alla nostra Newsletter:"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>."
"Start","Inizia"
"Status","Stato"
"Store","Negozio"
"Store View","Vista Negozio"
"Subject","Oggetto"
"Submit","Invia"
"Subscribe","Iscriviti"
"Subscribed","Sottoscritto"
"Subscriber","Abbonato"
"Subscriber Email","Subscriber Email"
"Subscribers","Iscritti"
"Subscribers From","Iscritti da"
"Subscription Options","Opzioni di iscrizione"
"Success Email Sender","Mitente Email iscrizione riuscita"
"Success Email Template","Template Email iscrizione riuscita"
"Template code is required","Template code is required"
"Template Content","Contenuto Template"
"Template Information","Informazioni Template"
"Template Name","Nome template"
"Template Styles","Stili Template"
"Template Subject","Oggetto Template"
"Template Type","Tipo di template"
"Template type must be numeric","Template type must be numeric"
"Thank you for your subscription.","Grazie per la tua iscrizione."
"The newsletter template has been deleted.","Il template newsletter è stato eliminato."
"There was a problem with the subscription.","There was a problem with the subscription."
"There was a problem with the subscription: %s","There was a problem with the subscription: %s"
"There was a problem with the un-subscription.","There was a problem with the un-subscription."
"The subscription has been removed.","The subscription has been removed."
"The subscription has been saved.","The subscription has been saved."
"This email address is already assigned to another user.","Questo indirizzo email risulta già assegnato ad un altro utente."
"This email address is already confirmed.","This email address is already confirmed."
"This email address is already registered.","This email address is already registered."
"Type","Tipo"
"Unconfirmed","Non confermato"
"Unsubscribe","Annulla Iscrizione"
"Unsubscribed","Iscrizione annullata"
"Unsubscribe Link","Unsubscribe Link"
"Unsubscribe Selected","Annulla l'iscrizione agli utenti selezionati"
"Unsubscription Email Sender","Mittente email cancellazione newsletter"
"Unsubscription Email Template","Template email cancellazione newsletter"
"View Newsletter","Visualizza Newsletter"
"Website","Sito Web"
"You are currently subscribed to our newsletter.","You are currently subscribed to our newsletter."
"You have been unsubscribed.","You have been unsubscribed."
"Your subscription has been confirmed.","La tua iscrizione è stata confermata."
