"(not processed yet)","(non ancora elaborato)"
"EU Directive 2023/2673 (in Germany: &sect;356a BGB) requires B2C shops selling into the EU to provide a revocation button from 19 June 2026. This module provides that channel.","La direttiva UE 2023/2673 (in Germania: &sect;356a BGB) impone ai negozi B2C che vendono nell'UE di fornire un pulsante di revoca a partire dal 19 giugno 2026. Questo modulo fornisce quel canale."
"Further requests are still recorded, but the customer receipt email is suppressed (visible and resendable in the admin grid). Defeats email-bombing of third parties. 0 disables the limit.","Ulteriori richieste sono ancora registrate, ma l'e-mail di ricezione del cliente è soppressa (visibile e resendable nella griglia amministrativa). Sconfiggi i bombardamenti di terze parti. 0 disabilita il limite."
"General","Generale"
"Honeypot Field","Campo Honeypot"
"ID","ID"
"If you do not receive a confirmation email within a few minutes, please contact us at %s and quote your reference number.","Se non ricevi un'email di conferma entro pochi minuti, contattaci all'indirizzo %s e citaci il tuo numero di riferimento."
"I hereby revoke this contract","Con la presente revoca il presente contratto"
"Information Requested","Informazioni Richiesta"
"Internal Note","Nota Interna"
"Invalid decision.","Decisione non valida."
"Invalid form key. Please refresh the page and try again.","Chiave modulo non valida. Si prega di aggiornare la pagina e riprovare."
"IP Address","Indirizzo IP"
"Leave empty to use the General Contact email address.","Lasciare vuoto per utilizzare l'indirizzo email del Contatto Generale."
"Leave empty to use the label configured under Sales > Revocation Button.","Lasciare vuoto per usare l'etichetta configurata sotto Vendite > Pulsante di revoca."
"Leave empty to use the translated default (""Revoke contract"" / ""Vertrag widerrufen"").","Lasciare vuoto per usare il predefinito tradotto (""Revoca contratto"" / ""Vertrag widerrufen"")."
"Link Order","Ordine Link"
"Link to order (increment ID):","Link all'ordine (ID incremento):"
"Link to the contract revocation form (EU Directive 2023/2673). Place it in your footer or anywhere it must stay visible during the withdrawal period.","Link al modulo di revoca del contratto (Direttiva UE 2023/2673), inserirlo nel piè di pagina o ovunque debba rimanere visibile durante il periodo di recesso."
"Locale","Localizzazione"
"Mark as Accepted","Segna come accettato"
"Mark as Rejected","Segna come rifiutato"
"Mark the selected requests as accepted? The matched orders are not modified.","Contrassegnare le richieste selezionate come accettate? Gli ordini corrispondenti non vengono modificati."
"Mark the selected requests as rejected? The matched orders are not modified.","Contrassegnare le richieste selezionate come rifiutate? Gli ordini corrispondenti non vengono modificati."
"Matched Order","Ordine Corrispondente"
"Merchant Notification Email","Email Notifica Commerciante"
"Merchant Notifications per Store per Hour","Notifiche del commerciante per ogni negozio per ora"
"Merchant Notification Template","Modello Di Notifica Commerciante"
"Minimum Submit Time (Seconds)","Tempo Minimo Di Invio (Secondi)"
"Must only acknowledge receipt of the declaration, never acceptance.","Deve solo accusare ricevuta della dichiarazione, mai accettata."
"Name","Nome"
"No","No"
"No (self-asserted via the public form)","No (auto-asserito attraverso il formulario pubblico)"
"No order could be matched to this request. The customer typed ""%s"".","Nessun ordine può essere abbinato a questa richiesta. Il cliente ha digitato ""%s""."
"No order found for increment ID ""%s"".","Nessun ordine trovato per l'ID di incremento ""%s""."
"Only invisible background measures are used (honeypot, submit timing, invisible captcha, rate limits).<br>Manual CAPTCHAs and email verification links are legally inadmissible for the revocation form. Do not tune these limits so strictly that legitimate customers are blocked.","Sono utilizzate solo misure di sfondo invisibili (honeypot, inviare tempi, captcha invisibile, limiti di velocità). Il modulo di revoca è giuridicamente inammissibile per il manuale<br>CAPTCHA e i link di verifica via e-mail. Non sintonizzare questi limiti in modo rigoroso che i clienti legittimi sono bloccati."
"Order","Ordine"
"Order Number","Numero D'Ordine"
"Order Reference","Riferimento Ordine"
"Please enter a valid email address.","Inserisci un indirizzo email valido."
"Please fill in your name, your order reference and your email address.","Inserisci il tuo nome, il tuo riferimento all'ordine e il tuo indirizzo email."
"Please select request(s).","Seleziona richiesta/e."
"Processed At","Elaborato Il"
"Processed Status","Stato Elaborato"
"Processing","Elaborazione"
"Process Requests","Richieste Di Processo"
"Reason","Motivo"
"Reason (optional)","Motivo (facoltativo)"
"Receipt Emails per Recipient per Day","Email di ricevimento per destinatario al giorno"
"Received","Ricevuto"
"Received at","Ricevuto il"
"Received at (UTC)","Ricevuto il (UTC)"
"Reference number","Numero di riferimento"
"Rejected","Respinto"
"Reject Revocation","Rifiuta Revoca"
"Reject this revocation? This records the decision and adds a note to the matched order. No order status changes automatically.","Rifiuta questa revoca? Questo registra la decisione e aggiunge una nota all'ordine corrispondente. Nessuno stato ordine cambia automaticamente."
"Request #%s","Richiesta #%s"
"Resend Receipt Email","Reinvia Email Ricevuta"
"Resend the receipt email to %s?","Inviare nuovamente l'email di ricezione a %s?"
"Revocation Button","Pulsante Di Revoca"
"Revocation Form","Modulo Di Revoca"
"Revocation Merchant Notification","Notifica Commerciante Revoca"
"Revocation Receipt Confirmation","Conferma Ricevuta Revoca"
"Revocation received","Revoca ricevuta"
"Revocation Request","Richiesta Di Revoca"
"Revocation Request #%s","Richiesta Di Revoca #%s"
"Revocation request #%s accepted.","Richiesta di revoca #%s accettata."
"Revocation request #%s rejected.","Richiesta di revoca #%s rifiutata."
"Revocation Requests","Richieste Di Revoca"
"Revocation Success","Revoca Riuscita"
"Revoke contract","Revoca contratto"
"Revoke this contract","Revoca questo contratto"
"Sales","Vendite"
"Save Note","Salva Nota"
"Store View","Vista Negozio"
"Submissions faster than this after page render are silently dropped as bot traffic. 0 disables the check.","Gli invii più veloci di questo dopo che il rendering della pagina viene silenziosamente abbandonato come traffico del bot. 0 disabilita il controllo."
"Submissions per IP per Hour","Invii per IP per ora"
"The customer receipt email was suppressed (%s) at %s and has not been delivered. Use ""Resend Receipt Email"" to deliver it after triage.","L'email di ricezione del cliente è stata soppressa (%s) in %s e non è stata consegnata. Usa ""Invia nuovamente email di ricezione"" per consegnarla dopo la prova."
"The receipt email could not be sent. Please check the email configuration.","Impossibile inviare l'email di ricevuta. Si prega di controllare la configurazione dell'email."
"The receipt email has been resent to %s.","L'email di ricezione è stata inviata a %s."
"The request has been linked to order %s.","La richiesta è stata collegata all'ordine %s."
"The revocation has been marked as accepted.","La revoca è stata contrassegnata come accettata."
"The revocation has been marked as rejected.","La revoca è stata contrassegnata come rifiutata."
"The revocation request has been saved.","La richiesta di revoca è stata salvata."
"This revocation request no longer exists.","Questa richiesta di revoca non esiste più."
"This revocation was accepted. To refund the customer, %s for order %s.","Questa revoca è stata accettata. Per rimborsare il cliente, %s per l'ordine %s."
"Total of %d request(s) were updated.","Totale delle richieste di %d sono state aggiornate."
"Used to gate the my-account entry point. The statutory period is 14 days.","Utilizzato per cancello il punto di ingresso del mio-conto. Il periodo legale è di 14 giorni."
"User Agent","User Agent"
"Verified","Verificato"
"View Request","Visualizza Richiesta"
"View Requests","Visualizza Richieste"
"We have received your revocation declaration. Please note that this confirms receipt only; the validity of the revocation will be assessed and we will contact you separately.","Abbiamo ricevuto la tua dichiarazione di revoca. Si prega di notare che questa conferma solo ricevuta; la validità della revoca sarà valutata e ti contatteremo separatamente."
"Yes","Sì"
"Yes (submitted from an authenticated customer session)","Sì (inviato da una sessione cliente autenticata)"
"You can revoke your contract within the statutory withdrawal period using this form.<br>After submitting, you will receive a confirmation that your declaration has been received.","È possibile revocare il contratto entro il periodo di recesso legale utilizzando il presente modulo.<br>Dopo la presentazione, riceverai una conferma che la tua dichiarazione è stata ricevuta."
"Your request could not be processed right now. Please try again later or contact us directly.","La tua richiesta non può essere elaborata in questo momento. Per favore riprova più tardi o contattaci direttamente."
"Your revocation has been received","La revoca è stata ricevuta"
