"# of Use","# di Utilizzo"
"%1$s incl tax.","%1$s tasse incluse."
"%s-%s of %s","%s-%s di %s"
"%s and above","%s e oltre"
"%s Item(s)","%s Articolo(i)"
"Create new product","Crea nuovo prodotto"
"Create Permanent Redirect for old URL","Crea reindirizzamento permanente per il vecchio URL"
"Create Permanent Redirect for URLs if URL Key Changed","Crea un reindirizzamento permanente per gli URL se la chiave URL è cambiata"
"Create Product Settings","Crea Impostazioni Prodotto"
"Create Simple Associated Product","Crea Un Prodotto Associato Semplice"
"Cross-sells","Cross-sells"
"Custom Design","Design Personalizzato"
"Customer Group","Gruppo Clienti"
"Customers Reviews","Recensioni Dei Clienti"
"Customers Tagged Product","Clienti Etichettati Prodotto"
"Custom Options","Opzioni Personalizzate"
"Custom options","Opzioni personalizzate"
"Data Type for Saving in Database","Tipo di dati per il salvataggio nel database"
"Date & Time Custom Options","Opzioni Personalizzate Data E Ora"
"Date Subscribed","Data Iscritto"
"Datetime","DataOra"
"Decimal","Decimale"
"Declare attribute value saving scope","Dichiarare campo di salvataggio valore attributo"
"Default ""What's This"" Text Message","Messaggio Di Testo Predefinito ""Cos'È"""
"Default Popup Text Message","Messaggio Di Testo Popup Predefinito"
"Default Price","Prezzo Predefinito"
"Default Price Navigation Step","Passo Di Navigazione Prezzo Predefinito"
"Default Qty","Default Qty"
"Default Values","Valori Predefiniti"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Definisce l'ambito della valuta di base (""Configurazione valuta"" > ""Opzioni valuta"" > ""Valuta di base"")."
"Delete","Elimina"
"Delete Attribute","Elimina Attributo"
"Delete attribute","Elimina attributo"
"Delete Attribute Set","Elimina Set Attributi"
"Delete Category","Elimina Categoria"
"Delete category","Elimina categoria"
"Delete File","Elimina File"
"Delete Group Price","Elimina Prezzo Gruppo"
"Delete product","Elimina prodotto"
"Delete Row","Elimina Riga"
"Delete Search","Elimina Ricerca"
"Delete Tier","Elimina Livello"
"Depends on design theme","Dipende dal tema della progettazione"
"Description","Descrizione"
"Design","Design"
"Details","Dettagli"
"Disabled","Disabilitato"
"Disallowed file format.","Formato file non consentito."
"Disallowed file type.","Tipo di file non consentito."
"Display Actual Price","Visualizza Prezzo Attuale"
"Display in Suggested Terms","Visualizza nei Termini suggeriti"
"Display Page Control","Mostra Controllo Pagina"
"Display Price Interval as One Price","Mostra l'intervallo di prezzo come un prezzo"
"Display Product Count","Visualizza Conteggio Prodotti"
"Display Type","Tipo Visualizzazione"
"Downloadable Information","Informazioni Scaricabili"
"Do you want to duplicate the product images as well?","Vuoi duplicare anche le immagini del prodotto?"
"Do you want to duplicate the product images as well?","Vuoi duplicare anche le immagini del prodotto?"
"Duplicate","Duplicate"
"Duplicate Product","Duplica Prodotto"
"Duplicate website, country and state tax found.","Trovato sito web duplicato, paese e imposta di stato."
"Duplicate website group price customer group.","Duplica gruppo di prezzi gruppo sito web."
"Duplicate website tier price customer group and quantity.","Duplica il gruppo di prezzi di livello del sito web e la quantità."
"Dynamic category processed successfully.","Categoria dinamica elaborata con successo."
"Dynamic Category Rules","Regole Categoria Dinamica"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Ad esempio {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Le direttive dinamiche analizzano le prestazioni del catalogo."
"each","ciascuno"
"Edit","Modifica"
"Edit Attribute Set '%s'","Modifica Set Attributi '%s'"
"Edit Product Attribute","Modifica Attributo Prodotto"
"Edit Product Attribute ""%s""","Modifica Attributo Prodotto ""%s"""
"Edit Search","Modifica Ricerca"
"Edit Search '%s'","Modifica Ricerca '%s'"
"Edit Set Name","Modifica Nome Set"
"Email","Email"
"Empty","Vuoto"
"Enable Add to cart Button in product listings","Abilita il pulsante Aggiungi al carrello negli elenchi dei prodotti"
"Enabled","Abilitato"
"Enable MAP","Abilita MAP"
"Enable Qty Increments","Abilita Incrementi Qtà"
"Enable WYSIWYG","Abilita WYSIWYG"
"Error during retrieval of option value: %s","Errore durante il recupero del valore dell'opzione: %s"
"Error loading children: %s","Errore nel caricare i figli: %s"
"ex. http://domain.com","es. http://domain.com"
"Exclude","Escludi"
"Expand All","Espandi Tutto"
"Failed","Fallito"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Copia del file %snon riuscita. Eliminare i media con immagini non esistenti e riprovare."
"Failed to move file: %s","Spostamento del file non riuscito: %s"
"Field is not complete","Il campo non è completo"
"File","File"
"File options format is not valid.","Il formato delle opzioni di file non è valido."
"File upload failed","Caricamento file non riuscito"
"File upload failed. Please contact the store administrator.","Caricamento file non riuscito. Contatta l'amministratore del negozio."
"File upload failed with error code: %s","Caricamento file non riuscito con codice di errore: %s"
"Filter","Filtro"
"Filterable (no results)","Filtrabile (nessun risultato)"
"Filterable (with results)","Filtrabile (con risultati)"
"Filter model name must be declared.","Il nome del modello del filtro deve essere dichiarato."
"Filter must be an object. Please set correct filter.","Il filtro deve essere un oggetto. Imposta il filtro corretto."
"Filters","Filtri"
"First Name","Nome"
"Fixed","Fisso"
"For internal use.","Per uso interno."
"For the last time placed.","Per l'ultima volta piazzato."
"From","Da"
"Frontend","Frontend"
"Frontend Properties","Proprietà Frontend"
"Gallery","Galleria"
"General Information","Informazioni Generali"
"Get full information about attribute with list of options","Ottieni informazioni complete sull'attributo con l'elenco delle opzioni"
"Get full information about custom option in product","Ottieni informazioni complete sull'opzione personalizzata nel prodotto"
"Get list of available custom option types","Ottieni l'elenco dei tipi di opzioni personalizzate disponibili"
"Get list of non-default attributes by product type and attributes set","Ottieni l'elenco degli attributi non predefiniti per tipo di prodotto e gli attributi impostati"
"Get list of possible attribute types","Ottieni l'elenco dei possibili tipi di attributi"
"Get special price","Ottieni un prezzo speciale"
"Global","Globale"
"Globally Editable","Modificabile Globalmente"
"Go to Home Page","Vai alla Home Page"
"Grid","Griglia"
"Group add","Aggiungi gruppo"
"Grouped","Raggruppato"
"Group remove","Rimuovi gruppo"
"Groups","Gruppi"
"Home","Home"
"HTML tags are not allowed in SKU attribute.","I tag HTML non sono ammessi nell'attributo SKU."
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Se vuoto, verrà utilizzato il nome della categoria"
"If empty, the Product Name will be used","Se vuoto, verrà utilizzato il nome del prodotto"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Se non si specifica un valore di opzione per una specifica vista negozio, verrà utilizzato il valore predefinito (Admin)."
"Image","Immagine"
"Image content is not valid base64 data.","Il contenuto dell'immagine non è un dato base64 valido."
"Image does not exist.","L'immagine non esiste."
"Image type and information need to be specified for each store view.","È necessario specificare il tipo di immagine e le informazioni per ogni vista negozio."
"In Cart","Nel Carrello"
"Incl. Tax","Tasse Incl."
"Indexed category/products association","Associazione di categoria/prodotti indicizzati"
"Index product and categories URL rewrites","Indice prodotto e categorie URL riscrive"
"Index product attributes for layered navigation building","Attributi di prodotto indicizzati per la costruzione di navigazione a strati"
"Index product prices","Prezzi indicizzati del prodotto"
"Info","Informazioni"
"Info Column Options Wrapper","Info Colonna Opzioni Wrapper"
"Input Type","Input Type"
"In Stock","In Stock"
"In stock","In magazzino"
"Integer","Intero"
"Internal Error","Errore Interno"
"Interval Division Limit","Limite Divisione Intervallo"
"Invalid attribute %s","Attributo %s non valido"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Opzione attributo non valida specificata per l'attributo %s (%s), saltando il record."
"Invalid attribute set specified, skipping the record.","Set di attributi specificato non valido, ignorando il record."
"Invalid block: %s.","Blocco non valido: %s."
"Invalid category.","Categoria non valida."
"Invalid category IDs.","ID categoria non validi."
"Invalid custom option(s).","Opzioni personalizzate non valide."
"Invalid image file type.","Tipo di file immagine non valido."
"Invalid image type.","Tipo immagine non valido."
"Invalid option ID specified for %s (%s), skipping the record.","ID opzione non valido specificato per %s (%s), saltando il record."
"Invalid product collection resource.","Risorsa raccolta prodotti non valida."
"Invalid product type specified, skipping the record.","Tipo di prodotto specificato non valido, saltando il record."
"Invalid store specified","Negozio specificato non valido"
"Invalid store specified, skipping the record.","Negozio specificato non valido, saltando il record."
"Invalid Tier Prices","Prezzi Di Livello Non Valido"
"Invalid tier prices. The product is not associated to the requested website.","Prezzi di livello non validi. Il prodotto non è associato al sito web richiesto."
"Inventory","Inventario"
"Is Default","È Predefinito"
"Is Required","È Obbligatorio"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Gli elementi che non si desidera mostrare nel catalogo o i risultati della ricerca dovrebbero avere stato 'Disabilitato' nel negozio desiderato."
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Gli elementi che non si desidera mostrare nel catalogo o i risultati della ricerca dovrebbero avere stato 'Disabilitato' nel negozio desiderato."
"Keep Frame","Mantieni Cornice"
"Label","Etichetta"
"Last Name","Cognome"
"Last Notification","Ultima Notifica"
"Layered Navigation","Navigazione A Livelli"
"Learn More","Scopri Di Più"
"leave blank if its not an image","lascia vuoto se non è un'immagine"
"Line %d, Email: %s","Line %d, Email: %s"
"Line %d, SKU: %s","Linea %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Link (Related, Up sell, Cross sell)"
"Link product does not exist.","Il prodotto di collegamento non esiste."
"Link to a Specified Category","Link a una categoria specificata"
"Link to a Specified Product","Link a un prodotto specificato"
"List","Elenco"
"List Mode","Modalità Elenco"
"List of Products that are set as New","Elenco di prodotti che sono impostati come nuovi"
"List of types","Elenco dei tipi"
"Manage Attributes","Gestisci Attributi"
"Manage Attribute Sets","Gestisci Set Di Attributi"
"Manage Catalog Categories","Gestisci Categorie Catalogo"
"Manage Categories","Gestisci Categorie"
"Manage Label / Options","Gestisci Etichetta / Opzioni"
"Manage Options (values of your attribute)","Gestisci opzioni (valori del tuo attributo)"
"Manage Product Attributes","Gestisci Attributi Prodotto"
"Manage Products","Gestisci Prodotti"
"Manage Product Sets","Gestisci Set Prodotti"
"Manage Stock","Gestisci Stock"
"Manage Titles (Size, Color, etc.)","Gestisci titoli (dimensione, colore, ecc.)"
"Max Characters","Caratteri Massimi"
"Maximal Depth","Profondità Massima"
"Maximum allowed image size for '%s' is %sx%s px.","La dimensione massima dell'immagine consentita per '%s' è %sx%s px."
"Maximum file size","Dimensione massima del file"
"Maximum image height","Altezza massima dell'immagine"
"Maximum Image Size","Dimensione Massima Immagine"
"Maximum image width","Larghezza massima immagine"
"Maximum number of characters:","Numero massimo di caratteri:"
"Maximum Number of Price Intervals","Numero massimo di intervalli di prezzo"
"Maximum number of price intervals is 100","Il numero massimo di intervalli di prezzo è 100"
"Maximum Qty Allowed in Shopping Cart","Qtà massima consentita nel carrello"
"Maximum resolution for upload image","Risoluzione massima per caricare l'immagine"
"Maximum width and height dimension for upload image is %s.","La dimensione massima di larghezza e altezza per il caricamento dell'immagine è %s."
"Maximum width and height resolutions for upload image","Massima larghezza e altezza risoluzioni per caricare l'immagine"
"Maximum width base product image will be scaled down to in pixels","L'immagine di base della larghezza massima del prodotto sarà ridimensionata in pixel"
"Maximum width small product image will be scaled down to in pixels","Larghezza massima immagine prodotto piccola verrà ridimensionata in pixel"
"Media Image","Immagine Media"
"Middle Name","Secondo Nome"
"Minimum Advertised Price","Prezzo Minimo Pubblicizzato"
"Minimum Lines per Page","Righe minime per pagina"
"Minimum Qty Allowed in Shopping Cart","Qtà minima consentita nel carrello"
"Minimum Qty for Item's Status to be Out of Stock","Qtà minima per lo stato dell'oggetto per essere esaurito"
"Missing SKU, skipping the record.","SKU mancante, saltando il record."
"Move","Sposta"
"Move category in tree","Sposta categoria nell'albero"
"Multi update product","Prodotto multi-aggiornamento"
"Must be in the allowed values list.","Deve essere nella lista dei valori consentiti."
"My Account","Il Mio Account"
"N/A","N/A"
"Name","Nome"
"Name in %s","Nome in %s"
"New Product","Nuovo Prodotto"
"New Product Attribute","Nuovo Attributo Prodotto"
"New Products","Nuovi Prodotti"
"New products","Nuovi prodotti"
"New Products Grid Template","Nuovo Modello Griglia Prodotti"
"New Products Images and Names Template","Nuovo modello di immagini e nomi di prodotti"
"New Products Images Only Template","Template Solo Immagini Nuovi Prodotti"
"New Products List Template","Nuovo Template Elenco Prodotti"
"New Products Names Only Template","Template Solo Nomi Nuovi Prodotti"
"New Root Category","Nuova Categoria Root"
"New Search","Nuova Ricerca"
"New Subcategory","Nuova Sottocategoria"
"Next","Successivo"
"No","No"
"No, without images","No, senza immagini"
"No image","Nessuna immagine"
"No layout updates","Nessun aggiornamento del layout"
"None","Nessuno"
"No options of this product are available.","Non sono disponibili opzioni per questo prodotto."
"No product collections found.","Nessuna collezione di prodotti trovata."
"Notify for Quantity Below","Notifica per quantità sottostante"
"Notify Low Stock RSS","Notifica Rss In Basso Stock"
"Not Individually","Non Individualmente"
"Number of Products per Page","Numero di prodotti per pagina"
"Number of Products to Display","Numero di prodotti da visualizzare"
"Number of results","Numero di risultati"
"Number of results (For the last time placed)","Numero di risultati (l'ultima volta piazzata)"
"Number of Uses","Numero di utilizzi"
"On Gesture","On Gesture"
"Option:","Opzione:"
"Options","Opzioni"
"Options Control","Controllo Delle Opzioni"
"Options is required","Le opzioni sono richieste"
"Option validation failed to add product to cart.","La convalida dell'opzione non è riuscita ad aggiungere il prodotto al carrello."
"Option values","Valori di opzione"
"Out of Stock","Non disponibile"
"Out of stock","Non disponibile"
"Pad resized images to exact dimensions with background color","Piazzola ridimensionato le immagini alle dimensioni esatte con colore di sfondo"
"Page Title Separator","Separatore Titolo Pagina"
"Parent category is equal to child category.","La categoria padre è uguale alla categoria figlia."
"Parent category was not found.","Categoria padre non trovata."
"Parent Products","Prodotti Genitori"
"Pending","In Attesa"
"Pending Reviews RSS","Recensioni In Sospeso RSS"
"Percentage","Percentuale"
"per page","per pagina"
"Please add rows to option.","Aggiungi righe all'opzione."
"Please click on the Close Window button if it is not closed automatically.","Fare clic sul pulsante Chiudi finestra se non è chiusa automaticamente."
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Si prega di aggiornare ""Catalog URL Rewrites"" e ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>"
"Please select a file for the required option ""%s"".","Si prega di selezionare un file per l'opzione richiesta ""%s""."
"Please select a parent category before adding a new one.","Si prega di selezionare una categoria genitore prima di aggiungerne una nuova."
"Please select a static block ...","Seleziona un blocco statico ..."
"Please select items.","Seleziona gli elementi."
"Please select one or more attributes.","Seleziona uno o più attributi."
"Please select product(s).","Seleziona prodotto/i."
"Please select products for attributes update","Seleziona i prodotti per l'aggiornamento degli attributi"
"Please specify date required option <em>%s</em>.","Si prega di specificare la data richiesta opzione <em>%s</em>."
"Please specify the number of products, that will not be divided into subintervals.","Specifica il numero di prodotti, che non saranno divisi in intervalli secondari."
"Please specify the product's option(s).","Specifica le opzioni del prodotto."
"Please specify the product's required option(s).","Specifica le opzioni richieste del prodotto."
"Please specify the product required option(s)","Specifica le opzioni richieste per il prodotto"
"Please specify the product required option <em>%s</em>.","Si prega di specificare l'opzione del prodotto richiesta <em>%s</em>."
"Please specify the quantity of product(s).","Specifica la quantità di prodotto/i."
