"%d country(s) were skipped because they no longer exist.","%d country(s) were skipped because they no longer exist."
"%d region(s) were skipped because they have existing region names.","%d region(s) were skipped because they have existing region names."
"-- Please select --","-- Por favor selecione --"
"The maximum allowed API amount of monthly API requests has been reached.","O máximo permitido quantidade de solicitações mensais da API foi atingido."
"The region has been deleted.","A região foi excluída."
"The region has been saved.","A região foi salva."
"This country no longer exists.","Este país não existe mais."
"This region no longer exists.","Esta região não existe mais."
"Three character ISO code (e.g. USA, GBR, DEU)","Código ISO de três caracteres (por exemplo, USA, GBR, DEU)"
"Top Countries","Principais países"
"Two character country code (e.g. US, GB, DE)","Código de país de dois caracteres (por exemplo, EUA, GB, DE)"
"Two character ISO code (usually same as Country ID)","Código ISO de dois caracteres (normalmente igual ao ID do País)"
"Unable to calculate rate for %s to %s.","Não é possível calcular a taxa de %s para %s."
"Unable to initialize the import model.","Não foi possível inicializar o modelo de importação."
"Unable to retrieve rate for USD to %s.","Não foi possível recuperar a taxa de USD para %s."
"Undefined rate from ""%s-%s"".","Taxa indefinida de ""%s-%s""."
"Update existing regions and localized names","Atualizar regiões e nomes localizados existentes"
"WARNING:","ATENÇÃO:"
"Your Currency","Sua Moeda"
"Your Currency:","Sua Moeda:"
"Your current currency is: %s","Sua moeda atual é: %s"
