"%s items queued for embedding.","%s itens na fila para incorporação."
"Action","Acão"
"In Tokens","Em Tokens"
"Log Requests","Solicitações de registro"
"Max seconds a task can run before being marked as failed.","Máximo de segundos que uma tarefa pode ser executada antes de ser marcada como falhou."
"Max Tasks Per Cron Run","Máximo de tarefas por execução Cron"
"Messages","mensagens"
"Mistral Embed Model","Modelo de Incorporação Mistral"
"Model","Modelo"
"Must be installed locally via `ollama pull`.","Deve ser instalado localmente através do `ollama pull`."
"No items were queued. Make sure products/categories have text content.","Nenhum item foi colocado na fila. Verifique se os produtos / categorias têm conteúdo de texto."
"Ollama Embed Model","Modelo de Incorporação Ollama"
"One regex per line. Matching inputs will be rejected.","Uma expressão regular por linha. As entradas correspondentes serão rejeitadas."
"OpenAI-compatible endpoint, e.g. https://api.example.com/v1","Ponto de acesso compatível com OpenAI, por exemplo, https://api.example.com/v1"
"OpenAI Embed Model","Modelo de Incorporação OpenAI"
"OpenAI Image Model","Modelo de imagem OpenAI"
"Output Tokens","Tokens de saída"
"Out Tokens","Tokens de saída"
"Pending","PENDENTE"
"Pending Embed Tasks","Tarefas Pendentes de Incorporação"
"PII Detection","Detecção PII"
"Placeholder URL Pattern","Espaço reservado padrão de URL"
"Platform","Plataforma"
"Platform / Model","Plataforma / Modelo"
"Priority","Prioridade"
"Processing","Processando"
"Products (%s enabled)","Produtos (%s habilitado)"
"Prompt Injection Detection","Detecção de Injeção de Prompt"
"Queue","Fila"
"Queue an embedding task whenever a category is saved.","Fila uma tarefa de incorporação sempre que uma categoria é salva."
"Queue an embedding task whenever a product is saved.","Enfileira uma tarefa de incorporação sempre que um produto é salvo."
"Queue Cron Schedule","Cronograma Cron da Fila"
"Queued","Enfileirado"
"Queue for Embedding","Fila para Embutir"
"Queue Status","Status da Fila"
"Refresh Models","Atualizar Modelos"
"Response","Resposta"
"Retries","Tentativas"
"Return a placeholder image URL when image generation is disabled or fails.","Retorna uma URL de imagem de espaço reservado quando a geração de imagens estiver desativada ou falhar."
"Safety & Guardrails","Segurança & Guardrails"
"Sanitize HTML Output","Sanitizar saída HTML"
"Scan user inputs for prompt injection attempts before sending to AI.","Procurar entradas de usuário por tentativas de injeção prontas antes de enviar para I.A."
"Status","SItuação"
"Store ID","ID da loja"
"Strip dangerous tags/attributes from AI responses used as HTML.","Tirar etiquetas/atributos perigosos das respostas IA usadas como HTML."
"Target Dimensions","Target Dimensions"
"Task #%s","Tarefa #%s"
"Task Details","Detalhes da Tarefa"
"Task History","Histórico de tarefas"
"Task not found.","Tarefa não encontrada"
"Task Timeout (seconds)","Tempo limite da tarefa (segundos)"
"The async queue is disabled. Enable it under System &gt; AI &gt; Queue Settings or tasks will never be processed.","A fila de async está desabilitada. Habilite-o em sistema &gt; AI &gt; Configurações de fila ou tarefas nunca serão processadas."
"This queues %s products and %s categories (%s tasks total) for background processing.","Esta fila de produtos %s e categorias %s ( Total de tarefas%s ) para processamento em segundo plano."
"This will queue all selected items for embedding. Continue?","Isso irá enfileirar todos os itens selecionados para incorporação. Continuar?"
"Type","tipo"
"Usage","Utilização"
"Use Placeholder Fallback","Usar Placeholder de Fallback"
"Use {w} and {h} tokens for width/height. e.g. https://placehold.co/{w}x{h} or https://picsum.photos/{w}/{h}","Use {w} e {h} tokens para largura/altura. por exemplo, https://placehold.co/{w}x{h} ou https://picsum.photos/{w}/{h}"
"Vector size. 0 = model default. OpenAI and Google support native truncation; others are truncated after retrieval.","Tamanho do vetor. 0 = padrão modelo. OpenAI e Google suportam truncamentos nativos; outros são truncados após a recuperação."
"Vector with %d dimensions","Vetor com dimensões %d"
"View","Visualizar"
"Warning: %d embedding tasks are already pending. Running this again will add duplicate tasks.","Aviso: %d as tarefas de incorporação já estão pendentes. Executar novamente adicionará tarefas duplicadas."
"— save the API key to load available models —","- salve a chave API para carregar modelos disponíveis -"
