"%d product(s) were updated","%d produto(s) foram atualizados"
"%s (Default Template from Locale)","%s (Modelo Padrão do Local)"
"%s cache type(s) disabled.","Tipo(s) de cache %s desativado."
"%s cache type(s) enabled.","Tipo(s) de cache %s habilitado."
"%s cache type(s) refreshed.","Tipo de cache %s atualizado."
"Authorize application","Autorizar aplicativo"
"Authorized OAuth Tokens","Tokens OAuth autorizados"
"Automatic (equalize price ranges)","Automático (equalizar intervalos de preços)"
"Automatic (equalize product counts)","Automático (equalizar contagem de produtos)"
"Average","Média"
"Average Order Amount","Valor médio do pedido"
"Back","Anterior"
"Backend Locale","Idioma do Backend"
"Base currency","Moeda Padrão"
"Bcc","CCO"
"Bestsellers","Bestsellers"
"Billing Address","Endereço de Cobrança"
"Billing Address: ","Endereço de cobrança: "
"Billing Agreement","Acordo de faturamento"
"Billing Agreements","Acordos de Faturamento"
"BINARY","BINÁRIO"
"Block Details","Detalhes de Bloco"
"Block has been deleted.","O bloco foi excluído."
"Block Information","Bloco de Informação"
"Block Name","Nome do Bloco"
"Block Name is disallowed.","Nome do Bloco é proibido."
"Block Name is incorrect.","Nome do bloco incorreto."
"Block Name is required field.","Nome do Bloco é campo obrigatório."
"Blocks","blocos"
"Both (without and with tax)","Ambos (sem e com imposto)"
"Browse Files...","Procurar Arquivos..."
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Pacote com preços dinâmicos não pode incluir opções personalizadas definidas. Opções não serão salvas."
"By Email","Por E-mail"
"By IP","Por IP"
"By IP and Email","Por IP e E-mail"
"Cache Control","Controle de Cache"
"Cache Control (beta)","Controle de Cache (beta)"
"Cache Management","Gerenciamento de cache"
"Cache Type","Cache Type"
"Cancel","cancelar"
"Cannot add new comment.","Não é possível adicionar novos comentários."
"Cannot add tracking number.","Não é possível adicionar o número de rastreamento."
"Cannot create an invoice without products.","Não é possível criar uma fatura sem produtos."
"Cannot create credit memo for the order.","Não é possível criar nota de crédito para o pedido."
"Cannot delete the design change.","Não foi possível excluir a alteração de design."
"Cannot delete tracking number.","Não é possível excluir o número de rastreamento."
"Cannot do shipment for the order.","Não é possível fazer o envio do pedido."
"Cannot do shipment for the order separately from invoice.","Não é possível enviar o pedido separadamente da fatura."
"Cannot initialize shipment for adding tracking number.","Não é possível iniciar a postagem para adicionar o número de rastreamento."
"Cannot initialize shipment for delete tracking number.","Não é possível iniciar a postagem para excluir o número de rastreamento."
"Cannot load track with retrieving identifier.","Não é possível carregar a faixa com o identificador de recuperação."
"Cannot retrieve tracking number detail.","Não é possível recuperar detalhes de número de rastreamento."
"Cannot save shipment.","Não foi possível salvar a expedição."
"Cannot save the credit memo.","Não foi possível salvar nota de crédito."
"Cannot send shipment information.","Não é possível enviar informações de entrega."
"Cannot update item quantity.","Não é possível atualizar quantidade de item."
"Cannot update the item's quantity.","Não é possível atualizar a quantidade do item."
"Card Verification Number","Numero do Cartão de Verificação"
"Catalog","Catalogo"
"Catalog Price Rules","Catálogo de Regras"
"Catalog Rewrites","Reescrita de Catálogo"
"Categories","categorias"
"Category","categoria"
"Category:","Categoria:"
"Change Password","Mudar a senha"
"Chart is disabled. If you want to enable chart, click <a href=""%s"">here</a>.","Gráfico está desabilitado. Se quiser habilitar o gráfico, clique <a href=""%s"">aqui</a>."
"Checkbox","Checkbox"
"Child Transactions","Transacções filhas"
"Choose an attribute","Escolha um atributo"
"Choose Store View:","Escolher Visão de Loja:"
"Chosen category does not associated with any website, so url rewrite is not possible.","A categoria escolhida não está associada a nenhum site, por isso a reescrita de url não é possível."
"Chosen product does not associated with any website, so url rewrite is not possible.","O produto escolhido não está associado a nenhum site, por isso a reescrita de url não é possível."
"Clear","Limpar"
"Close","FECHAR"
"close","Fechar"
"CMS","SGC"
"Code","Código"
"Color scheme","Esquema de cores"
"Color scheme: dark","Esquema de cores: escuro"
"Color scheme: follow system","Esquema de cores: seguir sistema"
"Color scheme: light","Esquema de cores: claro"
"Comment text field cannot be empty.","Campo de texto de comentário não pode ficar vazio."
"Compiled observers, cron jobs, routes, and API permissions.","Observadores compilados, trabalhos cron, rotas e permissões de API."
"Config form fieldset clone model required to be able to clone fields","Configuração do modelo clone de campos de formulário é obrigatório para que possa ser feito clone dos campos"
"Configuration","Configuração"
"Confirmation Of Authorization","Confirmação de Autorização"
"Confirmed email:","E-mail confirmado:"
"Confirm New Password","Confirme a Nova Senha"
"Confirm token authorization for admin","Confirmar token de autorização para administrador"
"Confirm token authorization Pop Up for admin","Popup Confirmar token de autorização para administrador"
"Continue","Continuar"
"Convert to Plain Text","Converter para texto sem formatação"
"Country","País/região"
"Country:","País:"
"Coupon Discount (Formatted Text)","Desconto de Cupom (Texto Formatado)"
"Coupon Discount Amount (Raw Number)","Valor do desconto do cupom (número bruto)"
"Coupons","Cupons"
"Create","Crio"
"Created At","Criado em"
"Create DB Backup","Criar Backup BD"
"Create URL Rewrite:","Create URL Rewrite:"
"Credit Card %s","Cartão de Crédito %s"
"Credit Card Number","Número do cartão de crédito"
"Credit Card Type","Tipo de Cartão Crédito"
"Credit memo #%s comment added","Memorando de crédito #%s comentário adicionado"
"Credit memo #%s created","Memorando de crédito #%s criado"
"Credit memo's total must be positive.","O total do memorando de crédito deve ser positivo."
"Credit Memo History","Histórico de memorando de crédito"
"Credit Memos","Memorandos de Crédito"
"Credit Memo Totals","Total de Reembolso"
"CRITICAL","CRITICAL"
"Critical","Crítica"
"critical","crítico"
"CSV","Csv"
"CSV / Tab separated","CSV / Separado por Aba"
"Currency","moeda"
"Currency ""%s"" is used as %s in %s.","Moeda ""%s"" é usado como %s em %s."
"Currency doesn't exist.","Moeda não existe."
"Currency Information","Informação de moeda"
"Current Admin Password","Senha atual do Admin"
"Current Configuration Scope:","Configuração de Escopo Atual:"
"Current Month","Mês Atual"
"Current password field cannot be empty.","Campo de senha atual não pode estar vazio."
"Custom","Personalizado"
"Customer","Cliente"
"Customer email address changed from %s to %s by %s.","E-mail do cliente alterado de %s para %s por %s."
"Customer Group:","Grupo de clientes:"
"Customer Groups","Grupos de Clientes"
"Customer Name","Nome do cliente"
"Customer Reviews","Avaliações de Clientes"
"Customers","clientes"
"Customers by Number of Orders","Clientes por Número de Pedidos"
"Customers by Orders Total","Clientes por Total de Pedidos"
"Customer Shopping Carts","Carrinhos de Compras"
"Customer Since:","Cliente Desde:"
"Customer Tax Classes","Classes de Impostos do Cliente"
"Customer with the same email already exists.","Já existe um cliente com o mesmo e-mail."
"Custom Symbol","Símbolo personalizado"
"Custom Variable ""%s""","Variável Personalizada ""%s"""
"Custom Variables","Variáveis Personalizadas"
"Dashboard","Painel"
"Database","Banco"
"Dataflow - Advanced Profiles","Dataflow - Perfis avançados"
"Dataflow - Profiles","Dataflow - Profiles"
"Data Format","Formato dos Dados"
"Data transfer:","Transferência de dados:"
"Date","Encontro"
"Date & Time","Data e Hora"
"Date Added","Data de inclusão"
"Date Updated","Data de atualização"
"Day","dia"
"Debug","Debug"
"Decimal separator:","Separador decimal:"
"Default (Admin) Values","Valores padrão (Admin)"
"Default Billing Address","Endereço de Cobrança Padrão"
"Default Config","Default Config"
"Default display currency ""%s"" is not available in allowed currencies.","Moeda padrão ""%s"" não está disponível em moedas permitidas."
"Default scope","Escopo Padrão"
"Default Symbol","Símbolo Padrão"
"Default Template from Locale","Modelo Padrão da Localidade"
"Default Values","Valores Padrão"
"Delete","excluir"
"Delete %s","Excluir %s"
"Delete %s '%s'","Apagar %s '%s'"
"Delete Block","Excluir Bloco"
"Delete File","Excluir Arquivo"
"Delete Image","Excluir imagem"
"Delete Profile","Excluir perfil"
"Delete Role","Excluir Papel"
"Delete Store","Apagar Loja"
"Delete Store View","Excluir Visão de Loja"
"Delete Template","Excluir Modelo"
"Delete User","Excluir Usuário"
"Delete Variable","Excluir Variável"
"Delete Website","Excluir site"
"Description","Descrição:"
"Design","Projetar"
"Details","detalhes"
"Direction:","Direção:"
"Disable","Desligado"
"Disable All Email Communications","Desativar Todas as Comunicações por Email"
"Disabled","Desabilitado"
"Disallowed block name for frontend.","Nome do bloco não permitido para frontend."
"Display default currency","Exibir moeda padrão"
"Do nothing","Não fazer nada"
"Download","BAIXAR"
"Downloads","Downloads"
"Do you really want to KILL parallel process and start new indexing process?","Você realmente deseja KILL processo paralelo e iniciar um novo processo de indexação?"
"Drop-down","Suspender"
"Edit","Alterar"
"Edit Block","Editar Bloco"
"Edit Block '%s'","Editar Bloco '%s'"
"Edit Design Change","Editar Alteração de Design"
"Edit Email Template","Editar modelo de e-mail"
"Edit Order","Editar pedido"
"Edit Queue","Editar Fila"
"Edit Review","Editar Revisão"
"Edit Role","Editar Permissão"
"Edit Store View","Editar Visão de Loja"
"Edit System Template","Editar modelo do sistema"
"Edit Template","Editar Modelo"
"Edit URL Rewrite","Editar Reescrita de URL"
"Edit User","Editar Usuário"
"Edit User '%s'","Editar Usuário '%s'"
"Edit Variable","Editar Variável"
"Edit Variable '%s'","Editar Variável '%s'"
"Edit Website","Editar Site"
"Email","e-mail"
"Email:","Email:"
"Email Address:","Endereço de E-mail:"
"Email can only be changed for guest orders.","E-mail só pode ser alterado para pedidos de convidado."
"Email transport is disabled. Please configure an email transport in Mail Sending Settings.","Transporte de e-mail está desativado. Por favor, configurar um transporte de e-mail nas configurações de envio de email."
"Emergency","Emergência"
"Enable","Habilitado"
"Enable 2FA","Ativar 2FA"
"Enabled","Ativado"
"Enable Password Authentication","Habilitar autenticação de senha"
"Enclose Values In:","Valores de fechamento em:"
"Engagement","Envolvimento"
"Enter current password and press ""Save Account"" to confirm passkey change.","Digite a senha atual e pressione ""Salvar Conta"" para confirmar a alteração da senha."
"Enter new email address:","Digite o novo endereço de e-mail:"
"Enter the 6-digit code from your authenticator app","Insira o código de 6 dígitos do seu aplicativo autenticador"
"Entity Attributes","Atributos da entidade"
"Entity Type","Tipo de entidade"
"Entity type:","Tipo de entidade:"
"Entry & Exit Pages","Páginas de entrada e saída"
"Error","ERRO"
"example: ""sitemap/"" or ""/"" for base path (path must be writeable)","exemplo: ""sitemap/"" ou ""/"" para o caminho de base (o caminho deve ser gravável)"
"example: sitemap.xml","example: sitemap.xml"
"Excel XML","Excel XML"
"Excl. Tax","Imposto Excl."
"Excl. Tax:","Imposto Excl:"
"Expiration Date","Data de Validade"
"Export","Exportação"
"Export:","Exportar:"
"Export CSV","Exportar como CSV"
"Export Filters","Exportar filtros"
"Export to:","Exportar para:"
"Failed","Falhou"
"failed","falha"
"Failed to add a product to cart by id ""%s"".","Falha ao adicionar um produto ao carrinho por ajuda ""%s""."
"Failed to cancel the billing agreement.","Falha ao cancelar o termo de cobrança."
"Failed to delete the billing agreement.","Falha ao excluir o termo de cobrança."
"Failed to send test email. Please check your email configuration and error logs.","Não foi possível enviar o e-mail de teste. Por favor, verifique suas configurações de e-mail e logs de erro."
"Failed to update the profile.","Falha ao atualizar o perfil."
"Field","Campo"
"Field Mapping","Mapeamento de campo"
"File","Arquivo"
"File Information","Informação Arquivo"
"File mode","Modo de arquivo"
"File name:","Nome do Arquivo:"
"File System","Sistema de arquivos"
"Finished profile execution.","Execução de perfil concluída."
"First Invoice Created Date","Data da Primeira Fatura Criada"
"First Name","Primeiro nome"
"First Name:","Primeiro nome:"
"First Name is required field.","Primeiro Nome é um campo obrigatório."
"Fixed","Corrigido"
"Flush Catalog Images Cache","Liberar Cache das Imagens do Catálogo"
"Flush Minified CSS/JS Cache","Liberar Cache CSS/JS Minificado"
"Flush Swatch Images Cache","Limpar cache de imagens Swatch"
"For category","Para categoria"
"Forgot Admin Password","Esqueceu a senha do administrador"
"Forgot your password?","Esqueceu-se da sua senha?"
"Forgot your user name or password?","Esqueceu seu usuário ou senha?"
"For product","Por produto"
"From","De"
"from","De"
"FTP Host[:Port]","Servidor FTP[:Porta]"
"General Information","Informações Básicas"
"Give the verifier code to application administrator","Dê o código de verificação ao administrador do aplicativo"
"GLOBAL","GLOBAL"
"Global Search","Pesquisa Global"
"Google Sitemaps","Google Mapas"
"Go to messages inbox","Ir para caixa de entrada de mensagens"
"Go to notifications","Ir para notificações"
"Grand Total","Total geral"
"Grid (default) / List","Grade (padrão) / Lista"
"Grid Only","Apenas Grade"
"Group:","Grupo:"
"Guest","Visitante"
"Health Check","Exame de saúde"
"Helper attributes should not be used in custom layout updates.","Atributos auxiliares não devem ser usados nas atualizações de layout personalizado."
"Helper for options rendering doesn't implement required interface.","O auxiliar para a renderização de opções não implementa a interface necessária."
"Home","Residencial"
"HTTP (unsecure)","HTTP (inseguro)"
"HTTPS (SSL)","HTTPS (SSL)"
"ID","ID"
"Id","Id"
"ID Path","ID do Caminho"
"If there is an account associated with %s you will receive an email with a link to reset your password.","Se houver uma conta associada a %s você receberá um e-mail com um link para redefinir sua senha."
"If this message persists, please contact the store owner.","Se esta mensagem persistir, entre em contato com o proprietário da loja."
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Se você não especificar um valor para uma visão de loja específica, então o valor padrão (Admin) será usado."
"Images Cache","Images Cache"
"Import","Importação"
"Import/Export","Importar/Exportar"
"Import/Export Advanced","Importar/Exportar Avançado"
"Import/Export Profile","Importar/Exportar Perfil"
"Import and Export","Importar e Exportar"
"Import and Export Tax Rates","Importar e Exportar Taxas de Imposto"
"Imported <strong>%s</strong> records","Registros importados de <strong>%s</strong>"
"Import Service","Serviço de importação"
"Inactive","Inativo"
"Incl. Tax","Imposto Incl."
"Incl. Tax:","Imposto incl.:"
"Incoming Message","Mensagem de entrada"
"In Database:","No banco de dados:"
"In File:","Em Arquivo:"
"Informational","Informativo"
"Input fields (from - to)","Campos de entrada (de - a)"
"Insert Variable...","Inserir Variável..."
"Interactive","Interativo"
"Interface Locale: %s","Idioma da interface: %s"
"Internal Error","Erro Interno"
"Invalid 2FA verification code","Código de verificação 2FA inválido"
"Invalidated","Invalidado"
"Invalid current password.","Senha atual inválida."
"Invalid data","Dados inválidos"
"Invalid email address ""%s"".","Endereço de e-mail inválido ""%s""."
"Invalid email address.","Endereço de e-mail inválido"
"Invalid field name '%s', must not be one of NOT, AND, OR, XOR","Nome de campo inválido '%s', não deve ser um dos NOT, AND, OR, XOR"
"Invalid Form Key. Please refresh the page.","Chave de formulário inválida. Por favor, atualize a página."
"Invalid Import Service Specified","Serviço de importação especificado inválido"
"Invalid input data for %s => %s rate","Dados inválidos para %s => %s taxa"
"Invalid operator '%s', must be one of NOT, AND, OR, XOR","Operador inválido '%s', deve ser um dos NOT, AND, OR, XOR"
"Invalid parent block for this block","Bloco pai inválido para este bloco"
"Invalid parent block for this block.","Bloco pai inválido para este bloco."
"Invalid password reset token.","Token de redefinição de senha inválido."
"Invalid POST data (please check post_max_size and upload_max_filesize settings in your php.ini file).","Dados de POST inválidos (favor verifique post_max_size e upload_max_filesize configurações no seu arquivo php.ini)."
"Invalid request method","Método de solicitação inválido"
"Invalid response","Resposta inválida"
"Invalid Secret Key. Please refresh the page.","Chave secreta inválida. Por favor, atualize a página."
"Invalid sender name ""%s"". Please use only visible characters and spaces.","Nome de remetente inválido ""%s"". Por favor, use apenas caracteres visíveis e espaços."
"Invalid template data.","Dados inválidos do template."
"Invalid template path used in layout update.","Caminho de modelo inválido usado na atualização de layout."
"Invalid timezone","Fuso horário inválido"
"Invalid User Name or Password.","Nome de usuário inválido ou senha."
"Inventory Stock Status","Status do Estoque"
"Invoice #%s comment added","Fatura #%s comentário adicionado"
"Invoice #%s created","Fatura #%s criada"
"Invoice canceling error.","Erro ao cancelar fatura."
"Invoice capturing error.","Erro ao capturar fatura."
"Invoice History","Histórico da Fatura"
"Invoices","Faturas"
"Invoice Totals","Total da Fatura"
"Invoice voiding error.","Invoice voiding error."
"IP Address","Endereço IP"
"Is Allowed","É permitido"
"Is Allowed is required field.","É um campo obrigatório."
"Is Closed","Está fechado"
"Is Default","É o padrão"
"Issue Number","Número de emissão"
"Items","itens"
"JavaScript/CSS","JavaScript/CSS"
"JavaScript/CSS Cache","Cache JavaScript/CSS"
"Languages","Idiomas"
"Last 5 Orders","Últimos 5 Pedidos"
"Last 5 Search Terms","Últimos 5 Termos de Pesquisa"
"Last 7 Days","Últimos 7 Dias"
"Last 24 Hours","Últimas 24 horas"
"Last Credit Memo Created Date","Data do Último Memorando de Crédito Criado"
"Last Invoice Created Date","Data da última fatura criada"
"Last Logged In (%s):","Último login (%s):"
"Last Logged In:","Último login em:"
"Last Name","Último Nome"
"Last Name:","Último Nome:"
"Last Name is required field.","Último Nome é um campo obrigatório."
"Last updated: %s. To refresh last day's <a href=""%s"">statistics</a>, click <a href=""%s"">here</a>.","Última atualização: %s. Para atualizar as estatísticas <a href=""%s"">do último dia</a>, clique <a href=""%s"">aqui</a>."
"Latest Message:","Última Mensagem:"
"Layered Navigation Indices","Índices de Navegação em Camadas"
"Layered Navigation Indices were refreshed.","Índice de Navegação em Camadas foi atualizado."
"Leave empty to use tax identifier","Deixe em branco para usar o identificador de imposto"
"Lifetime","Vitalício"
"Lifetime Sales","Vendas Vitalícias"
"Lifetime statistics have been updated.","As estatísticas foram atualizadas."
"Links","Links"
"Links with associated products will retain only after saving current product.","Links com produtos associados serão retidos apenas após salvar o produto atual."
"List (default) / Grid","Lista (padrão) / Grade"
"List Only","Apenas Lista"
"Load default template","Carregar modelo padrão"
"Loading...","Carregandochar@@0"
"Load Template","Carregar Modelo"
"Local/Remote Server","Servidor Local/Remoto"
"Locale","Localidade"
"Local Server","Servidor local"
"Log In","Iniciar sessão"
"Login","Conectar-se"
"Log in to Admin Panel","Faça login no Painel de Administração"
"Log into Maho Admin Page","Entrar no Maho Admin Page"
"Log in to use <strong>%s</strong>","Inicie a sessão para usar <strong>%s</strong>"
"Login with Passkey","Login com senha"
"Log Out","Encerrar Sessão"
"Low Stock","Estoque Baixo"
"Maho Admin","Administração de Maho"
"Maho Test Email","E-mail de teste Maho"
"MAJOR","MAJOR"
"major","(alta)"
"Make sure that data encoding in the file is consistent and saved in one of supported encodings (UTF-8 or ANSI).","Certifique-se de que a codificação de dados do arquivo é consistente e salva em uma das codificações suportadas (UTF-8 ou ANSI)."
"Manage Attributes","Gerenciar Atributos"
"Manage Attribute Sets","Gerenciar Conjuntos de Atributos"
"Manage Categories","Gerenciar categorias"
"Manage Content","Gerenciar Conteúdo"
"Manage Currency Rates","Gerenciar taxas de moeda"
"Manage Customers","Gerenciar Clientes"
"Manage Options (values of your attribute)","Gerenciar Opções (valores do seu atributo)"
"Manage Ratings","Gerenciar Avaliações"
"Manage Stores","Gerenciar Lojas"
"Manage Tax Rules","Gerenciar Taxas de Imposto"
"Manage Tax Zones and Rates","Gerenciar Zonas de Impostos e Taxas"
"Manage Titles (Size, Color, etc.)","Gerenciar Títulos (tamanho, cor, etc.)"
"Manual","Manualmente"
"Matched Expression","Expressão correspondente"
"Maximum sender name length is 255. Please correct your settings.","Comprimento máximo do nome do remetente é 255. Por favor, corrija suas configurações."
"Messages Inbox","Caixa de Mensagens"
"Minified CSS and JavaScript files.","Arquivos CSS e JavaScript minificados."
"MINOR","SECREAL"
"minor","secundário"
"Missing required fields","Campos obrigatórios faltando"
"Month","Mês"
"Most Viewed","Mais Vistos"
"Most Viewed Products","Produtos Mais Visualizados"
"MS Excel XML","MS Excel XML"
"Multiple Select","Seleção Múltipla"
"My Account","Minha conta"
"My Applications","Meus aplicativos"
"N/A","N/D"
"Name","Nome:"
"Name:","Nome:"
"Name on Card","Nome no cartão"
"Network Error. Please refresh the page.","Erro de rede. Por favor, atualize a página."
"Never (production)","Nunca (produção)"
"New ","Novidades "
