"%s file does not exists or is not readable","O arquivo %s não existe ou não é legível"
"-- Please Select --","-- Por favor selecione --"
"File was not uploaded","O arquivo não foi carregado"
"Filter","filtro"
"From","De"
"Header column names already set","Nomes de coluna de cabeçalho já estão definidos"
"Import","Importação"
"Import/Export","Importar/Exportar"
"Import Behavior","Comportamento de Importação"
"Import CSV","Importar CSV"
"Import has been done successfuly.","Importação foi concluída com sucesso."
"Import Settings","Configurações de importação"
"Import successfully done.","Importação concluída com sucesso."
"Incorrect entity type","Tipo de entidade incorreto"
"Input entity code is not equal to entity adapter code","O código da entidade de entrada não é igual ao código do adaptador de entidade"
"in rows","em linhas"
"in rows:","em linhas:"
"Invalid entity","Entidade inválida"
"Invalid entity model","Modelo de entidade inválido"
"Invalid file format","Formato de arquivo inválido"
"Invalid parameters","Parâmetros inválidos"
"Invalid seek position","Posição de busca inválida"
"Invalid seek position: %d","Posição de busca inválida: %d"
"Invalid value for '%s'","Valor inválido para '%s'"
"Invalid value for '%s' column","Valor inválido para coluna '%s'"
"No data provided for import","Nenhum dado fornecido para importação"
"No data rows found after header processing","Nenhuma linha de dados encontrada após o processamento do cabeçalho"
"Node does not has model token tag","O nó não possui uma etiqueta token modelo"
"No filter data provided","Nenhum filtro de dados fornecido"
"No source specified","Nenhuma fonte especificada"
"Not implemented yet","Ainda não implementado"
"No valid data sent","Nenhum dado válido enviado"
"No writer specified","Nenhum escritor especificado"
"Please fix errors and re-upload file","Por favor, corrija os erros e reenvie o arquivo"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Por favor, corrija os erros e envie novamente o arquivo ou simplesmente pressione o botão ""Importar"" para ignorar as linhas com erros"
"Products","produtos"
"Replace Existing Complex Data","Substituir dados complexos existentes"
"Row %d is not an array","Linha %d não é uma matriz"
"Row %d missing columns: %s","Colunas %d da linha faltando: %s"
"Select File to Import","Selecione o arquivo de importação"
"Skip","Ignorar"
"Source data array cannot be empty","matriz de dados de origem não pode estar vazio"
"Source data must be an array","Fonte de dados deve ser uma matriz"
"Source file moving failed","Falha ao mover o arquivo fonte"
"Source is not set","A fonte não está definida"
"Source must be a string file path or array","A fonte deve ser um caminho de arquivo ou matriz"
"Status","SItuação"
"There are no product types available for export","Não há tipos de produtos disponíveis para exportação"
"There is no data for export","Não há dados para exportação"
"To","Para"
"Total size of uploadable files must not exceed %s","O tamanho total dos arquivos carregáveis não deve exceder %s"
"Unknown attribute filter type","Tipo de filtro de atributo desconhecido"
"Uploaded file has no extension","O arquivo enviado não tem extensão"
"Validation finished successfully","Validação concluída com sucesso"
