"3D Secure","Segurança 3D"
"Missing PayPal order ID.","Faltando ID do pedido do PayPal."
"MyBank","MyBank"
"No PayPal authorization ID found for void.","Nenhum ID de autorização PayPal foi encontrado para void."
"No PayPal authorization or order ID found for capture.","Nenhuma autorização ou ID do pedido de PayPal foi encontrado para captura."
"No PayPal capture ID found for refund.","Nenhum ID de captura PayPal foi encontrado para reembolso."
"No saved payment methods available.","Não há métodos de pagamento salvos disponíveis."
"No saved payment methods available for this customer.","Não há métodos de pagamento salvos disponíveis para este cliente."
"Payer Email","E-mail do Pagador"
"Payer ID","Payer ID"
"Pay Later","Mais tarde"
"Pay Later Messaging","Pagar mais tarde Messaging"
"Payment Action","Ação de pagamento"
"Payment Method","Forma de pagamento"
"Payment method has been deleted.","O método de pagamento foi excluído."
"PayPal","Paypal"
"PayPal - Advanced Checkout (Card Fields)","PayPal - Checkout Avançado (Campos do Mercado)"
"PayPal - General Settings","PayPal - Configurações Gerais"
"PayPal - Standard Checkout (PayPal Buttons)","PayPal - Padrão Checkout (Botões de PayPal)"
"PayPal - Vault (Saved Payment Methods)","PayPal - Cofre (Métodos de Pagamento Salvos)"
"PayPal capture failed: no capture ID returned.","Captura PayPal falhou: nenhuma ID de captura retornada."
"PayPal Client ID and Client Secret are required when a PayPal payment method is enabled.","ID do Cliente PayPal e Segredo do Cliente PayPal são necessários quando um método de pagamento PayPal está habilitado."
"PayPal Credit","Crédito PayPal"
"PayPal did not return a payer email address.","O PayPal não devolveu um endereço de e-mail do pagador."
"PayPal order amount does not match this cart.","Valor do pedido PayPal não corresponde a este carrinho."
"PayPal order could not be approved. Status: %s","O pedido do PayPal não pôde ser aprovado. Estado: %s"
"PayPal order currency does not match this cart.","Moeda do pedido PayPal não corresponde a este carrinho."
"PayPal order does not belong to this cart.","O pedido do PayPal não pertence a este carrinho."
"PayPal Order ID","ID do pedido PayPal"
"PayPal order ID not found.","ID do pedido PayPal não encontrado."
"Please complete the PayPal payment before placing the order.","Por favor, complete o pagamento PayPal antes de fazer o pedido."
"Processor Response","Resposta do Processador"
"Przelewy24","Przelewy24"
"Quote is no longer active and no matching order was found.","O orçamento não está mais ativo e nenhum pedido correspondente foi encontrado."
"Registers a webhook with PayPal to receive real-time notifications for payments, refunds, and disputes. Requires a publicly accessible HTTPS URL.","Registra um webhook com o PayPal para receber notificações em tempo real para pagamentos, reembolsos e disputas. Requer uma URL HTTPS acessível publicamente."
"Register Webhook","Registrar webhook"
"Review your order on the next step to confirm your payment with PayPal.","Revise seu pedido na próxima etapa para confirmar seu pagamento com PayPal."
"Sandbox Mode","Modo Sandbox"
"Saved Payment","Pagamento Salvo"
"Saved Payment Method","Método de pagamento salvo"
"Saved Payment Methods","Métodos de pagamento salvos"
"Save this payment method for future purchases","Salve este método de pagamento para futuras compras"
"Send cart line items to PayPal for display during checkout.","Enviar itens de linha do carrinho para o PayPal para exibição durante a finalização de compra."
"SEPA","SEPA"
"Sofort","Sofort"
"Sort Order","Ordem de classificação"
"Test Connection","Testar Conexão"
"This order has already been placed.","Este pedido já foi realizado."
"This PayPal order has already been used.","Este pedido do PayPal já foi utilizado."
"Title","Título"
"Transfer Line Items","Transferir Itens da Linha"
"Type","tipo"
"Unable to delete payment method.","Não foi possível excluir o método de pagamento."
"Use PayPal sandbox environment for testing.","Use o ambiente PayPal sandbox para teste."
"Venmo","Venmo"
"Webhook ID","ID do Webhook"
"Webhook registered successfully. ID: %s","Webhook registrado com sucesso. ID: %s"
"Webhook registration failed: %s","Registro de webhook falhou: %s"
"You have no saved payment methods.","Você não tem métodos de pagamento salvos."
