"# of Use","# de Uso"
"%1$s incl tax.","%1$s incl imposto."
"%s-%s of %s","%s-%s de %s"
"%s and above","%s e acima"
"%s Item(s)","%s item(ns)"
"An invalid option ID is specified for %s (%s), skipping the record.","Um ID de opção inválido foi especificado para %s (%s), ignorando registro."
"An invalid store was specified.","Uma loja inválida foi especificada."
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Aplicável apenas para produtos e categorias de catálogo. Qualquer conteúdo de mídia será inserido no editor como uma URL estática. Não é atualizado se a URL base de configuração do sistema for alterada."
"Apply","Aplicar"
"Apply MAP (Default Value)","Aplicar MAP (Valor Padrão)"
"Apply price filter","Aplicar filtro de preços"
"Apply To","Aplicar a"
"Approved","Aceito"
"A product type is not defined for the indexer.","O tipo de produto não está definido para indexador."
"Are you sure?","Você tem certeza?"
"Are you sure you want to delete this category?","A categoria será deletada. Você confirma ?"
"Are you sure you would like to remove all products from your comparison?","Tem certeza que deseja remover todos os produtos da sua comparação?"
"Are you sure you would like to remove this item from the compare products?","Tem certeza que deseja remover este item da comparação de produtos?"
"Assign","Atribuir"
"Assigned Products","Produtos Atribuídos"
"Assign product link","Atribuir link do produto"
"Assign product to category","Atribuir produto à categoria"
"Associated Products","Produtos associados"
"Attrib. Set Name","Nome do Atrib. Definir"
"Attribute ""%s"" is invalid.","Atributo ""%s"" é inválido."
"Attribute ""%s"" is required.","Atributo ""%s"" é necessário."
"Attribute add","Adicionar atributo"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter. Do not use ""event"" for an attribute code.","O código de atributo é inválido. Por favor use apenas letras (a-z), números (0-9) ou underscore(_) neste campo, o primeiro caractere deve ser uma letra. Não use ""evento"" para um código de atributo."
"Attribute Information","Informações do atributo"
"Attribute Name:","Nome do Atributo:"
"Attribute remove","Remover atributo"
"Attributes","Atributos"
"Attribute Set","Conjunto de Atributos"
"Attribute Sets","Conjuntos de Atributo"
"Attribute with the same code already exists","O atributo com o mesmo código já existe"
"Attrribute names can be specified per store.","Nomes de atributos podem ser especificados por loja."
"Autogenerate","Gerar Automaticamente"
"Availability:","Disponibilidade:"
"Back","Anterior"
"Background Color","Cor de fundo"
"Backorders","Devoluções"
"Based On","Baseado em"
"Base Image Width","Largura Base da Imagem"
"Before Order Confirmation","Antes da confirmação da compra"
"Best Value","Melhor preço"
"Block after Info Column","Bloco depois da Coluna de Informação"
"Bottom/Left","Inferior/Esquerda"
"Bottom/Right","Inferior/Direita"
"Bottom Block Options Wrapper","Bloco de Opções de Bloco Inferior"
"Bundle Items","Itens do pacote"
"Buy %1$s","Comprar %1$s"
"Buy %1$s for","Comprar %1$s por"
"Buy %1$s for %2$s","Compre %1$s por %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Compre %1$s por %2$s (%3$s incl. Imposto) cada"
"Buy %1$s for %2$s each","Compre %1$s por %2$s cada"
"Cache Lifetime (Seconds)","Tempo de Vida do Cache (segundos)"
"Cache refresh needed.","Cache é necessário atualizar."
"Can't create image.","Não é possível criar imagem."
"Can be Divided into Multiple Boxes for Shipping","Pode ser dividido em Múltiplas Caixas para Envio"
"Can be used only with catalog input type Dropdown","Só pode ser usado com um dos tipos de campo de catálogo, Menu Suspenso"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Só pode ser usado com um dos tipos de campo de catálogo, Menu Suspenso, Seleção Múltipla e Preço"
"Cancel","cancelar"
"Cannot create image.","Não é possível criar imagem."
"Cannot create writeable directory '%s'.","Impossível criar diretório gravável '%s'."
"Cart Item Attribute","Atributo do Item do Carrinho"
"Catalog","Catalogo"
"Catalog, Search","Catálogo, Pesquisa"
"Catalog Category (Anchor)","Catálogo Categoria (Âncora)"
"Catalog Category (Non-Anchor)","Catálogo Categoria (Non-Anchor)"
"Catalog Category (Without Subcategories)","Catálogo Categoria (sem Subcategorias)"
"Catalog Category Link","Link Categoria de Catálogo"
"Catalog New Products List","Lista de Novos Produtos do Catálogo"
"Catalog Price Scope","Escopo do Preço do Catálogo"
"Catalog Product Compare List","Catálogo de Produtos Comparados"
"Catalog product custom options API","API Catálogo de produtos com opções personalizadas"
"Catalog product custom option values API","API Catálogo de produtos com opções de valores personalizados"
"Catalog Product Email to a Friend","Catálogo de Produtos E-mail para um Amigo"
"Catalog Product Image Gallery Popup","Popup de imagens do produto"
"Catalog Product Link","Link do Catálogo Produto"
"Catalog Product View (Any)","Visão de Catálogo Produto (Qualquer)"
"Catalog Product View (Configurable)","Visualizar Catálogo Produto (Configurável)"
"Catalog Product View (Grouped)","Visualizar Catálogo Produto (Agendado)"
"Catalog Product View (Simple)","Visualizar Catálogo Produto (Simples)"
"Catalog Product View (Virtual)","Visualizar Catálogo Produto (Virtual)"
"Catalog Seo Sitemap (Category List)","Catálogo Seo Sitemap (Lista de Categorias)"
"Catalog Seo Sitemap (Category Tree)","Catálogo Seo Sitemap (Árvore de Categorias)"
"Catalog Seo Sitemap (Common)","Catálogo Seo Sitemap (Comum)"
"Catalog Seo Sitemap (Product List)","Catálogo Seo Sitemap (Lista de Produtos)"
"Catalog URL Rewrites","Reescrita de Catálogo URL"
"Categories","categorias"
"categories","Categorias"
"Categories Sitemap","Sitemap de Categorias"
"Category","categoria"
"Category API","API de Categoria"
"Category attributes API","API Atributos da Categoria"
"Category Data","Dados da Categoria"
"Category delete error: %s","Erro ao excluir categoria: %s"
"Category Flat Data","Dados Flat da Categoria"
"Category ID","ID da Categoria"
"Category is not dynamic.","Categoria não é dinâmica."
"Category Link Block Template","Template de Bloco de Categoria"
"Category Link Inline Template","Template Inline de Link de Categoria"
"Category move error: %s","Erro ao mover categoria: %s"
"Category must be an instance of Mage_Catalog_Model_Category.","Categoria deve ser uma instância de Mage_Catalog_Model_Category."
"Category not found.","Categoria não encontrada."
"Category Products","Produtos da Categoria"
"Category save error: %s","Erro ao salvar categoria: %s"
"Category Top Navigation","Categoria de Navegação Superior"
"Category URL Suffix","Categoria Sufixo URL"
"Category was not found.","Categoria não foi encontrada."
"Center","Centralizar"
"Change","Troca"
"Change or Retrieve attribute store view","Alterar ou Recuperar atributos da visão de loja"
"Change status","Mudar Situação"
"Check items to add to the cart or","Escolha os produtos para adicionar ao carrinho ou"
"Choose an Option...","Escolha uma opção..."
"Clear All","Limpar Tudo"
"Clear Price","Limpar Preço"
"Click for price","Clique para preço"
"Close Window","Fechar Janela"
"Collapse All","Recolher tudo"
"Comma-separated.","Separados por vírgula."
"Comparable","Comparável"
"Comparable on Front-end","Comparável em Front-end"
"Comparable on the Frontend","Comparável no Frontend"
"Compare","Comparar"
"Compare Products","Comparar produtos"
"Conditions","condições"
"Conditions Combination","Combinação de condições"
"Configurable Product","Produto Configurável"
"Configurable Product Settings","Configurações de Produto Configurável"
"Continue","Continuar"
"Controls display of Add to Cart and View Details buttons in category pages and product lists. When disabled, only product names and images will be clickable.","Controla a exibição de Adicionar ao carrinho e exibir botões Detalhes nas páginas de categoria e listas de produtos. Quando desativado, somente nomes de produtos e imagens serão clicáveis."
"Copy From Configurable","Copiar De Configurável"
"Country/State","País/Estado"
"Create","Crio"
"Create (Upload)","Criar (Enviar)"
"Create attribute set based on another set","Criar conjunto de atributos com base em outro grupo"
"Create Empty","Criar vazio"
"Create new attribute","Criar novo atributo"
"Create new category","Criar nova categoria"
"Create new product","Criar novo produto"
"Create Permanent Redirect for old URL","Criar redirecionamento permanente para URL antiga"
"Create Permanent Redirect for URLs if URL Key Changed","Criar Redirecionamento Permanente para URLs se a chave de URL for alterada"
"Create Product Settings","Criar Configurações de Produto"
"Create Simple Associated Product","Criar produto associado simples"
"Cross-sells","Cross-sell"
"Custom Design","Design Personalizado"
"Customer Group","Grupo de Clientes"
"Customers Reviews","Comentários de clientes"
"Customers Tagged Product","Tags Clientes"
"Custom Options","Opções Personalizadas"
"Custom options","Opções de personalização"
"Data Type for Saving in Database","Tipo de dados para salvar no banco de dados"
"Date & Time Custom Options","Opções Personalizadas de Data e Hora"
"Date Subscribed","Data da Inscrição"
"Datetime","Data/Hora"
"Decimal","decimal"
"Declare attribute value saving scope","Declarar valor do atributo de escopo de poupança"
"Default ""What's This"" Text Message","Mensagem de Texto Padrão ""O Que Que Que Isso"""
"Default Popup Text Message","Mensagem de Texto Padrão Popup"
"Default Price","Preço Padrão"
"Default Price Navigation Step","Passo de Navegação de Preço Padrão"
"Default Qty","Default Qty"
"Default Values","Valores Padrão"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Define o escopo da moeda base (""Configuração da Moeda"" > ""Opções de Moeda"" > ""Moeda Base"")."
"Delete","excluir"
"Delete Attribute","Excluir Atributo"
"Delete attribute","Excluir atributo"
"Delete Attribute Set","Excluir Conjunto de Atributos"
"Delete Category","Excluir Categoria"
"Delete category","Apagar categoria"
"Delete File","Excluir Arquivo"
"Delete Group Price","Excluir Preço de Grupo"
"Delete product","Excluir produto"
"Delete Row","Excluir linha"
"Delete Search","Excluir Pesquisa"
"Delete Tier","Apagar Camada"
"Depends on design theme","Depende do tema do design"
"Description","Descrição:"
"Design","Projetar"
"Details","detalhes"
"Disabled","Desabilitado"
"Disallowed file format.","Formato do arquivo proibido."
"Disallowed file type.","Tipo de arquivo proibido."
"Display Actual Price","Exibir Preço Atual"
"Display in Suggested Terms","Exibir em termos sugeridos"
"Display Page Control","Exibir Página de Controle"
"Display Price Interval as One Price","Mostrar Intervalo de Preço como Preço Único"
"Display Product Count","Exibir Quantidade de Produtos"
"Display Type","Tipo de exibição"
"Downloadable Information","Informação do Download"
"Do you want to duplicate the product images as well?","Você também deseja duplicar as imagens do produto?"
"Do you want to duplicate the product images as well?","Você também deseja duplicar as imagens do produto?"
"Duplicate","Duplicate"
"Duplicate Product","Produto duplicado"
"Duplicate website, country and state tax found.","Duplicar website, país e estado imposto encontrado."
"Duplicate website group price customer group.","Duplicar site grupo de preço do grupo de clientes."
"Duplicate website tier price customer group and quantity.","Duplicar website faixa de preço grupo e quantidade de clientes."
"Dynamic category processed successfully.","Categoria dinâmica processada com sucesso."
"Dynamic Category Rules","Regras de Categoria Dinâmica"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Ex.: {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Análise dos impactos dinâmicos do desempenho do catálogo."
"each","cada"
"Edit","Alterar"
"Edit Attribute Set '%s'","Editar Conjunto de Atributos '%s'"
"Edit Product Attribute","Editar atributo do produto"
"Edit Product Attribute ""%s""","Editar atributo de produto ""%s"""
"Edit Search","Editar pesquisa"
"Edit Search '%s'","Editar Pesquisa '%s'"
"Edit Set Name","Editar Nome do Conjunto"
"Email","e-mail"
"Empty","Vazio"
"Enable Add to cart Button in product listings","Habilitar o botão Adicionar ao carrinho em listagens de produtos"
"Enabled","Ativado"
"Enable MAP","Habilitar MAP"
"Enable Qty Increments","Habilitar Qtd Incrementos"
"Enable WYSIWYG","Habilitar WYSIWYG"
"Error during retrieval of option value: %s","Erro durante a recuperação do valor da opção: %s"
"Error loading children: %s","Erro ao carregar filhos: %s"
"ex. http://domain.com","ex. http://dominio.com"
"Exclude","Excluir"
"Expand All","Expandir tudo"
"Failed","Falhou"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Falha ao copiar o arquivo %s. Por favor, apague a mídia com imagens inexistentes e tente novamente."
"Failed to move file: %s","Falha ao mover arquivo: %s"
"Field is not complete","O campo não está completo"
"File","Arquivo"
"File options format is not valid.","Formato de opções de arquivo não é válido."
"File upload failed","Falha ao enviar arquivo"
"File upload failed. Please contact the store administrator.","Carregamento do arquivo falhou. Entre em contato com o administrador da loja."
"File upload failed with error code: %s","Falha ao enviar o arquivo com código de erro: %s"
"Filter","filtro"
"Filterable (no results)","Filtrar (sem resultados)"
"Filterable (with results)","Filtrar (com resultados)"
"Filter model name must be declared.","Nome do modelo de filtro deve ser declarado."
"Filter must be an object. Please set correct filter.","O filtro deve ser um objeto. Por favor, defina o filtro correto."
"Filters","Filtros"
"First Name","Primeiro nome"
"Fixed","Corrigido"
"For internal use.","Para uso interno."
"For the last time placed.","Colocados pela última vez."
"From","De"
"Frontend","Frontend"
"Frontend Properties","Propriedades do Frontend"
"Gallery","Galeria"
"General Information","Informações Básicas"
"Get full information about attribute with list of options","Obter informações completas sobre o atributo com a lista de opções"
"Get full information about custom option in product","Obter informações completas sobre a opção personalizada do produto"
"Get list of available custom option types","Obter lista de tipos de opções personalizadas disponíveis"
"Get list of non-default attributes by product type and attributes set","Obter lista de atributos não padrão por tipo de produto e conjunto de atributos"
"Get list of possible attribute types","Obter lista de possíveis tipos de atributo"
"Get special price","Obter preço especial"
"Global","Global"
"Globally Editable","Globalmente editável"
"Go to Home Page","Ir para a página inicial"
"Grid","Grade"
"Group add","Adicionar grupo"
"Grouped Product","Produto Agrupado"
"Group remove","Excluir grupo"
"Groups","grupos"
"Home","Residencial"
"HTML tags are not allowed in SKU attribute.","Tags HTML não são permitidas no atributo SKU."
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Se estiver vazio, será usado o nome da categoria"
"If empty, the Product Name will be used","Se vazio, será usado o nome do produto"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Se você não especificar um valor para uma visão de loja específica, então o valor padrão (Admin) será usado."
"Image","Imagem:"
"Image content is not valid base64 data.","Conteúdo da imagem não é válido para dados base64."
"Image does not exist.","A imagem não existe."
"Image type and information need to be specified for each store view.","O tipo de imagem e a informação precisam ser especificadas para cada vista de loja."
"In Cart","No Carrinho"
"Incl. Tax","Imposto Incl."
"Indexed category/products association","Associação de categorias/produtos indexados"
"Index product and categories URL rewrites","Indexar reescrita de URL de produtos e categorias"
"Index product attributes for layered navigation building","Indexar atributos do produto para construção de navegação em camadas"
"Index product prices","Indexar preços dos produtos"
"Info","Informações"
"Info Column Options Wrapper","Info Opções da Coluna"
"Input Type","Input Type"
"In Stock","Pronta entrega"
"In stock","Pronta entrega"
"Integer","Inteiro"
"Internal Error","Erro Interno"
"Interval Division Limit","Limite de Divisão Intervalo"
"Invalid attribute %s","Atributo inválido %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Opção de atributo inválido especificada para o atributo %s (%s), ignorando registro."
"Invalid attribute set specified, skipping the record.","Conjunto de atributos especificados inválidos, ignorando registro."
"Invalid block: %s.","Bloco inválido: %s."
"Invalid category.","Categoria inválida."
"Invalid category IDs.","IDs de categoria inválidos."
"Invalid custom option(s).","Opção personalizada inválida."
"Invalid image file type.","Tipo de arquivo de imagem inválido."
"Invalid image type.","Tipo de imagem inválido."
"Invalid option ID specified for %s (%s), skipping the record.","Opção de ID inválida especificada para %s (%s), ignorando registro."
"Invalid product collection resource.","Recurso de coleta de produto inválido."
"Invalid product type specified, skipping the record.","Tipo de produto especificado inválido, ignorando registro."
"Invalid store specified","Loja inválida especificada"
"Invalid store specified, skipping the record.","Loja especificada inválida, ignorando registro."
"Invalid Tier Prices","Preços Nível Inválidos"
"Invalid tier prices. The product is not associated to the requested website.","Preços de nível inválidos. O produto não está associado ao site solicitado."
"Inventory","Inventório"
"Is Default","É o padrão"
"Is Required","É necessário"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Itens que você não quer mostrar no catálogo ou nos resultados de busca devem ter status 'Desativado' na loja desejada."
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Itens que você não quer mostrar no catálogo ou nos resultados de busca devem ter status 'Desativado' na loja desejada."
"Keep Frame","Manter o frame"
"Label","Descrição"
"Last Name","Último Nome"
"Last Notification","Última notificação"
"Layered Navigation","Navegação em Camadas"
"Learn More","Saber mais"
"leave blank if its not an image","deixe em branco se não for uma imagem"
"Line %d, Email: %s","Line %d, Email: %s"
"Line %d, SKU: %s","Linha %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Link (Relacionado, Venda Parcial, Venda Cruzada)"
"Link product does not exist.","Link do produto não existe."
"Link to a Specified Category","Link para uma Categoria Especificada"
"Link to a Specified Product","Link para um produto específico"
"List","Lista"
"List Mode","Modo de lista"
"List of Products that are set as New","Lista de Produtos que são definidos como Novo"
"List of types","Lista de tipos"
"Manage Attributes","Gerenciar Atributos"
"Manage Attribute Sets","Gerenciar Conjuntos de Atributos"
"Manage Catalog Categories","Gerenciar catálogo de categorias"
"Manage Categories","Gerenciar categorias"
"Manage Label / Options","Gerenciar Etiqueta / Opções"
"Manage Options (values of your attribute)","Gerenciar Opções (valores do seu atributo)"
"Manage Product Attributes","Gerenciar Atributos do Produto"
"Manage Products","Gerenciar produtos"
"Manage Product Sets","Gerenciar Conjuntos de Produtos"
"Manage Stock","Gerenciar Estoque"
"Manage Titles (Size, Color, etc.)","Gerenciar Títulos (tamanho, cor, etc.)"
"Max Characters","Máximo de Caracteres"
"Maximal Depth","Profundidade Máxima"
"Maximum allowed image size for '%s' is %sx%s px.","O tamanho máximo permitido da imagem para '%s' é %sx%s px."
"Maximum file size","Tamanho máximo do arquivo"
"Maximum image height","Altura máxima da imagem"
"Maximum Image Size","Tamanho Máximo da Imagem"
"Maximum image width","Largura máxima da imagem"
"Maximum number of characters:","Número máximo de caracteres:"
"Maximum Number of Price Intervals","Número Máximo de Intervalos de Preço"
"Maximum number of price intervals is 100","O número máximo de intervalos de preço é 100"
"Maximum Qty Allowed in Shopping Cart","Quantidade Máxima Permitida no Carrinho"
"Maximum resolution for upload image","Resolução máxima para upload da imagem"
"Maximum width and height dimension for upload image is %s.","A dimensão máxima de largura e altura do upload é %s."
"Maximum width and height resolutions for upload image","Resolução máxima de largura e altura para a imagem de upload"
"Maximum width base product image will be scaled down to in pixels","Largura máxima da imagem base do produto será reduzida para pixels"
"Maximum width small product image will be scaled down to in pixels","Largura máxima da imagem pequena do produto será reduzida para pixels"
"Media Image","Imagem da Mídia"
"Middle Name","Nome do Meio"
"Minimum Advertised Price","Preço Mínimo Anunciado"
"Minimum Lines per Page","Mínimo de Linhas por Página"
"Minimum Qty Allowed in Shopping Cart","Quantidade Mínima Permitida no Carrinho"
"Minimum Qty for Item's Status to be Out of Stock","Qtde Mínima para o Status do Item estar Fora de Estoque"
"Missing SKU, skipping the record.","Faltando SKU, ignorando registro."
"Move","Mover-se"
"Move category in tree","Mover categoria na árvore"
"Multi update product","Produto de atualização múltipla"
"Must be in the allowed values list.","Deve estar na lista de valores permitidos."
"My Account","Minha conta"
"N/A","N/D"
"Name","Nome:"
"Name in %s","Nome em %s"
"New Product","Novo produto"
"New Product Attribute","Novo atributo de produto"
"New Products","Novos produtos"
"New products","Novos produtos"
"New Products Grid Template","Modelo de grade de novos produtos"
"New Products Images and Names Template","Novo Template de Imagens e Nomes de Produtos"
"New Products Images Only Template","Template Somente para Imagens dos Novos Produtos"
"New Products List Template","Novo modelo de lista de produtos"
"New Products Names Only Template","Modelo exclusivo de nomes de novos produtos"
"New Root Category","Nova Categoria Raiz"
"New Search","Nova Busca"
"New Subcategory","Nova Subcategoria"
"Next","Próximo"
"No","Não"
"No, without images","Não, sem imagens"
"No image","Nenhuma imagem"
"No layout updates","Sem atualizações de leiaute"
"None","Nenhuma"
"No options of this product are available.","Nenhuma opção deste produto está disponível."
"No product collections found.","Nenhuma coleção de produtos encontrada."
"Notify for Quantity Below","Notificar para Quantidade Abaixo"
"Notify Low Stock RSS","Notificar baixo estoque via RSS"
"Not Visible Individually","Não Visível individualmente"
"Number of Products per Page","Número de Produtos por Página"
"Number of Products to Display","Número de Produtos a serem exibidos"
"Number of results","Número de resultados"
"Number of results (For the last time placed)","Número de resultados (Colocados pela última vez)"
"Number of Uses","Número de Usos"
"On Gesture","Em Gesto"
"Option:","Opção:"
"Options","Opções"
"Options Control","Controle de Opções"
"Options is required","Opções é obrigatório"
"Option validation failed to add product to cart.","Falha ao validar opção para adicionar o produto no carrinho."
"Option values","Valores da opção"
"Out of Stock","Fora de estoque"
"Out of stock","Fora de estoque"
"Pad resized images to exact dimensions with background color","Imagens redimensionadas para dimensões exatas com cor de fundo"
"Page Title Separator","Separador Título da Página"
"Parent category is equal to child category.","A categoria pai é igual à categoria filha."
"Parent category was not found.","Categoria pai não foi encontrada."
"Parent Products","Produtos Pai"
"Pending","PENDENTE"
"Pending Reviews RSS","Avaliações RSS Pendentes"
"Percentage","Porcentagem"
"per page","Por página"
"Please add rows to option.","Por favor, adicione linhas à opção."
"Please click on the Close Window button if it is not closed automatically.","Clique no botão Fechar Janela se não for fechado automaticamente."
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Por favor, atualize ""Catálogo URL Reescrita"" e ""Atributos de Produtos"" em Sistema -&gt; <a href=""%s"">Gerenciamento de Índice</a>"
"Please select a file for the required option ""%s"".","Por favor, selecione um arquivo para a opção necessária ""%s""."
"Please select a parent category before adding a new one.","Por favor, selecione uma categoria principal antes de adicionar uma nova."
"Please select a static block ...","Por favor selecione um bloco estático..."
"Please select items.","Por favor, selecione itens."
"Please select one or more attributes.","Por favor selecione um ou mais atributos."
"Please select product(s).","Selecione produto(s)."
"Please select products for attributes update","Por favor, selecione produtos para atualização de atributos"
"Please specify date required option <em>%s</em>.","Por favor, especifique a opção necessária de data <em>%s</em>."
"Please specify the number of products, that will not be divided into subintervals.","Por favor, especifique o número de produtos, que não serão divididos em subintervalos."
"Please specify the product's option(s).","Por favor, especifique as opções do produto."
"Please specify the product's required option(s).","Por favor, especifique as opções necessárias do produto."
"Please specify the product required option(s)","Por favor, especifique as opções necessárias do produto"
"Please specify the product required option <em>%s</em>.","Por favor, especifique a opção necessária do produto <em>%s</em>."
"Please specify the quantity of product(s).","Informe a quantidade de produto(s)."
"Please specify time required option <em>%s</em>.","Por favor, especifique a opção de tempo necessário <em>%s</em>."
"Please wait...","Por favor, aguarde..."
"Position","Posição"
"Position in Layered Navigation","Posição na Camada de Navegação"
"Position of attribute in layered navigation block","Posição do atributo no bloco de navegação em camadas."
"Prev","Anterior"
"Previous","Anterior"
"Price","Quantidade"
"Price:","Preço:"
"Price: %s","Preço: %s"
"Price Navigation Step Calculation","Navegação de Preço Passo Cálculo"
"Price Type","Tipo de preço"
"Price values for options should be specified in system base currency.","Os valores de preço para opções devem ser especificados na moeda base do sistema."
"Product","Produto:"
"Product Alerts","Alertas de Produto"
"Product API","API do Produto"
"Product Attribute","Atributos do Produto"
"Product Attributes","Atributos do Produto"
"Product attributes API","API Atributos do Produto"
"Product attribute sets API","API Conjuntos de atributos do produto"
"Product Categories","Categorias de Produto"
"Product collection expected.","Coleção de produtos esperada."
"Product Extra Info","Informação extra do produto"
"Product Flat Data","Produto plano dados"
"Product ID","ID do Produto"
"Product Image","Imagem Produto"
"Product Image Placeholders","Espaçadores da Imagem do Produto"
"Product Images","Imagens do produto"
"Product Images API","API Imagens do Produto"
"Product Image Watermarks","Marcas d'água do produto"
"Product Info Column","Info Coluna de Produto"
"Product Information","Informação do Produto"
"Product In Websites","Produto em Sites"
"Product is not loaded","Produto não está carregado"
"Product Link Block Template","Template Bloco de Link do Produto"
"Product Link Inline Template","Modelo Inline de Link do Produto"
"Product links API (related, cross sells, up sells)","API de links do produto (relacionados, vendas cruzadas, vendas up)"
"Product Listing Sort by","Lista de Produtos Ordenada por"
"Product Name","Nome do Produto"
"Product Prices","Preços Produtos"
"Product Reviews","Avaliações do Produto"
"Products","produtos"
"products","Produtos"
"Products Comparison List","Lista de Comparação de Produtos"
"Products count","Contagem de produtos"
"Products Information","Informação do produto"
"Products only","Somente produtos"
