"""Remember Me"" Default Value","Valor padrão ""Me Lembrar"""
"Date Added","Data de inclusão"
"Date of Birth","Data de nascimento"
"Day","dia"
"Days in Wishlist","Dias na Lista de Desejos"
"DD","DD"
"Default Addresses","Endereços Padrão"
"Default Billing Address","Endereço de Cobrança Padrão"
"Default Email Domain","Domínio de e-mail padrão"
"Default Group","Grupo padrão"
"Default Shipping Address","Endereço de Entrega Principal"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Valor padrão para Desabilitar alterações automáticas de grupo baseadas no ID do IVA"
"Default Welcome Email","E-mail de Boas-Vindas Padrão"
"Delete","excluir"
"Delete Address","Excluir endereço"
"Delete Customer","Excluir Cliente"
"Delete customer","Excluir cliente"
"Delete customer address","Excluir endereço do cliente"
"Delete Customer Group","Excluir Grupo de Clientes"
"Deleted Stores","Lojas excluídas"
"Details","detalhes"
"Disabled","Desabilitado"
"Edit","Alterar"
"Edit Account Info","Editar Informações da Conta"
"Edit Account Information","Editar Informações da Conta"
"Edit Address","Editar Endereço"
"Edit Customer's Address","Editar endereço do cliente"
"Edit Customer Group ""%s""","Editar Grupo de Clientes ""%s"""
"Edit Customer Groups","Editar Grupos de Clientes"
"Edit Group","Editar Grupo"
"Email","e-mail"
"Email:","Email:"
"Email Address","Endereço de e-mail"
"Email Link to Set Password","Link de e-mail para definir senha"
"Email Link to Set Password on New Account","Link de e-mail para definir a senha em nova conta"
"Email Link to Set Password Options","Link de e-mail para definir opções de senha"
"Email Sender","Remetente do e-mail"
"Email Template","Modelo De E-Mail"
"Enable ""Remember Me""","Ativar ""Me Lembrar"""
"Enable Automatic Assignment to Customer Group","Ativar a atribuição automática ao grupo de clientes"
"Enable Customer Accounts in Frontend","Habilitar contas de clientes no Frontend"
"Enable Magic Link Login","Ativar Login no Link Mágico"
"Enable Real-time VAT Validation","Habilitar validação do imposto em tempo real"
"Excel XML","Excel XML"
"Failed to confirm customer account.","Falha ao confirmar conta de cliente."
"Fax","Fax"
"First Name","Primeiro nome"
"Forgot and Remind Email Sender","Remetente do E-mail foi esquecido e lembrado"
"Forgot Email Template","Template de e-mail esquecido"
"Forgot Password","Esqueci a Senha"
"Forgot password flow secure","Esqueceu a segurança do fluxo de senha"
"Forgot password requests to times per 24 hours from 1 e-mail","Esqueceu a senha pedidos por 24 horas a partir de 1 e-mail"
"Forgot password requests to times per hour from 1 IP","Esqueceu as solicitações de senha para vezes por hora de 1 IP"
"Forgot Your Password","Esqueceu sua senha"
"Forgot Your Password?","Esqueceu sua senha?"
"Form Fields Before","Antes dos campos do formulário"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","A partir do painel Meu Conta, você pode visualizar um snapshot da atividade recente da sua conta e atualizar suas informações de conta. Selecione um link abaixo para visualizar ou editar informações."
"Gender","Gênero"
"Gender is required.","Sexo é obrigatório."
"Generate Human-Friendly Customer ID","Gerar ID Amigável para Cliente"
"Global","Global"
"Group","grupo"
"Group for Invalid VAT ID","Grupo de CPF/CNPJ inválido"
"Group for Valid VAT ID - Domestic","Grupo de CPF/CNPJ válido - Doméstico"
"Group for Valid VAT ID - Intra-Union","Grupo de CPF/CNPJ válido - Intra-Union"
"Group Information","Informações do Grupo"
"Group Name","Nome do Grupo"
"Guest","Visitante"
"Hello, %s!","Olá, %s!"
"How long the magic link remains valid. Default: 10 minutes.","Quanto tempo o link mágico permanece válido. Padrão: 10 minutos."
"How long to cache VIES validation results. Set to 0 to disable caching.","Quanto tempo para armazenar os resultados de validação de VIES. Defina como 0 para desabilitar o cache."
"HTML","HTML"
"ID","ID"
"If there is an account associated with %s you will receive an email with a login link.","Se houver uma conta associada a %s você receberá um e-mail com um link de login."
"If VIES service is down, accept VAT numbers that pass format validation.","Se o serviço VIES estiver baixo, aceite números de IVA que passem na validação de formato."
"If you are a registered VAT customer, please <a href=""%s"">click here</a> to enter you billing address for proper VAT calculation","If you are a registered VAT customer, please <a href=""%s"">click here</a> to enter you billing address for proper VAT calculation"
"If you are a registered VAT customer, please <a href=""%s"">click here</a> to enter you shipping address for proper VAT calculation","If you are a registered VAT customer, please <a href=""%s"">click here</a> to enter you shipping address for proper VAT calculation"
"If you believe this is an error, please contact us at %s","Se você acredita que isso é um erro, por favor contate-nos em %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Opção de atributo inválido especificada para o atributo %s (%s), ignorando registro."
"Invalid attribute set specified, skipping the record.","Conjunto de atributos especificados inválidos, ignorando registro."
"Invalid billing address for (%s)","Endereço de cobrança inválido para (%s)"
"Invalid current password","Senha atual inválida"
"Invalid customer data","Dados do cliente inválidos"
"Invalid email address ""%s"".","Endereço de e-mail inválido ""%s""."
"Invalid email address.","Endereço de e-mail inválido"
"Invalid form key. Please refresh the page.","Chave de formulário inválida. Por favor, atualize a página."
"Invalid login link.","Link de login inválido."
"Invalid login or password.","Login ou senha inválidos."
"Invalid or expired login link.","Link de login inválido ou expirado."
"Invalid password reset customer Id.","ID do cliente de redefinição de senha inválido."
"Invalid password reset token.","Token de redefinição de senha inválido."
"Invalid request method.","Método de solicitação inválido."
"Invalid shipping address for (%s)","Endereço de envio inválido para (%s)"
"Invalid store specified, skipping the record.","Loja especificada inválida, ignorando registro."
"Invalid VAT number format for %s.","Formato de número VAT inválido para %s."
"Invalid website, skipping the record, line: %s","Site inválido, ignorando registro, linha: %s"
"IP Address","Endereço IP"
"Last Activity","Última atividade"
"Last Date Subscribed","Data da Última Assinatura"
"Last Date Unsubscribed","Última data de cancelamento"
"Last Name","Último Nome"
"Last URL","Última URL"
"Leave empty for default (2). Valid range: 1-4","Deixe em branco para padrão (2). Intervalo válido: 1-4"
"Leave empty for default (15 minutes).","Deixe em branco para o padrão (15 minutos)."
"Lifetime Sales","Vendas Vitalícias"
"Log In","Iniciar sessão"
"Login","Conectar-se"
"Login and password are required.","Login e senha são obrigatórios."
"Login Form","Formulário de Acesso"
"Login Information","Informações de Acesso"
"Login Options","Opções de login"
"Login with Magic Link","Login com Magic Link"
"Logout","Desconectar"
"Log Out","Encerrar Sessão"
"Magic Link Email Sender","Remetente do E-mail de Link Mágico"
"Magic Link Email Template","Modelo de E-mail de Link Mágico"
"Magic Link Login","Login de Link Mágico"
"Magic Link Rate Limit - Email (requests per hour)","Limite de Taxa de Link Mágico - e-Mail (solicitações por hora)"
"Magic Link Rate Limit - IP (requests per hour)","Limite de Taxa de Link Mágico - IP (solicitações por hora)"
"Magic Link Registration Password Requirement","Requisito de Senha do Registro Magic Link"
"Magic Link Token Expiration (minutes)","Expiração do Token do Link Mágico (minutos)"
"Manage Addresses","Gerenciar endereços"
"Manage Customers","Gerenciar Clientes"
"Maximum length must be less then %s symbols","O comprimento máximo deve ser menor que o símbolo %s"
"Maximum magic link requests per email address per hour. Default: 3.","Máximo de solicitações mágicas de links por endereço de e-mail por hora. Padrão: 3."
"Maximum magic link requests per IP address per hour. Default: 10.","Máximo de solicitações mágicas de links por endereço IP por hora. Padrão: 10."
"Middle Name","Nome do Meio"
"Minimum admin password length","Comprimento mínimo da senha de administrador"
"Minimum password length","Tamanho mínimo da senha"
"Missing email, skipping the record, line: %s","Faltando e-mail, ignorando registro, linha: %s"
"Missing email, skipping the record.","Faltando e-mail, ignorando registro."
"Missing first name, skipping the record, line: %s","Falta o primeiro nome, ignorando registro, linha: %s"
"Missing firstname, skipping the record.","Faltando nome, ignorar o registro."
"Missing last name, skipping the record, line: %s","Falta o sobrenome, ignorando registro, linha: %s"
"Missing lastname, skipping the record.","Faltando sobrenome, ignorando registro."
"Missing website, skipping the record, line: %s","Faltando website, ignorando registro, linha: %s"
"MM","MM"
"Month","Mês"
"My Account","Minha conta"
"My Account Wrapper","Procurador de Conta"
"My Dashboard","Meu Painel"
"My Orders","Meus Pedidos"
"n/a","n/a"
"Name","Nome:"
"Name and Address Options","Opções de Nome e Endereço"
"Never","nunca"
"New account","Nova conta"
"New account confirmation key","Nova chave de confirmação de conta"
"New account confirmed","Nova conta confirmada"
"New Account Email Template","Novo modelo de e-mail de conta"
"New Address","Novo endereço"
"New Customer","Novo Cliente"
"New Customer Address","Novo Endereço de Cliente"
"New Customer Group","Novo Grupo de Cliente"
"New Customer Groups","Novo Grupo de Clientes"
"New Customers","Novos Clientes"
"New Group","Novo Grupo"
"New Password","Nova Palavra-Passe"
"New password field cannot be empty.","Campo de nova senha não pode estar vazio."
"Newsletter","Boletim"
"Newsletter Finish","Newsletter Terminada"
"Newsletter Information","Informação de Boletim"
"Newsletter Received","Newsletter Recebida"
"Newsletter Start","Newsletter Iniciada"
"Newsletter Subscription","Assinar Newsletter"
"No customer collections found","Nenhuma coleção de cliente encontrada"
"No Items Found","Nenhum item encontrado"
"No item specified.","Nenhum item especificado."
"No Newsletter Found","Nenhuma newsletter foi encontrada"
"No Password (Full Passwordless)","Sem senha (Full Passwordless)"
"Not confirmed, can login","Não confirmado, pode acessar"
"Not confirmed, cannot login","Não confirmado, não é possível acessar"
"Not Sent","Não Enviado"
"Number of Lines in a Street Address ","Numero de Linhas em Endereço "
"Offline","Desconectado"
"Online","Disponível"
"Online Customers","Clientes Online"
"Online Customers Options","Opções de Clientes Online"
"Online Minutes Interval","Intervalo de Minutos Online"
"or","ou"
"Order #","Pedido #"
"Orders","Encomendas"
"Order Total","Total de pedidos"
"Password","Palavra-passe"
"Password:","Senha:"
"Password forgotten","Senha esquecida"
"Password Management","Gerenciamento de senhas"
"Password Options","Opções de senha"
"Paused","Pausado"
"PDF","Pdf"
"Pending","PENDENTE"
"Personal Information","Informações Pessoais"
"Per Website","Por site"
"Please, check your email for confirmation key.","Por favor, verifique a chave de confirmação em seu e-mail."
"Please enter a number 1 or greater in this field.","Por favor, insira um número igual ou superior neste campo."
"Please enter a number 7 or greater in this field.","Por favor, insira um número igual ou superior neste campo."
"Please enter a password with at most %s characters.","Por favor, digite uma senha com no máximo %s caracteres."
"Please enter a valid date between %s and %s at %s.","Por favor, insira uma data válida entre %s e %s ao %s."
"Please enter a valid date equal to or greater than %s at %s.","Por favor, insira uma data válida igual ou maior que %s a %s."
"Please enter a valid date less than or equal to %s at %s.","Por favor, insira uma data válida menor ou igual a %s a %s."
"Please enter the city.","Por favor, insira a cidade."
"Please enter the country.","Por favor, indique o país."
"Please enter the first name.","Por favor, digite o primeiro nome."
"Please enter the last name.","Por favor, insira o sobrenome."
"Please enter the state/province.","Por favor, selecione o estado."
"Please enter the street.","Por favor, insira a rua."
"Please enter the telephone number.","Por favor, insira o número do telefone."
"Please enter the zip/postal code.","Por favor, informe o CEP."
"Please enter your email.","Por favor, insira o seu e-mail."
"Please enter your email below and we'll send you confirmation link for it.","Por favor, digite seu email abaixo e enviaremos um link de confirmação para ele."
"Please make sure your passwords match.","Certifique-se de que as senhas correspondem."
"Please select","Por favor selecione"
"Please select a website which contains store view","Selecione um site que contenha vista de loja"
"Please select region, state or province","Por favor, selecione uma região, estado ou província"
"Prefix Dropdown Options","Prefixo Opções Dropdown"
"Price","Quantidade"
"Product","Produto:"
"Product ID","ID do Produto"
"Product Name","Nome do Produto"
"Product Reviews","Avaliações do Produto"
"Product Tags","Tags de Produto"
"Provided address does not belong to the logged in customer.","O endereço fornecido não pertence ao cliente logado."
"Purchased On","Comprado Em"
"Purchase On","Comprar em"
"Qty","Quantidade"
"Recent Orders","Pedidos Recentes"
"Records for %s store found.","Registros para loja %s encontrados."
"Recovery Link Expiration Period (hours)","Período de Recuperação de Link Expirado (horas)"
"Redirect Customer to Account Dashboard after Logging in","Redirecionar Cliente para Painel da Conta depois de iniciar sessão"
"Refunded","Reembolsado"
"Register","Cadastrar"
"Registration Form","Formulário de Inscrição"
"Registration successful, but we could not send the login link. Please use the login page.","Registro bem sucedido, mas não foi possível enviar o link de login. Por favor, utilize a página de login."
"Remember Me","Lembrar de mim"
"Remind Email Template","Lembrar modelo de e-mail"
"Remind Password","Lembrar senha"
"Remove","Excluir"
"Remove address","Remover endereço"
"Require admin user to change user password","Exigir que o administrador altere a senha do usuário"
"Require Emails Confirmation","Exigir confirmação de e-mails"
"Require Password (Default)","Exigir Senha (Padrão)"
"Reset a Password","Redefinir uma senha"
"Retrieve address data","Recuperar dados de endereço"
"Retrieve address info","Recuperar informações de endereço"
"Retrieve customer addresses","Recuperar endereços de cliente"
"Retrieve customer data","Recuperar dados do cliente"
"Retrieve customer groups","Recuperar grupos de clientes"
"Retrieve customer info","Recuperar informações de cliente"
"Retrieve customers","Recuperar clientes"
"Retrieve your confirmation link here","Recupere o seu link de confirmação aqui"
"Retrieve your password","Recuperar sua senha"
"Sales Statistics","Estatísticas de Vendas"
"Save","Guardar"
"Save Address","Salvar endereço"
"Save and Continue Edit","Salvar e Continuar Editar"
"Save Customer","Salvar Cliente"
"Save Customer Group","Salvar Grupo de Cliente"
"Saved %d record(s)","Guardado %d registro(s)"
"Save in address book","Salvar no catálogo de endereços"
"Semicolon (;) separated values.<br>Put semicolon in the beginning for empty first option.<br>Leave empty for open text field.","Semicolon (;) separated values.<br>Put semicolon in the beginning for empty first option.<br>Leave empty for open text field."
"Send confirmation link","Enviar link de confirmação"
"Send From","Enviar De"
"Sending","Enviando"
"Send Welcome Email","Enviar Email de Boas-Vindas"
"Send Welcome Email after Confirmation","Enviar Email de Boas-Vindas Após Confirmação"
"Sent","Enviado"
"Session Start Time","Hora de início da sessão"
"Set as Default Billing Address","Definir como endereço de cobrança padrão"
"Set as Default Shipping Address","Definir como Endereço de Entrega Padrão"
"Share Customer Accounts","Compartilhar contas de clientes"
"Shipped to Name","Entregue para Nome"
"Shopping Cart","Carrinho de Compras"
"Shopping Cart - %d item(s)","Carrinho de compras - %d item(s)"
"Shopping Cart of %1$s - %2$d item(s)","Carrinho de compras de %1$s - Itens %2$d"
"Show Date of Birth","Exibir Data de Nascimento"
"Show Gender","Mostrar Sexo Sexual"
"Show Middle Name (initial)","Mostrar Nome do Meio (inicial)"
"Show Prefix","Mostrar Prefixo"
"Show Suffix","Show Suffix"
"Show Tax/VAT Number","Mostrar CPF/CNPJ"
"Show VAT Number on Frontend","Mostrar número VAT no Frontend"
"Sign Up for Newsletter","Assinar a Newsletter"
"Skipping import row, required field ""%s"" is not defined.","Ignorando linha de importação, campo obrigatório ""%s"" não está definido."
"Skipping import row, website ""%s"" field does not exist.","Ignorando linha de importação, website ""%s"" campo não existe."
"SKU","Código"
"State/Province","Estado/província"
"Status","SItuação"
"Store","Armazém"
"Store View","Visão de Loja"
"Street Address","Endereço da rua"
"Street Address %s","Endereço da rua %s"
"Subject","Cargo"
"Submit","submeter"
"Subscribed to Newsletter?","Assinar Newsletter?"
"Subscribe to Newsletter","Assinar boletim informativo"
"Suffix Dropdown Options","Opções de Sufixo Dropdown"
"Tag Name","Nome do Marcador"
"Tax/VAT number","Número de Imposto/IVA"
"Tax Calculation Based On","Cálculo do Imposto Baseado em"
"Tax Class","Classe de impostos"
"Telephone","Telefone"
"Text","texto"
"Text One Line","Uma linha de texto"
"Thank you for registering! We have sent you an email with a login link to %s.","Obrigado por se registrar! Enviamos um e-mail para você com um link de login para %s."
"Thank you for registering with %s.","Obrigado por registrar-se na %s."
"The account information has been saved.","As informações da conta foram salvas."
"The address does not belong to this customer.","O endereço não pertence a este cliente."
"The address has been deleted.","O endereço foi excluído."
"The address has been saved.","O endereço foi salvo."
"The customer does not have default billing address.","O cliente não possui um endereço de cobrança padrão."
"The customer email (%s) already exists, skipping the record, line: %s","O e-mail do cliente (%s) já existe, ignorando registro, linha: %s"
"The customer group has been deleted.","O grupo de cliente foi excluído."
"The customer group has been saved.","O grupo de cliente foi salvo."
"The customer ID and email did not match, skipping the record, line: %s","A ID do cliente e o email não correspondem, ignorando registro, linha: %s"
"The customer is currently assigned to Customer Group %s.","O cliente atualmente faz parte do grupo de clientes %s."
"The Date of Birth is required.","Data de Nascimento é requerida"
"The first name cannot be empty.","O primeiro nome não pode estar vazio."
"The group ""%s"" cannot be deleted","O grupo ""%s"" não pode ser excluído"
"The last name cannot be empty.","O sobrenome não pode ser vazio."
"The minimum password length is %s","O comprimento mínimo da senha é %s"
"The password cannot be empty.","Senha não pode estar vazia."
"The password must have at least %d characters. Leading or trailing spaces will be ignored.","A senha deve ter pelo menos %d caracteres. Espaços a esquerda ou a direita serão ignorados."
"There are no items in customer's shopping cart at the moment","Não existem itens no carrinho de compras do cliente neste momento"
"There are no items in customer's wishlist at the moment","Não existem itens na lista de desejos do cliente neste momento"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account."
"There was an error validating the VAT ID.","Houve um erro ao validar o VAT ID."
"There was an error validating the VAT ID. The customer would belong to Customer Group %s.","Ocorreu um erro ao validar o CPF/CNPJ. O cliente pertenceria ao Grupo de Clientes %s."
"The suffix that goes after name (Jr., Sr., etc.)","O sufixo que vai depois de nome (Jr., Sr., etc.)"
"The TAX/VAT number is required.","O número de TAX/IVA é obrigatório."
"The title that goes before name (Mr., Mrs., etc.)","O título vem antes do nome (Mr., Mrs., etc.)"
"The VAT ID entered (%s) is not a valid VAT ID.","O ID de IVA informado (%s) não é um ID de IVA válido."
"The VAT ID entered (%s) is not a valid VAT ID. The customer would belong to Customer Group %s.","O CPF/CNPJ informado (%s) não é um ID de IVA válido. O cliente pertenceria ao Grupo de Cliente %s."
"The VAT ID is valid. The current Customer Group will be used.","O ID VAT é válido. O Grupo de Cliente atual será usado."
"This account is not active.","Esta conta não está ativa."
"This account is not confirmed.","Essa conta não está confirmada."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email."
"This customer email already exists","Este e-mail de cliente já existe"
"This customer has no saved addresses.","Este cliente não tem endereços salvos."
"This email does not require confirmation.","Este email não requer confirmação."
"This email is sent on checkbox <em>Email Link to Set Password</em> is checked on the customer page in backend.","Este e-mail é enviado na caixa de seleção <em>Link de e-mail para definir a senha</em> é verificado na página do cliente no administrador."
"This email will be sent instead of default welcome email, after account confirmation.","Este e-mail será enviado em vez do e-mail de boas-vindas padrão, após a confirmação de conta."
"This email with a link to set password is sent on new account creation in backend.","Este e-mail com um link para definir a senha é enviado na criação de uma nova conta no backend."
"To show VAT number on frontend, set Show VAT Number on Frontend option to Yes.","Para mostrar o número VAT no frontend, defina a opção Mostrar Número VAT no Frontend para Sim."
"Total","Total:"
"Type","tipo"
"Unable to validate VAT number. Please try again later.","Não foi possível validar o número do imposto. Tente novamente mais tarde."
"Unknown","Desconhecido"
"Unsubscribe from Newsletter","Cancelar assinatura de Newsletter"
"Update","Atualização"
"Update customer address data","Atualizar dados de endereço do cliente"
"Update customer data","Atualizar dados do cliente"
"Use as My Default Billing Address","Usar como Meu Endereço de Cobrança Padrão"
"Use as my default billing address","Usar como meu endereço de cobrança padrão"
"Use as My Default Shipping Address","Usar como Meu Endereço de Entrega Padrão"
"Use as my default shipping address","Usar como o meu endereço de entrega padrão"
"Validate on Each Transaction","Validar em Cada Transação"
"Validate VAT Number","Validar número VAT"
"Validate VAT numbers against the EU VIES service in real time on address forms.","Validar números de IVA contra o serviço VIES em tempo real nos formulários de endereços."
"Validation Error Group","Validação de Erro Grupo"
"VAT Number","Número de IVA"
"VAT number format is valid.","O formato de número VAT é válido."
"VAT number format is valid. VIES validation is not available for this country.","O formato de número VAT é válido. Validação de VIES não está disponível para este país."
"VAT number is not valid.","Número VAT não é válido."
"VAT number is required.","O número VAT é obrigatório."
"VAT number is valid.","Número VAT é válido."
"VAT Number Validation","Validação de Número VAT"
"VAT Request Date","Data da Requisição Impostos"
"VAT Request Identifier","CPF/CNPJ"
"VAT validation is not available for this country.","Validação de VAT não está disponível para este país."
"VIES service is unavailable. VAT format is valid.","O serviço VIES está indisponível. O formato de IVA é válido."
"View","Visualizar"
"View Order","Visualizar pedido"
"Visitor","Visitante"
"Visitors Only","Somente Visitantes"
"Warning: email containing password in plaintext will be sent.","Aviso: será enviado um e-mail contendo senha em texto simples."
"Website","site"
"Welcome, %s!","Bem-vindo, %s!"
"Welcome Email","E-mail de boas-vindas"
"When disabled, only guest checkout is available. Customer registration, login, and account pages are disabled.","Quando desativado, apenas check-out de convidados está disponível. O registro de clientes, o login e as páginas da conta estão desabilitados."
"Wishlist","Favoritos"
"Wishlist - %d item(s)","Lista de desejos - %d item(s)"
"Would you like to change the Customer Group for this order?","Gostaria de alterar o Grupo de Clientes para este pedido?"
"Wrong confirmation key.","Chave de confirmação errada."
"Wrong customer account specified.","Conta de cliente especificada errada."
"Wrong email.","E-mail errado."
"Wrong transactional account email type","Tipo de e-mail de conta transacional errado"
"Year","ano"
"You are currently subscribed to our newsletter.","Você está inscrito na nossa newsletter."
"You are not subscribed to our newsletter.","Você não está inscrito na nossa newsletter."
"You are now logged out","Agora você está desconectado"
"You have been successfully logged in.","Você foi logado com sucesso."
"You have exceeded magic link requests per hour from this email address.","Você excedeu solicitações de link mágicas por hora a partir deste endereço de e-mail."
"You have exceeded magic link requests per hour from this IP address.","Você excedeu solicitações de link mágicas por hora a partir deste endereço IP."
"You have exceeded requests to times per 24 hours from 1 e-mail.","Você excedeu solicitações a cada 24 horas a partir de um e-mail."
"You have exceeded requests to times per hour from 1 IP.","Você excedeu pedidos de vezes por hora a partir de 1 IP."
"You have logged out and will be redirected to our homepage in 5 seconds.","Você desconectou e será redirecionado para nossa página inicial em 5 segundos."
"You have no additional address entries in your address book.","Você não tem mais entradas de endereços no seu catálogo de endereços."
"You have no default billing address in your address book.","Você não tem um endereço de cobrança padrão em seu catálogo de endereços."
"You have no default shipping address in your address book.","Você não tem endereço de entrega padrão no seu catálogo de endereços."
"You have not set a default billing address.","Você não definiu um endereço de cobrança padrão."
"You have not set a default shipping address.","Você não definiu um endereço de entrega padrão."
"Your account balance is: %s","O saldo da sua conta é: %s"
"Your login link has expired. Please request a new one.","Seu link de login expirou. Por favor, solicite um novo."
"Your Tax ID cannot be validated.","Seu ID de imposto não pode ser validado."
"Your VAT ID was successfully validated.","Seu ID de IVA foi validado com sucesso."
