"%s was added to your shopping cart.","%s foi adicionado ao seu carrinho de compras."
"%s was updated in your shopping cart.","%s foi atualizado no seu carrinho de compras."
"(Excl. Tax)","(Excl. Imposto)"
"Get list of available shipping methods","Obter lista de métodos de envio disponíveis"
"Get list of products in shopping cart","Obter lista de produtos no carrinho de compras"
"Get terms and conditions","Obter termos e condições"
"Get total prices for shopping cart","Obter preços totais para o carrinho de compras"
"Gift card ""%s"" was removed.","Cartão de presente ""%s"" foi removido."
"Gift Card:","Cartão Presente:"
"Gift Message","Mensagem do presente"
"Grouped Product Image","Imagem de Produto Agrupado"
"Have an account?","Já tem uma conta?"
"HTML","HTML"
"ID","ID"
"If customer accounts are disabled in the frontend, guest checkout must remain enabled.","Se as contas de clientes estiverem desativadas no frontend, o checkout de convidados deve permanecer habilitado."
"Incl. Tax","Imposto Incl."
"Invalid data.","Dados inválidos."
"Invalid form key. Please refresh the page.","Chave de formulário inválida. Por favor, atualize a página."
"Invalid method: %s","Método inválido: %s"
"Invalid shipping method.","Método de envio inválido."
"Items","itens"
"Items After","Itens Após"
"Items Before","Itens antes"
"Item was removed successfully.","O item foi removido com sucesso."
"Item was updated successfully.","O item foi atualizado com sucesso."
"Load customer quote error","Erro ao carregar cotação do cliente"
"Loading next step...","Carregando o próximo passo..."
"Login","Conectar-se"
"Manage Terms and Conditions","Gerenciar os Termos e Condições"
"Mini-cart promotion block","Bloco de promoção Mini-carrinho"
"Minimum order amount is %s","Valor mínimo da ordem é %s"
"Move","Mover-se"
"Move to Wishlist","Mover para Lista de Desejos"
"Move to wishlist","Mover para lista de desejos"
"New Address","Novo endereço"
"New Condition","Nova Condição"
"New Terms and Conditions","Novos Termos e Condições"
"No Payment Methods","Nenhum método de pagamento"
"ok","Ok"
"One item of products do not have identifier or sku","Um item de produtos não tem identificador ou sku"
"One item of products is not belong any of quote item","Um item de produtos não pertence a nenhum item citado."
"One Page Checkout","One Page Checkout"
"One Page Checkout Failure","Falha no Checkout de Página Única"
"One Page Checkout Overview","Visão Geral de Uma Página Checkout"
"One Page Checkout Success","Uma Página Checkout com Sucesso"
"One Step Checkout","One Step Checkout"
"or","ou"
"Order #","Pedido #"
"Order Review","Revisão de pedido"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","ORDER TOTAL SERÁ EXIBIDO ANTES DE VOCÊ ENVIAR O ORDER"
"Password","Palavra-passe"
"Payment Failed Email Reciever","Pagamento falhou no E-mail de Recibo"
"Payment Failed Emails","Pagamento Falhou E-mails"
"Payment Failed Email Sender","Pagamento falhou no E-mail remetente"
"Payment Failed Template","Falha no pagamento"
"Payment Information","Informações de pagamento"
"Payment Method","Forma de pagamento"
"Payment method information","Informações método de pagamento"
"Payment Methods After Checkout Button","Métodos de pagamento após o botão Checkout"
"Payment Methods Before Checkout Button","Métodos de pagamento antes do botão Checkout"
"Payment methods in shopping cart","Métodos de pagamento no carrinho de compras"
"Payment profile # %s: ""%s"".","Perfil de pagamento # %s: ""%s""."
"Place Order","Confirmar o pedido"
"Please agree to all the terms and conditions before placing the order.","Por favor, concorde com todos os termos e condições antes de fazer o pedido."
"Please choose to register or to checkout as a guest","Por favor, cadastre-se ou finalize como convidado"
"Please enter a promo code.","Por favor, insira um código promocional."
"Please select a payment method.","Por favor, selecione um método de pagamento."
"Please select a shipping method.","Por favor, selecione um método de envio."
"Please select region, state or province","Por favor, selecione uma região, estado ou província"
"Please select shipping and payment methods before placing your order.","Por favor selecione métodos de envio e pagamento antes de colocar seu pedido."
"Please specify payment method.","Por favor, selecione a forma de pagamento."
"Please specify shipping method.","Por favor, especifique o método de envio."
"Price","Quantidade"
"Proceed to Checkout","Finalizar Compra"
"Product","Produto:"
"Product Name","Nome do Produto"
"Product not found.","Produto não encontrado."
"Products","produtos"
"Promo code ""%s"" is not valid.","Código promocional ""%s"" não é válido."
"Qty","Quantidade"
"Qty:","Qtd:"
"Quantity","Quantidade"
"Quantity was recalculated from %d to %d","Quantidade foi recalculada de %d para %d"
"Quote item does not exist.","Cotação de item não existe."
"Quote item is not found.","Cotação de item não encontrada."
"Quote Lifetime (days)","Vitalício de Cotação (dias)"
"Register","Cadastrar"
"Remove","Excluir"
"Remove coupon code from shopping cart","Remover o cupom do carrinho de compras"
"Remove Item","Remover Item"
"Remove product(s) from shopping cart","Remover produto(s) do carrinho de compras"
"Remove product from shopping cart","Remover produto do carrinho de compras"
"Remove This Item","Remover este item"
"Retrieve information about shopping cart","Recuperar informações sobre o carrinho"
"Sales","vendas"
"Save Condition","Salvar Condição"
"Save in address book","Salvar no catálogo de endereços"
"See price before order confirmation.","Ver preço antes de confirmar pedido."
"Select a billing address from your address book or enter a new address.","Selecione um endereço de cobrança a partir da lista de endereços ou digite um novo endereço"
"Select a shipping address from your address book or enter a new address.","Selecione um endereço de entrega a partir da lista de endereços ou digite um novo endereço"
"Send Payment Failed Email Copy Method","Enviar falha de pagamento E-mail método de cópia"
"Send Payment Failed Email Copy To","Enviar cópia de pagamento falhou para"
"Separate by "","".","Separado por "",""."
"Set customer's addresses in shopping cart","Configura endereços do cliente no carrinho de compras"
"Set customer for shopping cart","Configura cliente para o carrinho de compras"
"Set payment method","Configura método de pagamento"
"Set shipping method","Definir método de envio"
"Shipping Address","Endereço de Entrega"
"Shipping Information","Informações de Envio"
"Shipping information","Informações de envio"
"Shipping Method","Forma de Envio"
"Shipping method has not been selected yet","Método de envio ainda não foi selecionado"
"Shipping Methods","Métodos de Envio"
"Shipping methods in shopping cart","Métodos de envio no carrinho de compras"
"Ship to different address","Enviar para outro endereço"
"Ship to this address","Envie para este endereço"
"Shopping Cart","Carrinho de Compras"
"Shopping cart ability to set coupon code","Capacidade de carrinho de compras para definir o código de cupom"
"Shopping Cart is Empty","Carrinho de compras está vazio"
"Shopping cart items","Carrinho de Compras itens"
"Shopping Cart Items After","Carrinho de Compras Após"
"Shopping Cart Items Before","Itens do Carrinho de Compras Antes"
"Shopping Cart Sidebar Extra Actions","Ações extras da barra lateral de carrinho de compras"
"Show Content as","Exibir Conteúdo como"
"Shows only logo header during checkout, removes navigation and footer for a distraction-free experience","Mostra apenas o cabeçalho da logo durante o checkout, remove navegação e rodapé para uma experiência livre de distrações"
"SKU","Código"
"Some of the requested products are not available in the desired quantity.","Alguns dos produtos solicitados não estão disponíveis na quantidade desejada."
"Some of the requested products are unavailable.","Alguns dos produtos solicitados não estão disponíveis."
"Some products quantities were recalculated because of quantity increment mismatch","Algumas quantidades de produtos foram recalculadas por causa da incompatibilidade da quantidade de incremento"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Desculpe, check-out não está habilitado. Por favor tente novamente ou entre em contato com o proprietário da loja."
"Sorry, no quotes are available for this order at this time.","Desculpe-nos, sem cotação disponível para este pedido neste momento."
"State/Province","Estado/província"
"Status","SItuação"
"Store View","Visão de Loja"
"Street Address","Endereço da rua"
"Street Address %s","Endereço da rua %s"
"Submitting order information...","Enviando informações do pedido..."
"Subtotal","Sub-total"
"Subtotal must exceed minimum order amount","Subtotal deve exceder o valor mínimo do pedido"
"Summary","Summary"
"Telephone","Telefone"
"Terms and Conditions","Termos e Condições"
"Terms and Conditions Information","Informações de Termos e Condições"
"Text","texto"
"Thank you for your purchase!","Obrigado por sua compra!"
"The condition has been deleted","A condição foi eliminada"
"The condition has been saved.","A condição foi salva."
"The onepage checkout is disabled.","O pagamento em uma página está desativado."
"The product could not be found.","O produto não pode ser encontrado."
"The product does not exist.","O produto não existe."
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Já existe um cliente registrado usando este endereço de e-mail. Faça login usando este endereço de e-mail ou digite um endereço de e-mail diferente para registrar sua conta."
"There was an error processing your order. Please contact us or try again later.","Ocorreu um erro ao processar o seu pedido. Entre em contato conosco ou tente novamente mais tarde."
"This condition no longer exists.","Esta condição não existe mais."
"Total","Total:"
"Total quantity (2 shirts + 3 pants = 5)","Quantidade total (2 camisas + 3 calças = 5)"
"Unable to remove promo code.","Não foi possível remover o código promocional."
"Unable to set Payment Method.","Não foi possível definir o método de pagamento."
"Unique products (2 different products = 2)","Produtos únicos (2 produtos diferentes = 2)"
"Unit Price","Preço unitário"
"Update","Atualização"
"Update Cart","Atualizar Carrinho"
"Update product(s) quantities in shopping cart","Atualizar quantidades do(s) produto(s) no carrinho de compras"
"Update product quantities in shopping cart","Atualizar quantidades do produto no carrinho de compras"
"Update Shopping Cart","Atualizar Carrinho de Compras"
"Update Total","Total de atualização"
"Use Billing Address","Usar endereço de cobrança"
"Use Minimal Checkout Layout","Use Layout Mínimo de Checkout"
"VAT Number","Número de IVA"
"View Shopping Cart","Ver Carrinho de Compras"
"Waiting for address...","Aguardando o endereço..."
"Waiting for shipping method...","Aguardando método de envio..."
"What's this?","O que é isto?"
"You have no items in your shopping cart.","Você não tem itens no seu carrinho de compras."
"You may be interested in the following items","Você pode estar interessado nos seguintes itens"
"Your billing agreement # is: %s.","Seu acordo de cobrança # é: %s."
"Your Checkout Progress","Seu Progresso de Checkout"
"Your order # is: %s.","Seu pedido # é: %s."
"Your order cannot be completed at this time as there are no payment methods available for it.","Seu pedido não pode ser concluído no momento, pois não há métodos de pagamento disponíveis para ele."
"Your order cannot be completed at this time as there are no shipping methods available for it. Please make necessary changes in your shipping address.","Seu pedido não pode ser concluído neste momento, pois não existem métodos de envio disponíveis para ele. Por favor, faça as alterações necessárias no seu endereço de envio."
"Your order has been received.","Seu pedido foi recebido."
"Your recurring payment profiles:","Seus perfis de pagamento recorrentes:"
"Your shopping cart is empty.","Seu carrinho de compras está vazio."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Você receberá um e-mail de confirmação do seu pedido com detalhes do seu pedido e um link para acompanhar o seu progresso."
"Zip","CEP"
"Zip/Postal Code","CEP/Código Postal"
