"Controller file was loaded but class does not exist","Ficheiro de controlo foi carregado, mas a classe não existe","","","","","",""
"Cookie Domain","Domínio do Cookie","","","","","",""
"Cookie Lifetime","Tempo de Vida do Cookie","","","","","",""
"Cookie Path","Caminho do Cookie","","","","","",""
"Cookie Restriction Mode","Modo de Restrição de Cookies","","","","","",""
"Copyright","Direitos de Autor","","","","","",""
"Core","Núcleo","","","","","",""
"Countries Options","Opções de Países","","","","","",""
"Country","País","","","","","",""
"Create Store","Criar Loja","","","","","",""
"Create Store View","Criar Vista de Loja","","","","","",""
"Create Website","Criar Website","","","","","",""
"Credit card number does not match credit card type.","Número de cartão de crédito não coincide com o tipo de cartão de crédito.","","","","","",""
"Cron Expression for Cache Flushing","Expressão Cron para Limpeza de Cache","","","","","",""
"Current Package Name","Nome do Pacote Atual","","","","","",""
"Custom Admin Path","Caminho de Administração Personalizado","","","","","",""
"Custom Admin URL","URL de Administração Personalizado","","","","","",""
"Custom Design","Design personalizado","","","","","",""
"Custom Email 1","Email Personalizado 1","","","","","",""
"Custom Email 2","Email Personalizado 2","","","","","",""
"Custom Variables","Variáveis Personalizadas","","","","","",""
"Custom1 Contact Email","Email de Contato Personalizado1","","","","","",""
"Custom1 Contact Name","Nome de Contato Personalizado1","","","","","",""
"Custom2 Contact Email","Email de Contato Personalizado2","","","","","",""
"Custom2 Contact Name","Nome de Contato Personalizado2","","","","","",""
"Customer Support","Apoio ao Cliente","","","","","",""
"Dashboard","Painel de Administração","","","","","",""
"Date From","Data desde","","","","","",""
"Date To","Data até","","","","","",""
"Date/time format ""%s"" is not supported.","Formato de data/hora ""%s"" não é suportado.","","","","","",""
"Debug","Depurar","","","","","",""
"Default","Pré-definido","","","","","",""
"Default Country","País Pré-defindo","","","","","",""
"Default Description","Descrição Padrão","","","","","",""
"Default Keywords","Palavras-Chave Padrão","","","","","",""
"Default No-route URL","URL No-route Pré-definido","","","","","",""
"Default Pages","Páginas pré-definidas","","","","","",""
"Default Robots","Robôs Pré-definidos","","","","","",""
"Default Store","Loja por omissão","","","","","",""
"Default Store View","Vista de Loja por omissão","","","","","",""
"Default Title","Título por Omissão","","","","","",""
"Default Web URL","URL Web Pré-definido","","","","","",""
"Delete","Eliminar","","","","","",""
"Delete Store","Apagar Loja","","","","","",""
"Delete Store View","Apagar Vista de Loja","","","","","",""
"Delete Website","Eliminar Website","","","","","",""
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Eliminar um(a) %1$s não eliminará as informações associadas ao(a) %1$s (ex.: categorias, produtos, etc.), mas o(a) %1$s não poderá ser restaurado. É sugerido que você crie um backup de banco de dados antes de eliminar o(a) %1$s.","","","","","",""
"Design","Projetar","","","","","",""
"Design Change","Alteração ao Design","","","","","",""
"Developer","Programador","","","","","",""
"Developer Client Restrictions","Restrições de Cliente para Developers","","","","","",""
"Disable Email Communications","Desativar Comunicações por Email","","","","","",""
"Disable Modules Output","Desativar o Output dos Módulos","","","","","",""
"Disallowed block name for frontend.","Nome de bloco não permitido para frontend.","","","","","",""
"Disallowed template variable method.","Método de variável de template não permitido.","","","","","",""
"Display Demo Store Notice","Mostrar Aviso de Loja de Demonstração","","","","","",""
"Duplicate Of Template Name","Duplicado do Nome do Template","","","","","",""
"Edit Design Change","Editar Alteração de Design","","","","","",""
"Edit Store","Editar Loja","","","","","",""
"Edit Store View","Editar Vista de Loja","","","","","",""
"Edit Website","Editar Website","","","","","",""
"Email - Footer","E-mail - Rodapé","","","","","",""
"Email - Header","Email - Cabeçalho","","","","","",""
"Email Footer Template","Modelo de Rodapé de Email","","","","","",""
"Email Header Template","Modelo de Cabeçalho de Email","","","","","",""
"Empty identifier field name","Campo de nome de identificador vazio","","","","","",""
"Empty main table name","Nome da tabela principal vazio","","","","","",""
"Enable Charts","Ativar Gráficos","","","","","",""
"Enabled","Ativo","","","","","",""
"Enabled for Admin","Ativado para Adminstradores","","","","","",""
"Enabled for Frontend","Activado para Frontend","","","","","",""
"Enabling ability to run Maho in a frame is not recommended for security reasons.","Ativar a capacidade de executar o Maho em um quadro não é recomendado por motivos de segurança.","","","","","",""
"Error in file: ""%s"" - %s","Erro no ficheiro: ""%s"" - %s","","","","","",""
"European Union Countries","Países da União Europeia","","","","","",""
"Exceptions Log File Name","Ficheiro de Registo de Exceções","","","","","",""
"Favicon Icon","Ícone Favicon","","","","","",""
"File %s does not exist","Ficheiro %s não existe","","","","","",""
"File %s is not readable","Ficheiro %s não é legível","","","","","",""
"File name is too long. Maximum length is %s.","O nome do ficheiro é demasiado longo. Comprimento máximo é %s.","","","","","",""
"File not found","Ficheiro não encontrado","","","","","",""
"File system","Sistema de ficheiros","","","","","",""
"File type for image conversions","File type for image conversions","","","","","",""
"File with an extension ""%value%"" is protected and cannot be uploaded","O ficheiro com a extensão ""%value%"" está protegido e não pode ser carregado","","","","","",""
"First Day of Week","Primeiro Dia da Semana","","","","","",""
"Flush Cache Storage","Descarregar o armazenamento em Cache","","","","","",""
"Flush & Apply Updates","Limpar & Aplicar Atualizações","","","","","",""
"Footer","Rodapé","","","","","",""
"Forgot Password Email Sender","Remetente de Email de Palavra-Passe Esquecida","","","","","",""
"Forgot Password Email Template","Template de Email para Esqueci-me da Palavra-passe","","","","","",""
"General","Geral","","","","","",""
"General Contact","Contacto Geral","","","","","",""
"General Contact Email","Endereço de Email de Contato Geral","","","","","",""
"General Contact Name","Nome de Contato Geral","","","","","",""
"General Settings","Definições Gerais","","","","","",""
"Get info about current Maho installation","Obter informações sobre a instalação atual do Maho","","","","","",""
"Global","Global","","","","","",""
"HTML Head","Head HTML","","","","","",""
"HTML filtration has failed.","Filtragem de HTML falhou.","","","","","",""
"HTML tags are not allowed","I'm ready to translate. Please provide the content to be translated.","","","","","",""
"Header","Cabeçalho","","","","","",""
"Helper attributes should not be used in custom layout updates.","Os atributos de helper não devem ser utilizados em atualizações de layout personalizadas.","","","","","",""
"Host","Servidor","","","","","",""
"How many links to display at once.","Quantos links a mostrar de uma vez.","","","","","",""
"ID Path for Specified Store","Caminho de ID para Loja Específica","","","","","",""
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","Se a posição atual do frame não cobrir páginas extremas, irá renderizar link para posição atual mais/menos este valor.","","","","","",""
"Image Reprocess Quality","Qualidade de Reprocessamento de Imagem","","","","","",""
"Incorrect credit card expiration date.","Data de validade de cartão de crédito incorrecto.","","","","","",""
"Input type ""%value%"" not found in the input types list.","O tipo de input ""%value%"" não está na lista de tipos de input.","","","","","",""
"Invalid MIME type.","Tipo MIME inválido.","","","","","",""
"Invalid URL","Invalid URL","","","","","",""
"Invalid URL '%value%'.","URL inválida '%value%'.","","","","","",""
"Invalid URL scheme.","Esquema de URL inválido.","","","","","",""
"Invalid base url type","Tipo de URL base inválido","","","","","",""
"Invalid block type: %s","Tipo de bloco inválido: %s","","","","","",""
"Invalid block: %s","Bloco inválido: %s","","","","","",""
"Invalid connection","Conexão inválida","","","","","",""
"Invalid date","Data inválida","","","","","",""
"Invalid image.","Imagem inválida.","","","","","",""
"Invalid layout update handle","Manipulação de layout de atualização inválida","","","","","",""
"Invalid messages storage ""%s"" for layout messages initialization","Armazenamento de mensagens inválido ""%s"" para inicialização de mensagens de layout","","","","","",""
"Invalid query","Consulta inválida","","","","","",""
"Invalid stream.","Fluxo inválido.","","","","","",""
"Invalid template path used in layout update.","Caminho de template inválido usado na atualização de layout.","","","","","",""
"Invalid transactional email code: %s","Código de email transacional inválido: %s","","","","","",""
"Invalid website's configuration path: %s","Caminho de configuração do site inválido: %s","","","","","",""
"Layout","Layout","","","","","",""
"Leave empty for access from any location.","Deixe em branco para aceder em qualquer lugar.","","","","","",""
"List of stores","Lista de lojas","","","","","",""
"Locale","Região","","","","","",""
"Locale Options","Opções de Linguagem","","","","","",""
"Log Settings","Definições de Registo","","","","","",""
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Registo a partir de Maho::log(). Ficheiro está localizado em {{base_dir}}/var/log","","","","","",""
"Logging from Mage::log(). File is located in {{base_dir}}/var/log. Allowed file extensions: log, txt, html, csv","Registo a partir de Maho::log(). Ficheiro está localizado em {{base_dir}}/var/log. Extensões de ficheiro permitidas: log, txt, html, csv","","","","","",""
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Registo a partir de Maho::logException(). O ficheiro está localizado em {{base_dir}}/var/log","","","","","",""
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log. Allowed file extensions: log, txt, html, csv","Registo a partir de Maho::logException(). O ficheiro está localizado em {{base_dir}}/var/log. Extensões de ficheiro permitidas: log, txt, html, csv","","","","","",""
"Login is Case Sensitive","Nome de Utilizador Sensível a Maiúsculas e Minúsculas","","","","","",""
"Logo Image","Imagem do Logótipo","","","","","",""
"Logo Image Alt","Texto Alternativo à Imagem do Logótipo","","","","","",""
"Logo Image Src","Imagem de Logótipo Src","","","","","",""
"Maho info","Informação Maho","","","","","",""
"Maho info API","Maho info API","","","","","",""
"Mail Sending Settings","Definições de Envio de Email","","","","","",""
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/Maho/","Certifique-se de que a URL base termine com '/' (barra), ex.: http://seudominio/Maho/","","","","","",""
"Manage Stores","Gerir Lojas","","","","","",""
"Match expressions in the same order as displayed in the configuration.","Corresponder expressões na mesma ordem em que são exibidas na configuração.","","","","","",""
"Maximum Log Level","Nível de Registo Máximo","","","","","",""
"Media Storage","Armazenamento Média","","","","","",""
"Message recipients data must be set.","Os dados dos destinatários da mensagem devem ser definidos.","","","","","",""
"Messages with a priority lower than the selected one will not be logged. Log Levels are ordered from highest to lowest priority.","Mensagens com uma prioridade inferior à selecionada não serão registadas. Níveis de Registo estão ordenados da mais alta para a mais baixa prioridade.","","","","","",""
"Miscellaneous HTML","HTML Miscelâneo","","","","","",""
"Miscellaneous Scripts","Scripts Diversos","","","","","",""
"Model collection resource name is not defined.","O nome de recurso de coleção de modelo não está definido.","","","","","",""
"Module ""%1$s"" cannot depend on ""%2$s"".","Módulo ""%1$s"" não pode depender de ""%2$s"".","","","","","",""
"Module ""%1$s"" requires module ""%2$s"".","Módulo ""%1$s"" requer módulo ""%2$s"".","","","","","",""
"Name","Nome","","","","","",""
"New Admin User Create Notification","Nova Notificação de Criação de Utilizador Administrativo","","","","","",""
"New Admin User Email Template","Novo Modelo de Email de Utilizador Administrativo","","","","","",""
"New Design Change","Nova Alteração de Design","","","","","",""
"New Store","Nova Loja","","","","","",""
"New Store View","Nova Vista de Loja","","","","","",""
"New Website","Novo Website","","","","","",""
"No","Não","","","","","",""
"Offloader header","Cabeçalho offloader","","","","","",""
"The recommended value is 85, a higher value will increase the file size. You can set the value to 0 to disable image processing, but it may cause security risks.","O valor recomendado é 85, um valor mais alto aumentará o tamanho do ficheiro. Pode definir o valor para 0 para desativar o processamento de imagem, mas pode causar riscos de segurança.","","","","","",""
"PHP SOAP extension is required.","A extensão SOAP para PHP é necessária.","","","","","",""
"Package","Pacote","","","","","",""
"Pagination","Paginação","","","","","",""
"Pagination Frame","Quadro de Paginação","","","","","",""
"Pagination Frame Skip","Salto entre Quadros de Paginação","","","","","",""
"Parent directory does not exist: %s","Diretório pai não existe: %s","","","","","",""
"Path ""%value%"" is not available and cannot be used.","O caminho ""%value%"" não está disponível e não pode ser usado.","","","","","",""
"Path ""%value%"" is protected and cannot be used.","O caminho ""%value%"" está protegido e não pode ser usado.","","","","","",""
"Path ""%value%"" may not include parent directory traversal (""../"", ""..\\).""","Caminho ""%value%"" não pode incluir navegação de diretório pai (""../"", ""..\\").","","","","","",""
"Please define flag code.","Defina código de bandeira.","","","","","",""
"Please do not use ""event"" for an attribute code.","Por favor, não use ""evento"" para um código de atributo.","","","","","",""
"Please do not use event"" for an attribute code.""","Por favor, não utilize ""evento"" como código de atributo.","","","","","",""
"Please enter 6 or more characters without leading or trailing spaces.","Por favor, introduza 6 ou mais caracteres sem espaços iniciais ou finais.","","","","","",""
"Please enter 7 or more characters. Password should contain both numeric and alphabetic characters.","Introduza 7 ou mais caracteres. A palavra-passe deve conter caracteres alfanuméricos.","","","","","",""
"Please enter a number 0 or greater in this field.","Por favor insira um número igual ou superior a 0 neste campo.","","","","","",""
"Please enter a number 1 or greater in this field.","Por favor insira um número igual ou superior a 1 neste campo.","","","","","",""
"Please enter a number greater than 0 in this field.","Por favor insira um número superior a 0 neste campo.","","","","","",""
"Please enter a number lower than 100.","Introduza um número inferior a 100.","","","","","",""
"Please enter a valid $ amount. For example $100.00.","Por favor insira um montante de € válido. Por exemplo, 100,00€.","","","","","",""
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","Por favor, introduza uma chave de URL válida. Por exemplo, ""pagina-exemplo"", ""pagina-exemplo.html"" ou ""outro-nivel/pagina-exemplo"".","","","","","",""
"Please enter a valid URL. For example http://www.example.com or www.example.com","Por favor, introduza um URL válido. Por exemplo http://www.exemplo.com ou www.exemplo.com","","","","","",""
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","Por favor, introduza um URL válido. O protocolo é obrigatório (http://, https:// ou ftp://)","","","","","",""
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","Por favor, introduza um identificador XML válido. Por exemplo, algo_1, bloco5, id-4.","","","","","",""
"Please enter a valid credit card number.","Por favor insira um número de cartão de crédito válido.","","","","","",""
"Please enter a valid credit card verification number.","Por favor insira um número de verificação do cartão de crédito válido.","","","","","",""
"Please enter a valid date between %s and %s","Por favor, introduza uma data válida entre %s e %s","","","","","",""
"Please enter a valid date equal to or greater than %s","Por favor, introduza uma data válida igual ou superior a %s","","","","","",""
"Please enter a valid date less than or equal to %s","Por favor, introduza uma data válida menor ou igual a %s","","","","","",""
"Please enter a valid date.","Por favor introduza uma data válida.","","","","","",""
"Please enter a valid day (1-%d).","Por favor, introduza um dia válido (1-%d).","","","","","",""
"Please enter a valid email address. For example johndoe@domain.com.","Introduza um endereço de email válido. Por exemplo, johndoe@domínio.com.","","","","","",""
"Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.","Introduza um número de fax válido. Por exemplo, (123) 456-7890 ou 123-456-7890.","","","","","",""
"Please enter a valid full date","Introduza uma data válida completa","","","","","",""
"Please enter a valid month (1-12).","Por favor introduza um mês válido (1-12).","","","","","",""
"Please enter a valid number in this field.","Por favor introduza um número válido neste campo.","","","","","",""
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Por favor insira um número de telefone válido. Por exemplo (+351) 210 123 123 ou 910 123 123.","","","","","",""
"Please enter a valid social security number. For example 123-45-6789.","Introduza um número de segurança social válido. Por exemplo, 123-45-6789.","","","","","",""
"Please enter a valid year (1900-%d).","Por favor, introduza um ano válido (1900-%d).","","","","","",""
"Please enter a valid zip code.","Por favor insira um código de postal válido.","","","","","",""
"Please enter a valid zip code. For example 90602 or 90602-1234.","Introduza um código postal válido. Por exemplo, 90602 ou 90602-1234.","","","","","",""
"Please enter issue number or start date for switch/solo card type.","Por favor insira o número de emissão ou data de início para o tipo de carta switch/solo.","","","","","",""
"Please enter more characters or clean leading or trailing spaces.","Por favor, introduza mais caracteres ou limpe os espaços iniciais ou finais.","","","","","",""
"Please enter more characters. Password should contain both numeric and alphabetic characters.","Por favor, introduza mais caracteres. A palavra-passe deve conter tanto caracteres numéricos como alfabéticos.","","","","","",""
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.","Por favor, introduza um comprimento CSS válido. Por exemplo, 100px ou 77pt ou 20em ou .5ex ou 50%.","","","","","",""
"Please make sure your passwords match.","Por favor certifique-se que ambas as palavras-passe coincidem.","","","","","",""
"Please select State/Province.","Por favor selecione a Região/Distrito.","","","","","",""
"Please select a file","Selecione um ficheiro","","","","","",""
"Please select an option.","Por favor selecione uma opção.","","","","","",""
"Please select one of the above options.","Selecionar uma das opções acima.","","","","","",""
"Please select one of the options.","Selecione uma das opções.","","","","","",""
"Please set available and/or protected paths list(s) before validation.","Por favor defina listas de caminhos disponíveis e/ou protegidos antes da validação.","","","","","",""
"Please specify either a category or a product, or both.","Por favor, especifique uma categoria ou um produto, ou ambos.","","","","","",""
"Please use letters only (a-z or A-Z) in this field.","Por favor use apenas letras (a-z ou A-Z) neste campo.","","","","","",""
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Por favor, utilize apenas números neste campo. Evite espaços ou outros caracteres como pontos ou vírgulas.","","","","","",""
"Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Por favor, utilize apenas letras (a-z ou A-Z) ou números (0-9) neste campo. Não são permitidos espaços ou outros caracteres.","","","","","",""
"Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.","Por favor, utilize apenas letras (a-z ou A-Z) ou números (0-9) ou espaços e # apenas neste campo.","","","","","",""
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Por favor, utilize apenas letras (a-z ou A-Z), números (0-9) ou sublinhado (_) neste campo, o primeiro caractere deve ser uma letra.","","","","","",""
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Utilize apenas letras (a-z), números (0-9) ou sublinhado (_) neste campo, o primeiro caractere deve ser uma letra.","","","","","",""
"Please use only visible characters and spaces.","I'm ready to translate. Please provide the content to be translated to pt_PT.","","","","","",""
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Por favor use este formato de data: dd/mm/aaaa. Por exemplo 17/03/2006 de 17 de março de 2006.","","","","","",""
"Please wait, loading...","Por favor, aguarde, carregando...","","","","","",""
"Polls","Inquéritos","","","","","",""
"Port","Port","","","","","",""
"Profiler","Perfilador","","","","","",""
"Recovery Link Expiration Period (days)","Período de Expiração do Link de Recuperação (dias)","","","","","",""
"Recovery Link Expiration Period (hours)","Validade do Link de Recuperação (horas)","","","","","",""
"Request Path for Specified Store","Caminho de Pedido para Loja Específica","","","","","",""
"Request path length exceeds allowed %s symbols.","Comprimento do caminho de solicitação excede os %s símbolos permitidos.","","","","","",""
"Requested file may not include parent directory traversal (""../"", ""..\\ notation)""","Ficheiro solicitado não pode incluir navegação de diretório pai (""../"", ""..\\ notação)""","","","","","",""
"Requested invalid store ""%s""","Solicitado loja inválida ""%s""","","","","","",""
"Resource ""%s"" is not found.","Recurso ""%s"" não foi encontrado.","","","","","",""
"Resource is not set.","Recurso não está definido.","","","","","",""
"Retrieve info about current Maho installation","Obter informações sobre a instalação atual do Maho","","","","","",""
"Retrieve store data","Recuperar dados da loja","","","","","",""
"Retrieve store list","Obter lista de lojas","","","","","",""
"Return-Path Email","Email do Caminho de Retorno","","","","","",""
"Root Category","Categoria raiz","","","","","",""
"Sales Representative","Representante de Vendas","","","","","",""
"Sales Representative Contact Email","Email de Contato do Representante de Vendas","","","","","",""
"Sales Representative Contact Name","Nome de Contato do Representante de Vendas","","","","","",""
"Save","Gravar","","","","","",""
"Save Store","Gravar Loja","","","","","",""
"Save Store View","Gravar Vista de Loja","","","","","",""
"Save Website","Guardar Website","","","","","",""
"Search Engines Optimization","Otimização de Motores de Busca","","","","","",""
"Secure","Seguro","","","","","",""
"Security","Segurança","","","","","",""
"Select Date","Selecione Data","","","","","",""
"Select Media Database","Selecione a Base de Dados de Média","","","","","",""
"Sender Email","Email do Remetente","","","","","",""
"Sender Name","Nome do Remetente","","","","","",""
"Services","Serviços","","","","","",""
"Session Cookie Management","Gestão de Cookies de Sessão","","","","","",""
"Session Lifetime (seconds)","Duração da Sessão (segundos)","","","","","",""
"Session Validation Settings","Definições de Validação de Sessão","","","","","",""
"Set Return-Path","Definir Caminho de Retorno","","","","","",""
"Set as Default","Definir como omissão","","","","","",""
"Skin (Images / CSS)","Pele (Imagens / CSS)","","","","","",""
"Small Logo Image Src","Imagem de Logótipo Pequena Src","","","","","",""
"Sort Order","Ordenação","","","","","",""
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Data/hora especificada ""%1$s"" não coincide com o formato ""%2$s"".","","","","","",""
"Start date cannot be greater than end date.","Data de início não pode ser maior que a data de fim.","","","","","",""
"Startup Page","Página Inicial","","","","","",""
"Status","Estado","","","","","",""
"Storage Configuration for Media","Configuração de Armazenamento para Média","","","","","",""
"Store","Loja","","","","","",""
"Store API","Loja API","","","","","",""
"Store Contact Address","Morada de Contacto da Loja","","","","","",""
"Store Contact Information","Informação de Contacto da Loja","","","","","",""
"Store Contact Telephone","Telefone de Contato da Loja","","","","","",""
"Store Email Addresses","Endereços de Email da Loja","","","","","",""
"Store Hours of Operation","Horário de Funcionamento","","","","","",""
"Store Information","Informação da Loja","","","","","",""
"Store Name","Nome da loja","","","","","",""
"Store View","Vista da Loja","","","","","",""
"Store View Information","Informação da Vista de Loja","","","","","",""
"Store View Name","Nome da Visão da Loja","","","","","",""
"Store view doesn't exist","A vista de loja não existe","","","","","",""
"Store with the same code","Loja com o mesmo código","","","","","",""
"System","Sistema","","","","","",""
"System Log File Name","Nome do Ficheiro de Registo do Sistema","","","","","",""
"Template Path Hints","Dicas de Caminho de Template","","","","","",""
"Template Settings","Definições de Template","","","","","",""
"Template Variables","Variáveis do Template","","","","","",""
"Templates","Modelos","","","","","",""
"Text length does not satisfy specified text range.","O comprimento do texto não satisfaz o intervalo de texto especificado.","","","","","",""
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","O %s que inseriu é inválido. Por favor, certifique-se de que segue o formato ""http://domínio.com/"".","","","","","",""
"The From Date value should be less than or equal to the To Date value.","O valor da Data de Início deve ser menor ou igual ao valor da Data de Fim.","","","","","",""
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","O código da loja pode conter apenas letras (a-z), números (0-9) ou sublinhado (_), o primeiro caractere deve ser uma letra","","","","","",""
"The store code may contain only letters (a-z), numbers (0-9), underscore(_) or dash(-), the first character must be a letter","O código da loja pode conter apenas letras (a-z), números (0-9), sublinhado (_) ou traço (-), o primeiro caractere deve ser uma letra","","","","","",""
"The store does not exist","A loja não existe","","","","","",""
"The store has been deleted.","A loja foi eliminada.","","","","","",""
"The store has been saved.","A loja foi salva.","","","","","",""
"The store view has been deleted.","A vista da loja foi eliminada.","","","","","",""
"The store view has been saved","A vista da loja foi salva","","","","","",""
"The template Name must not be empty.","O nome do template não deve estar vazio.","","","","","",""
"The value is not within the specified range.","O valor não está dentro do intervalo especificado.","","","","","",""
"The website does not exist.","O site não existe.","","","","","",""
