"%d country(s) were skipped because they no longer exist.","%d land(en) zijn overgeslagen omdat ze niet meer bestaan."
"%d region(s) were skipped because they have existing region names.","%d regio('s) zijn overgeslagen omdat ze bestaande regionamen hebben."
"-- Please select --","-- Selecteer --"
"Country Information","Land informatie"
"Country is required.","Land is verplicht."
"Country Name","Land naam"
"Currency","valuta"
"CurrencyConverterAPI","Valuta ConverterAPI"
"Currency Options","Valuta opties"
"Currency rates can't be retrieved.","Wisselkoersen kunnen niet worden opgehaald."
"Currency rate service error: %s","Valuta tarief service-fout: %s"
"Currency Setup","Valuta instellingen"
"Currency Update Warnings","Waarschuwingen valuta-update"
"Default: only add new locales","Standaard: alleen nieuwe lokalisaties toevoegen"
"Default Display Currency","Standaard weergave valuta"
"Default Name","Standaard naam"
"Default name cannot be longer than 255 characters.","Standaardnaam kan niet langer zijn dan 255 tekens."
"Default name for this region in English","Standaardnaam voor deze regio in het Engels"
"Default name is required.","Standaardnaam is vereist."
"Delete Country","Land verwijderen"
"Delete Region","Regio verwijderen"
"Directory","Catalogus"
"Directory Management","Directory Management"
"Display not required State","Weergave niet verplicht"
"Edit Country","Land bewerken"
"Edit Country ""%s""","Bewerk land ""%s"""
"Edit Region","Gebied bewerken"
"Edit Region ""%s""","Regio bewerken ""%s"""
"Enabled","Ingeschakeld"
"Error:","Fout:"
"Error Email Recipient","E-mailadres ontvanger van foutmelding"
"Error Email Sender","Error Email Sender"
"Error Email Template","Fout e-mail sjabloon"
"FATAL ERROR:","FATALE FOUT:"
"Frequency","Frequentie"
"Hold Ctrl/Cmd to select multiple countries","Houd Ctrl/Cmd om meerdere landen te selecteren"
"Hold Ctrl/Cmd to select multiple locales","Houd Ctrl/Cmd om meerdere talen te selecteren"
"Import","Importeren"
"Import completed successfully.","Importeren succesvol afgerond."
"Import Regions","Importeer Regio's"
"Import Results","Resultaten importeren"
"Installed Currencies","Geïnstalleerde valuta"
"Invalid country code: %s","Ongeldige landcode: %s"
"Invalid Import Service specified.","Ongeldige Import Service opgegeven."
"Invalid rates received","Ongeldige koersen ontvangen"
"Invalid target currency.","Ongeldige doelvaluta."
"ISO2 Code","ISO2 Code"
"ISO2 code is required.","ISO2-code is vereist."
"ISO2 code must be exactly 2 uppercase letters.","ISO2 code moet precies 2 hoofdletters zijn."
"ISO3 Code","ISO3 Code"
"ISO3 code is required.","ISO3 code is vereist."
"ISO3 code must be exactly 3 uppercase letters.","ISO3 code moet precies 3 hoofdletters zijn."
"List of countries","Lijst van landen"
"List of regions in specified country","Lijst van regio's in specifiek land"
"Locale and region name are required.","Locale en regio naam is vereist."
"Locale is required.","Lokalisatie is vereist."
"Locales","Locales"
"Localized Name","Gelokaliseerde Naam"
"Localized name for this region","Gelokaliseerde naam voor deze regio"
"Manage Countries","Landen beheren"
"Manage Directory","Beheer Map"
"Manage Regions","Beheer Regio's"
"Manage Translations","Vertalingen beheren"
"New Country","Nieuw land"
"New Region","Nieuwe regio"
"No API Key was specified or an invalid API Key was specified.","Geen API-sleutel is opgegeven of een ongeldige API-sleutel is opgegeven."
"One or more invalid symbols have been specified.","Een of meer ongeldige symbolen zijn opgegeven."
"Please select at least one country.","Selecteer ten minste één land."
"Please select at least one locale.","Selecteer ten minste één lokaal."
"Please select country(s).","Selecteer land(en)."
"Please select region(s).","Selecteer region(en)."
"Please select region name(s).","Selecteer a.u.b. regio naam(n)."
"Popular","Populair"
"Postal Code is Optional for the following countries","Postcode is optioneel voor de volgende landen"
"Preview changes without importing (Dry Run)","Voorbeeldweergave wijzigingen zonder te importeren (Dry Run)"
"Region","Regio"
"Region API","Regio API"
"Region Code","Regio Code"
"Region code cannot be longer than 32 characters.","Regio code kan niet langer zijn dan 32 tekens."
"Region ID","Regio ID"
"Region Information","Regio Informatie"
"Region name cannot be longer than 255 characters.","Regio naam kan niet langer zijn dan 255 tekens."
"Region name is required.","Regio naam is verplicht."
"Regions","Regio's"
"Running...","Bezig..."
"Running import...","Import uitvoeren..."
"Save Country","Land opslaan"
"Save Region","Regio opslaan"
"Scheduled Import Settings","Instellingen voor geplande import"
"Selected country does not exist.","Geselecteerde land bestaat niet."
"Service","Diensten"
"Short code for this region (e.g. CA, NY, TX)","Korte code voor deze regio (bijv. CA, NY, TX)"
"Shows what would be imported without making actual changes","Toont wat geïmporteerd zou worden zonder werkelijke wijzigingen"
"Start Time","Start tijd"
"State/Province","Staat/provincie"
"State is required for","Staat is vereist voor"
"States Options","Staten opties"
"System","Systeem"
"The ""%s"" is not allowed as base currency for your subscription plan.","De ""%s"" is niet toegestaan als basisvaluta voor uw abonnement."
"The account this API request is coming from is inactive.","Het account waar deze API-aanvraag vandaan komt, is inactief."
"The country has been deleted.","Het land is verwijderd."
"The country has been saved.","Het land is opgeslagen."
"The current request did not return any results.","Het huidige verzoek heeft geen resultaten opgeleverd."
"The maximum allowed API amount of monthly API requests has been reached.","De maximaal toegestane API-hoeveelheid van maandelijkse API-aanvragen is bereikt."
"The region has been deleted.","De regio is verwijderd."
"The region has been saved.","De regio is opgeslagen."
"This country no longer exists.","Dit land bestaat niet meer."
"This region no longer exists.","Deze regio bestaat niet meer."
"Three character ISO code (e.g. USA, GBR, DEU)","ISO-code drie karakters (bijv. USA, GBR, DEU)"
"Top Countries","Top Landen"
"Two character country code (e.g. US, GB, DE)","Twee karakter landcode (bijv. VS, GB, DE)"
"Two character ISO code (usually same as Country ID)","Twee tekens ISO code (meestal hetzelfde als het land ID)"
"Unable to calculate rate for %s to %s.","Niet in staat om tarief te berekenen voor %s tot %s."
"Unable to initialize the import model.","Niet mogelijk om het importmodel te initialiseren."
"Unable to retrieve rate for USD to %s.","Kan koers niet voor USD naar %s ophalen."
"Undefined rate from ""%s-%s"".","Onbepaald tarief van ""%s-%s""."
"Update existing regions and localized names","Bestaande regio's en gelokaliseerde namen bijwerken"
"WARNING:","LET OP:"
"Your Currency","Uw valuta"
"Your Currency:","Uw valuta:"
"Your current currency is: %s","Uw huidige valuta is: %s"
