"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Winkelwagen Prijsregels gebaseerd op ""%s"" attribuut is uitgeschakeld."
"%s Coupon(s) have been generated","%s Coupon(s) zijn gegenereerd"
"Actions","acties"
"The rule has been saved.","De regel is opgeslagen."
"This rule no longer exists.","Deze regel bestaat niet meer."
"Times Used","Aantal keer gebruikt"
"To Date","Tot Datum"
"To Fixed Value","Tot vast bedrag"
"To Percentage","Naar percentage"
"Total","Totaal"
"Total Amount","Totaal bedrag"
"total amount","totaal bedrag"
"Total Items Quantity","Totale aantal artikelen"
"total quantity","totale hoeveelheid"
"Total Weight","Totaal gewicht"
"Unable to create requested Coupon Qty. Please check settings and try again.","Kan het gevraagde aantal niet aanmaken. Controleer de instellingen en probeer het opnieuw."
"Unable to find a rule to delete.","Kan geen regel vinden om te verwijderen"
"Update prices using the following information","Prijzen bijwerken met behulp van de volgende informatie"
"Update product's %s %s: %s","Product bijwerken %s %s: %s"
"Update the Product","Product bijwerken"
"Usage limit enforced for logged in customers only","Limiet te gebruiken alleen voor aangemelde klanten"
"Use Auto Generation","Gebruik automatische generatie"
"Used","Gebruikt"
"Uses per Coupon","Aantal keren gebruikt per kortingsbon"
"Uses per Customer","Aantal per klant beschikbaar"
"Website","website"
"Websites","Websites"
"Wrong rule specified.","Foutieve regel gespecificeerd"
"Yes","ja"
